"","bio_6","groups","code","order"
"1",52,"a","1",1
"2",42,"ab","14",2
"3",41,"ab","22",3
"4",36,"bc","49",4
"5",33,"bcd","39",5
"6",33,"bd","68",6
"7",30,"cde","11",7
"8",28,"ef","33",8
"9",27,"efg","16",9
"10",26,"fg","56",10
"11",25,"fg","50",11
"12",22,"fgh","71",12
"13",21,"gh","51",13
"14",18,"h","53",14
"15",18,"h","57",15
"16",17,"h","3",16
"17",16.5,"h","12",17
"18",16,"h","64",18
"19",15,"h","31",19
"20",13,"h","36",20
"21",12,"hi","72",21
"22",11.5,"hij","59",22
"23",6,"ij","67",23
"24",5,"j","7",24
"25",4,"jk","17",25
"26",2,"k","20",26
"27",2,"k","21",27
"28",2,"k","28",28
"29",1,"k","58",29
"30",1,"k","62",30
"31",0,"kl","24",31
"32",0,"klm","41",32
"33",-2,"klm","65",33
"34",-3.5,"klm","40",34
"35",-11,"lm","23",35
"36",-12,"mn","10",36
"37",-13,"mn","35",37
"38",-14,"mn","6",38
"39",-14.5,"mn","70",39
"40",-16,"mn","34",40
"41",-17,"mn","32",41
"42",-17,"mn","5",42
"43",-18,"n","30",43
"44",-19,"o","2",44
"45",-19,"op","38",45
"46",-19,"p","48",46
"47",-19,"p","52",47
"48",-19,"p","54",48
"49",-20,"pq","60",49
"50",-21,"pq","25",50
"51",-21,"pqr","27",51
"52",-22,"pqr","66",52
"53",-23,"pqr","46",53
"54",-25,"qs","37",54
"55",-27,"qst","13",55
"56",-27,"qst","8",56
"57",-27.5,"qst","43",57
"58",-29,"rst","45",58
"59",-29,"t","61",59
"60",-30,"t","18",60
"61",-30,"tu","69",61
"62",-31,"u","55",62
"63",-41,"v","29",63
"64",-41,"vw","42",64
"65",-48,"vw","9",65
"66",-50.5,"w","26",66
"67",-67,"x","44",67
"68",-68,"x","15",68
"69",-81,"y","63",69
"70",-110.5,"z","47",70
"71",-124,"A","4",71
"72",-192,"A","19",72
