"","bio_1","groups","code","order"
"1",179,"a","16",1
"2",159,"b","17",2
"3",142,"c","54",3
"4",135,"cd","14",4
"5",132,"d","69",5
"6",131,"d","52",6
"7",128,"d","12",7
"8",128,"d","23",8
"9",126,"de","42",9
"10",120,"def","46",10
"11",119,"def","40",11
"12",118,"defg","50",12
"13",114,"efgh","1",13
"14",111,"efgh","57",14
"15",111,"fgh","68",15
"16",108.5,"gh","34",16
"17",108,"h","51",17
"18",108,"h","72",18
"19",106,"h","11",19
"20",102,"h","58",20
"21",101,"i","21",21
"22",100,"ij","37",22
"23",100,"ij","65",23
"24",99,"ij","3",24
"25",97,"ij","60",25
"26",95.5,"ijk","32",26
"27",94,"jk","49",27
"28",94,"jk","7",28
"29",93.5,"jk","73",29
"30",91,"kl","18",30
"31",90,"kl","25",31
"32",88,"kl","29",32
"33",87,"kl","59",33
"34",87,"l","63",34
"35",83,"l","41",35
"36",81,"l","22",36
"37",80,"l","47",37
"38",78,"l","66",38
"39",77,"l","31",39
"40",76,"l","15",40
"41",70,"m","30",41
"42",69,"n","24",42
"43",69,"n","45",43
"44",68,"no","10",44
"45",68,"no","36",45
"46",67,"nop","27",46
"47",67,"nopq","43",47
"48",67,"nopq","5",48
"49",67,"nopqr","9",49
"50",66.5,"nopqrs","35",50
"51",65,"nopqrst","55",51
"52",65,"opqrst","71",52
"53",64,"opqrst","39",53
"54",63,"opqrst","33",54
"55",63,"opqrst","53",55
"56",63,"opqrstu","6",56
"57",62,"pqstu","26",57
"58",61,"pqstuv","2",58
"59",60,"pqstuv","64",59
"60",60,"qtuv","67",60
"61",58.5,"qtuvw","38",61
"62",53,"ruvw","44",62
"63",52.5,"vw","8",63
"64",52,"vw","13",64
"65",52,"vw","28",65
"66",52,"vw","61",66
"67",51,"w","62",67
"68",50,"w","19",68
"69",50,"x","56",69
"70",50,"x","70",70
"71",30,"y","4",71
"72",12,"z","48",72
"73",5,"z","20",73
