"","decimalLongitude","decimalLatitude","key","mon_1","mon_2","mon_3","mon_4","mon_5","mon_6","mon_7","mon_8","mon_9","mon_10","mon_11","mon_12","scientificname","code","WI"
"1",100.741667,-1.175,2513514056,124,126,128,130,133,130,125,124,123,124,125,124,"Agrostis infirma",1,91.6
"2",120.096,-3.4829,2513512905,91,91,91,93,94,89,86,88,93,97,95,91,"Agrostis infirma",1,49.9
"3",103.131667,-4.025,2516184348,85,86,88,91,93,90,86,87,88,89,89,87,"Agrostis infirma",1,45.9
"4",137.1,-4.033333,94027780,43,42,43,45,45,40,35,34,37,40,44,43,"Agrostis infirma",1,0
"5",137.066667,-4.05,94027802,41,41,41,43,43,38,34,33,35,38,42,42,"Agrostis infirma",1,0
"6",137.067,-4.05,1090373339,41,41,41,43,43,38,34,33,35,38,42,42,"Agrostis infirma",1,0
"7",137.1,-4.066667,94027816,59,59,59,61,61,56,51,50,53,56,60,60,"Agrostis infirma",1,8.5
"8",137.183333,-4.066667,1897839465,42,42,42,44,44,39,34,33,36,39,43,43,"Agrostis infirma",1,0
"9",137.1,-4.06667,1090181455,59,59,59,61,61,56,51,50,53,56,60,60,"Agrostis infirma",1,8.5
"10",137.15,-4.083333,94027560,26,26,26,28,28,23,18,18,20,23,27,27,"Agrostis infirma",1,0
"11",137.183333,-4.083333,2513513985,31,31,31,33,33,28,23,23,25,28,32,32,"Agrostis infirma",1,0
"12",137.183333,-4.083333,2513513068,31,31,31,33,33,28,23,23,25,28,32,32,"Agrostis infirma",1,0
"13",137.183333,-4.083333,2513513656,31,31,31,33,33,28,23,23,25,28,32,32,"Agrostis infirma",1,0
"14",137.183333,-4.083333,94027993,31,31,31,33,33,28,23,23,25,28,32,32,"Agrostis infirma",1,0
"15",138.68112,-4.26251,2513512812,39,39,40,42,41,37,33,32,35,37,40,41,"Agrostis infirma",1,0
"16",138.68112,-4.26251,2513514586,39,39,40,42,41,37,33,32,35,37,40,41,"Agrostis infirma",1,0
"17",138.68112,-4.26251,2513515117,39,39,40,42,41,37,33,32,35,37,40,41,"Agrostis infirma",1,0
