"","decimalLongitude","decimalLatitude","key","mon_1","mon_2","mon_3","mon_4","mon_5","mon_6","mon_7","mon_8","mon_9","mon_10","mon_11","mon_12","scientificname","code","WI"
"1",120.908889,23.478333,891693920,28,34,51,75,101,119,125,123,113,93,68,39,"Amitostigma alpestre",2,41.8
"2",120.969167,23.518333,891693951,63,70,89,116,142,160,167,165,154,133,106,75,"Amitostigma alpestre",2,84
"3",121.31,24.11,1085980737,31,36,53,80,109,132,141,138,125,101,74,44,"Amitostigma alpestre",2,50.3
"4",121.33,24.11,1086012914,-1,2,16,41,70,92,101,98,85,63,38,10,"Amitostigma alpestre",2,20.9
"5",121.266667,24.133333,1821886789,5,9,24,50,79,101,110,107,94,71,45,17,"Amitostigma alpestre",2,26.2
"6",121.283333,24.133333,1821912280,9,13,28,54,83,106,114,112,99,75,49,21,"Amitostigma alpestre",2,29.3
"7",121.27,24.15,1085992064,16,20,36,63,92,115,124,121,108,84,58,28,"Amitostigma alpestre",2,36.5
"8",121.283333,24.179167,1821818792,1,5,19,45,75,97,106,103,90,67,41,13,"Amitostigma alpestre",2,23.8
"9",121.283333,24.179167,1821819080,1,5,19,45,75,97,106,103,90,67,41,13,"Amitostigma alpestre",2,23.8
"10",121.283333,24.179167,1821821837,1,5,19,45,75,97,106,103,90,67,41,13,"Amitostigma alpestre",2,23.8
"11",121.283333,24.179167,1821821856,1,5,19,45,75,97,106,103,90,67,41,13,"Amitostigma alpestre",2,23.8
"12",121.41,24.31,1085969296,0,3,17,42,72,95,105,102,88,65,40,12,"Amitostigma alpestre",2,22.7
"13",121.433333,24.333333,1821906482,6,10,24,50,80,103,113,110,96,72,47,19,"Amitostigma alpestre",2,27.4
"14",121.433333,24.333333,1821906974,6,10,24,50,80,103,113,110,96,72,47,19,"Amitostigma alpestre",2,27.4
"15",121.433333,24.333333,1821907066,6,10,24,50,80,103,113,110,96,72,47,19,"Amitostigma alpestre",2,27.4
"16",121.433333,24.333333,1821907107,6,10,24,50,80,103,113,110,96,72,47,19,"Amitostigma alpestre",2,27.4
"17",121.433333,24.333333,1821910506,6,10,24,50,80,103,113,110,96,72,47,19,"Amitostigma alpestre",2,27.4
"18",121.436944,24.365556,891650979,-11,-9,4,29,58,82,91,89,75,52,27,1,"Amitostigma alpestre",2,14.7
"19",121.436944,24.365556,891650994,-11,-9,4,29,58,82,91,89,75,52,27,1,"Amitostigma alpestre",2,14.7
"20",121.43,24.37,1085973915,6,9,23,49,79,103,112,110,96,72,46,18,"Amitostigma alpestre",2,27.2
"21",121.44,24.37,1085983496,-2,1,14,40,70,93,102,100,86,63,37,10,"Amitostigma alpestre",2,21.4
"22",121.44,24.37,1085989605,-2,1,14,40,70,93,102,100,86,63,37,10,"Amitostigma alpestre",2,21.4
"23",121.216944,24.379167,891693917,-2,1,15,42,72,96,105,103,89,65,39,11,"Amitostigma alpestre",2,23
"24",121.333333,24.383333,1821818979,47,52,70,99,130,154,165,162,147,121,93,61,"Amitostigma alpestre",2,70.4
"25",121.443611,24.411944,1821820360,30,34,50,78,108,132,143,140,125,100,73,43,"Amitostigma alpestre",2,49.9
"26",121.443611,24.411944,1821862281,30,34,50,78,108,132,143,140,125,100,73,43,"Amitostigma alpestre",2,49.9
"27",121.443611,24.411944,1821863128,30,34,50,78,108,132,143,140,125,100,73,43,"Amitostigma alpestre",2,49.9
"28",121.283611,24.427222,891605797,6,9,23,50,81,105,115,112,98,74,48,19,"Amitostigma alpestre",2,28.5
"29",121.283611,24.427222,891605820,6,9,23,50,81,105,115,112,98,74,48,19,"Amitostigma alpestre",2,28.5
