"","decimalLongitude","decimalLatitude","key","mon_1","mon_2","mon_3","mon_4","mon_5","mon_6","mon_7","mon_8","mon_9","mon_10","mon_11","mon_12","scientificname","code","WI"
"1",120.745278,22.408889,891654084,126,133,149,170,190,204,209,207,199,184,162,136,"Anaphalis morrisonicola",3,146.9
"2",120.745278,22.408889,891616688,126,133,149,170,190,204,209,207,199,184,162,136,"Anaphalis morrisonicola",3,146.9
"3",120.692778,22.508333,891654086,140,147,165,188,208,222,228,225,218,202,179,150,"Anaphalis morrisonicola",3,167.2
"4",120.666667,22.6,1821815482,153,161,181,205,226,240,246,243,236,219,195,164,"Anaphalis morrisonicola",3,186.9
"5",120.738375,22.614886,2576263801,101,108,124,146,167,181,186,184,177,161,138,111,"Anaphalis morrisonicola",3,118.4
"6",120.716667,22.616667,1821878330,108,114,131,153,175,189,194,192,184,168,145,118,"Anaphalis morrisonicola",3,127.1
"7",120.753333,22.621944,1821823085,49,54,67,86,108,122,126,125,117,102,81,57,"Anaphalis morrisonicola",3,49.5
"8",120.748333,22.625,891593160,94,101,116,138,160,174,179,177,169,153,131,104,"Anaphalis morrisonicola",3,109.6
"9",120.752222,22.630556,891654053,65,71,85,105,127,141,146,144,136,121,99,75,"Anaphalis morrisonicola",3,71.5
"10",120.752222,22.630556,891654099,65,71,85,105,127,141,146,144,136,121,99,75,"Anaphalis morrisonicola",3,71.5
"11",120.926389,22.708056,891654040,125,132,150,174,195,210,216,213,205,188,164,135,"Anaphalis morrisonicola",3,150.7
"12",120.926389,22.708056,891654081,125,132,150,174,195,210,216,213,205,188,164,135,"Anaphalis morrisonicola",3,150.7
"13",120.83,22.7,1086027752,107,114,131,154,176,190,196,193,185,168,145,117,"Anaphalis morrisonicola",3,127.6
"14",120.883333,22.716667,1821881924,85,91,107,128,150,165,170,168,160,143,121,94,"Anaphalis morrisonicola",3,98.2
"15",120.739166,22.721111,1986594301,91,98,114,137,159,173,179,176,169,152,129,101,"Anaphalis morrisonicola",3,107.8
"16",120.882778,22.738056,891628285,94,101,117,139,161,176,181,179,171,154,131,104,"Anaphalis morrisonicola",3,110.8
"17",120.895,22.747778,891654010,81,87,103,124,147,161,166,164,156,140,117,91,"Anaphalis morrisonicola",3,93.7
"18",120.882222,22.765278,891646441,98,104,121,144,166,181,186,184,176,159,135,108,"Anaphalis morrisonicola",3,116.2
"19",120.8225,22.970833,891616585,68,74,91,114,137,152,158,156,147,130,106,78,"Anaphalis morrisonicola",3,81.1
"20",120.823333,22.9725,891616586,68,74,91,114,137,152,158,156,147,130,106,78,"Anaphalis morrisonicola",3,81.1
"21",120.814722,23.110833,891635905,89,96,115,140,164,180,187,184,175,156,130,100,"Anaphalis morrisonicola",3,111.6
"22",120.814722,23.110833,891635909,89,96,115,140,164,180,187,184,175,156,130,100,"Anaphalis morrisonicola",3,111.6
"23",120.907778,23.231111,891615548,18,23,37,59,84,101,106,105,95,77,53,27,"Anaphalis morrisonicola",3,28
"24",120.907778,23.231111,891617159,18,23,37,59,84,101,106,105,95,77,53,27,"Anaphalis morrisonicola",3,28
"25",120.907778,23.231111,891616476,18,23,37,59,84,101,106,105,95,77,53,27,"Anaphalis morrisonicola",3,28
"26",120.91,23.24,1085981712,17,23,37,59,84,100,106,104,95,76,53,27,"Anaphalis morrisonicola",3,27.7
"27",120.937778,23.249167,891622173,23,28,43,65,90,107,112,111,101,83,59,33,"Anaphalis morrisonicola",3,32.8
"28",120.982193,23.251575,2529347233,55,61,78,102,127,144,150,148,138,119,94,66,"Anaphalis morrisonicola",3,68.2
"29",120.9275,23.26,1821849832,64,71,88,113,138,155,161,159,149,130,104,75,"Anaphalis morrisonicola",3,80.7
"30",120.95,23.266667,1821782853,37,43,59,82,107,124,130,128,118,99,75,47,"Anaphalis morrisonicola",3,47.2
"31",121.116667,23.266667,1821864420,101,108,128,154,178,195,202,200,189,169,143,112,"Anaphalis morrisonicola",3,127.9
"32",121.116667,23.266667,1821864424,101,108,128,154,178,195,202,200,189,169,143,112,"Anaphalis morrisonicola",3,127.9
"33",120.961111,23.269444,1821873408,26,32,47,69,94,111,117,115,105,86,63,36,"Anaphalis morrisonicola",3,36
"34",120.96,23.27,1085983624,26,32,47,69,94,111,117,115,105,86,63,36,"Anaphalis morrisonicola",3,36
"35",120.915705,23.277414,2005263605,64,71,89,114,139,156,162,160,150,130,105,75,"Anaphalis morrisonicola",3,81.5
"36",120.919722,23.460833,891596990,56,63,81,106,132,150,157,155,145,124,98,67,"Anaphalis morrisonicola",3,73.4
"37",120.919722,23.460833,891597014,56,63,81,106,132,150,157,155,145,124,98,67,"Anaphalis morrisonicola",3,73.4
"38",120.930425,23.464362,2423144040,34,41,57,81,107,125,132,130,119,99,74,45,"Anaphalis morrisonicola",3,47.4
"39",120.929729,23.464827,2251901017,34,41,57,81,107,125,132,130,119,99,74,45,"Anaphalis morrisonicola",3,47.4
"40",120.941667,23.465278,891654016,7,12,27,50,75,93,99,98,88,68,44,17,"Anaphalis morrisonicola",3,22.1
"41",120.891962,23.467012,1948773174,45,52,69,94,120,138,145,143,133,112,86,56,"Anaphalis morrisonicola",3,59.8
"42",120.937778,23.4675,891615776,9,14,29,52,78,96,102,100,90,70,46,19,"Anaphalis morrisonicola",3,23.8
"43",120.960556,23.468333,891648426,-8,-3,10,32,58,76,82,80,70,51,27,2,"Anaphalis morrisonicola",3,11.7
"44",120.960556,23.468333,891630668,-8,-3,10,32,58,76,82,80,70,51,27,2,"Anaphalis morrisonicola",3,11.7
"45",120.960556,23.468333,891646887,-8,-3,10,32,58,76,82,80,70,51,27,2,"Anaphalis morrisonicola",3,11.7
"46",120.960556,23.468333,891654019,-8,-3,10,32,58,76,82,80,70,51,27,2,"Anaphalis morrisonicola",3,11.7
"47",120.960556,23.468333,891654041,-8,-3,10,32,58,76,82,80,70,51,27,2,"Anaphalis morrisonicola",3,11.7
"48",120.943459,23.468354,622280123,13,18,33,56,82,100,106,104,94,74,50,23,"Anaphalis morrisonicola",3,26.6
"49",120.905556,23.468611,891654044,50,57,74,100,126,144,151,148,138,117,91,61,"Anaphalis morrisonicola",3,65.7
"50",120.936802,23.468727,1880634582,9,14,29,52,78,96,102,100,90,70,46,19,"Anaphalis morrisonicola",3,23.8
"51",120.92539,23.469404,2423145338,13,18,33,56,82,100,106,104,94,74,50,23,"Anaphalis morrisonicola",3,26.6
"52",120.892778,23.470556,891592087,45,52,69,94,120,138,145,143,133,112,86,56,"Anaphalis morrisonicola",3,59.8
"53",120.892778,23.470556,891592091,45,52,69,94,120,138,145,143,133,112,86,56,"Anaphalis morrisonicola",3,59.8
"54",120.892778,23.470556,891598060,45,52,69,94,120,138,145,143,133,112,86,56,"Anaphalis morrisonicola",3,59.8
"55",120.914723,23.47087,2251903389,34,41,57,82,107,125,132,130,120,99,74,45,"Anaphalis morrisonicola",3,47.6
"56",120.912087,23.471025,1901059702,34,41,57,82,107,125,132,130,120,99,74,45,"Anaphalis morrisonicola",3,47.6
"57",120.919822,23.471405,1901067918,31,37,53,77,103,121,127,125,115,95,70,41,"Anaphalis morrisonicola",3,43.6
"58",120.909991,23.472486,2251919864,34,41,57,82,107,125,132,130,120,99,74,45,"Anaphalis morrisonicola",3,47.6
"59",120.891551,23.473254,2429298821,45,52,69,94,120,138,145,143,133,112,86,56,"Anaphalis morrisonicola",3,59.8
"60",120.89103,23.47347,2244236919,43,50,67,92,118,136,143,141,130,110,84,54,"Anaphalis morrisonicola",3,57.5
"61",120.90585,23.474253,1883912416,50,57,74,100,126,144,151,148,138,117,91,61,"Anaphalis morrisonicola",3,65.7
"62",120.903617,23.475097,1901052716,42,48,65,90,116,134,141,139,129,108,82,53,"Anaphalis morrisonicola",3,55.7
"63",120.90303,23.475555,1901052637,42,48,65,90,116,134,141,139,129,108,82,53,"Anaphalis morrisonicola",3,55.7
"64",120.901245,23.475717,2423022539,42,48,65,90,116,134,141,139,129,108,82,53,"Anaphalis morrisonicola",3,55.7
"65",120.900618,23.475827,1901052018,42,48,65,90,116,134,141,139,129,108,82,53,"Anaphalis morrisonicola",3,55.7
"66",120.92,23.475833,891654050,31,37,53,78,103,122,128,126,116,95,70,42,"Anaphalis morrisonicola",3,44.1
"67",120.92,23.475833,891654106,31,37,53,78,103,122,128,126,116,95,70,42,"Anaphalis morrisonicola",3,44.1
"68",120.978889,23.475833,891615680,9,15,29,52,78,96,102,100,90,70,46,19,"Anaphalis morrisonicola",3,23.8
"69",120.89857,23.475902,2238947128,41,47,64,89,115,133,140,138,127,107,81,52,"Anaphalis morrisonicola",3,54.6
"70",120.886087,23.475956,1850990594,39,45,62,87,113,131,138,136,126,105,79,50,"Anaphalis morrisonicola",3,52.7
"71",120.896613,23.476262,2239021490,41,47,64,89,115,133,140,138,127,107,81,52,"Anaphalis morrisonicola",3,54.6
"72",120.890443,23.478042,622280124,39,45,62,87,113,131,138,136,126,105,79,50,"Anaphalis morrisonicola",3,52.7
