"","decimalLongitude","decimalLatitude","key","mon_1","mon_2","mon_3","mon_4","mon_5","mon_6","mon_7","mon_8","mon_9","mon_10","mon_11","mon_12","scientificname","code","WI"
"1",120.91,23.24,1085978550,17,23,37,59,84,100,106,104,95,76,53,27,"Anaphalis nepalensis",4,27.7
"2",120.990621,23.28241,2529272090,10,15,29,50,75,92,98,96,86,68,45,20,"Anaphalis nepalensis",4,21.5
"3",120.953789,23.459497,2331894343,-6,-2,11,33,59,77,83,81,71,52,29,3,"Anaphalis nepalensis",4,12.3
"4",120.947387,23.465717,1901048993,7,12,27,50,75,93,99,98,88,68,44,17,"Anaphalis nepalensis",4,22.1
"5",120.952401,23.466412,1850944160,-6,-2,11,33,59,77,83,81,71,52,29,3,"Anaphalis nepalensis",4,12.3
"6",120.949432,23.467012,2028468926,13,18,33,56,82,100,106,104,94,74,50,23,"Anaphalis nepalensis",4,26.6
"7",120.960556,23.468333,891601468,-8,-3,10,32,58,76,82,80,70,51,27,2,"Anaphalis nepalensis",4,11.7
"8",120.955073,23.468701,1883474889,-4,1,14,36,62,80,86,85,74,55,32,6,"Anaphalis nepalensis",4,14.2
"9",120.937373,23.46871,1883547137,9,14,29,52,78,96,102,100,90,70,46,19,"Anaphalis nepalensis",4,23.8
"10",120.954666,23.468743,1880634617,-4,1,14,36,62,80,86,85,74,55,32,6,"Anaphalis nepalensis",4,14.2
"11",120.955953,23.469329,1883474749,-4,1,14,36,62,80,86,85,74,55,32,6,"Anaphalis nepalensis",4,14.2
"12",120.956083,23.47031,2005262418,-4,1,14,36,62,80,86,85,74,55,32,6,"Anaphalis nepalensis",4,14.2
"13",120.959487,23.470805,2423145467,-8,-3,10,32,58,76,82,80,70,51,27,2,"Anaphalis nepalensis",4,11.7
"14",120.915721,23.470999,2574072201,34,41,57,82,107,125,132,130,120,99,74,45,"Anaphalis nepalensis",4,47.6
"15",120.95,23.47,1085972582,-4,1,14,36,62,80,86,85,74,55,32,6,"Anaphalis nepalensis",4,14.2
"16",120.910223,23.47242,1880604289,34,41,57,82,107,125,132,130,120,99,74,45,"Anaphalis nepalensis",4,47.6
"17",120.886514,23.481612,1986536586,39,45,62,87,113,131,138,136,126,105,79,50,"Anaphalis nepalensis",4,52.7
"18",120.783515,23.499178,2620186187,79,86,107,134,160,178,186,183,173,151,124,91,"Anaphalis nepalensis",4,105.2
"19",121.05,23.51,1086033838,30,36,52,76,102,120,127,125,114,94,69,41,"Anaphalis nepalensis",4,42.9
"20",121.22781,23.75192,622280129,26,32,48,73,100,120,127,125,113,91,66,37,"Anaphalis nepalensis",4,41.5
"21",121.283333,24.058056,2423190411,12,17,32,58,86,108,117,114,101,78,53,24,"Anaphalis nepalensis",4,31.5
"22",121.320761,24.089925,1880607703,1,5,19,44,73,95,103,100,88,65,40,12,"Anaphalis nepalensis",4,22.4
"23",121.31,24.09,1085975867,21,26,42,68,97,120,128,126,113,89,63,33,"Anaphalis nepalensis",4,40.4
"24",121.32,24.1,1086016650,13,18,33,59,88,110,119,116,103,80,54,25,"Anaphalis nepalensis",4,32.9
"25",121.261944,24.134167,891597592,23,28,44,72,101,123,133,130,116,92,66,36,"Anaphalis nepalensis",4,43.3
"26",121.2812,24.135867,2423114924,3,7,22,48,77,99,108,105,92,69,43,15,"Anaphalis nepalensis",4,25
"27",121.271704,24.136131,2283135196,5,9,24,50,79,101,110,107,94,71,45,17,"Anaphalis nepalensis",4,26.2
"28",121.278326,24.136382,2429222785,3,7,22,48,77,99,108,105,92,69,43,15,"Anaphalis nepalensis",4,25
"29",121.276252,24.136996,2597750796,3,7,22,48,77,99,108,105,92,69,43,15,"Anaphalis nepalensis",4,25
"30",121.271927,24.13706,2331929747,5,9,24,50,79,101,110,107,94,71,45,17,"Anaphalis nepalensis",4,26.2
"31",121.272445,24.138425,1839278916,5,9,24,50,79,101,110,107,94,71,45,17,"Anaphalis nepalensis",4,26.2
