"","decimalLongitude","decimalLatitude","key","mon_1","mon_2","mon_3","mon_4","mon_5","mon_6","mon_7","mon_8","mon_9","mon_10","mon_11","mon_12","scientificname","code","WI"
"1",120.919167,22.925278,891616526,125,133,153,178,201,217,223,220,212,193,167,136,"Artemisia kawakamii",5,155.8
"2",120.840278,23.051944,891616601,79,86,104,128,152,167,173,171,162,144,119,90,"Artemisia kawakamii",5,97.5
"3",121.293333,23.105833,891637917,155,163,184,211,234,251,258,255,245,225,198,166,"Artemisia kawakamii",5,194.5
"4",120.9,23.216667,1821883292,20,25,40,62,86,103,109,107,98,79,56,30,"Artemisia kawakamii",5,30
"5",120.85,23.22,1086009785,94,102,122,148,172,189,196,193,184,163,137,105,"Artemisia kawakamii",5,120.5
"6",120.907778,23.231111,891616880,18,23,37,59,84,101,106,105,95,77,53,27,"Artemisia kawakamii",5,28
"7",120.908611,23.231667,891603996,5,10,23,44,69,85,91,89,80,62,39,14,"Artemisia kawakamii",5,17.6
"8",120.91,23.24,1085981877,17,23,37,59,84,100,106,104,95,76,53,27,"Artemisia kawakamii",5,27.7
"9",120.975278,23.269444,891589054,37,43,59,81,106,123,129,127,118,99,75,47,"Artemisia kawakamii",5,46.7
"10",120.975278,23.269444,891592945,37,43,59,81,106,123,129,127,118,99,75,47,"Artemisia kawakamii",5,46.7
"11",120.913056,23.278889,891621464,64,71,89,114,139,156,162,160,150,130,105,75,"Artemisia kawakamii",5,81.5
"12",120.960556,23.468333,891653871,-8,-3,10,32,58,76,82,80,70,51,27,2,"Artemisia kawakamii",5,11.7
"13",120.915833,23.471389,891646557,34,41,57,82,107,125,132,130,120,99,74,45,"Artemisia kawakamii",5,47.6
"14",120.915833,23.471389,891646594,34,41,57,82,107,125,132,130,120,99,74,45,"Artemisia kawakamii",5,47.6
"15",120.915833,23.471389,891646596,34,41,57,82,107,125,132,130,120,99,74,45,"Artemisia kawakamii",5,47.6
"16",120.994444,23.503611,891596074,52,59,77,102,128,146,153,151,140,119,93,63,"Artemisia kawakamii",5,68.3
"17",121,23.5,1086035563,52,59,77,102,129,147,154,151,141,120,94,64,"Artemisia kawakamii",5,69
"18",121.06,23.517222,891653875,1,6,19,41,68,86,92,90,80,60,37,11,"Artemisia kawakamii",5,17.6
"19",120.918056,23.518611,891596975,102,111,133,162,188,206,214,211,201,178,149,115,"Artemisia kawakamii",5,137
"20",120.918056,23.518611,891596976,102,111,133,162,188,206,214,211,201,178,149,115,"Artemisia kawakamii",5,137
"21",120.780842,23.52882,1086058035,60,67,86,113,139,157,164,162,152,131,104,72,"Artemisia kawakamii",5,80.7
"22",120.785228,23.529639,1086058024,59,66,84,111,137,155,163,160,150,129,102,70,"Artemisia kawakamii",5,78.6
"23",120.788733,23.530276,1086058032,59,66,84,111,137,155,163,160,150,129,102,70,"Artemisia kawakamii",5,78.6
"24",120.791655,23.533802,1086058065,52,59,77,104,130,148,155,153,143,122,95,64,"Artemisia kawakamii",5,70.2
"25",120.811908,23.554958,1086058092,52,59,77,103,130,148,155,153,143,121,95,64,"Artemisia kawakamii",5,70
"26",121.261944,23.998056,891602002,15,20,35,61,90,111,120,117,104,81,56,27,"Artemisia kawakamii",5,34
"27",121.00001,24.00092,622280556,104,112,136,169,197,219,229,226,213,186,156,119,"Artemisia kawakamii",5,146.6
"28",121.2775,24.055833,891653880,8,12,27,53,82,103,112,109,96,73,48,20,"Artemisia kawakamii",5,27.8
"29",121.2775,24.055833,891653887,8,12,27,53,82,103,112,109,96,73,48,20,"Artemisia kawakamii",5,27.8
"30",121.2775,24.055833,891653890,8,12,27,53,82,103,112,109,96,73,48,20,"Artemisia kawakamii",5,27.8
"31",121.17,24.12,1085997924,94,102,124,157,186,209,220,216,202,175,145,109,"Artemisia kawakamii",5,133.9
"32",121.266667,24.133333,1821887965,5,9,24,50,79,101,110,107,94,71,45,17,"Artemisia kawakamii",5,26.2
"33",121.283333,24.133333,1821887209,9,13,28,54,83,106,114,112,99,75,49,21,"Artemisia kawakamii",5,29.3
"34",121.261944,24.134167,891597427,23,28,44,72,101,123,133,130,116,92,66,36,"Artemisia kawakamii",5,43.3
"35",121.261944,24.134167,891624541,23,28,44,72,101,123,133,130,116,92,66,36,"Artemisia kawakamii",5,43.3
"36",121.280828,24.135554,164279470,3,7,22,48,77,99,108,105,92,69,43,15,"Artemisia kawakamii",5,25
"37",121.266667,24.1375,891631376,5,9,24,50,79,101,110,107,94,71,45,17,"Artemisia kawakamii",5,26.2
"38",121.27,24.14,1085968311,5,9,24,50,79,101,110,107,94,71,45,17,"Artemisia kawakamii",5,26.2
"39",121.284608,24.152265,2283134648,12,16,31,58,87,110,118,116,102,79,53,24,"Artemisia kawakamii",5,32.3
"40",121.608333,24.155556,891615954,139,147,171,204,232,257,269,264,248,221,190,153,"Artemisia kawakamii",5,189.5
"41",121.608333,24.155556,891615252,139,147,171,204,232,257,269,264,248,221,190,153,"Artemisia kawakamii",5,189.5
"42",121.608333,24.155556,891615705,139,147,171,204,232,257,269,264,248,221,190,153,"Artemisia kawakamii",5,189.5
"43",121.287019,24.156436,1822172189,12,16,31,58,87,110,118,116,102,79,53,24,"Artemisia kawakamii",5,32.3
"44",121.286903,24.157561,1822172159,12,16,31,58,87,110,118,116,102,79,53,24,"Artemisia kawakamii",5,32.3
"45",121.284722,24.161667,891597279,16,20,36,62,92,114,123,121,107,83,57,28,"Artemisia kawakamii",5,35.9
"46",121.285278,24.161667,891627472,16,20,36,62,92,114,123,121,107,83,57,28,"Artemisia kawakamii",5,35.9
"47",121.285278,24.161667,891627494,16,20,36,62,92,114,123,121,107,83,57,28,"Artemisia kawakamii",5,35.9
"48",121.283333,24.179167,1821818883,1,5,19,45,75,97,106,103,90,67,41,13,"Artemisia kawakamii",5,23.8
"49",121.283333,24.179167,1821822985,1,5,19,45,75,97,106,103,90,67,41,13,"Artemisia kawakamii",5,23.8
"50",121.283333,24.179167,1821823110,1,5,19,45,75,97,106,103,90,67,41,13,"Artemisia kawakamii",5,23.8
"51",121.35,24.179167,891616288,57,63,82,111,140,164,174,170,156,131,103,70,"Artemisia kawakamii",5,82.1
"52",121.333333,24.183333,1821874676,43,48,66,94,124,147,157,154,140,115,87,56,"Artemisia kawakamii",5,64
"53",121.333333,24.183333,1821874936,43,48,66,94,124,147,157,154,140,115,87,56,"Artemisia kawakamii",5,64
"54",121.412778,24.304444,891649042,11,14,29,55,85,108,118,115,101,77,51,23,"Artemisia kawakamii",5,31
"55",121.412778,24.304444,891653906,11,14,29,55,85,108,118,115,101,77,51,23,"Artemisia kawakamii",5,31
"56",121.436766,24.348779,1086058025,-1,2,15,41,70,94,103,101,87,63,38,11,"Artemisia kawakamii",5,21.8
"57",121.45,24.35,1821867463,-5,-2,11,36,65,89,98,96,82,59,34,7,"Artemisia kawakamii",5,18.9
"58",121.460647,24.357286,1086058063,-1,2,15,41,71,94,103,101,87,64,38,11,"Artemisia kawakamii",5,22
"59",121.462827,24.358002,1086058073,-1,2,15,41,71,94,103,101,87,64,38,11,"Artemisia kawakamii",5,22
"60",121.458319,24.35946,1086058049,4,7,21,47,77,100,110,107,93,70,44,16,"Artemisia kawakamii",5,25.7
"61",121.455978,24.360912,1086058009,-10,-7,6,31,61,84,93,91,77,54,29,2,"Artemisia kawakamii",5,16
"62",121.43,24.36,1085993231,5,9,23,49,79,102,112,109,95,71,46,18,"Artemisia kawakamii",5,26.8
"63",121.443333,24.361667,891633884,-12,-10,3,27,57,80,89,87,74,51,26,-1,"Artemisia kawakamii",5,13.8
"64",121.443333,24.361667,891592737,-12,-10,3,27,57,80,89,87,74,51,26,-1,"Artemisia kawakamii",5,13.8
"65",121.443333,24.361667,891615741,-12,-10,3,27,57,80,89,87,74,51,26,-1,"Artemisia kawakamii",5,13.8
"66",121.443333,24.361667,891653888,-12,-10,3,27,57,80,89,87,74,51,26,-1,"Artemisia kawakamii",5,13.8
"67",121.443333,24.361667,891617145,-12,-10,3,27,57,80,89,87,74,51,26,-1,"Artemisia kawakamii",5,13.8
"68",121.443333,24.361667,891622168,-12,-10,3,27,57,80,89,87,74,51,26,-1,"Artemisia kawakamii",5,13.8
"69",121.436944,24.365556,891653868,-11,-9,4,29,58,82,91,89,75,52,27,1,"Artemisia kawakamii",5,14.7
"70",121.436944,24.365556,891653873,-11,-9,4,29,58,82,91,89,75,52,27,1,"Artemisia kawakamii",5,14.7
"71",121.436944,24.365556,891653894,-11,-9,4,29,58,82,91,89,75,52,27,1,"Artemisia kawakamii",5,14.7
"72",121.435278,24.366111,891608130,-11,-9,4,29,58,82,91,89,75,52,27,1,"Artemisia kawakamii",5,14.7
"73",121.44,24.37,1085968747,-2,1,14,40,70,93,102,100,86,63,37,10,"Artemisia kawakamii",5,21.4
"74",121.44,24.37,1085971973,-2,1,14,40,70,93,102,100,86,63,37,10,"Artemisia kawakamii",5,21.4
"75",121.44,24.37,1085982477,-2,1,14,40,70,93,102,100,86,63,37,10,"Artemisia kawakamii",5,21.4
"76",121.44,24.37,1085989207,-2,1,14,40,70,93,102,100,86,63,37,10,"Artemisia kawakamii",5,21.4
"77",121.441484,24.373686,1086058034,-2,1,14,40,70,93,102,100,86,63,37,10,"Artemisia kawakamii",5,21.4
"78",121.235556,24.374444,891653850,0,3,17,44,74,97,107,105,91,67,41,13,"Artemisia kawakamii",5,24.1
"79",121.440857,24.374681,1086058037,-2,1,14,40,70,93,102,100,86,63,37,10,"Artemisia kawakamii",5,21.4
"80",121.413333,24.378611,891646625,16,20,35,62,92,116,126,123,109,84,58,29,"Artemisia kawakamii",5,37
"81",121.413333,24.378611,891646678,16,20,35,62,92,116,126,123,109,84,58,29,"Artemisia kawakamii",5,37
