"","decimalLongitude","decimalLatitude","key","mon_1","mon_2","mon_3","mon_4","mon_5","mon_6","mon_7","mon_8","mon_9","mon_10","mon_11","mon_12","scientificname","code","WI"
"1",120.716667,21.966667,1821805340,203,210,227,249,267,279,284,281,274,261,240,213,"Athyrium reflexipinnum",6,238.8
"2",120.790612,22.422248,622281349,121,127,143,164,184,198,203,200,193,178,156,130,"Athyrium reflexipinnum",6,139.7
"3",120.883333,22.733333,1821805148,81,88,103,125,147,161,167,165,156,140,117,91,"Athyrium reflexipinnum",6,94.1
"4",120.883333,22.733333,1821830453,81,88,103,125,147,161,167,165,156,140,117,91,"Athyrium reflexipinnum",6,94.1
"5",120.2,22.983333,1821789348,181,189,211,240,262,278,286,283,276,257,230,195,"Athyrium reflexipinnum",6,228.8
"6",120.2,22.983333,1821789349,181,189,211,240,262,278,286,283,276,257,230,195,"Athyrium reflexipinnum",6,228.8
"7",120.166667,23.05,1821866723,180,188,211,239,262,278,287,284,277,257,229,195,"Athyrium reflexipinnum",6,228.7
"8",120.937778,23.249167,1821858074,23,28,43,65,90,107,112,111,101,83,59,33,"Athyrium reflexipinnum",6,32.8
"9",120.937778,23.249167,1821882087,23,28,43,65,90,107,112,111,101,83,59,33,"Athyrium reflexipinnum",6,32.8
"10",120.937778,23.249167,1821882382,23,28,43,65,90,107,112,111,101,83,59,33,"Athyrium reflexipinnum",6,32.8
"11",120.93,23.26,1085985997,64,71,88,113,138,155,161,159,149,130,104,75,"Athyrium reflexipinnum",6,80.7
"12",121.013913,23.293337,2549976125,17,23,37,59,83,101,106,104,95,76,53,27,"Athyrium reflexipinnum",6,27.7
"13",120.919722,23.460833,1821859943,56,63,81,106,132,150,157,155,145,124,98,67,"Athyrium reflexipinnum",6,73.4
"14",120.919722,23.460833,1821859953,56,63,81,106,132,150,157,155,145,124,98,67,"Athyrium reflexipinnum",6,73.4
"15",120.960556,23.468333,891703097,-8,-3,10,32,58,76,82,80,70,51,27,2,"Athyrium reflexipinnum",6,11.7
"16",120.93,23.47,1085988152,13,18,33,56,82,100,106,104,94,74,50,23,"Athyrium reflexipinnum",6,26.6
"17",121.216667,23.766667,1821805788,43,49,66,92,119,140,147,145,133,110,84,54,"Athyrium reflexipinnum",6,59
"18",121.193072,24.108628,622281348,56,62,81,111,140,163,172,169,156,130,102,69,"Athyrium reflexipinnum",6,81.1
"19",121.311378,24.120453,1822172200,27,32,48,76,105,127,136,133,120,96,69,40,"Athyrium reflexipinnum",6,46.2
"20",121.26,24.13,1085976763,23,27,43,70,100,122,131,128,115,91,65,35,"Athyrium reflexipinnum",6,42.2
"21",121.283333,24.133333,1821886780,9,13,28,54,83,106,114,112,99,75,49,21,"Athyrium reflexipinnum",6,29.3
"22",121.262222,24.134167,1821785937,23,28,44,72,101,123,133,130,116,92,66,36,"Athyrium reflexipinnum",6,43.3
"23",121.262222,24.134167,1821785985,23,28,44,72,101,123,133,130,116,92,66,36,"Athyrium reflexipinnum",6,43.3
"24",121.262222,24.134167,1821864913,23,28,44,72,101,123,133,130,116,92,66,36,"Athyrium reflexipinnum",6,43.3
"25",121.262222,24.134167,1821864941,23,28,44,72,101,123,133,130,116,92,66,36,"Athyrium reflexipinnum",6,43.3
"26",121.262222,24.134167,1821882701,23,28,44,72,101,123,133,130,116,92,66,36,"Athyrium reflexipinnum",6,43.3
"27",121.275161,24.135869,1822172194,3,7,22,48,77,99,108,105,92,69,43,15,"Athyrium reflexipinnum",6,25
"28",121.28292,24.13978,1056888168,3,7,22,48,77,99,108,105,92,69,43,15,"Athyrium reflexipinnum",6,25
"29",121.27,24.14,1085966692,5,9,24,50,79,101,110,107,94,71,45,17,"Athyrium reflexipinnum",6,26.2
"30",121.283333,24.15,1821889272,12,16,31,58,87,110,118,116,102,79,53,24,"Athyrium reflexipinnum",6,32.3
"31",121.013889,24.270278,1821986874,34,38,56,85,115,138,148,145,132,107,79,48,"Athyrium reflexipinnum",6,55.5
"32",121.455978,24.360912,1086123006,-10,-7,6,31,61,84,93,91,77,54,29,2,"Athyrium reflexipinnum",6,16
"33",121.444312,24.364739,1086123010,-12,-10,3,27,57,80,89,87,74,51,26,-1,"Athyrium reflexipinnum",6,13.8
"34",121.4,24.366667,1821776772,38,42,59,87,117,142,152,149,135,109,82,51,"Athyrium reflexipinnum",6,58.3
"35",121.433333,24.366667,2427475201,-2,1,14,40,70,93,102,100,86,63,37,10,"Athyrium reflexipinnum",6,21.4
"36",121.441815,24.366733,1086123035,-10,-7,5,30,60,84,93,90,77,54,29,2,"Athyrium reflexipinnum",6,15.8
"37",121.399444,24.379167,1821866642,35,40,56,85,115,139,150,146,132,107,79,49,"Athyrium reflexipinnum",6,55.9
"38",121.38,24.38,1085971729,53,58,76,106,136,161,171,168,153,127,99,67,"Athyrium reflexipinnum",6,77.5
"39",121.207178,24.382223,1086123002,1,4,18,45,76,99,109,106,93,69,43,14,"Athyrium reflexipinnum",6,25.2
"40",121.432961,24.383281,1086123008,3,6,20,46,76,100,109,106,93,69,43,15,"Athyrium reflexipinnum",6,25.3
"41",121.214361,24.385545,1086123025,-4,-2,12,38,69,92,102,100,86,62,36,8,"Athyrium reflexipinnum",6,21.1
"42",121.213868,24.385834,1086123037,-4,-2,12,38,69,92,102,100,86,62,36,8,"Athyrium reflexipinnum",6,21.1
"43",121.212823,24.385836,1086122999,-4,-2,12,38,69,92,102,100,86,62,36,8,"Athyrium reflexipinnum",6,21.1
"44",121.213524,24.386088,1086123020,-4,-2,12,38,69,92,102,100,86,62,36,8,"Athyrium reflexipinnum",6,21.1
"45",121.215387,24.386302,1086122995,-4,-2,12,38,69,92,102,100,86,62,36,8,"Athyrium reflexipinnum",6,21.1
"46",121.215043,24.386835,1086122981,-4,-2,12,38,69,92,102,100,86,62,36,8,"Athyrium reflexipinnum",6,21.1
"47",121.2174,24.386913,1086122996,-10,-7,6,32,62,86,95,93,79,56,30,2,"Athyrium reflexipinnum",6,17.1
"48",121.215952,24.387673,1086122997,-4,-2,12,38,69,92,102,100,86,62,36,8,"Athyrium reflexipinnum",6,21.1
"49",121.212826,24.387687,1086122986,-4,-2,12,38,69,92,102,100,86,62,36,8,"Athyrium reflexipinnum",6,21.1
"50",121.216948,24.388223,1086123005,-10,-7,6,32,62,86,95,93,79,56,30,2,"Athyrium reflexipinnum",6,17.1
"51",121.209476,24.388784,1086123009,-4,-2,12,38,69,92,102,100,86,62,36,8,"Athyrium reflexipinnum",6,21.1
"52",121.21206,24.38897,1086123016,-4,-2,12,38,69,92,102,100,86,62,36,8,"Athyrium reflexipinnum",6,21.1
"53",121.210809,24.390091,1086122985,-4,-2,12,38,69,92,102,100,86,62,36,8,"Athyrium reflexipinnum",6,21.1
"54",121.24,24.39,1085989990,-19,-17,-5,21,51,74,83,81,68,45,20,-7,"Athyrium reflexipinnum",6,10.7
"55",121.236667,24.393889,1821774177,-15,-12,0,26,56,80,89,87,74,50,25,-2,"Athyrium reflexipinnum",6,13.6
"56",121.433333,24.4,1821777008,18,22,37,64,94,118,128,125,111,86,60,31,"Athyrium reflexipinnum",6,38.6
"57",120.75,24.433333,1821814327,133,139,163,199,230,254,268,265,251,222,190,150,"Athyrium reflexipinnum",6,186.4
"58",121.25,24.45,1821873091,0,2,16,43,73,97,107,105,91,67,41,12,"Athyrium reflexipinnum",6,24
"59",121.25,24.45,1821877864,0,2,16,43,73,97,107,105,91,67,41,12,"Athyrium reflexipinnum",6,24
"60",121.248577,24.459747,1086123018,11,14,29,56,87,111,121,119,105,80,54,24,"Athyrium reflexipinnum",6,33.3
"61",121.249013,24.460722,1086123004,11,14,29,56,87,111,121,119,105,80,54,24,"Athyrium reflexipinnum",6,33.3
"62",121.25,24.472222,1821775866,11,14,28,56,86,111,121,118,104,80,53,24,"Athyrium reflexipinnum",6,32.9
"63",121.6,24.52,1085989450,66,71,88,118,148,173,185,182,166,140,112,80,"Athyrium reflexipinnum",6,92.9
"64",121.41,24.58,1085964008,73,78,97,128,159,185,198,194,178,151,122,88,"Athyrium reflexipinnum",6,105.1
"65",121.76,24.75,2417479911,155,161,184,219,250,278,293,289,271,241,210,172,"Athyrium reflexipinnum",6,212.3
