"","decimalLongitude","decimalLatitude","key","mon_1","mon_2","mon_3","mon_4","mon_5","mon_6","mon_7","mon_8","mon_9","mon_10","mon_11","mon_12","scientificname","code","WI"
"1",120.74,22.61,1086016123,101,108,124,146,167,181,186,184,177,161,138,111,"Berberis kawakamii",7,118.4
"2",120.750856,22.616324,1086054986,50,55,68,87,109,123,127,126,118,103,82,59,"Berberis kawakamii",7,50.7
"3",120.751663,22.616415,1086055007,50,55,68,87,109,123,127,126,118,103,82,59,"Berberis kawakamii",7,50.7
"4",120.752222,22.630556,891683466,65,71,85,105,127,141,146,144,136,121,99,75,"Berberis kawakamii",7,71.5
"5",120.752222,22.630556,891683503,65,71,85,105,127,141,146,144,136,121,99,75,"Berberis kawakamii",7,71.5
"6",120.752222,22.630556,891683423,65,71,85,105,127,141,146,144,136,121,99,75,"Berberis kawakamii",7,71.5
"7",120.46,22.65,2417505173,189,197,219,245,266,280,287,284,277,260,234,201,"Berberis kawakamii",7,233.9
"8",120.856166,22.868689,1086054929,75,82,98,120,143,158,164,162,153,136,113,85,"Berberis kawakamii",7,88.9
"9",120.852039,22.872478,1086054965,75,82,98,120,143,158,164,162,153,136,113,85,"Berberis kawakamii",7,88.9
"10",120.852039,22.872478,1086054972,75,82,98,120,143,158,164,162,153,136,113,85,"Berberis kawakamii",7,88.9
"11",120.809141,22.988839,1086054973,63,69,86,108,132,147,153,151,142,125,101,73,"Berberis kawakamii",7,75
"12",120.749137,23.082015,622281704,126,135,156,183,206,222,229,227,218,198,171,138,"Berberis kawakamii",7,160.9
"13",120.749137,23.082015,622281705,126,135,156,183,206,222,229,227,218,198,171,138,"Berberis kawakamii",7,160.9
"14",120.758889,23.153333,1821816531,148,158,181,210,234,250,257,254,245,225,196,161,"Berberis kawakamii",7,191.9
"15",120.901944,23.220833,1821804941,20,25,40,62,86,103,109,107,98,79,56,30,"Berberis kawakamii",7,30
"16",120.85,23.22,1086006321,94,102,122,148,172,189,196,193,184,163,137,105,"Berberis kawakamii",7,120.5
"17",120.85,23.22,1086009687,94,102,122,148,172,189,196,193,184,163,137,105,"Berberis kawakamii",7,120.5
"18",120.966667,23.25,1821874566,69,76,94,119,143,160,167,164,155,135,110,80,"Berberis kawakamii",7,87.2
"19",120.94,23.26,1086012601,47,54,70,94,118,135,141,139,130,111,86,58,"Berberis kawakamii",7,58.6
"20",120.984513,23.262605,2529288933,33,38,53,76,101,118,124,122,112,93,69,43,"Berberis kawakamii",7,41.8
"21",120.938889,23.266667,1821808205,62,69,86,111,136,153,159,157,147,127,102,73,"Berberis kawakamii",7,78.2
"22",120.966667,23.266667,1821807487,38,44,60,83,107,124,130,128,119,100,75,48,"Berberis kawakamii",7,47.6
"23",121.116667,23.266667,1821873340,101,108,128,154,178,195,202,200,189,169,143,112,"Berberis kawakamii",7,127.9
"24",121.266667,23.266667,1821801990,154,163,185,213,237,255,263,260,249,227,200,166,"Berberis kawakamii",7,197.2
"25",121.266667,23.266667,1821802659,154,163,185,213,237,255,263,260,249,227,200,166,"Berberis kawakamii",7,197.2
"26",121.266667,23.266667,1821808879,154,163,185,213,237,255,263,260,249,227,200,166,"Berberis kawakamii",7,197.2
"27",121.266667,23.266667,1821808891,154,163,185,213,237,255,263,260,249,227,200,166,"Berberis kawakamii",7,197.2
"28",120.95,23.27,1085984968,37,43,59,82,107,124,130,128,118,99,75,47,"Berberis kawakamii",7,47.2
"29",121.27,23.27,1086004580,154,163,185,213,237,255,263,260,249,227,200,166,"Berberis kawakamii",7,197.2
"30",120.95,23.28,1085982406,35,40,56,79,104,121,127,125,115,96,72,45,"Berberis kawakamii",7,44.5
"31",120.919722,23.460833,1821807813,56,63,81,106,132,150,157,155,145,124,98,67,"Berberis kawakamii",7,73.4
"32",120.919722,23.460833,1821807829,56,63,81,106,132,150,157,155,145,124,98,67,"Berberis kawakamii",7,73.4
