"","decimalLongitude","decimalLatitude","key","mon_1","mon_2","mon_3","mon_4","mon_5","mon_6","mon_7","mon_8","mon_9","mon_10","mon_11","mon_12","scientificname","code","WI"
"1",120.829444,22.179444,1821817313,179,186,203,225,244,256,262,259,252,237,216,189,"Berberis morrisonensis",8,210.8
"2",121.14,22.76,2417385842,186,195,217,243,264,280,286,283,274,256,230,198,"Berberis morrisonensis",8,231.2
"3",120.901944,23.220833,1821805141,20,25,40,62,86,103,109,107,98,79,56,30,"Berberis morrisonensis",8,30
"4",120.901944,23.220833,1821820172,20,25,40,62,86,103,109,107,98,79,56,30,"Berberis morrisonensis",8,30
"5",120.85,23.22,1086006125,94,102,122,148,172,189,196,193,184,163,137,105,"Berberis morrisonensis",8,120.5
"6",120.937778,23.249167,1821882159,23,28,43,65,90,107,112,111,101,83,59,33,"Berberis morrisonensis",8,32.8
"7",120.91,23.26,1086007911,50,56,73,97,122,138,145,143,133,114,89,60,"Berberis morrisonensis",8,62
"8",121.116667,23.266667,1821820320,101,108,128,154,178,195,202,200,189,169,143,112,"Berberis morrisonensis",8,127.9
"9",120.987118,23.267915,2576270121,17,23,37,58,83,100,106,104,94,76,53,27,"Berberis morrisonensis",8,27.4
"10",120.986637,23.272354,2576437994,17,23,37,58,83,100,106,104,94,76,53,27,"Berberis morrisonensis",8,27.4
"11",120.916667,23.45,574777912,50,57,75,100,126,144,150,148,138,117,91,62,"Berberis morrisonensis",8,65.8
"12",120.916667,23.45,574820764,50,57,75,100,126,144,150,148,138,117,91,62,"Berberis morrisonensis",8,65.8
"13",120.933333,23.45,574659515,26,32,48,72,97,115,122,120,110,90,65,37,"Berberis morrisonensis",8,39.1
"14",120.933333,23.45,575215241,26,32,48,72,97,115,122,120,110,90,65,37,"Berberis morrisonensis",8,39.1
"15",120.933333,23.45,1821804562,26,32,48,72,97,115,122,120,110,90,65,37,"Berberis morrisonensis",8,39.1
"16",120.954857,23.456713,2429330769,-5,0,13,35,61,79,85,83,73,54,31,5,"Berberis morrisonensis",8,13.5
"17",120.953987,23.458456,2331892602,-6,-2,11,33,59,77,83,81,71,52,29,3,"Berberis morrisonensis",8,12.3
"18",120.919722,23.460833,1821807634,56,63,81,106,132,150,157,155,145,124,98,67,"Berberis morrisonensis",8,73.4
