"","decimalLongitude","decimalLatitude","key","mon_1","mon_2","mon_3","mon_4","mon_5","mon_6","mon_7","mon_8","mon_9","mon_10","mon_11","mon_12","scientificname","code","WI"
"1",77,20,1098978218,213,240,281,319,335,298,266,257,261,255,228,206,"Boschniakia himalaica",9,255.9
"2",120.954453,23.462759,1880656575,-6,-2,11,33,59,77,83,81,71,52,29,3,"Boschniakia himalaica",9,12.3
"3",121.33,24.11,1085967193,-1,2,16,41,70,92,101,98,85,63,38,10,"Boschniakia himalaica",9,20.9
"4",121.683333,24.216667,1821890921,147,155,178,212,240,266,278,273,257,229,199,161,"Boschniakia himalaica",9,199.5
"5",120.942663,24.248025,1990590157,66,72,91,122,152,175,186,183,170,144,115,80,"Boschniakia himalaica",9,95.6
"6",121.41,24.31,1085970325,0,3,17,42,72,95,105,102,88,65,40,12,"Boschniakia himalaica",9,22.7
"7",121.433333,24.35,1821906814,-6,-3,10,35,65,88,97,95,81,58,33,6,"Boschniakia himalaica",9,18.4
"8",121.441563,24.358855,1899763499,-12,-10,3,27,57,80,89,87,74,51,26,-1,"Boschniakia himalaica",9,13.8
"9",121.441815,24.366733,1086096806,-10,-7,5,30,60,84,93,90,77,54,29,2,"Boschniakia himalaica",9,15.8
"10",121.44,24.37,1085986287,-2,1,14,40,70,93,102,100,86,63,37,10,"Boschniakia himalaica",9,21.4
"11",121.210275,24.374042,2579232963,0,3,17,44,74,98,107,105,91,67,41,13,"Boschniakia himalaica",9,24.2
"12",121.211792,24.375422,2579250965,-9,-6,7,33,63,87,96,94,81,57,31,4,"Boschniakia himalaica",9,17.8
"13",121.216667,24.383333,1821883076,-10,-7,6,32,62,86,95,93,79,56,30,2,"Boschniakia himalaica",9,17.1
"14",121.272031,24.38875,2350337642,10,13,28,55,86,110,119,117,103,79,52,23,"Boschniakia himalaica",9,32.1
"15",121.268258,24.388983,2422997549,10,13,28,55,86,110,119,117,103,79,52,23,"Boschniakia himalaica",9,32.1
"16",120.947222,24.423611,1821826285,101,108,130,164,195,219,232,229,214,186,155,118,"Boschniakia himalaica",9,145.1
"17",121.25,24.45,1821873425,0,2,16,43,73,97,107,105,91,67,41,12,"Boschniakia himalaica",9,24
"18",121.25,24.47,1085986598,11,14,28,56,86,111,121,118,104,80,53,24,"Boschniakia himalaica",9,32.9
"19",121.25,24.472222,1821774527,11,14,28,56,86,111,121,118,104,80,53,24,"Boschniakia himalaica",9,32.9
"20",121.195833,24.476389,1821777614,53,58,76,107,138,163,174,171,156,130,101,68,"Boschniakia himalaica",9,79.5
"21",121.016667,24.516667,1821775222,76,80,100,133,164,189,202,199,184,157,127,91,"Boschniakia himalaica",9,110.2
"22",121.016667,24.516667,1821886102,76,80,100,133,164,189,202,199,184,157,127,91,"Boschniakia himalaica",9,110.2
"23",121.39,24.58,1085968190,55,60,77,108,139,164,177,173,158,131,103,70,"Boschniakia himalaica",9,81.5
"24",100.709787,24.615701,1303977816,105,127,161,193,212,220,216,215,202,180,141,108,"Boschniakia himalaica",9,148
"25",100.709787,24.615701,1304030678,105,127,161,193,212,220,216,215,202,180,141,108,"Boschniakia himalaica",9,148
"26",121.4,24.76,1085987025,77,82,100,133,164,191,205,202,185,157,128,93,"Boschniakia himalaica",9,111.7
"27",103.989855,24.828524,1030801768,79,104,138,171,190,202,204,198,179,151,115,81,"Boschniakia himalaica",9,121.2
"28",99.958012,25.670153,919592794,95,116,149,181,213,227,224,222,208,182,137,102,"Boschniakia himalaica",9,145.6
"29",99.958012,25.670153,919592781,95,116,149,181,213,227,224,222,208,182,137,102,"Boschniakia himalaica",9,145.6
"30",99.958012,25.670153,919592796,95,116,149,181,213,227,224,222,208,182,137,102,"Boschniakia himalaica",9,145.6
"31",100.033,25.7167,147018320,34,53,81,112,147,165,163,159,145,118,74,40,"Boschniakia himalaica",9,71.7
"32",102.593465,25.869611,1031001590,69,95,129,165,184,191,191,187,169,142,103,70,"Boschniakia himalaica",9,109.5
"33",102.593465,25.869611,1303977777,69,95,129,165,184,191,191,187,169,142,103,70,"Boschniakia himalaica",9,109.5
"34",102.593465,25.869611,1303977796,69,95,129,165,184,191,191,187,169,142,103,70,"Boschniakia himalaica",9,109.5
"35",102.593465,25.869611,1304030752,69,95,129,165,184,191,191,187,169,142,103,70,"Boschniakia himalaica",9,109.5
"36",102.593465,25.869611,1304030781,69,95,129,165,184,191,191,187,169,142,103,70,"Boschniakia himalaica",9,109.5
"37",102.593465,25.869611,1304030820,69,95,129,165,184,191,191,187,169,142,103,70,"Boschniakia himalaica",9,109.5
"38",102.593465,25.869611,919592755,69,95,129,165,184,191,191,187,169,142,103,70,"Boschniakia himalaica",9,109.5
"39",102.593465,25.869611,919592763,69,95,129,165,184,191,191,187,169,142,103,70,"Boschniakia himalaica",9,109.5
"40",99.761389,26.628611,1259147500,2,17,42,74,114,140,140,136,121,89,41,9,"Boschniakia himalaica",9,46.4
"41",99.720278,26.632778,1259147630,-26,-12,11,41,83,110,111,107,91,60,12,-20,"Boschniakia himalaica",9,26.2
"42",100.229945,26.876096,1303977720,46,64,94,129,166,187,186,181,164,134,86,53,"Boschniakia himalaica",9,89.4
"43",100.229945,26.876096,1304030772,46,64,94,129,166,187,186,181,164,134,86,53,"Boschniakia himalaica",9,89.4
"44",100.229945,26.876096,1304030811,46,64,94,129,166,187,186,181,164,134,86,53,"Boschniakia himalaica",9,89.4
"45",100.229945,26.876096,919592804,46,64,94,129,166,187,186,181,164,134,86,53,"Boschniakia himalaica",9,89.4
"46",100.229945,26.876096,1303977797,46,64,94,129,166,187,186,181,164,134,86,53,"Boschniakia himalaica",9,89.4
"47",100.229945,26.876096,1304030793,46,64,94,129,166,187,186,181,164,134,86,53,"Boschniakia himalaica",9,89.4
"48",99.28717,27.177166,1303977730,46,61,89,121,159,186,188,187,172,139,89,55,"Boschniakia himalaica",9,89.6
"49",99.28717,27.177166,1303977806,46,61,89,121,159,186,188,187,172,139,89,55,"Boschniakia himalaica",9,89.6
"50",99.28717,27.177166,1303977820,46,61,89,121,159,186,188,187,172,139,89,55,"Boschniakia himalaica",9,89.6
"51",99.28717,27.177166,1304030690,46,61,89,121,159,186,188,187,172,139,89,55,"Boschniakia himalaica",9,89.6
"52",99.28717,27.177166,1304030720,46,61,89,121,159,186,188,187,172,139,89,55,"Boschniakia himalaica",9,89.6
"53",99.28717,27.177166,1304030758,46,61,89,121,159,186,188,187,172,139,89,55,"Boschniakia himalaica",9,89.6
"54",99.28717,27.177166,1304030773,46,61,89,121,159,186,188,187,172,139,89,55,"Boschniakia himalaica",9,89.6
"55",99.28717,27.177166,1304030794,46,61,89,121,159,186,188,187,172,139,89,55,"Boschniakia himalaica",9,89.6
"56",99.28717,27.177166,1304030805,46,61,89,121,159,186,188,187,172,139,89,55,"Boschniakia himalaica",9,89.6
"57",99.28717,27.177166,919592792,46,61,89,121,159,186,188,187,172,139,89,55,"Boschniakia himalaica",9,89.6
