"","decimalLongitude","decimalLatitude","key","mon_1","mon_2","mon_3","mon_4","mon_5","mon_6","mon_7","mon_8","mon_9","mon_10","mon_11","mon_12","scientificname","code","WI"
"1",120.93,23.25,1085986526,43,49,65,88,113,130,136,134,124,105,81,53,"Brachypodium kawakamii",10,52.9
"2",120.95,23.266667,1821921493,37,43,59,82,107,124,130,128,118,99,75,47,"Brachypodium kawakamii",10,47.2
"3",120.94,23.45,1085972504,26,32,48,72,97,115,122,120,110,90,65,37,"Brachypodium kawakamii",10,39.1
"4",120.95,23.45,1085972447,-5,0,13,35,61,79,85,83,73,54,31,5,"Brachypodium kawakamii",10,13.5
"5",120.937778,23.4675,891638752,9,14,29,52,78,96,102,100,90,70,46,19,"Brachypodium kawakamii",10,23.8
"6",120.960556,23.468333,891635379,-8,-3,10,32,58,76,82,80,70,51,27,2,"Brachypodium kawakamii",10,11.7
"7",120.960556,23.468333,891635421,-8,-3,10,32,58,76,82,80,70,51,27,2,"Brachypodium kawakamii",10,11.7
"8",120.905556,23.468611,891618962,50,57,74,100,126,144,151,148,138,117,91,61,"Brachypodium kawakamii",10,65.7
"9",120.905556,23.468611,891644014,50,57,74,100,126,144,151,148,138,117,91,61,"Brachypodium kawakamii",10,65.7
"10",120.905556,23.468611,891644045,50,57,74,100,126,144,151,148,138,117,91,61,"Brachypodium kawakamii",10,65.7
"11",120.907778,23.470833,891602612,50,57,74,100,126,144,151,148,138,117,91,61,"Brachypodium kawakamii",10,65.7
"12",120.907778,23.470833,891644018,50,57,74,100,126,144,151,148,138,117,91,61,"Brachypodium kawakamii",10,65.7
"13",120.907778,23.470833,891644026,50,57,74,100,126,144,151,148,138,117,91,61,"Brachypodium kawakamii",10,65.7
"14",120.94,23.47,1085984043,9,14,29,52,78,96,102,100,90,70,46,19,"Brachypodium kawakamii",10,23.8
"15",120.95,23.47,1085972292,-4,1,14,36,62,80,86,85,74,55,32,6,"Brachypodium kawakamii",10,14.2
"16",120.988056,23.485556,891625830,29,35,51,75,101,119,126,124,113,93,68,40,"Brachypodium kawakamii",10,42
"17",120.988056,23.485556,891620689,29,35,51,75,101,119,126,124,113,93,68,40,"Brachypodium kawakamii",10,42
"18",120.903889,23.508333,891588177,68,75,95,122,148,166,173,171,160,139,112,80,"Brachypodium kawakamii",10,90.9
"19",120.914167,23.562778,891611261,112,121,144,174,199,218,227,223,213,189,160,125,"Brachypodium kawakamii",10,150.5
"20",121.2775,24.055833,891623237,8,12,27,53,82,103,112,109,96,73,48,20,"Brachypodium kawakamii",10,27.8
"21",121.42,24.08,1085992717,11,15,30,55,84,106,114,112,99,76,51,23,"Brachypodium kawakamii",10,29.7
"22",121.32,24.11,1086012541,16,21,36,62,92,114,123,120,107,83,57,28,"Brachypodium kawakamii",10,35.8
"23",121.34,24.11,1085993383,4,8,22,48,76,99,107,105,92,69,43,16,"Brachypodium kawakamii",10,24.8
"24",121.266667,24.133333,1821784272,5,9,24,50,79,101,110,107,94,71,45,17,"Brachypodium kawakamii",10,26.2
"25",121.261944,24.134167,891627806,23,28,44,72,101,123,133,130,116,92,66,36,"Brachypodium kawakamii",10,43.3
"26",121.261944,24.134167,891627790,23,28,44,72,101,123,133,130,116,92,66,36,"Brachypodium kawakamii",10,43.3
"27",121.261944,24.134167,891627808,23,28,44,72,101,123,133,130,116,92,66,36,"Brachypodium kawakamii",10,43.3
"28",121.261944,24.134167,891627815,23,28,44,72,101,123,133,130,116,92,66,36,"Brachypodium kawakamii",10,43.3
"29",121.261944,24.134167,891629794,23,28,44,72,101,123,133,130,116,92,66,36,"Brachypodium kawakamii",10,43.3
"30",121.262222,24.134167,1821845679,23,28,44,72,101,123,133,130,116,92,66,36,"Brachypodium kawakamii",10,43.3
"31",121.283667,24.14596,1901049434,12,16,31,58,87,110,118,116,103,79,53,24,"Brachypodium kawakamii",10,32.4
"32",121.27,24.15,1085994554,16,20,36,63,92,115,124,121,108,84,58,28,"Brachypodium kawakamii",10,36.5
"33",121.28,24.15,1086001594,8,12,27,53,83,105,114,111,98,75,49,20,"Brachypodium kawakamii",10,28.9
"34",121.286903,24.157561,1822172010,12,16,31,58,87,110,118,116,102,79,53,24,"Brachypodium kawakamii",10,32.3
"35",121.285278,24.161667,891588170,16,20,36,62,92,114,123,121,107,83,57,28,"Brachypodium kawakamii",10,35.9
"36",121.285278,24.161667,891644033,16,20,36,62,92,114,123,121,107,83,57,28,"Brachypodium kawakamii",10,35.9
"37",121.011667,24.278889,891612865,54,59,78,108,139,162,172,170,156,130,101,68,"Brachypodium kawakamii",10,79.7
"38",121.199995,24.340247,1086072932,-1,3,17,43,73,97,106,104,90,66,40,12,"Brachypodium kawakamii",10,23.6
"39",121.45,24.36,1085985370,-10,-7,6,31,61,84,93,91,77,54,29,2,"Brachypodium kawakamii",10,16
"40",121.45,24.36,1085987191,-10,-7,6,31,61,84,93,91,77,54,29,2,"Brachypodium kawakamii",10,16
"41",121.443333,24.361667,891625591,-12,-10,3,27,57,80,89,87,74,51,26,-1,"Brachypodium kawakamii",10,13.8
"42",121.443333,24.361667,891625601,-12,-10,3,27,57,80,89,87,74,51,26,-1,"Brachypodium kawakamii",10,13.8
"43",121.443333,24.361667,891625602,-12,-10,3,27,57,80,89,87,74,51,26,-1,"Brachypodium kawakamii",10,13.8
"44",121.443333,24.361667,891623231,-12,-10,3,27,57,80,89,87,74,51,26,-1,"Brachypodium kawakamii",10,13.8
"45",121.443333,24.361667,891644044,-12,-10,3,27,57,80,89,87,74,51,26,-1,"Brachypodium kawakamii",10,13.8
"46",121.447869,24.364458,1086072940,-12,-10,3,27,57,80,89,87,74,51,26,-1,"Brachypodium kawakamii",10,13.8
"47",121.433333,24.366667,2513529425,-2,1,14,40,70,93,102,100,86,63,37,10,"Brachypodium kawakamii",10,21.4
"48",121.433333,24.366667,2513530739,-2,1,14,40,70,93,102,100,86,63,37,10,"Brachypodium kawakamii",10,21.4
"49",121.440557,24.36791,1086072960,-2,1,14,40,70,93,102,100,86,63,37,10,"Brachypodium kawakamii",10,21.4
"50",121.439209,24.368546,1086072920,-2,1,14,40,70,93,102,100,86,63,37,10,"Brachypodium kawakamii",10,21.4
"51",121.224444,24.378611,891630630,-2,1,15,42,72,96,105,103,89,65,39,11,"Brachypodium kawakamii",10,23
"52",121.413333,24.378611,891643997,16,20,35,62,92,116,126,123,109,84,58,29,"Brachypodium kawakamii",10,37
"53",121.413333,24.378611,891644000,16,20,35,62,92,116,126,123,109,84,58,29,"Brachypodium kawakamii",10,37
"54",121.413333,24.378611,891644010,16,20,35,62,92,116,126,123,109,84,58,29,"Brachypodium kawakamii",10,37
"55",121.413333,24.378611,891644013,16,20,35,62,92,116,126,123,109,84,58,29,"Brachypodium kawakamii",10,37
"56",121.268889,24.380278,891628428,36,40,57,86,116,140,151,148,133,108,80,49,"Brachypodium kawakamii",10,56.9
"57",121.26,24.4,1086029842,13,16,31,58,89,113,123,120,106,82,55,26,"Brachypodium kawakamii",10,34.6
"58",121.433333,24.4,1821777069,18,22,37,64,94,118,128,125,111,86,60,31,"Brachypodium kawakamii",10,38.6
"59",121.288333,24.434722,622281987,16,20,35,62,93,117,128,125,111,86,59,29,"Brachypodium kawakamii",10,38.1
"60",121.37,24.44,1086010227,78,84,104,136,167,192,204,200,185,157,128,93,"Brachypodium kawakamii",10,112.8
"61",121.250833,24.463056,891633490,0,2,16,43,73,97,107,105,91,67,41,13,"Brachypodium kawakamii",10,24
"62",121.250833,24.463056,891635280,0,2,16,43,73,97,107,105,91,67,41,13,"Brachypodium kawakamii",10,24
"63",121.250833,24.463056,891635328,0,2,16,43,73,97,107,105,91,67,41,13,"Brachypodium kawakamii",10,24
"64",121.25,24.47,1085979278,11,14,28,56,86,111,121,118,104,80,53,24,"Brachypodium kawakamii",10,32.9
"65",121.151389,24.556944,891644025,91,96,117,151,182,208,221,217,202,174,143,107,"Brachypodium kawakamii",10,130.9
"66",121.385556,24.947778,891618626,146,152,175,213,245,274,291,287,269,238,205,165,"Brachypodium kawakamii",10,206
