"","decimalLongitude","decimalLatitude","key","mon_1","mon_2","mon_3","mon_4","mon_5","mon_6","mon_7","mon_8","mon_9","mon_10","mon_11","mon_12","scientificname","code","WI"
"1",121.366667,23.1,1821853076,179,188,210,237,260,277,285,282,271,251,224,191,"Carex chrysolepis",13,225.5
"2",120.85,23.22,1086010418,94,102,122,148,172,189,196,193,184,163,137,105,"Carex chrysolepis",13,120.5
"3",120.913889,23.263889,891606686,50,56,73,97,122,138,145,143,133,114,89,60,"Carex chrysolepis",13,62
"4",120.913889,23.263889,891606715,50,56,73,97,122,138,145,143,133,114,89,60,"Carex chrysolepis",13,62
"5",120.95,23.27,1085985680,37,43,59,82,107,124,130,128,118,99,75,47,"Carex chrysolepis",13,47.2
"6",120.95,23.27,1085987213,37,43,59,82,107,124,130,128,118,99,75,47,"Carex chrysolepis",13,47.2
"7",120.960556,23.468333,891700713,-8,-3,10,32,58,76,82,80,70,51,27,2,"Carex chrysolepis",13,11.7
"8",120.960556,23.468333,891700716,-8,-3,10,32,58,76,82,80,70,51,27,2,"Carex chrysolepis",13,11.7
"9",120.960556,23.468333,891697491,-8,-3,10,32,58,76,82,80,70,51,27,2,"Carex chrysolepis",13,11.7
"10",120.9,23.47,1085994711,50,57,74,100,126,144,151,148,138,117,91,61,"Carex chrysolepis",13,65.7
"11",120.91,23.47,1085987977,34,41,57,82,107,125,132,130,120,99,74,45,"Carex chrysolepis",13,47.6
"12",120.94,23.47,1085978096,9,14,29,52,78,96,102,100,90,70,46,19,"Carex chrysolepis",13,23.8
"13",120.908889,23.478333,891700728,28,34,51,75,101,119,125,123,113,93,68,39,"Carex chrysolepis",13,41.8
"14",120.99,23.51,1085998264,57,64,82,108,134,153,160,157,147,125,99,68,"Carex chrysolepis",13,75.4
"15",120.681181,23.570547,1086060148,139,149,173,205,231,249,258,255,245,222,191,153,"Carex chrysolepis",13,187
"16",120.702415,23.581606,1086060200,137,147,171,203,229,247,256,253,243,219,189,151,"Carex chrysolepis",13,184.5
"17",121.262222,24.134167,1821817148,23,28,44,72,101,123,133,130,116,92,66,36,"Carex chrysolepis",13,43.3
"18",121.262222,24.134167,1821817223,23,28,44,72,101,123,133,130,116,92,66,36,"Carex chrysolepis",13,43.3
"19",121.27,24.14,1085968857,5,9,24,50,79,101,110,107,94,71,45,17,"Carex chrysolepis",13,26.2
"20",121.27,24.15,1085968777,16,20,36,63,92,115,124,121,108,84,58,28,"Carex chrysolepis",13,36.5
"21",121.27,24.15,1085990951,16,20,36,63,92,115,124,121,108,84,58,28,"Carex chrysolepis",13,36.5
"22",121.286903,24.157561,1822171830,12,16,31,58,87,110,118,116,102,79,53,24,"Carex chrysolepis",13,32.3
"23",121.27,24.18,1085984486,12,16,31,58,87,110,119,116,103,79,53,24,"Carex chrysolepis",13,32.5
"24",121.434651,24.344181,1086060160,-1,2,15,41,70,94,103,101,87,63,38,11,"Carex chrysolepis",13,21.8
"25",121.436208,24.346975,1086060165,-1,2,15,41,70,94,103,101,87,63,38,11,"Carex chrysolepis",13,21.8
"26",121.436766,24.348779,1086060135,-1,2,15,41,70,94,103,101,87,63,38,11,"Carex chrysolepis",13,21.8
"27",121.460647,24.357286,1086060141,-1,2,15,41,71,94,103,101,87,64,38,11,"Carex chrysolepis",13,22
"28",121.441666,24.357975,1086060158,-4,-1,11,37,67,90,99,97,83,60,35,8,"Carex chrysolepis",13,19.6
"29",121.462827,24.358002,1086060115,-1,2,15,41,71,94,103,101,87,64,38,11,"Carex chrysolepis",13,22
"30",121.447732,24.359131,1086060086,-12,-10,3,27,57,80,89,87,74,51,26,-1,"Carex chrysolepis",13,13.8
"31",121.442232,24.359147,1086060113,-12,-10,3,27,57,80,89,87,74,51,26,-1,"Carex chrysolepis",13,13.8
"32",121.439769,24.359335,1086060088,-11,-9,4,29,58,82,91,89,75,52,27,1,"Carex chrysolepis",13,14.7
"33",121.458319,24.35946,1086060138,4,7,21,47,77,100,110,107,93,70,44,16,"Carex chrysolepis",13,25.7
"34",121.443337,24.359505,1086060117,-12,-10,3,27,57,80,89,87,74,51,26,-1,"Carex chrysolepis",13,13.8
"35",121.44461,24.359862,1086060225,-12,-10,3,27,57,80,89,87,74,51,26,-1,"Carex chrysolepis",13,13.8
"36",121.441359,24.360414,1086060095,-11,-9,4,29,58,82,91,89,75,52,27,1,"Carex chrysolepis",13,14.7
"37",121.455978,24.360912,1086060124,-10,-7,6,31,61,84,93,91,77,54,29,2,"Carex chrysolepis",13,16
"38",121.439538,24.360961,1086060109,-11,-9,4,29,58,82,91,89,75,52,27,1,"Carex chrysolepis",13,14.7
"39",121.45,24.36,1085986880,-10,-7,6,31,61,84,93,91,77,54,29,2,"Carex chrysolepis",13,16
"40",121.438791,24.361505,1086060136,-11,-9,4,29,58,82,91,89,75,52,27,1,"Carex chrysolepis",13,14.7
"41",121.443333,24.361667,891627620,-12,-10,3,27,57,80,89,87,74,51,26,-1,"Carex chrysolepis",13,13.8
"42",121.447309,24.362292,1086060176,-12,-10,3,27,57,80,89,87,74,51,26,-1,"Carex chrysolepis",13,13.8
"43",121.440263,24.362674,1086060156,-11,-9,4,29,58,82,91,89,75,52,27,1,"Carex chrysolepis",13,14.7
"44",121.44288,24.36393,1086060198,-12,-10,3,27,57,80,89,87,74,51,26,-1,"Carex chrysolepis",13,13.8
"45",121.446961,24.364189,1086060219,-12,-10,3,27,57,80,89,87,74,51,26,-1,"Carex chrysolepis",13,13.8
"46",121.440032,24.36421,1086060130,-11,-9,4,29,58,82,91,89,75,52,27,1,"Carex chrysolepis",13,14.7
"47",121.447869,24.364458,1086060175,-12,-10,3,27,57,80,89,87,74,51,26,-1,"Carex chrysolepis",13,13.8
"48",121.444312,24.364739,1086060190,-12,-10,3,27,57,80,89,87,74,51,26,-1,"Carex chrysolepis",13,13.8
"49",121.448629,24.364816,1086060107,-12,-10,3,27,57,80,89,87,74,51,26,-1,"Carex chrysolepis",13,13.8
"50",121.446846,24.365183,1086060096,-12,-10,3,27,57,80,89,87,74,51,26,-1,"Carex chrysolepis",13,13.8
"51",121.449657,24.365536,1086060131,-12,-10,3,27,57,80,89,87,74,51,26,-1,"Carex chrysolepis",13,13.8
"52",121.436944,24.365556,891700714,-11,-9,4,29,58,82,91,89,75,52,27,1,"Carex chrysolepis",13,14.7
"53",121.446613,24.366177,1086060102,-12,-10,3,27,57,80,89,87,74,51,26,-1,"Carex chrysolepis",13,13.8
"54",121.448635,24.366351,1086060150,-12,-10,3,27,57,80,89,87,74,51,26,-1,"Carex chrysolepis",13,13.8
"55",121.441815,24.366733,1086060212,-10,-7,5,30,60,84,93,90,77,54,29,2,"Carex chrysolepis",13,15.8
"56",121.449031,24.367072,1086060127,-10,-7,5,30,60,84,93,90,77,54,29,2,"Carex chrysolepis",13,15.8
"57",121.443522,24.367269,1086060215,-10,-7,5,30,60,84,93,90,77,54,29,2,"Carex chrysolepis",13,15.8
"58",121.440557,24.36791,1086060159,-2,1,14,40,70,93,102,100,86,63,37,10,"Carex chrysolepis",13,21.4
"59",121.448285,24.367978,1086060116,-10,-7,5,30,60,84,93,90,77,54,29,2,"Carex chrysolepis",13,15.8
"60",121.445429,24.368528,1086060213,-10,-7,5,30,60,84,93,90,77,54,29,2,"Carex chrysolepis",13,15.8
"61",121.439209,24.368546,1086060178,-2,1,14,40,70,93,102,100,86,63,37,10,"Carex chrysolepis",13,21.4
"62",121.442384,24.368717,1086060197,-10,-7,5,30,60,84,93,90,77,54,29,2,"Carex chrysolepis",13,15.8
"63",121.447373,24.369154,1086060129,-10,-7,5,30,60,84,93,90,77,54,29,2,"Carex chrysolepis",13,15.8
"64",121.445432,24.369521,1086060152,-10,-7,5,30,60,84,93,90,77,54,29,2,"Carex chrysolepis",13,15.8
"65",121.443372,24.369527,1086060167,-10,-7,5,30,60,84,93,90,77,54,29,2,"Carex chrysolepis",13,15.8
"66",121.445869,24.370242,1086060188,-10,-7,5,30,60,84,93,90,77,54,29,2,"Carex chrysolepis",13,15.8
"67",121.442667,24.370793,1086060209,-10,-7,5,30,60,84,93,90,77,54,29,2,"Carex chrysolepis",13,15.8
"68",121.44,24.37,1085985250,-2,1,14,40,70,93,102,100,86,63,37,10,"Carex chrysolepis",13,21.4
"69",121.441792,24.371337,1086060207,-10,-7,5,30,60,84,93,90,77,54,29,2,"Carex chrysolepis",13,15.8
"70",121.441637,24.372331,1086060196,-10,-7,5,30,60,84,93,90,77,54,29,2,"Carex chrysolepis",13,15.8
"71",121.440653,24.372785,1086060214,-2,1,14,40,70,93,102,100,86,63,37,10,"Carex chrysolepis",13,21.4
"72",121.441484,24.373686,1086060169,-2,1,14,40,70,93,102,100,86,63,37,10,"Carex chrysolepis",13,21.4
"73",121.445566,24.373764,1086060145,-10,-7,5,30,60,84,93,90,77,54,29,2,"Carex chrysolepis",13,15.8
"74",121.440857,24.374681,1086060149,-2,1,14,40,70,93,102,100,86,63,37,10,"Carex chrysolepis",13,21.4
"75",121.420626,24.379524,1086060162,10,13,27,54,84,108,117,115,101,77,51,22,"Carex chrysolepis",13,30.7
"76",121.423545,24.379786,1086060133,10,13,27,54,84,108,117,115,101,77,51,22,"Carex chrysolepis",13,30.7
"77",121.42194,24.380423,1086060174,10,13,27,54,84,108,117,115,101,77,51,22,"Carex chrysolepis",13,30.7
"78",121.42424,24.38141,1086060119,10,13,27,54,84,108,117,115,101,77,51,22,"Carex chrysolepis",13,30.7
"79",121.207178,24.382223,1086060194,1,4,18,45,76,99,109,106,93,69,43,14,"Carex chrysolepis",13,25.2
"80",121.429589,24.38302,1086060166,5,8,21,47,78,101,111,108,94,71,45,17,"Carex chrysolepis",13,26.3
"81",121.438984,24.383264,1086060161,-3,0,13,39,69,92,102,99,86,62,37,9,"Carex chrysolepis",13,21
"82",121.432961,24.383281,1086060180,3,6,20,46,76,100,109,106,93,69,43,15,"Carex chrysolepis",13,25.3
"83",121.209715,24.384016,1086060183,-4,-2,12,38,69,92,102,100,86,62,36,8,"Carex chrysolepis",13,21.1
"84",121.214951,24.38484,1086060153,-4,-2,12,38,69,92,102,100,86,62,36,8,"Carex chrysolepis",13,21.1
"85",121.214676,24.385156,1086060164,-4,-2,12,38,69,92,102,100,86,62,36,8,"Carex chrysolepis",13,21.1
"86",121.222622,24.385452,1086060121,-10,-7,6,32,62,86,95,93,79,56,30,2,"Carex chrysolepis",13,17.1
"87",121.222661,24.385452,1086060128,-10,-7,6,32,62,86,95,93,79,56,30,2,"Carex chrysolepis",13,17.1
"88",121.214361,24.385545,1086060147,-4,-2,12,38,69,92,102,100,86,62,36,8,"Carex chrysolepis",13,21.1
"89",121.213868,24.385834,1086060179,-4,-2,12,38,69,92,102,100,86,62,36,8,"Carex chrysolepis",13,21.1
"90",121.212823,24.385836,1086060211,-4,-2,12,38,69,92,102,100,86,62,36,8,"Carex chrysolepis",13,21.1
"91",121.215387,24.386302,1086060140,-4,-2,12,38,69,92,102,100,86,62,36,8,"Carex chrysolepis",13,21.1
"92",121.215043,24.386835,1086060195,-4,-2,12,38,69,92,102,100,86,62,36,8,"Carex chrysolepis",13,21.1
"93",121.2174,24.386913,1086060168,-10,-7,6,32,62,86,95,93,79,56,30,2,"Carex chrysolepis",13,17.1
"94",121.215952,24.387673,1086060187,-4,-2,12,38,69,92,102,100,86,62,36,8,"Carex chrysolepis",13,21.1
"95",121.216948,24.388223,1086060202,-10,-7,6,32,62,86,95,93,79,56,30,2,"Carex chrysolepis",13,17.1
"96",121.21206,24.38897,1086060157,-4,-2,12,38,69,92,102,100,86,62,36,8,"Carex chrysolepis",13,21.1
"97",121.223861,24.389152,1086060155,-10,-7,6,32,62,86,95,93,79,56,30,2,"Carex chrysolepis",13,17.1
"98",121.223319,24.389613,1086060123,-10,-7,6,32,62,86,95,93,79,56,30,2,"Carex chrysolepis",13,17.1
"99",121.223409,24.389884,1086060171,-10,-7,6,32,62,86,95,93,79,56,30,2,"Carex chrysolepis",13,17.1
"100",121.210809,24.390091,1086060182,-4,-2,12,38,69,92,102,100,86,62,36,8,"Carex chrysolepis",13,21.1
"101",121.215976,24.390554,1086060184,-4,-2,12,38,69,92,102,100,86,62,36,8,"Carex chrysolepis",13,21.1
"102",121.210386,24.390607,1086060173,-4,-2,12,38,69,92,102,100,86,62,36,8,"Carex chrysolepis",13,21.1
"103",121.221912,24.390906,1086060186,-10,-7,6,32,62,86,95,93,79,56,30,2,"Carex chrysolepis",13,17.1
"104",121.221272,24.391521,1086060170,-10,-7,6,32,62,86,95,93,79,56,30,2,"Carex chrysolepis",13,17.1
"105",121.225089,24.39222,1086060134,-13,-11,2,28,58,82,91,89,76,52,27,-1,"Carex chrysolepis",13,14.8
"106",121.215279,24.392433,1086060189,8,12,26,54,84,108,118,115,102,77,51,21,"Carex chrysolepis",13,30.9
"107",121.214916,24.39302,1086060177,8,12,26,54,84,108,118,115,102,77,51,21,"Carex chrysolepis",13,30.9
"108",121.226215,24.393437,1086060106,-13,-11,2,28,58,82,91,89,76,52,27,-1,"Carex chrysolepis",13,14.8
"109",121.22633,24.397238,1086060103,-13,-11,2,28,58,82,91,89,76,52,27,-1,"Carex chrysolepis",13,14.8
"110",121.226047,24.398755,1086060154,-13,-11,2,28,58,82,91,89,76,52,27,-1,"Carex chrysolepis",13,14.8
"111",121.229517,24.404204,1086060142,2,5,19,46,76,100,110,107,94,69,43,15,"Carex chrysolepis",13,25.6
"112",121.231966,24.406114,1086060172,2,5,19,46,76,100,110,107,94,69,43,15,"Carex chrysolepis",13,25.6
"113",121.37,24.44,1086011007,78,84,104,136,167,192,204,200,185,157,128,93,"Carex chrysolepis",13,112.8
"114",121.25,24.45,1821877666,0,2,16,43,73,97,107,105,91,67,41,12,"Carex chrysolepis",13,24
"115",121.244045,24.457732,1086060112,10,14,28,56,86,110,121,118,104,80,53,24,"Carex chrysolepis",13,32.8
"116",121.248577,24.459747,1086060120,11,14,29,56,87,111,121,119,105,80,54,24,"Carex chrysolepis",13,33.3
"117",121.204692,24.460535,1086060181,24,27,43,72,102,127,138,135,121,96,68,38,"Carex chrysolepis",13,45.9
"118",121.206547,24.460686,1086060226,24,27,43,72,102,127,138,135,121,96,68,38,"Carex chrysolepis",13,45.9
"119",121.249013,24.460722,1086060094,11,14,29,56,87,111,121,119,105,80,54,24,"Carex chrysolepis",13,33.3
"120",121.209214,24.462606,1086060163,14,17,32,60,91,115,125,123,109,84,57,28,"Carex chrysolepis",13,36.4
"121",121.209502,24.464077,1086060137,14,17,32,60,91,115,125,123,109,84,57,28,"Carex chrysolepis",13,36.4
"122",121.249208,24.46464,1086060139,11,14,29,56,87,111,121,119,105,80,54,24,"Carex chrysolepis",13,33.3
"123",121.211122,24.465222,1086060146,14,17,32,60,91,115,125,123,109,84,57,28,"Carex chrysolepis",13,36.4
"124",121.263889,24.465278,1821776145,5,8,22,49,80,104,114,112,98,73,47,18,"Carex chrysolepis",13,28.1
"125",121.212939,24.466591,1086060204,26,30,45,74,105,129,140,137,123,98,70,40,"Carex chrysolepis",13,47.6
"126",121.214242,24.466924,1086060203,26,30,45,74,105,129,140,137,123,98,70,40,"Carex chrysolepis",13,47.6
"127",121.236632,24.470881,1086060143,7,10,24,52,82,107,117,115,101,76,50,20,"Carex chrysolepis",13,30
