"","decimalLongitude","decimalLatitude","key","mon_1","mon_2","mon_3","mon_4","mon_5","mon_6","mon_7","mon_8","mon_9","mon_10","mon_11","mon_12","scientificname","code","WI"
"1",120.81,22.25,1085973433,169,176,193,215,234,247,252,250,243,228,206,179,"Carex orthostemon",14,199.2
"2",120.76,22.41,1085970290,129,136,152,174,194,208,213,210,203,188,166,139,"Carex orthostemon",14,151.2
"3",120.74,22.62,1085988966,102,108,124,146,168,182,187,185,177,161,139,112,"Carex orthostemon",14,119.1
"4",120.748611,22.625278,891700392,94,101,116,138,160,174,179,177,169,153,131,104,"Carex orthostemon",14,109.6
"5",120.752222,22.630556,891700363,65,71,85,105,127,141,146,144,136,121,99,75,"Carex orthostemon",14,71.5
"6",120.752222,22.630556,891700367,65,71,85,105,127,141,146,144,136,121,99,75,"Carex orthostemon",14,71.5
"7",120.87,22.72,1085984456,95,102,119,141,163,177,183,180,172,156,133,105,"Carex orthostemon",14,112.6
"8",120.89,22.74,1085988666,81,88,103,125,147,161,167,165,156,140,117,91,"Carex orthostemon",14,94.1
"9",120.89,23.27,1085964909,63,70,87,112,137,154,160,158,148,129,103,74,"Carex orthostemon",14,79.5
"10",120.892778,23.470556,891700384,45,52,69,94,120,138,145,143,133,112,86,56,"Carex orthostemon",14,59.8
"11",120.81,23.53,1086045281,56,63,81,108,134,152,159,157,147,125,99,67,"Carex orthostemon",14,74.8
"12",120.8,23.65,1085975614,80,87,108,137,163,183,191,188,177,155,126,92,"Carex orthostemon",14,108.7
"13",121.253056,23.991667,891701017,25,31,47,73,102,124,132,129,117,93,67,37,"Carex orthostemon",14,43.7
"14",121.19,24.11,1085972524,71,78,98,129,158,181,191,188,174,148,119,85,"Carex orthostemon",14,102
"15",121.016667,24.153889,891651044,57,63,82,112,142,164,174,171,158,133,104,71,"Carex orthostemon",14,83.1
"16",121.016667,24.153889,891700369,57,63,82,112,142,164,174,171,158,133,104,71,"Carex orthostemon",14,83.1
"17",121.03,24.47,1085970681,79,84,104,137,168,193,205,202,187,160,130,94,"Carex orthostemon",14,114.3
"18",121.067778,24.474444,891700372,75,80,100,132,163,188,200,197,182,155,125,90,"Carex orthostemon",14,108.7
"19",121.06,24.51,1085980013,56,60,79,110,141,166,178,175,160,134,105,71,"Carex orthostemon",14,83.5
"20",121.53,24.5,1085986042,63,68,86,116,146,172,183,180,164,138,110,77,"Carex orthostemon",14,90.3
"21",121.47,24.69,1085982512,71,76,94,125,157,183,196,193,176,149,120,86,"Carex orthostemon",14,102.6
