"","decimalLongitude","decimalLatitude","key","mon_1","mon_2","mon_3","mon_4","mon_5","mon_6","mon_7","mon_8","mon_9","mon_10","mon_11","mon_12","scientificname","code","WI"
"1",120.95,23.48,1085970337,8,13,28,51,77,95,101,99,89,69,45,18,"Carex oxyandra",15,23.1
"2",121.28,24.14,1086047985,3,7,22,48,77,99,108,105,92,69,43,15,"Carex oxyandra",15,25
"3",121.28,24.19,1085989661,10,15,29,56,86,108,117,115,101,78,52,23,"Carex oxyandra",15,31.3
"4",121.45,24.36,1085986110,-10,-7,6,31,61,84,93,91,77,54,29,2,"Carex oxyandra",15,16
"5",121.43,24.37,1085985363,6,9,23,49,79,103,112,110,96,72,46,18,"Carex oxyandra",15,27.2
"6",121.44,24.37,1085974414,-2,1,14,40,70,93,102,100,86,63,37,10,"Carex oxyandra",15,21.4
"7",121.44,24.37,1085985115,-2,1,14,40,70,93,102,100,86,63,37,10,"Carex oxyandra",15,21.4
"8",121.25,24.39,1086047013,1,4,18,45,75,99,108,106,92,68,42,14,"Carex oxyandra",15,24.8
"9",121.43,24.39,1085972444,3,6,20,46,76,100,109,106,93,69,43,15,"Carex oxyandra",15,25.3
"10",121.37,24.44,1086006687,78,84,104,136,167,192,204,200,185,157,128,93,"Carex oxyandra",15,112.8
"11",130.844415,31.948789,1829886744,23,33,60,102,141,175,210,214,189,142,90,42,"Carex oxyandra",15,87.3
"12",130.8444,31.9488,1934124474,23,33,60,102,141,175,210,214,189,142,90,42,"Carex oxyandra",15,87.3
"13",131.309444,32.870278,1829887521,43,54,85,133,176,211,248,254,223,170,115,63,"Carex oxyandra",15,118.2
"14",133.166667,33.733333,1830686819,8,13,39,83,124,160,197,205,176,126,77,30,"Carex oxyandra",15,74.8
"15",133.166667,33.733333,1830687526,8,13,39,83,124,160,197,205,176,126,77,30,"Carex oxyandra",15,74.8
"16",133.733333,33.75,1830673090,12,17,44,90,132,168,205,214,184,132,81,34,"Carex oxyandra",15,80.6
"17",133.19375,33.7875,1830662760,0,5,31,75,116,152,189,197,168,118,68,22,"Carex oxyandra",15,68.3
"18",133.983333,33.8,1830530182,-3,2,29,75,118,154,191,199,169,117,65,18,"Carex oxyandra",15,68.8
"19",134,33.8,1830687380,3,8,35,82,124,161,198,206,176,123,72,24,"Carex oxyandra",15,74.2
"20",133.95,33.833333,1830687550,-7,-1,25,72,115,152,188,197,166,113,62,15,"Carex oxyandra",15,66.5
"21",133.95,33.833333,2244523288,-7,-1,25,72,115,152,188,197,166,113,62,15,"Carex oxyandra",15,66.5
"22",133.583333,33.85,1830673235,11,16,43,90,132,169,206,214,184,132,81,33,"Carex oxyandra",15,80.8
"23",133.583333,33.85,1830686830,11,16,43,90,132,169,206,214,184,132,81,33,"Carex oxyandra",15,80.8
"24",133.583333,33.85,1830687365,11,16,43,90,132,169,206,214,184,132,81,33,"Carex oxyandra",15,80.8
"25",134.1,33.85,1933838989,-20,-15,12,58,101,138,174,183,152,99,48,1,"Carex oxyandra",15,55.5
"26",133.311191,33.905848,1829854379,58,64,93,142,184,220,258,267,235,183,132,82,"Carex oxyandra",15,131.8
"27",133.242808,33.941003,1829854502,65,71,100,149,191,227,265,275,243,190,139,89,"Carex oxyandra",15,140.4
