"","decimalLongitude","decimalLatitude","key","mon_1","mon_2","mon_3","mon_4","mon_5","mon_6","mon_7","mon_8","mon_9","mon_10","mon_11","mon_12","scientificname","code","WI"
"1",120.814722,23.110833,891635052,89,96,115,140,164,180,187,184,175,156,130,100,"Carex tristachya pocilliformis",16,111.6
"2",120.814722,23.110833,891635115,89,96,115,140,164,180,187,184,175,156,130,100,"Carex tristachya pocilliformis",16,111.6
"3",120.93,23.27,1085988694,77,85,104,129,153,171,177,175,165,145,119,88,"Carex tristachya pocilliformis",16,98.8
"4",120.960556,23.468333,891700355,-8,-3,10,32,58,76,82,80,70,51,27,2,"Carex tristachya pocilliformis",16,11.7
"5",120.87,23.47,1085986550,38,44,61,86,112,130,137,134,124,104,78,49,"Carex tristachya pocilliformis",16,51.6
"6",120.9,23.48,1085988273,42,48,65,90,116,134,141,139,129,108,82,53,"Carex tristachya pocilliformis",16,55.7
"7",120.815833,23.506944,891697896,55,62,80,107,133,151,158,156,146,124,98,67,"Carex tristachya pocilliformis",16,73.7
"8",120.806944,23.596944,891700264,64,71,90,118,144,163,170,168,157,135,108,76,"Carex tristachya pocilliformis",16,86.4
"9",121.21,24.11,1085973689,38,43,61,89,118,141,150,147,133,109,82,50,"Carex tristachya pocilliformis",16,58
"10",121.4,24.18,1085969083,55,61,79,108,137,161,171,167,153,128,100,68,"Carex tristachya pocilliformis",16,78.8
"11",121.28,24.2,1085986270,28,33,49,77,106,130,139,136,122,98,71,41,"Carex tristachya pocilliformis",16,47.9
"12",121.412778,24.304444,891700240,11,14,29,55,85,108,118,115,101,77,51,23,"Carex tristachya pocilliformis",16,31
"13",123.779784,24.333272,2244431351,180,185,200,222,246,268,280,278,267,247,223,194,"Carex tristachya pocilliformis",16,219
"14",123.917273,24.3416,2244429042,186,191,206,229,253,274,287,285,274,254,230,200,"Carex tristachya pocilliformis",16,226.9
"15",123.917273,24.3416,2244430180,186,191,206,229,253,274,287,285,274,254,230,200,"Carex tristachya pocilliformis",16,226.9
"16",123.917273,24.3416,2244430383,186,191,206,229,253,274,287,285,274,254,230,200,"Carex tristachya pocilliformis",16,226.9
"17",121.45,24.36,1085983659,-10,-7,6,31,61,84,93,91,77,54,29,2,"Carex tristachya pocilliformis",16,16
"18",121.36,24.37,1085983350,40,45,62,91,121,145,156,153,138,113,85,54,"Carex tristachya pocilliformis",16,61.8
"19",121.28,24.39,1085976538,16,20,35,63,93,117,127,124,110,86,59,29,"Carex tristachya pocilliformis",16,37.9
"20",121.343333,24.391389,891700201,59,64,83,113,143,168,179,176,161,134,106,73,"Carex tristachya pocilliformis",16,85.9
"21",123.754788,24.399932,2244431114,186,191,206,230,254,276,288,286,275,255,231,201,"Carex tristachya pocilliformis",16,227.9
"22",124.167111,24.424722,1934032962,180,184,199,221,245,267,279,277,267,247,223,194,"Carex tristachya pocilliformis",16,218.3
"23",118.41,24.46,1085969334,136,141,165,204,239,267,283,281,267,236,198,155,"Carex tristachya pocilliformis",16,197.2
"24",121.223889,24.461389,891700217,9,12,26,54,84,109,119,116,103,78,51,22,"Carex tristachya pocilliformis",16,31.4
"25",121.223889,24.461389,891700216,9,12,26,54,84,109,119,116,103,78,51,22,"Carex tristachya pocilliformis",16,31.4
"26",121.250833,24.463056,891626537,0,2,16,43,73,97,107,105,91,67,41,13,"Carex tristachya pocilliformis",16,24
"27",121.250833,24.463056,891626742,0,2,16,43,73,97,107,105,91,67,41,13,"Carex tristachya pocilliformis",16,24
"28",121.250833,24.463056,891629167,0,2,16,43,73,97,107,105,91,67,41,13,"Carex tristachya pocilliformis",16,24
"29",121.250833,24.463056,891629191,0,2,16,43,73,97,107,105,91,67,41,13,"Carex tristachya pocilliformis",16,24
"30",121.250833,24.463056,891629207,0,2,16,43,73,97,107,105,91,67,41,13,"Carex tristachya pocilliformis",16,24
"31",121.250833,24.463056,891629237,0,2,16,43,73,97,107,105,91,67,41,13,"Carex tristachya pocilliformis",16,24
"32",121.250833,24.463056,891629352,0,2,16,43,73,97,107,105,91,67,41,13,"Carex tristachya pocilliformis",16,24
"33",121.250833,24.463056,891634341,0,2,16,43,73,97,107,105,91,67,41,13,"Carex tristachya pocilliformis",16,24
"34",121.250833,24.463056,891636609,0,2,16,43,73,97,107,105,91,67,41,13,"Carex tristachya pocilliformis",16,24
"35",121.250833,24.463056,891636619,0,2,16,43,73,97,107,105,91,67,41,13,"Carex tristachya pocilliformis",16,24
