"","decimalLongitude","decimalLatitude","key","mon_1","mon_2","mon_3","mon_4","mon_5","mon_6","mon_7","mon_8","mon_9","mon_10","mon_11","mon_12","scientificname","code","WI"
"1",120.91,23.23,1085976918,5,10,23,44,69,85,91,89,80,62,39,14,"Cirsium arisanense",17,17.6
"2",120.93,23.26,1085985658,64,71,88,113,138,155,161,159,149,130,104,75,"Cirsium arisanense",17,80.7
"3",120.93,23.26,1085985856,64,71,88,113,138,155,161,159,149,130,104,75,"Cirsium arisanense",17,80.7
"4",120.983194,23.265007,2283168405,33,38,53,76,101,118,124,122,112,93,69,43,"Cirsium arisanense",17,41.8
"5",120.987203,23.268388,2529267285,17,23,37,58,83,100,106,104,94,76,53,27,"Cirsium arisanense",17,27.4
"6",120.994436,23.282153,2529282232,17,23,37,59,83,101,106,104,95,76,53,27,"Cirsium arisanense",17,27.7
"7",120.696893,23.404317,622283341,127,137,160,190,215,232,240,237,228,206,176,141,"Cirsium arisanense",17,168.9
"8",120.93,23.46,1085986341,34,41,57,81,107,125,132,130,119,99,74,45,"Cirsium arisanense",17,47.4
"9",120.954938,23.46612,1883474120,-6,-2,11,33,59,77,83,81,71,52,29,3,"Cirsium arisanense",17,12.3
"10",120.960556,23.468333,891592771,-8,-3,10,32,58,76,82,80,70,51,27,2,"Cirsium arisanense",17,11.7
"11",120.960556,23.468333,891645838,-8,-3,10,32,58,76,82,80,70,51,27,2,"Cirsium arisanense",17,11.7
"12",120.95496,23.468754,1883474728,-4,1,14,36,62,80,86,85,74,55,32,6,"Cirsium arisanense",17,14.2
"13",120.955466,23.469306,1883474113,-4,1,14,36,62,80,86,85,74,55,32,6,"Cirsium arisanense",17,14.2
"14",120.963908,23.470848,2423144172,-8,-3,10,32,58,76,82,80,70,51,27,2,"Cirsium arisanense",17,11.7
"15",120.93,23.47,1085988685,13,18,33,56,82,100,106,104,94,74,50,23,"Cirsium arisanense",17,26.6
"16",120.95,23.47,1085969401,-4,1,14,36,62,80,86,85,74,55,32,6,"Cirsium arisanense",17,14.2
