"","decimalLongitude","decimalLatitude","key","mon_1","mon_2","mon_3","mon_4","mon_5","mon_6","mon_7","mon_8","mon_9","mon_10","mon_11","mon_12","scientificname","code","WI"
"1",120.823333,22.9725,891616593,68,74,91,114,137,152,158,156,147,130,106,78,"Cirsium kawakamii",18,81.1
"2",120.831667,22.986944,891616603,73,80,97,120,144,160,165,163,154,136,112,84,"Cirsium kawakamii",18,88.8
"3",120.907778,23.231111,891615520,18,23,37,59,84,101,106,105,95,77,53,27,"Cirsium kawakamii",18,28
"4",120.91,23.23,1085981136,5,10,23,44,69,85,91,89,80,62,39,14,"Cirsium kawakamii",18,17.6
"5",120.937778,23.249167,891616501,23,28,43,65,90,107,112,111,101,83,59,33,"Cirsium kawakamii",18,32.8
"6",121.118056,23.37,891646348,73,80,98,123,148,166,172,170,160,139,113,84,"Cirsium kawakamii",18,92.6
"7",120.919722,23.460833,891612280,56,63,81,106,132,150,157,155,145,124,98,67,"Cirsium kawakamii",18,73.4
"8",120.919722,23.460833,891612282,56,63,81,106,132,150,157,155,145,124,98,67,"Cirsium kawakamii",18,73.4
"9",120.937778,23.4675,891646646,9,14,29,52,78,96,102,100,90,70,46,19,"Cirsium kawakamii",18,23.8
"10",120.937778,23.4675,891646674,9,14,29,52,78,96,102,100,90,70,46,19,"Cirsium kawakamii",18,23.8
"11",120.865213,23.470491,622283346,48,54,72,97,123,141,148,146,136,115,89,59,"Cirsium kawakamii",18,63
"12",120.831944,23.473333,891653291,49,55,73,99,125,143,149,147,137,116,90,60,"Cirsium kawakamii",18,64.4
"13",120.978889,23.475833,891615508,9,15,29,52,78,96,102,100,90,70,46,19,"Cirsium kawakamii",18,23.8
"14",120.908889,23.478333,891646358,28,34,51,75,101,119,125,123,113,93,68,39,"Cirsium kawakamii",18,41.8
"15",120.994444,23.503611,891596039,52,59,77,102,128,146,153,151,140,119,93,63,"Cirsium kawakamii",18,68.3
"16",120.913611,23.503889,891612262,87,95,116,144,169,188,196,193,182,160,132,99,"Cirsium kawakamii",18,116.1
"17",120.913611,23.503889,891612283,87,95,116,144,169,188,196,193,182,160,132,99,"Cirsium kawakamii",18,116.1
"18",120.815833,23.506944,891615129,55,62,80,107,133,151,158,156,146,124,98,67,"Cirsium kawakamii",18,73.7
"19",120.806111,23.516667,891625739,70,77,96,124,150,168,175,173,163,141,114,81,"Cirsium kawakamii",18,93.2
"20",120.918056,23.518611,891646391,102,111,133,162,188,206,214,211,201,178,149,115,"Cirsium kawakamii",18,137
"21",120.769167,23.5275,891615114,67,74,94,121,147,165,173,170,160,139,111,79,"Cirsium kawakamii",18,90
"22",120.780634,23.529813,1086058308,60,67,86,113,139,157,164,162,152,131,104,72,"Cirsium kawakamii",18,80.7
"23",120.791655,23.533802,1086058339,52,59,77,104,130,148,155,153,143,122,95,64,"Cirsium kawakamii",18,70.2
"24",120.797888,23.537964,1086058294,52,59,77,104,130,148,155,153,143,122,95,64,"Cirsium kawakamii",18,70.2
"25",120.814495,23.55478,1086058398,52,59,77,103,130,148,155,153,143,121,95,64,"Cirsium kawakamii",18,70
"26",120.760556,23.849167,891653318,146,156,182,216,243,264,274,270,259,233,201,161,"Cirsium kawakamii",18,200.5
"27",121.252222,23.959167,1821868109,56,62,81,109,137,159,168,165,152,128,100,68,"Cirsium kawakamii",18,78.5
"28",121.275161,24.135869,1822172196,3,7,22,48,77,99,108,105,92,69,43,15,"Cirsium kawakamii",18,25
"29",121.266667,24.1375,891624515,5,9,24,50,79,101,110,107,94,71,45,17,"Cirsium kawakamii",18,26.2
"30",121.016667,24.153889,891653310,57,63,82,112,142,164,174,171,158,133,104,71,"Cirsium kawakamii",18,83.1
"31",120.996944,24.262778,891653304,53,58,77,107,137,160,171,168,155,129,100,67,"Cirsium kawakamii",18,78.2
"32",121.199995,24.340247,1086058337,-1,3,17,43,73,97,106,104,90,66,40,12,"Cirsium kawakamii",18,23.6
"33",121.434651,24.344181,1086058383,-1,2,15,41,70,94,103,101,87,63,38,11,"Cirsium kawakamii",18,21.8
"34",121.436714,24.345258,1086058355,-1,2,15,41,70,94,103,101,87,63,38,11,"Cirsium kawakamii",18,21.8
"35",121.460647,24.357286,1086058312,-1,2,15,41,71,94,103,101,87,64,38,11,"Cirsium kawakamii",18,22
"36",121.441666,24.357975,1086058371,-4,-1,11,37,67,90,99,97,83,60,35,8,"Cirsium kawakamii",18,19.6
"37",121.462827,24.358002,1086058320,-1,2,15,41,71,94,103,101,87,64,38,11,"Cirsium kawakamii",18,22
"38",121.439292,24.358343,1086058381,-11,-9,4,29,58,82,91,89,75,52,27,1,"Cirsium kawakamii",18,14.7
"39",121.447732,24.359131,1086058330,-12,-10,3,27,57,80,89,87,74,51,26,-1,"Cirsium kawakamii",18,13.8
"40",121.442232,24.359147,1086058364,-12,-10,3,27,57,80,89,87,74,51,26,-1,"Cirsium kawakamii",18,13.8
"41",121.439769,24.359335,1086058341,-11,-9,4,29,58,82,91,89,75,52,27,1,"Cirsium kawakamii",18,14.7
"42",121.44461,24.359862,1086058370,-12,-10,3,27,57,80,89,87,74,51,26,-1,"Cirsium kawakamii",18,13.8
"43",121.441359,24.360414,1086058344,-11,-9,4,29,58,82,91,89,75,52,27,1,"Cirsium kawakamii",18,14.7
"44",121.439538,24.360961,1086058367,-11,-9,4,29,58,82,91,89,75,52,27,1,"Cirsium kawakamii",18,14.7
"45",121.438791,24.361505,1086058372,-11,-9,4,29,58,82,91,89,75,52,27,1,"Cirsium kawakamii",18,14.7
"46",121.443333,24.361667,891615711,-12,-10,3,27,57,80,89,87,74,51,26,-1,"Cirsium kawakamii",18,13.8
"47",121.447309,24.362292,1086058395,-12,-10,3,27,57,80,89,87,74,51,26,-1,"Cirsium kawakamii",18,13.8
"48",121.440263,24.362674,1086058361,-11,-9,4,29,58,82,91,89,75,52,27,1,"Cirsium kawakamii",18,14.7
"49",121.44288,24.36393,1086058350,-12,-10,3,27,57,80,89,87,74,51,26,-1,"Cirsium kawakamii",18,13.8
"50",121.446961,24.364189,1086058349,-12,-10,3,27,57,80,89,87,74,51,26,-1,"Cirsium kawakamii",18,13.8
"51",121.440032,24.36421,1086058380,-11,-9,4,29,58,82,91,89,75,52,27,1,"Cirsium kawakamii",18,14.7
"52",121.444312,24.364739,1086058334,-12,-10,3,27,57,80,89,87,74,51,26,-1,"Cirsium kawakamii",18,13.8
"53",121.448629,24.364816,1086058358,-12,-10,3,27,57,80,89,87,74,51,26,-1,"Cirsium kawakamii",18,13.8
"54",121.449657,24.365536,1086058310,-12,-10,3,27,57,80,89,87,74,51,26,-1,"Cirsium kawakamii",18,13.8
"55",121.448635,24.366351,1086058333,-12,-10,3,27,57,80,89,87,74,51,26,-1,"Cirsium kawakamii",18,13.8
"56",121.441815,24.366733,1086058311,-10,-7,5,30,60,84,93,90,77,54,29,2,"Cirsium kawakamii",18,15.8
"57",121.449031,24.367072,1086058315,-10,-7,5,30,60,84,93,90,77,54,29,2,"Cirsium kawakamii",18,15.8
"58",121.443522,24.367269,1086058377,-10,-7,5,30,60,84,93,90,77,54,29,2,"Cirsium kawakamii",18,15.8
"59",121.443372,24.369527,1086058351,-10,-7,5,30,60,84,93,90,77,54,29,2,"Cirsium kawakamii",18,15.8
"60",121.444409,24.370066,1086058321,-10,-7,5,30,60,84,93,90,77,54,29,2,"Cirsium kawakamii",18,15.8
"61",121.15,24.37,1086004053,29,33,49,78,108,132,142,140,126,101,73,42,"Cirsium kawakamii",18,50
"62",121.440571,24.371702,1086058343,-2,1,14,40,70,93,102,100,86,63,37,10,"Cirsium kawakamii",18,21.4
"63",121.441637,24.372331,1086058316,-10,-7,5,30,60,84,93,90,77,54,29,2,"Cirsium kawakamii",18,15.8
"64",121.441484,24.373686,1086058379,-2,1,14,40,70,93,102,100,86,63,37,10,"Cirsium kawakamii",18,21.4
"65",121.445566,24.373764,1086058325,-10,-7,5,30,60,84,93,90,77,54,29,2,"Cirsium kawakamii",18,15.8
"66",121.440074,24.376399,1086058374,-6,-3,10,35,65,88,98,95,81,58,33,6,"Cirsium kawakamii",18,18.5
"67",121.216944,24.379167,891649045,-2,1,15,42,72,96,105,103,89,65,39,11,"Cirsium kawakamii",18,23
"68",121.214696,24.379594,1086058347,-9,-6,7,33,63,87,96,94,81,57,31,4,"Cirsium kawakamii",18,17.8
"69",121.438381,24.379835,1086058332,-6,-3,10,35,65,88,98,95,81,58,33,6,"Cirsium kawakamii",18,18.5
"70",121.438781,24.381639,1086058317,-6,-3,10,35,65,88,98,95,81,58,33,6,"Cirsium kawakamii",18,18.5
"71",121.207178,24.382223,1086058384,1,4,18,45,76,99,109,106,93,69,43,14,"Cirsium kawakamii",18,25.2
"72",121.438984,24.383264,1086058331,-3,0,13,39,69,92,102,99,86,62,37,9,"Cirsium kawakamii",18,21
"73",121.432961,24.383281,1086058291,3,6,20,46,76,100,109,106,93,69,43,15,"Cirsium kawakamii",18,25.3
"74",121.1,24.383333,2515071818,32,35,52,81,112,136,146,143,130,104,77,45,"Cirsium kawakamii",18,53.1
"75",121.1,24.383333,1821874148,32,35,52,81,112,136,146,143,130,104,77,45,"Cirsium kawakamii",18,53.1
"76",121.209715,24.384016,1086058300,-4,-2,12,38,69,92,102,100,86,62,36,8,"Cirsium kawakamii",18,21.1
"77",121.214676,24.385156,1086058297,-4,-2,12,38,69,92,102,100,86,62,36,8,"Cirsium kawakamii",18,21.1
"78",121.222622,24.385452,1086058368,-10,-7,6,32,62,86,95,93,79,56,30,2,"Cirsium kawakamii",18,17.1
"79",121.222661,24.385452,1086058366,-10,-7,6,32,62,86,95,93,79,56,30,2,"Cirsium kawakamii",18,17.1
"80",121.214361,24.385545,1086058359,-4,-2,12,38,69,92,102,100,86,62,36,8,"Cirsium kawakamii",18,21.1
"81",121.213868,24.385834,1086058318,-4,-2,12,38,69,92,102,100,86,62,36,8,"Cirsium kawakamii",18,21.1
"82",121.212823,24.385836,1086058356,-4,-2,12,38,69,92,102,100,86,62,36,8,"Cirsium kawakamii",18,21.1
"83",121.213524,24.386088,1086058287,-4,-2,12,38,69,92,102,100,86,62,36,8,"Cirsium kawakamii",18,21.1
"84",121.218542,24.386144,1086058290,-10,-7,6,32,62,86,95,93,79,56,30,2,"Cirsium kawakamii",18,17.1
"85",121.215387,24.386302,1086058397,-4,-2,12,38,69,92,102,100,86,62,36,8,"Cirsium kawakamii",18,21.1
"86",121.2174,24.386913,1086058309,-10,-7,6,32,62,86,95,93,79,56,30,2,"Cirsium kawakamii",18,17.1
"87",121.215952,24.387673,1086058335,-4,-2,12,38,69,92,102,100,86,62,36,8,"Cirsium kawakamii",18,21.1
"88",121.212826,24.387687,1086058354,-4,-2,12,38,69,92,102,100,86,62,36,8,"Cirsium kawakamii",18,21.1
"89",121.223247,24.387861,1086058357,-10,-7,6,32,62,86,95,93,79,56,30,2,"Cirsium kawakamii",18,17.1
"90",121.216948,24.388223,1086058340,-10,-7,6,32,62,86,95,93,79,56,30,2,"Cirsium kawakamii",18,17.1
"91",121.21269,24.388644,1086058328,-4,-2,12,38,69,92,102,100,86,62,36,8,"Cirsium kawakamii",18,21.1
"92",121.223861,24.389152,1086058353,-10,-7,6,32,62,86,95,93,79,56,30,2,"Cirsium kawakamii",18,17.1
"93",121.215976,24.390554,1086058322,-4,-2,12,38,69,92,102,100,86,62,36,8,"Cirsium kawakamii",18,21.1
"94",121.210072,24.391501,1086058376,-4,-2,12,38,69,92,102,100,86,62,36,8,"Cirsium kawakamii",18,21.1
"95",121.221016,24.391729,1086058324,6,10,24,51,82,105,115,113,99,75,48,19,"Cirsium kawakamii",18,29
"96",121.225089,24.39222,1086058338,-13,-11,2,28,58,82,91,89,76,52,27,-1,"Cirsium kawakamii",18,14.8
"97",121.214916,24.39302,1086058345,8,12,26,54,84,108,118,115,102,77,51,21,"Cirsium kawakamii",18,30.9
"98",121.226215,24.393437,1086058390,-13,-11,2,28,58,82,91,89,76,52,27,-1,"Cirsium kawakamii",18,14.8
"99",121.231944,24.396111,891653297,-13,-11,2,28,58,82,91,89,76,52,27,-1,"Cirsium kawakamii",18,14.8
"100",121.248577,24.459747,1086058346,11,14,29,56,87,111,121,119,105,80,54,24,"Cirsium kawakamii",18,33.3
"101",121.249013,24.460722,1086058362,11,14,29,56,87,111,121,119,105,80,54,24,"Cirsium kawakamii",18,33.3
"102",121.236632,24.470881,1086058292,7,10,24,52,82,107,117,115,101,76,50,20,"Cirsium kawakamii",18,30
