"","decimalLongitude","decimalLatitude","key","mon_1","mon_2","mon_3","mon_4","mon_5","mon_6","mon_7","mon_8","mon_9","mon_10","mon_11","mon_12","scientificname","code","WI"
"1",120.9,16.6,2516926150,109,114,124,136,141,140,136,134,133,129,123,112,"Dendrolycopodium juniperoideum",19,93.1
"2",120.937778,23.249167,1821881742,23,28,43,65,90,107,112,111,101,83,59,33,"Dendrolycopodium juniperoideum",19,32.8
"3",120.960556,23.468333,891689339,-8,-3,10,32,58,76,82,80,70,51,27,2,"Dendrolycopodium juniperoideum",19,11.7
"4",120.93,23.47,1085974246,13,18,33,56,82,100,106,104,94,74,50,23,"Dendrolycopodium juniperoideum",19,26.6
"5",120.892031,23.475343,622288850,41,47,64,89,115,133,140,138,127,107,81,52,"Dendrolycopodium juniperoideum",19,54.6
"6",121.209167,23.601667,891683249,18,23,38,61,87,106,113,111,100,79,55,29,"Dendrolycopodium juniperoideum",19,31.2
"7",121.239212,23.747683,2311365481,31,37,53,78,105,125,133,130,118,97,71,42,"Dendrolycopodium juniperoideum",19,46
"8",121.216667,23.766667,1821805676,43,49,66,92,119,140,147,145,133,110,84,54,"Dendrolycopodium juniperoideum",19,59
"9",121.277222,24.129722,891684561,13,17,32,59,88,111,119,117,103,80,54,25,"Dendrolycopodium juniperoideum",19,33.1
"10",121.283333,24.133333,1821854514,9,13,28,54,83,106,114,112,99,75,49,21,"Dendrolycopodium juniperoideum",19,29.3
"11",121.283333,24.133333,1821886636,9,13,28,54,83,106,114,112,99,75,49,21,"Dendrolycopodium juniperoideum",19,29.3
"12",121.283333,24.133333,1821914312,9,13,28,54,83,106,114,112,99,75,49,21,"Dendrolycopodium juniperoideum",19,29.3
"13",121.262222,24.134167,1821790041,23,28,44,72,101,123,133,130,116,92,66,36,"Dendrolycopodium juniperoideum",19,43.3
"14",121.262222,24.134167,1821827884,23,28,44,72,101,123,133,130,116,92,66,36,"Dendrolycopodium juniperoideum",19,43.3
"15",121.262222,24.134167,1821864969,23,28,44,72,101,123,133,130,116,92,66,36,"Dendrolycopodium juniperoideum",19,43.3
