"","decimalLongitude","decimalLatitude","key","mon_1","mon_2","mon_3","mon_4","mon_5","mon_6","mon_7","mon_8","mon_9","mon_10","mon_11","mon_12","scientificname","code","WI"
"1",121.14,22.76,2417385100,186,195,217,243,264,280,286,283,274,256,230,198,"Dianthus pygmaeus",21,231.2
"2",120.736944,23.063889,891694539,109,117,137,163,186,202,209,206,198,178,152,120,"Dianthus pygmaeus",21,137.7
"3",121.02,23.19,1085994831,125,134,155,182,206,223,230,227,218,197,170,137,"Dianthus pygmaeus",21,160.4
"4",120.940839,23.310716,1898787054,86,94,113,139,164,181,188,186,176,155,129,97,"Dianthus pygmaeus",21,110.8
"5",121,23.333333,1821807717,34,40,56,79,104,121,127,126,116,96,72,45,"Dianthus pygmaeus",21,44.7
"6",120.949604,23.403893,1986605437,41,47,64,88,113,131,137,135,125,105,80,51,"Dianthus pygmaeus",21,52.9
"7",120.947677,23.435749,2563530186,14,20,34,57,83,101,107,105,95,76,51,24,"Dianthus pygmaeus",21,27.5
"8",121.013333,23.449167,891694847,28,34,50,73,99,117,123,121,111,91,66,39,"Dianthus pygmaeus",21,40.1
"9",120.873333,23.463056,891697287,35,41,58,83,108,126,133,131,121,100,75,46,"Dianthus pygmaeus",21,48.5
"10",120.893444,23.466863,1945440803,45,52,69,94,120,138,145,143,133,112,86,56,"Dianthus pygmaeus",21,59.8
"11",120.960556,23.468333,891686268,-8,-3,10,32,58,76,82,80,70,51,27,2,"Dianthus pygmaeus",21,11.7
"12",120.905556,23.468611,891693084,50,57,74,100,126,144,151,148,138,117,91,61,"Dianthus pygmaeus",21,65.7
"13",120.960833,23.468611,1821792481,-8,-3,10,32,58,76,82,80,70,51,27,2,"Dianthus pygmaeus",21,11.7
"14",120.960833,23.468611,1821792502,-8,-3,10,32,58,76,82,80,70,51,27,2,"Dianthus pygmaeus",21,11.7
"15",120.960833,23.468611,1821792549,-8,-3,10,32,58,76,82,80,70,51,27,2,"Dianthus pygmaeus",21,11.7
"16",120.960833,23.468611,1821793398,-8,-3,10,32,58,76,82,80,70,51,27,2,"Dianthus pygmaeus",21,11.7
"17",121.028889,23.47,891696170,20,26,41,64,90,108,114,112,102,82,58,30,"Dianthus pygmaeus",21,33
"18",120.915833,23.471389,891693515,34,41,57,82,107,125,132,130,120,99,74,45,"Dianthus pygmaeus",21,47.6
"19",120.915833,23.471389,891693633,34,41,57,82,107,125,132,130,120,99,74,45,"Dianthus pygmaeus",21,47.6
"20",120.890443,23.478042,622284736,39,45,62,87,113,131,138,136,126,105,79,50,"Dianthus pygmaeus",21,52.7
"21",120.908889,23.478333,891693578,28,34,51,75,101,119,125,123,113,93,68,39,"Dianthus pygmaeus",21,41.8
"22",120.908889,23.478333,891697324,28,34,51,75,101,119,125,123,113,93,68,39,"Dianthus pygmaeus",21,41.8
"23",120.883333,23.483333,1821815357,45,51,69,94,120,138,145,143,133,112,86,56,"Dianthus pygmaeus",21,59.7
"24",120.883333,23.483333,1821815438,45,51,69,94,120,138,145,143,133,112,86,56,"Dianthus pygmaeus",21,59.7
"25",120.883333,23.483333,1821815462,45,51,69,94,120,138,145,143,133,112,86,56,"Dianthus pygmaeus",21,59.7
"26",120.80588,23.494117,2579279784,66,73,92,119,145,163,170,168,158,136,109,78,"Dianthus pygmaeus",21,87.7
"27",120.806111,23.516667,891686336,70,77,96,124,150,168,175,173,163,141,114,81,"Dianthus pygmaeus",21,93.2
"28",120.918056,23.518611,891690606,102,111,133,162,188,206,214,211,201,178,149,115,"Dianthus pygmaeus",21,137
"29",120.918056,23.518611,891693592,102,111,133,162,188,206,214,211,201,178,149,115,"Dianthus pygmaeus",21,137
"30",120.918056,23.518611,891693654,102,111,133,162,188,206,214,211,201,178,149,115,"Dianthus pygmaeus",21,137
"31",120.918056,23.518611,891693655,102,111,133,162,188,206,214,211,201,178,149,115,"Dianthus pygmaeus",21,137
"32",120.974722,23.519167,891685878,63,70,89,116,142,160,167,165,154,133,106,75,"Dianthus pygmaeus",21,84
"33",120.769167,23.5275,1821792523,67,74,94,121,147,165,173,170,160,139,111,79,"Dianthus pygmaeus",21,90
"34",120.96,23.55,1086030337,64,71,91,117,144,162,170,167,156,135,107,76,"Dianthus pygmaeus",21,86
"35",120.896949,23.565181,1901051952,87,95,116,144,170,189,197,194,184,161,133,99,"Dianthus pygmaeus",21,116.9
"36",120.866667,23.7,1821856958,127,136,161,193,220,239,249,245,234,209,178,141,"Dianthus pygmaeus",21,173.2
"37",120.866667,23.7,1821857052,127,136,161,193,220,239,249,245,234,209,178,141,"Dianthus pygmaeus",21,173.2
"38",120.98,23.83,2417369524,79,86,107,137,165,185,194,191,179,155,126,92,"Dianthus pygmaeus",21,109.6
"39",120.994167,23.916667,891694002,120,129,154,187,215,236,246,243,230,204,172,135,"Dianthus pygmaeus",21,167.1
"40",120.994167,23.916667,891694003,120,129,154,187,215,236,246,243,230,204,172,135,"Dianthus pygmaeus",21,167.1
"41",121.283333,23.940556,1821795352,27,32,48,74,102,124,132,129,117,94,68,38,"Dianthus pygmaeus",21,44
"42",121.283333,23.940556,1821795503,27,32,48,74,102,124,132,129,117,94,68,38,"Dianthus pygmaeus",21,44
"43",120.18,23,2417389261,182,190,212,240,263,279,287,284,277,258,230,196,"Dianthus pygmaeus",21,229.8
"44",120.18,23,2417384003,182,190,212,240,263,279,287,284,277,258,230,196,"Dianthus pygmaeus",21,229.8
"45",121.341538,24.015395,2331854405,108,116,139,171,199,222,233,228,214,188,158,122,"Dianthus pygmaeus",21,149.8
"46",121.133333,24.016667,1821816640,108,116,139,172,201,223,234,230,216,189,159,122,"Dianthus pygmaeus",21,150.9
"47",121.277222,24.018611,891684627,33,39,55,82,111,133,142,139,126,102,76,45,"Dianthus pygmaeus",21,51.6
"48",121.316649,24.018989,1913177619,85,92,113,144,172,195,205,201,187,162,133,99,"Dianthus pygmaeus",21,118.8
"49",121.332778,24.022778,1821807926,86,93,114,144,173,196,206,202,188,162,133,99,"Dianthus pygmaeus",21,119.6
"50",121.290014,24.03241,1890671128,35,40,57,84,113,135,144,141,128,104,77,47,"Dianthus pygmaeus",21,53.3
"51",121.175509,24.033443,622284738,98,106,129,160,189,212,222,218,205,178,148,112,"Dianthus pygmaeus",21,137.7
"52",121.175509,24.033443,622284734,98,106,129,160,189,212,222,218,205,178,148,112,"Dianthus pygmaeus",21,137.7
"53",121.175509,24.033443,622284739,98,106,129,160,189,212,222,218,205,178,148,112,"Dianthus pygmaeus",21,137.7
"54",121.227229,24.03864,1899791468,70,77,97,127,156,178,188,184,171,145,117,83,"Dianthus pygmaeus",21,99.3
"55",121.251944,24.039444,891688231,50,56,74,103,132,154,163,160,147,122,94,63,"Dianthus pygmaeus",21,71.8
"56",121.364182,24.047947,2423118464,66,72,91,121,149,172,182,178,164,139,111,79,"Dianthus pygmaeus",21,92.4
"57",121.15,24.05,1085983033,83,90,112,143,172,194,204,201,187,161,132,97,"Dianthus pygmaeus",21,117.6
"58",121.22,24.05,1085995631,49,55,73,102,131,153,162,159,146,121,93,62,"Dianthus pygmaeus",21,70.7
"59",121.266667,24.05,2515028905,14,19,34,60,89,111,119,117,104,81,55,26,"Dianthus pygmaeus",21,33.6
"60",121.27,24.05,1086030917,14,19,34,60,89,111,119,117,104,81,55,26,"Dianthus pygmaeus",21,33.6
"61",121.317072,24.055505,2423115165,45,50,68,96,125,147,156,153,140,115,88,57,"Dianthus pygmaeus",21,64.5
"62",121.316667,24.083333,1821806529,1,5,19,44,73,95,103,100,88,65,40,12,"Dianthus pygmaeus",21,22.4
"63",121.169444,24.085556,891687482,58,64,84,113,142,165,174,171,158,133,104,71,"Dianthus pygmaeus",21,83.7
"64",121.32,24.09,1085980359,1,5,19,44,73,95,103,100,88,65,40,12,"Dianthus pygmaeus",21,22.4
"65",121.214653,24.092511,2423115504,71,78,98,129,158,181,191,187,173,148,119,85,"Dianthus pygmaeus",21,101.8
