"","decimalLongitude","decimalLatitude","key","mon_1","mon_2","mon_3","mon_4","mon_5","mon_6","mon_7","mon_8","mon_9","mon_10","mon_11","mon_12","scientificname","code","WI"
"1",145.03,-5.78,1318143745,30,30,30,31,31,28,25,26,27,27,29,30,"Diphasiastrum multispicatum",22,0
"2",146.8,-7.3,1988193340,172,171,170,169,167,162,159,159,163,167,170,171,"Diphasiastrum multispicatum",22,140
"3",120.57,16.33,912315557,152,157,168,180,183,181,176,174,174,173,167,157,"Diphasiastrum multispicatum",22,144.2
"4",120.896667,16.598333,2516731058,99,104,114,126,131,130,125,124,123,120,113,103,"Diphasiastrum multispicatum",22,81.2
"5",121,16,2597521459,230,236,248,262,266,263,258,256,256,254,248,235,"Diphasiastrum multispicatum",22,241.2
"6",121.128,17.0134,1321848778,108,114,124,138,144,144,140,138,136,131,123,111,"Diphasiastrum multispicatum",22,95.1
"7",121.1,17.0341,1322408262,161,168,180,196,201,201,196,194,192,187,179,165,"Diphasiastrum multispicatum",22,162
"8",120.766667,22.4,1056120418,131,137,154,175,196,209,214,211,204,189,167,140,"Diphasiastrum multispicatum",22,152.7
"9",120.75,22.62,1085984530,49,54,67,86,108,122,126,125,117,102,81,57,"Diphasiastrum multispicatum",22,49.5
"10",120.88333,22.73333,1265946260,81,88,103,125,147,161,167,165,156,140,117,91,"Diphasiastrum multispicatum",22,94.1
"11",103.687613,22.983563,919576430,113,132,160,191,211,224,224,221,209,186,151,118,"Diphasiastrum multispicatum",22,154
"12",103.687613,22.983563,919576434,113,132,160,191,211,224,224,221,209,186,151,118,"Diphasiastrum multispicatum",22,154
"13",103.687613,22.983563,919576453,113,132,160,191,211,224,224,221,209,186,151,118,"Diphasiastrum multispicatum",22,154
"14",120.736944,23.063889,891685209,109,117,137,163,186,202,209,206,198,178,152,120,"Diphasiastrum multispicatum",22,137.7
"15",120.8,23.1,1821863871,80,87,105,130,154,170,176,174,165,146,120,91,"Diphasiastrum multispicatum",22,99.8
