"","decimalLongitude","decimalLatitude","key","mon_1","mon_2","mon_3","mon_4","mon_5","mon_6","mon_7","mon_8","mon_9","mon_10","mon_11","mon_12","scientificname","code","WI"
"1",98,22,2597504337,163,186,227,254,250,249,246,246,242,229,198,167,"Diphasiastrum veitchii",23,205.7
"2",120.919722,23.460833,1821807699,56,63,81,106,132,150,157,155,145,124,98,67,"Diphasiastrum veitchii",23,73.4
"3",120.960556,23.468333,891702102,-8,-3,10,32,58,76,82,80,70,51,27,2,"Diphasiastrum veitchii",23,11.7
"4",120.960833,23.468611,1821807683,-8,-3,10,32,58,76,82,80,70,51,27,2,"Diphasiastrum veitchii",23,11.7
"5",120.960833,23.468611,1821807851,-8,-3,10,32,58,76,82,80,70,51,27,2,"Diphasiastrum veitchii",23,11.7
"6",120.960833,23.468611,1821808175,-8,-3,10,32,58,76,82,80,70,51,27,2,"Diphasiastrum veitchii",23,11.7
"7",120.960833,23.468611,1821808979,-8,-3,10,32,58,76,82,80,70,51,27,2,"Diphasiastrum veitchii",23,11.7
"8",120.849331,23.473917,622288870,58,65,83,109,135,153,160,158,148,127,100,69,"Diphasiastrum veitchii",23,76.5
"9",120.978889,23.475833,891684525,9,15,29,52,78,96,102,100,90,70,46,19,"Diphasiastrum veitchii",23,23.8
"10",120.908889,23.478333,891694875,28,34,51,75,101,119,125,123,113,93,68,39,"Diphasiastrum veitchii",23,41.8
"11",120.98333,23.48333,1019619303,29,35,51,75,101,119,126,124,113,93,68,40,"Diphasiastrum veitchii",23,42
"12",120.98333,23.48333,1019619321,29,35,51,75,101,119,126,124,113,93,68,40,"Diphasiastrum veitchii",23,42
"13",120.992778,23.502778,891679518,52,59,77,102,128,146,153,151,140,119,93,63,"Diphasiastrum veitchii",23,68.3
"14",121.05,23.51,1086034152,30,36,52,76,102,120,127,125,114,94,69,41,"Diphasiastrum veitchii",23,42.9
"15",121.209167,23.601667,891682150,18,23,38,61,87,106,113,111,100,79,55,29,"Diphasiastrum veitchii",23,31.2
"16",121.219444,23.758333,1821806205,38,44,61,87,114,134,142,139,127,105,79,50,"Diphasiastrum veitchii",23,53.8
"17",120.98,23.83,2417370015,79,86,107,137,165,185,194,191,179,155,126,92,"Diphasiastrum veitchii",23,109.6
"18",121.253056,23.991667,891683103,25,31,47,73,102,124,132,129,117,93,67,37,"Diphasiastrum veitchii",23,43.7
"19",121.2775,24.055833,891682427,8,12,27,53,82,103,112,109,96,73,48,20,"Diphasiastrum veitchii",23,27.8
"20",121.2775,24.055833,891682542,8,12,27,53,82,103,112,109,96,73,48,20,"Diphasiastrum veitchii",23,27.8
"21",121.316667,24.083333,1821790716,1,5,19,44,73,95,103,100,88,65,40,12,"Diphasiastrum veitchii",23,22.4
"22",121.310556,24.090556,891689257,21,26,42,68,97,120,128,126,113,89,63,33,"Diphasiastrum veitchii",23,40.4
"23",121.310556,24.090556,891689266,21,26,42,68,97,120,128,126,113,89,63,33,"Diphasiastrum veitchii",23,40.4
"24",121.283333,24.116667,1822155422,28,33,50,77,106,129,138,135,122,98,71,41,"Diphasiastrum veitchii",23,47.6
"25",121.283333,24.116667,1822158820,28,33,50,77,106,129,138,135,122,98,71,41,"Diphasiastrum veitchii",23,47.6
"26",121.3,24.116667,1822155573,20,24,40,67,96,119,127,125,111,88,61,32,"Diphasiastrum veitchii",23,39.4
"27",121.28333,24.11667,1587341815,28,33,50,77,106,129,138,135,122,98,71,41,"Diphasiastrum veitchii",23,47.6
"28",121.28333,24.11667,1265946483,28,33,50,77,106,129,138,135,122,98,71,41,"Diphasiastrum veitchii",23,47.6
"29",121.3,24.11667,1587341879,20,24,40,67,96,119,127,125,111,88,61,32,"Diphasiastrum veitchii",23,39.4
"30",121.271301,24.133265,2283203360,5,9,24,50,79,101,110,107,94,71,45,17,"Diphasiastrum veitchii",23,26.2
"31",121.26667,24.13333,1587341835,5,9,24,50,79,101,110,107,94,71,45,17,"Diphasiastrum veitchii",23,26.2
"32",121.26667,24.13333,1019619984,5,9,24,50,79,101,110,107,94,71,45,17,"Diphasiastrum veitchii",23,26.2
"33",121.26667,24.13333,1019620001,5,9,24,50,79,101,110,107,94,71,45,17,"Diphasiastrum veitchii",23,26.2
"34",121.26667,24.13333,1019617545,5,9,24,50,79,101,110,107,94,71,45,17,"Diphasiastrum veitchii",23,26.2
"35",121.28333,24.13333,1587341876,9,13,28,54,83,106,114,112,99,75,49,21,"Diphasiastrum veitchii",23,29.3
"36",121.266667,24.133333,1822155512,5,9,24,50,79,101,110,107,94,71,45,17,"Diphasiastrum veitchii",23,26.2
"37",121.283333,24.133333,1821886568,9,13,28,54,83,106,114,112,99,75,49,21,"Diphasiastrum veitchii",23,29.3
"38",121.283333,24.133333,1821914398,9,13,28,54,83,106,114,112,99,75,49,21,"Diphasiastrum veitchii",23,29.3
"39",121.283333,24.133333,1822155557,9,13,28,54,83,106,114,112,99,75,49,21,"Diphasiastrum veitchii",23,29.3
