"","decimalLongitude","decimalLatitude","key","mon_1","mon_2","mon_3","mon_4","mon_5","mon_6","mon_7","mon_8","mon_9","mon_10","mon_11","mon_12","scientificname","code","WI"
"1",120.883333,22.733333,1821808197,81,88,103,125,147,161,167,165,156,140,117,91,"Diphasiastrum yueshanense",24,94.1
"2",120.883333,22.733333,1821808475,81,88,103,125,147,161,167,165,156,140,117,91,"Diphasiastrum yueshanense",24,94.1
"3",120.883333,22.733333,1822039471,81,88,103,125,147,161,167,165,156,140,117,91,"Diphasiastrum yueshanense",24,94.1
"4",120.8,23.1,1821806340,80,87,105,130,154,170,176,174,165,146,120,91,"Diphasiastrum yueshanense",24,99.8
"5",120.883333,23.266667,1821776888,63,70,87,112,137,154,160,158,148,129,103,74,"Diphasiastrum yueshanense",24,79.5
"6",121.219444,23.758333,1821805760,38,44,61,87,114,134,142,139,127,105,79,50,"Diphasiastrum yueshanense",24,53.8
"7",121.310833,24.090833,1821774504,21,26,42,68,97,120,128,126,113,89,63,33,"Diphasiastrum yueshanense",24,40.4
"8",121.216667,24.1,1822155382,60,66,86,116,145,167,177,174,160,135,106,73,"Diphasiastrum yueshanense",24,86.5
"9",121.21667,24.1,1587341756,60,66,86,116,145,167,177,174,160,135,106,73,"Diphasiastrum yueshanense",24,86.5
"10",121.283333,24.116667,1822155578,28,33,50,77,106,129,138,135,122,98,71,41,"Diphasiastrum yueshanense",24,47.6
"11",121.3,24.116667,1822155553,20,24,40,67,96,119,127,125,111,88,61,32,"Diphasiastrum yueshanense",24,39.4
"12",121.28333,24.11667,1587341843,28,33,50,77,106,129,138,135,122,98,71,41,"Diphasiastrum yueshanense",24,47.6
"13",121.28333,24.11667,1019619547,28,33,50,77,106,129,138,135,122,98,71,41,"Diphasiastrum yueshanense",24,47.6
"14",121.28333,24.11667,1019619575,28,33,50,77,106,129,138,135,122,98,71,41,"Diphasiastrum yueshanense",24,47.6
"15",121.3,24.11667,1587341858,20,24,40,67,96,119,127,125,111,88,61,32,"Diphasiastrum yueshanense",24,39.4
"16",121.26667,24.13333,1019619973,5,9,24,50,79,101,110,107,94,71,45,17,"Diphasiastrum yueshanense",24,26.2
"17",121.283333,24.133333,1821886554,9,13,28,54,83,106,114,112,99,75,49,21,"Diphasiastrum yueshanense",24,29.3
"18",121.283333,24.133333,1821914278,9,13,28,54,83,106,114,112,99,75,49,21,"Diphasiastrum yueshanense",24,29.3
"19",121.283333,24.133333,1821914319,9,13,28,54,83,106,114,112,99,75,49,21,"Diphasiastrum yueshanense",24,29.3
"20",121.286111,24.138889,1821854487,9,13,28,54,83,106,114,112,99,75,49,21,"Diphasiastrum yueshanense",24,29.3
"21",121.286111,24.138889,1821854683,9,13,28,54,83,106,114,112,99,75,49,21,"Diphasiastrum yueshanense",24,29.3
"22",121.283333,24.15,1821889428,12,16,31,58,87,110,118,116,102,79,53,24,"Diphasiastrum yueshanense",24,32.3
"23",121.247032,24.154266,2350327355,15,20,35,62,91,114,123,120,107,83,57,27,"Diphasiastrum yueshanense",24,35.7
"24",121.23333,24.16667,1019620082,32,37,54,82,111,134,144,141,127,103,75,45,"Diphasiastrum yueshanense",24,52.1
"25",121.26667,24.16667,1019620383,19,23,39,66,96,118,128,125,111,87,61,31,"Diphasiastrum yueshanense",24,39.2
"26",121.333333,24.366667,1822155398,63,68,87,118,148,173,184,181,166,139,110,77,"Diphasiastrum yueshanense",24,91.4
"27",121.333333,24.366667,1822155571,63,68,87,118,148,173,184,181,166,139,110,77,"Diphasiastrum yueshanense",24,91.4
"28",121.33333,24.36667,1587341799,63,68,87,118,148,173,184,181,166,139,110,77,"Diphasiastrum yueshanense",24,91.4
"29",121.395833,24.371944,891684474,43,47,64,93,123,148,158,155,140,115,87,56,"Diphasiastrum yueshanense",24,63.9
"30",121.29,24.39,1085987183,31,35,51,80,110,134,145,142,128,102,75,44,"Diphasiastrum yueshanense",24,51.7
"31",121.470833,24.479167,1821853665,59,64,82,112,142,168,179,176,160,134,106,73,"Diphasiastrum yueshanense",24,85.5
