"","decimalLongitude","decimalLatitude","key","mon_1","mon_2","mon_3","mon_4","mon_5","mon_6","mon_7","mon_8","mon_9","mon_10","mon_11","mon_12","scientificname","code","WI"
"1",120.937778,23.249167,1821881998,23,28,43,65,90,107,112,111,101,83,59,33,"Dryopteris alpestris",25,32.8
"2",120.95,23.46,1085970849,-6,-2,11,33,59,77,83,81,71,52,29,3,"Dryopteris alpestris",25,12.3
"3",120.954086,23.463616,1883472266,-6,-2,11,33,59,77,83,81,71,52,29,3,"Dryopteris alpestris",25,12.3
"4",120.941667,23.465278,1821859737,7,12,27,50,75,93,99,98,88,68,44,17,"Dryopteris alpestris",25,22.1
"5",120.907778,23.470833,891691364,50,57,74,100,126,144,151,148,138,117,91,61,"Dryopteris alpestris",25,65.7
"6",120.95,23.47,1085985846,-4,1,14,36,62,80,86,85,74,55,32,6,"Dryopteris alpestris",25,14.2
"7",120.96,23.47,1085972927,-8,-3,10,32,58,76,82,80,70,51,27,2,"Dryopteris alpestris",25,11.7
"8",120.949444,23.471944,891692195,13,18,33,56,82,100,106,104,94,74,50,23,"Dryopteris alpestris",25,26.6
"9",120.992778,23.502778,891679481,52,59,77,102,128,146,153,151,140,119,93,63,"Dryopteris alpestris",25,68.3
"10",121.023333,23.503056,891690003,51,58,75,101,127,145,152,149,139,118,92,62,"Dryopteris alpestris",25,66.9
"11",121.05,23.51,1086032559,30,36,52,76,102,120,127,125,114,94,69,41,"Dryopteris alpestris",25,42.9
"12",121,23.5,2597501991,52,59,77,102,129,147,154,151,141,120,94,64,"Dryopteris alpestris",25,69
"13",121,23.5,2597520648,52,59,77,102,129,147,154,151,141,120,94,64,"Dryopteris alpestris",25,69
"14",121.068333,23.513333,891680584,7,12,26,48,74,93,99,97,86,67,43,17,"Dryopteris alpestris",25,21.6
"15",120.768889,23.526667,1821795968,67,74,94,121,147,165,173,170,160,139,111,79,"Dryopteris alpestris",25,90
"16",120.96,23.55,1086034727,64,71,91,117,144,162,170,167,156,135,107,76,"Dryopteris alpestris",25,86
"17",120.775833,23.7325,891682151,129,139,163,196,222,242,251,248,237,212,181,143,"Dryopteris alpestris",25,176.3
"18",121.32,24.05,1085966206,45,50,68,96,125,147,156,153,140,115,88,57,"Dryopteris alpestris",25,64.5
"19",121.35,24.11,1085990871,5,9,23,49,78,100,108,106,93,70,44,17,"Dryopteris alpestris",25,25.5
"20",121.278056,24.131111,891683706,13,17,32,59,88,111,119,117,103,80,54,25,"Dryopteris alpestris",25,33.1
"21",121.278056,24.131111,891683725,13,17,32,59,88,111,119,117,103,80,54,25,"Dryopteris alpestris",25,33.1
"22",121.27,24.13,1086044774,10,14,29,55,84,106,115,112,99,76,50,21,"Dryopteris alpestris",25,29.7
"23",121.266667,24.133333,1821886954,5,9,24,50,79,101,110,107,94,71,45,17,"Dryopteris alpestris",25,26.2
"24",121.283333,24.133333,1821886867,9,13,28,54,83,106,114,112,99,75,49,21,"Dryopteris alpestris",25,29.3
"25",121.266667,24.1375,891681202,5,9,24,50,79,101,110,107,94,71,45,17,"Dryopteris alpestris",25,26.2
"26",121.266667,24.1375,891689001,5,9,24,50,79,101,110,107,94,71,45,17,"Dryopteris alpestris",25,26.2
"27",121.266667,24.1375,891689136,5,9,24,50,79,101,110,107,94,71,45,17,"Dryopteris alpestris",25,26.2
"28",121.266667,24.1375,891691314,5,9,24,50,79,101,110,107,94,71,45,17,"Dryopteris alpestris",25,26.2
"29",121.27,24.14,1085964583,5,9,24,50,79,101,110,107,94,71,45,17,"Dryopteris alpestris",25,26.2
"30",121.282222,24.151111,891682085,8,12,27,53,83,105,114,111,98,75,49,20,"Dryopteris alpestris",25,28.9
"31",121.282222,24.151111,891682237,8,12,27,53,83,105,114,111,98,75,49,20,"Dryopteris alpestris",25,28.9
"32",121.282222,24.151111,891680851,8,12,27,53,83,105,114,111,98,75,49,20,"Dryopteris alpestris",25,28.9
"33",121.282222,24.151111,891680857,8,12,27,53,83,105,114,111,98,75,49,20,"Dryopteris alpestris",25,28.9
"34",121.283333,24.15,1821774673,12,16,31,58,87,110,118,116,102,79,53,24,"Dryopteris alpestris",25,32.3
"35",121.283333,24.15,1821774917,12,16,31,58,87,110,118,116,102,79,53,24,"Dryopteris alpestris",25,32.3
"36",121.283333,24.15,1821786712,12,16,31,58,87,110,118,116,102,79,53,24,"Dryopteris alpestris",25,32.3
"37",121.266667,24.166667,1822144088,19,23,39,66,96,118,128,125,111,87,61,31,"Dryopteris alpestris",25,39.2
"38",121.26667,24.16667,1019620341,19,23,39,66,96,118,128,125,111,87,61,31,"Dryopteris alpestris",25,39.2
"39",121.26667,24.16667,1019620352,19,23,39,66,96,118,128,125,111,87,61,31,"Dryopteris alpestris",25,39.2
"40",121.26667,24.16667,1019620359,19,23,39,66,96,118,128,125,111,87,61,31,"Dryopteris alpestris",25,39.2
"41",121.433333,24.35,1821906615,-6,-3,10,35,65,88,97,95,81,58,33,6,"Dryopteris alpestris",25,18.4
"42",121.443333,24.361667,891691268,-12,-10,3,27,57,80,89,87,74,51,26,-1,"Dryopteris alpestris",25,13.8
"43",121.443333,24.361667,891691909,-12,-10,3,27,57,80,89,87,74,51,26,-1,"Dryopteris alpestris",25,13.8
"44",121.435278,24.366111,891687229,-11,-9,4,29,58,82,91,89,75,52,27,1,"Dryopteris alpestris",25,14.7
"45",121.41667,24.36667,1587341823,14,17,32,59,89,112,122,119,106,81,55,26,"Dryopteris alpestris",25,34.3
"46",121.43,24.37,1086034389,6,9,23,49,79,103,112,110,96,72,46,18,"Dryopteris alpestris",25,27.2
"47",121.43,24.37,1317374936,6,9,23,49,79,103,112,110,96,72,46,18,"Dryopteris alpestris",25,27.2
