"","decimalLongitude","decimalLatitude","key","mon_1","mon_2","mon_3","mon_4","mon_5","mon_6","mon_7","mon_8","mon_9","mon_10","mon_11","mon_12","scientificname","code","WI"
"1",-121.906139,36.983837,2610994597,103,114,125,136,152,169,182,183,179,160,129,104,"Dryopteris expansa",26,113.6
"2",-121.906205,36.983855,2542880393,103,114,125,136,152,169,182,183,179,160,129,104,"Dryopteris expansa",26,113.6
"3",-122.180367,37.354902,2542866845,87,98,108,119,135,153,164,165,161,143,113,88,"Dryopteris expansa",26,93.4
"4",-122.36078,37.43661,2425044982,91,101,110,120,135,152,162,164,160,144,117,93,"Dryopteris expansa",26,94.9
"5",-122.36078,37.43661,2425045707,91,101,110,120,135,152,162,164,160,144,117,93,"Dryopteris expansa",26,94.9
"6",-122.904733,38.101293,2550019507,99,110,121,133,152,171,182,184,178,158,126,101,"Dryopteris expansa",26,111.5
"7",-124.070877,40.870949,2543089932,90,97,105,117,140,163,187,187,177,146,110,89,"Dryopteris expansa",26,100.8
"8",-124.063327,40.88126,2603367285,87,94,102,114,137,161,185,185,174,143,107,86,"Dryopteris expansa",26,97.5
"9",-123.998192,41.20882,2429202874,73,81,90,103,128,153,179,179,166,133,94,72,"Dryopteris expansa",26,85.1
"10",-124.11473,41.637295,2429203089,75,81,89,101,124,147,171,171,160,129,95,74,"Dryopteris expansa",26,81.7
"11",-124.122086,41.777042,2283137620,81,87,95,107,130,152,177,177,166,135,101,80,"Dryopteris expansa",26,88.8
"12",-124.154153,42.011947,2610996477,72,78,86,98,121,143,167,168,156,126,92,71,"Dryopteris expansa",26,77.8
"13",-124.51428,42.886916,2557780324,87,92,99,109,129,149,169,171,163,135,106,86,"Dryopteris expansa",26,89.5
"14",-124.106451,44.270531,2596252461,75,80,90,101,122,143,162,164,155,126,97,75,"Dryopteris expansa",26,79
"15",-123.956047,45.035378,2242950697,71,77,89,101,124,146,167,170,158,125,93,70,"Dryopteris expansa",26,79.1
"16",-122.119171,45.402092,2269319167,33,45,67,93,127,157,192,192,163,112,64,32,"Dryopteris expansa",26,71.7
"17",-123.967505,45.482942,2620156638,75,80,92,105,128,149,170,173,161,128,97,74,"Dryopteris expansa",26,83.2
"18",-75.336667,45.507556,2597691201,-94,-79,-19,63,137,187,213,200,152,84,22,-53,"Dryopteris expansa",26,68.6
"19",-122.184266,45.615282,2238954605,40,52,74,100,134,163,197,198,169,118,71,39,"Dryopteris expansa",26,77.6
"20",-122.814304,45.624594,2550064363,57,67,87,108,139,165,195,196,172,126,84,56,"Dryopteris expansa",26,85.2
"21",-122.827486,46.096684,2609253128,53,64,82,104,134,160,189,190,166,121,80,52,"Dryopteris expansa",26,79.5
"22",-123.816286,46.180954,2611080291,65,71,85,99,123,145,167,170,155,120,88,64,"Dryopteris expansa",26,75.2
"23",8.818039,46.547413,2294349539,-60,-51,-17,12,61,98,121,117,81,37,-18,-50,"Dryopteris expansa",26,22.8
"24",-88.04103,46.650623,2294521047,-95,-85,-40,24,82,123,155,161,122,59,-2,-63,"Dryopteris expansa",26,40.2
"25",-88.035478,46.65174,2294494608,-95,-85,-40,24,82,123,155,161,122,59,-2,-63,"Dryopteris expansa",26,40.2
"26",-88.006899,46.784773,2294497438,-86,-78,-34,26,81,120,154,164,128,66,5,-54,"Dryopteris expansa",26,41.3
"27",-121.904722,46.995556,1993739135,12,24,46,73,109,138,170,171,141,90,42,11,"Dryopteris expansa",26,54.2
"28",-124.148697,46.998432,1990517438,72,76,87,101,123,144,162,167,155,125,94,72,"Dryopteris expansa",26,77.8
