"","decimalLongitude","decimalLatitude","key","mon_1","mon_2","mon_3","mon_4","mon_5","mon_6","mon_7","mon_8","mon_9","mon_10","mon_11","mon_12","scientificname","code","WI"
"1",120.919167,22.925278,891704775,125,133,153,178,201,217,223,220,212,193,167,136,"Elymus formosanus",27,155.8
"2",120.919167,22.925278,1304298451,125,133,153,178,201,217,223,220,212,193,167,136,"Elymus formosanus",27,155.8
"3",120.907778,23.231111,891644262,18,23,37,59,84,101,106,105,95,77,53,27,"Elymus formosanus",27,28
"4",120.907778,23.231111,1304298497,18,23,37,59,84,101,106,105,95,77,53,27,"Elymus formosanus",27,28
"5",120.913056,23.278889,891621467,64,71,89,114,139,156,162,160,150,130,105,75,"Elymus formosanus",27,81.5
"6",120.913056,23.278889,1304298516,64,71,89,114,139,156,162,160,150,130,105,75,"Elymus formosanus",27,81.5
"7",120.92,23.43,1085969858,27,32,48,72,98,115,122,120,110,90,65,37,"Elymus formosanus",27,39.2
"8",120.95,23.46,1085972011,-6,-2,11,33,59,77,83,81,71,52,29,3,"Elymus formosanus",27,12.3
"9",120.960556,23.468333,891635417,-8,-3,10,32,58,76,82,80,70,51,27,2,"Elymus formosanus",27,11.7
"10",120.960556,23.468333,1304298462,-8,-3,10,32,58,76,82,80,70,51,27,2,"Elymus formosanus",27,11.7
"11",120.960556,23.468333,1304298483,-8,-3,10,32,58,76,82,80,70,51,27,2,"Elymus formosanus",27,11.7
"12",120.960556,23.468333,891704432,-8,-3,10,32,58,76,82,80,70,51,27,2,"Elymus formosanus",27,11.7
"13",120.905556,23.468611,891644250,50,57,74,100,126,144,151,148,138,117,91,61,"Elymus formosanus",27,65.7
"14",120.905556,23.468611,891644251,50,57,74,100,126,144,151,148,138,117,91,61,"Elymus formosanus",27,65.7
"15",120.905556,23.468611,1304298413,50,57,74,100,126,144,151,148,138,117,91,61,"Elymus formosanus",27,65.7
"16",120.905556,23.468611,1304298492,50,57,74,100,126,144,151,148,138,117,91,61,"Elymus formosanus",27,65.7
"17",120.892778,23.470556,891704422,45,52,69,94,120,138,145,143,133,112,86,56,"Elymus formosanus",27,59.8
"18",120.892778,23.470556,1304298473,45,52,69,94,120,138,145,143,133,112,86,56,"Elymus formosanus",27,59.8
"19",120.949444,23.471944,1304298517,13,18,33,56,82,100,106,104,94,74,50,23,"Elymus formosanus",27,26.6
"20",120.949444,23.471944,891644274,13,18,33,56,82,100,106,104,94,74,50,23,"Elymus formosanus",27,26.6
"21",120.988056,23.485556,891620763,29,35,51,75,101,119,126,124,113,93,68,40,"Elymus formosanus",27,42
"22",120.988056,23.485556,1304298481,29,35,51,75,101,119,126,124,113,93,68,40,"Elymus formosanus",27,42
"23",120.649109,23.498514,1303702367,112,121,143,173,198,216,224,222,212,190,161,125,"Elymus formosanus",27,149.7
"24",120.811111,23.513611,891635207,55,62,81,107,133,151,158,156,146,125,98,67,"Elymus formosanus",27,73.9
"25",120.811111,23.513611,1304298456,55,62,81,107,133,151,158,156,146,125,98,67,"Elymus formosanus",27,73.9
"26",120.793889,23.514167,891651301,70,77,97,124,150,168,176,173,163,141,114,82,"Elymus formosanus",27,93.5
"27",120.793889,23.514167,1304298505,70,77,97,124,150,168,176,173,163,141,114,82,"Elymus formosanus",27,93.5
"28",120.769167,23.5275,891644257,67,74,94,121,147,165,173,170,160,139,111,79,"Elymus formosanus",27,90
"29",120.769167,23.5275,891644264,67,74,94,121,147,165,173,170,160,139,111,79,"Elymus formosanus",27,90
"30",120.769167,23.5275,891644285,67,74,94,121,147,165,173,170,160,139,111,79,"Elymus formosanus",27,90
