"","decimalLongitude","decimalLatitude","key","mon_1","mon_2","mon_3","mon_4","mon_5","mon_6","mon_7","mon_8","mon_9","mon_10","mon_11","mon_12","scientificname","code","WI"
"1",3.06435,45.73455,2615955514,23,30,61,87,129,165,189,185,148,110,58,32,"Festuca ovina",29,68.2
"2",6.472422,46.666819,2619905680,7,14,50,83,130,164,187,182,144,103,48,18,"Festuca ovina",29,64.3
"3",10.154697,46.776784,2269293525,-59,-48,-14,16,65,102,124,121,84,40,-16,-49,"Festuca ovina",29,24.6
"4",11.498704,48.147411,2610936734,-4,5,45,86,136,165,185,181,140,96,40,9,"Festuca ovina",29,63.9
"5",10.910711,48.689373,2242352656,-1,8,49,90,139,169,188,185,142,96,42,13,"Festuca ovina",29,65.9
"6",10.910711,48.689373,2247789605,-1,8,49,90,139,169,188,185,142,96,42,13,"Festuca ovina",29,65.9
"7",10.291743,48.881596,2237181796,-9,0,40,79,127,158,177,174,131,85,33,5,"Festuca ovina",29,58.1
"8",9.590543,49.293236,2270427105,10,18,58,97,144,175,194,191,149,102,51,23,"Festuca ovina",29,71.1
"9",8.533051,49.320267,2251792379,20,28,68,106,152,182,202,199,157,111,61,33,"Festuca ovina",29,78.8
"10",6.02,49.47,2545416400,10,16,51,84,127,156,178,174,137,96,49,22,"Festuca ovina",29,60.3
"11",6.02,49.47,2545427072,10,16,51,84,127,156,178,174,137,96,49,22,"Festuca ovina",29,60.3
"12",6.02,49.47,2545427186,10,16,51,84,127,156,178,174,137,96,49,22,"Festuca ovina",29,60.3
"13",6.02,49.47,2545427213,10,16,51,84,127,156,178,174,137,96,49,22,"Festuca ovina",29,60.3
"14",6.02,49.47,2545427552,10,16,51,84,127,156,178,174,137,96,49,22,"Festuca ovina",29,60.3
"15",6.02,49.47,2545428477,10,16,51,84,127,156,178,174,137,96,49,22,"Festuca ovina",29,60.3
"16",6.02,49.47,2545429668,10,16,51,84,127,156,178,174,137,96,49,22,"Festuca ovina",29,60.3
"17",6.02,49.48,2545417365,10,16,51,84,127,156,178,174,137,96,49,22,"Festuca ovina",29,60.3
"18",6.02,49.48,2545426698,10,16,51,84,127,156,178,174,137,96,49,22,"Festuca ovina",29,60.3
"19",6.02,49.48,2545427286,10,16,51,84,127,156,178,174,137,96,49,22,"Festuca ovina",29,60.3
"20",6.05,49.83,2545426381,9,14,48,81,124,153,174,171,134,95,48,21,"Festuca ovina",29,58.2
