"","decimalLongitude","decimalLatitude","key","mon_1","mon_2","mon_3","mon_4","mon_5","mon_6","mon_7","mon_8","mon_9","mon_10","mon_11","mon_12","scientificname","code","WI"
"1",148.390814,-36.411337,2421508927,115,112,87,48,13,-14,-21,-10,16,41,70,93,"Festuca rubra",30,22.7
"2",175.813035,-38.981555,2252058975,169,170,151,124,100,79,71,77,95,113,131,154,"Festuca rubra",30,83.4
"3",172.131755,-42.072135,2563568559,119,121,102,75,49,26,18,29,47,65,83,104,"Festuca rubra",30,31.9
"4",169.14997,-52.537508,2563543329,82,84,79,70,58,48,47,49,51,55,61,74,"Festuca rubra",30,16.4
"5",-116.413513,32.868995,2242769270,36,45,62,85,114,148,180,183,164,118,69,35,"Festuca rubra",30,67.3
"6",-121.622397,36.947208,2459172325,90,104,118,133,154,175,190,189,182,157,120,91,"Festuca rubra",30,110.3
"7",-123.209618,44.454064,2574245531,63,73,90,109,138,164,193,194,175,131,89,61,"Festuca rubra",30,88
"8",-123.53753,44.47542,2244250262,24,32,47,63,90,115,141,141,125,86,49,23,"Festuca rubra",30,41.1
"9",-123.5685,44.50704,2273206417,15,23,38,54,80,105,131,131,116,77,41,15,"Festuca rubra",30,34.4
"10",-123.266356,44.599102,2273207573,62,72,89,107,136,161,190,191,172,129,88,60,"Festuca rubra",30,85.7
"11",6.878827,46.47623,2611070626,9,17,52,86,135,170,193,189,150,108,51,19,"Festuca rubra",30,68.4
"12",-122.307755,47.386828,2251875632,47,58,79,105,138,166,195,196,168,119,74,45,"Festuca rubra",30,79.8
"13",-123.304144,48.410544,2620089160,55,64,80,101,130,154,178,180,157,116,78,54,"Festuca rubra",30,74.7
"14",9.304199,48.536957,2251792375,6,14,54,92,139,170,189,186,145,100,47,19,"Festuca rubra",30,67.5
"15",9.304615,48.536957,2251792367,6,14,54,92,139,170,189,186,145,100,47,19,"Festuca rubra",30,67.5
"16",2.07516,48.72928,2483428961,34,39,69,94,133,164,186,184,151,114,68,43,"Festuca rubra",30,71.3
"17",10.263677,48.909435,2251792353,-6,2,42,82,130,160,180,176,134,88,35,7,"Festuca rubra",30,60
"18",-0.173715,49.12903,2483304812,57,58,79,98,130,157,178,180,160,130,91,66,"Festuca rubra",30,78.4
"19",-0.173715,49.12903,2483309077,57,58,79,98,130,157,178,180,160,130,91,66,"Festuca rubra",30,78.4
"20",-0.39307,49.15655,2483313914,59,60,79,98,129,156,176,179,160,131,93,69,"Festuca rubra",30,78.9
"21",-0.40074,49.160095,2483315764,59,60,79,98,128,155,176,179,160,131,93,69,"Festuca rubra",30,78.7
"22",-0.39377,49.16436,2483428907,59,60,79,98,129,156,176,179,160,131,93,69,"Festuca rubra",30,78.9
"23",-0.39377,49.16436,2483438667,59,60,79,98,129,156,176,179,160,131,93,69,"Festuca rubra",30,78.9
"24",1.60943,49.20409,2483438781,38,42,69,94,131,160,181,180,150,115,72,47,"Festuca rubra",30,70.2
"25",1.60579,49.20638,2483308925,38,41,69,93,130,160,181,180,150,115,72,47,"Festuca rubra",30,70
"26",1.60461,49.21,2483309040,39,43,70,94,131,161,182,181,151,116,73,48,"Festuca rubra",30,70.9
"27",-122.807647,49.230308,2619978174,42,55,75,102,137,164,192,193,164,114,68,40,"Festuca rubra",30,76.4
