"","decimalLongitude","decimalLatitude","key","mon_1","mon_2","mon_3","mon_4","mon_5","mon_6","mon_7","mon_8","mon_9","mon_10","mon_11","mon_12","scientificname","code","WI"
"1",120.74,22.61,1086012191,101,108,124,146,167,181,186,184,177,161,138,111,"Gaultheria itoana",31,118.4
"2",120.666667,22.6,1821815253,153,161,181,205,226,240,246,243,236,219,195,164,"Gaultheria itoana",31,186.9
"3",120.74,22.62,1085982877,102,108,124,146,168,182,187,185,177,161,139,112,"Gaultheria itoana",31,119.1
"4",120.753333,22.621944,1821815181,49,54,67,86,108,122,126,125,117,102,81,57,"Gaultheria itoana",31,49.5
"5",120.748611,22.625278,891605642,94,101,116,138,160,174,179,177,169,153,131,104,"Gaultheria itoana",31,109.6
"6",120.748611,22.625278,891617599,94,101,116,138,160,174,179,177,169,153,131,104,"Gaultheria itoana",31,109.6
"7",120.895556,22.731111,891636183,82,88,103,125,147,162,167,165,156,140,118,91,"Gaultheria itoana",31,94.4
"8",120.895556,22.731111,891636207,82,88,103,125,147,162,167,165,156,140,118,91,"Gaultheria itoana",31,94.4
"9",120.883333,22.733333,1821894469,81,88,103,125,147,161,167,165,156,140,117,91,"Gaultheria itoana",31,94.1
"10",120.898173,22.745178,1086063763,81,87,103,124,147,161,166,164,156,140,117,91,"Gaultheria itoana",31,93.7
"11",120.891375,22.74707,1086063743,87,93,109,131,153,168,173,171,163,146,124,97,"Gaultheria itoana",31,101.5
"12",120.816667,22.983333,1821901335,75,82,100,123,146,162,168,166,157,139,115,86,"Gaultheria itoana",31,91.9
"13",120.8125,23.0875,622286611,60,67,84,107,131,147,153,151,142,123,99,71,"Gaultheria itoana",31,73.5
"14",120.798056,23.091389,622286608,76,83,101,125,149,165,171,169,160,141,116,87,"Gaultheria itoana",31,94.3
"15",120.907778,23.231111,891617073,18,23,37,59,84,101,106,105,95,77,53,27,"Gaultheria itoana",31,28
"16",120.907778,23.231111,891617153,18,23,37,59,84,101,106,105,95,77,53,27,"Gaultheria itoana",31,28
"17",120.9375,23.249167,1821882100,23,28,43,65,90,107,112,111,101,83,59,33,"Gaultheria itoana",31,32.8
"18",120.91,23.25,1086010756,35,41,56,79,104,121,127,125,115,96,72,45,"Gaultheria itoana",31,44.5
"19",120.91,23.26,1086011464,50,56,73,97,122,138,145,143,133,114,89,60,"Gaultheria itoana",31,62
"20",120.94,23.26,1086013940,47,54,70,94,118,135,141,139,130,111,86,58,"Gaultheria itoana",31,58.6
"21",120.931389,23.262222,1821903751,64,71,88,113,138,155,161,159,149,130,104,75,"Gaultheria itoana",31,80.7
"22",121.266667,23.266667,1821892957,154,163,185,213,237,255,263,260,249,227,200,166,"Gaultheria itoana",31,197.2
"23",120.951111,23.267778,1821904892,37,43,59,82,107,124,130,128,118,99,75,47,"Gaultheria itoana",31,47.2
"24",120.913056,23.278889,891621497,64,71,89,114,139,156,162,160,150,130,105,75,"Gaultheria itoana",31,81.5
"25",120.913056,23.279722,891609878,64,71,89,114,139,156,162,160,150,130,105,75,"Gaultheria itoana",31,81.5
"26",120.913056,23.279722,891607288,64,71,89,114,139,156,162,160,150,130,105,75,"Gaultheria itoana",31,81.5
