"","decimalLongitude","decimalLatitude","key","mon_1","mon_2","mon_3","mon_4","mon_5","mon_6","mon_7","mon_8","mon_9","mon_10","mon_11","mon_12","scientificname","code","WI"
"1",120.895556,22.731111,891632391,82,88,103,125,147,162,167,165,156,140,118,91,"Gentiana arisanensis",32,94.4
"2",120.987124,23.280725,2429612025,10,15,29,50,75,92,98,96,86,68,45,20,"Gentiana arisanensis",32,21.5
"3",120.992709,23.282168,2529257142,17,23,37,59,83,101,106,104,95,76,53,27,"Gentiana arisanensis",32,27.7
"4",121.056122,23.293219,2283225660,22,27,41,63,88,105,111,109,99,80,57,31,"Gentiana arisanensis",32,31.2
"5",120.953537,23.457733,2331893843,-5,0,13,35,61,79,85,83,73,54,31,5,"Gentiana arisanensis",32,13.5
"6",120.937778,23.4675,891632328,9,14,29,52,78,96,102,100,90,70,46,19,"Gentiana arisanensis",32,23.8
"7",120.937778,23.4675,891632335,9,14,29,52,78,96,102,100,90,70,46,19,"Gentiana arisanensis",32,23.8
"8",120.95448,23.467587,1883485372,-4,1,14,36,62,80,86,85,74,55,32,6,"Gentiana arisanensis",32,14.2
"9",120.960556,23.468333,891633580,-8,-3,10,32,58,76,82,80,70,51,27,2,"Gentiana arisanensis",32,11.7
"10",120.960556,23.468333,891615633,-8,-3,10,32,58,76,82,80,70,51,27,2,"Gentiana arisanensis",32,11.7
"11",120.960556,23.468333,891634124,-8,-3,10,32,58,76,82,80,70,51,27,2,"Gentiana arisanensis",32,11.7
"12",120.960556,23.468333,891662565,-8,-3,10,32,58,76,82,80,70,51,27,2,"Gentiana arisanensis",32,11.7
"13",120.960556,23.468333,891662568,-8,-3,10,32,58,76,82,80,70,51,27,2,"Gentiana arisanensis",32,11.7
"14",120.960556,23.468333,891662562,-8,-3,10,32,58,76,82,80,70,51,27,2,"Gentiana arisanensis",32,11.7
"15",120.954997,23.46874,1883474792,-4,1,14,36,62,80,86,85,74,55,32,6,"Gentiana arisanensis",32,14.2
