"","decimalLongitude","decimalLatitude","key","mon_1","mon_2","mon_3","mon_4","mon_5","mon_6","mon_7","mon_8","mon_9","mon_10","mon_11","mon_12","scientificname","code","WI"
"1",120.95,23.275,1821775349,35,40,56,79,104,121,127,125,115,96,72,45,"Gentiana scabrida var. punctulata",34,44.5
"2",120.95,23.28,1085989785,35,40,56,79,104,121,127,125,115,96,72,45,"Gentiana scabrida var. punctulata",34,44.5
"3",121.36,24.11,1085991896,12,16,31,57,86,108,117,114,101,78,52,24,"Gentiana scabrida var. punctulata",34,31.3
"4",121.311378,24.120453,1822172169,27,32,48,76,105,127,136,133,120,96,69,40,"Gentiana scabrida var. punctulata",34,46.2
"5",121.266667,24.133333,1821784457,5,9,24,50,79,101,110,107,94,71,45,17,"Gentiana scabrida var. punctulata",34,26.2
"6",121.283333,24.133333,1821848597,9,13,28,54,83,106,114,112,99,75,49,21,"Gentiana scabrida var. punctulata",34,29.3
"7",121.283333,24.133333,1821886717,9,13,28,54,83,106,114,112,99,75,49,21,"Gentiana scabrida var. punctulata",34,29.3
"8",121.262222,24.134167,1821826883,23,28,44,72,101,123,133,130,116,92,66,36,"Gentiana scabrida var. punctulata",34,43.3
"9",121.262222,24.134167,1822117346,23,28,44,72,101,123,133,130,116,92,66,36,"Gentiana scabrida var. punctulata",34,43.3
"10",121.274336,24.136494,1822171899,5,9,24,50,79,101,110,107,94,71,45,17,"Gentiana scabrida var. punctulata",34,26.2
"11",121.268056,24.138889,1821775170,5,9,24,50,79,101,110,107,94,71,45,17,"Gentiana scabrida var. punctulata",34,26.2
"12",121.27,24.14,1085982744,5,9,24,50,79,101,110,107,94,71,45,17,"Gentiana scabrida var. punctulata",34,26.2
"13",121.283561,24.147678,2283203705,12,16,31,58,87,110,118,116,103,79,53,24,"Gentiana scabrida var. punctulata",34,32.4
"14",121.275,24.151389,1821879475,8,12,27,53,83,105,114,111,98,75,49,20,"Gentiana scabrida var. punctulata",34,28.9
"15",121.286903,24.157561,1822172167,12,16,31,58,87,110,118,116,102,79,53,24,"Gentiana scabrida var. punctulata",34,32.3
"16",121.28,24.16,1085994533,12,17,32,58,88,110,119,116,103,79,53,24,"Gentiana scabrida var. punctulata",34,32.6
"17",121.288916,24.165393,2596173274,16,20,36,62,92,114,123,121,107,83,57,28,"Gentiana scabrida var. punctulata",34,35.9
"18",121.287622,24.171487,2429249765,10,14,29,56,85,108,117,114,101,77,51,22,"Gentiana scabrida var. punctulata",34,30.9
"19",121.283333,24.179167,1821822158,1,5,19,45,75,97,106,103,90,67,41,13,"Gentiana scabrida var. punctulata",34,23.8
"20",121.28,24.2,1085985451,28,33,49,77,106,130,139,136,122,98,71,41,"Gentiana scabrida var. punctulata",34,47.9
"21",121.016667,24.3,1821855952,50,55,74,104,134,158,168,165,152,126,97,65,"Gentiana scabrida var. punctulata",34,74.8
"22",121.41,24.32,1085974401,15,18,33,60,90,113,123,120,106,82,56,27,"Gentiana scabrida var. punctulata",34,35
"23",121.433333,24.333333,1821906407,6,10,24,50,80,103,113,110,96,72,47,19,"Gentiana scabrida var. punctulata",34,27.4
"24",121.443203,24.369273,2447930654,-10,-7,5,30,60,84,93,90,77,54,29,2,"Gentiana scabrida var. punctulata",34,15.8
"25",121.44,24.37,1085973241,-2,1,14,40,70,93,102,100,86,63,37,10,"Gentiana scabrida var. punctulata",34,21.4
"26",121.44,24.37,1085970209,-2,1,14,40,70,93,102,100,86,63,37,10,"Gentiana scabrida var. punctulata",34,21.4
"27",121.44,24.37,1086003197,-2,1,14,40,70,93,102,100,86,63,37,10,"Gentiana scabrida var. punctulata",34,21.4
"28",121.416278,24.380147,2445026941,16,20,35,62,92,116,126,123,109,84,58,29,"Gentiana scabrida var. punctulata",34,37
"29",121.423325,24.381314,2445054186,10,13,27,54,84,108,117,115,101,77,51,22,"Gentiana scabrida var. punctulata",34,30.7
"30",121.443611,24.411944,1821826859,30,34,50,78,108,132,143,140,125,100,73,43,"Gentiana scabrida var. punctulata",34,49.9
"31",121.443611,24.411944,1821829368,30,34,50,78,108,132,143,140,125,100,73,43,"Gentiana scabrida var. punctulata",34,49.9
