"","decimalLongitude","decimalLatitude","key","mon_1","mon_2","mon_3","mon_4","mon_5","mon_6","mon_7","mon_8","mon_9","mon_10","mon_11","mon_12","scientificname","code","WI"
"1",120.752222,22.630556,891605672,65,71,85,105,127,141,146,144,136,121,99,75,"Gentiana scabrida",35,71.5
"2",120.895556,22.731111,891632352,82,88,103,125,147,162,167,165,156,140,118,91,"Gentiana scabrida",35,94.4
"3",120.884444,22.736944,891618832,81,88,103,125,147,161,167,165,156,140,117,91,"Gentiana scabrida",35,94.1
"4",120.823333,22.9725,891662359,68,74,91,114,137,152,158,156,147,130,106,78,"Gentiana scabrida",35,81.1
"5",120.907778,23.231111,891615547,18,23,37,59,84,101,106,105,95,77,53,27,"Gentiana scabrida",35,28
"6",120.907778,23.231111,891617156,18,23,37,59,84,101,106,105,95,77,53,27,"Gentiana scabrida",35,28
"7",120.91,23.26,1086008067,50,56,73,97,122,138,145,143,133,114,89,60,"Gentiana scabrida",35,62
"8",120.91,23.26,1086008634,50,56,73,97,122,138,145,143,133,114,89,60,"Gentiana scabrida",35,62
"9",120.91,23.26,1086009917,50,56,73,97,122,138,145,143,133,114,89,60,"Gentiana scabrida",35,62
"10",121.020723,23.263926,2283066171,41,47,63,85,110,127,133,131,121,102,78,51,"Gentiana scabrida",35,50.1
"11",121.116667,23.266667,1821864080,101,108,128,154,178,195,202,200,189,169,143,112,"Gentiana scabrida",35,127.9
"12",121.116667,23.266667,1821873902,101,108,128,154,178,195,202,200,189,169,143,112,"Gentiana scabrida",35,127.9
"13",120.951111,23.267778,1821904686,37,43,59,82,107,124,130,128,118,99,75,47,"Gentiana scabrida",35,47.2
"14",120.95,23.27,1085983605,37,43,59,82,107,124,130,128,118,99,75,47,"Gentiana scabrida",35,47.2
"15",120.95,23.275,1821775349,35,40,56,79,104,121,127,125,115,96,72,45,"Gentiana scabrida",35,44.5
"16",120.913056,23.278889,891620956,64,71,89,114,139,156,162,160,150,130,105,75,"Gentiana scabrida",35,81.5
"17",120.913056,23.278889,891621458,64,71,89,114,139,156,162,160,150,130,105,75,"Gentiana scabrida",35,81.5
"18",120.95,23.28,1085989785,35,40,56,79,104,121,127,125,115,96,72,45,"Gentiana scabrida",35,44.5
"19",121.011389,23.441389,891662449,25,31,46,69,95,113,119,117,107,87,63,35,"Gentiana scabrida",35,37
"20",120.956474,23.456619,2331893046,-5,0,13,35,61,79,85,83,73,54,31,5,"Gentiana scabrida",35,13.5
"21",120.919722,23.460833,1821815194,56,63,81,106,132,150,157,155,145,124,98,67,"Gentiana scabrida",35,73.4
"22",120.95,23.46,1085982658,-6,-2,11,33,59,77,83,81,71,52,29,3,"Gentiana scabrida",35,12.3
"23",120.954623,23.465185,2283082906,-6,-2,11,33,59,77,83,81,71,52,29,3,"Gentiana scabrida",35,12.3
"24",120.941667,23.465278,891662429,7,12,27,50,75,93,99,98,88,68,44,17,"Gentiana scabrida",35,22.1
"25",120.954578,23.46666,2283011840,-4,1,14,36,62,80,86,85,74,55,32,6,"Gentiana scabrida",35,14.2
"26",120.960556,23.468333,891601762,-8,-3,10,32,58,76,82,80,70,51,27,2,"Gentiana scabrida",35,11.7
"27",120.960556,23.468333,891601779,-8,-3,10,32,58,76,82,80,70,51,27,2,"Gentiana scabrida",35,11.7
"28",120.960556,23.468333,891662373,-8,-3,10,32,58,76,82,80,70,51,27,2,"Gentiana scabrida",35,11.7
"29",120.892778,23.470556,891592076,45,52,69,94,120,138,145,143,133,112,86,56,"Gentiana scabrida",35,59.8
"30",120.892778,23.470556,891634123,45,52,69,94,120,138,145,143,133,112,86,56,"Gentiana scabrida",35,59.8
"31",120.892778,23.470556,891662415,45,52,69,94,120,138,145,143,133,112,86,56,"Gentiana scabrida",35,59.8
"32",120.892778,23.470556,891662416,45,52,69,94,120,138,145,143,133,112,86,56,"Gentiana scabrida",35,59.8
"33",120.948889,23.470556,1821777691,13,18,33,56,82,100,106,104,94,74,50,23,"Gentiana scabrida",35,26.6
"34",120.87,23.47,1085988547,38,44,61,86,112,130,137,134,124,104,78,49,"Gentiana scabrida",35,51.6
"35",120.94,23.47,1085972211,9,14,29,52,78,96,102,100,90,70,46,19,"Gentiana scabrida",35,23.8
