"","decimalLongitude","decimalLatitude","key","mon_1","mon_2","mon_3","mon_4","mon_5","mon_6","mon_7","mon_8","mon_9","mon_10","mon_11","mon_12","scientificname","code","WI"
"1",167.610819,-45.565352,175987473,137,137,122,102,81,59,54,64,78,91,105,125,"Gnaphalium involucratum simplex",36,55.5
"2",121.116667,23.266667,1821864463,101,108,128,154,178,195,202,200,189,169,143,112,"Gnaphalium involucratum simplex",36,127.9
"3",120.943459,23.468354,622286797,13,18,33,56,82,100,106,104,94,74,50,23,"Gnaphalium involucratum simplex",36,26.6
"4",120.905556,23.468611,891646680,50,57,74,100,126,144,151,148,138,117,91,61,"Gnaphalium involucratum simplex",36,65.7
"5",120.915833,23.471389,891646245,34,41,57,82,107,125,132,130,120,99,74,45,"Gnaphalium involucratum simplex",36,47.6
"6",120.769167,23.5275,891646234,67,74,94,121,147,165,173,170,160,139,111,79,"Gnaphalium involucratum simplex",36,90
"7",120.769167,23.5275,891652508,67,74,94,121,147,165,173,170,160,139,111,79,"Gnaphalium involucratum simplex",36,90
"8",121.2,23.6,1085999586,36,42,58,82,109,128,135,132,121,100,75,47,"Gnaphalium involucratum simplex",36,49
"9",120.776667,23.666667,622286800,102,111,133,164,190,209,218,215,204,181,151,116,"Gnaphalium involucratum simplex",36,139.4
"10",121.273056,24.02,891611637,42,47,65,93,121,143,152,149,136,112,85,54,"Gnaphalium involucratum simplex",36,61
"11",121.251944,24.039444,891615470,50,56,74,103,132,154,163,160,147,122,94,63,"Gnaphalium involucratum simplex",36,71.8
"12",121.179722,24.098611,891592589,58,64,83,113,142,165,174,171,158,132,104,71,"Gnaphalium involucratum simplex",36,83.5
"13",121.22,24.11,1085998548,39,44,62,90,119,142,151,148,135,110,83,52,"Gnaphalium involucratum simplex",36,59.2
"14",121.22,24.11,1086000317,39,44,62,90,119,142,151,148,135,110,83,52,"Gnaphalium involucratum simplex",36,59.2
"15",121.19,24.1,1085997805,54,60,79,108,137,160,170,166,153,128,100,67,"Gnaphalium involucratum simplex",36,78.2
"16",121.23,24.12,1085989915,42,47,65,93,123,145,155,152,138,114,86,54,"Gnaphalium involucratum simplex",36,62.5
"17",121.26,24.12,1085982473,22,26,42,69,98,121,130,127,114,90,63,34,"Gnaphalium involucratum simplex",36,41.2
"18",121.234453,24.122792,622286798,31,36,53,81,110,132,142,139,125,101,74,44,"Gnaphalium involucratum simplex",36,50.7
"19",121.266667,24.133333,1821783679,5,9,24,50,79,101,110,107,94,71,45,17,"Gnaphalium involucratum simplex",36,26.2
"20",121.261944,24.134167,891597466,23,28,44,72,101,123,133,130,116,92,66,36,"Gnaphalium involucratum simplex",36,43.3
"21",121.11,24.33,1085985429,-2,1,15,42,72,95,104,102,89,65,39,10,"Gnaphalium involucratum simplex",36,22.7
"22",121.12,24.37,1086001095,30,34,51,79,110,134,144,142,128,103,75,44,"Gnaphalium involucratum simplex",36,51.6
"23",121.268889,24.380278,891628011,36,40,57,86,116,140,151,148,133,108,80,49,"Gnaphalium involucratum simplex",36,56.9
"24",121.268889,24.380278,891628033,36,40,57,86,116,140,151,148,133,108,80,49,"Gnaphalium involucratum simplex",36,56.9
"25",121.27,24.38,1086008841,36,40,57,86,116,140,151,148,133,108,80,49,"Gnaphalium involucratum simplex",36,56.9
"26",121.28,24.39,1085976339,16,20,35,63,93,117,127,124,110,86,59,29,"Gnaphalium involucratum simplex",36,37.9
"27",120.75,24.433333,1821873061,133,139,163,199,230,254,268,265,251,222,190,150,"Gnaphalium involucratum simplex",36,186.4
"28",121.19,24.47,1085997883,49,53,71,102,133,157,169,166,151,125,96,63,"Gnaphalium involucratum simplex",36,73.6
"29",121.141667,24.505556,891602578,41,45,62,91,123,147,159,156,142,116,87,55,"Gnaphalium involucratum simplex",36,63.8
"30",121.107836,24.50653,622286796,55,59,77,108,139,164,176,173,158,132,103,70,"Gnaphalium involucratum simplex",36,81.4
"31",121.617778,25.136389,622286799,122,126,145,179,212,240,257,254,237,208,177,140,"Gnaphalium involucratum simplex",36,169.7
"32",121.558889,25.286667,891590063,145,149,169,206,239,269,287,285,267,236,204,165,"Gnaphalium involucratum simplex",36,202.1
