"","decimalLongitude","decimalLatitude","key","mon_1","mon_2","mon_3","mon_4","mon_5","mon_6","mon_7","mon_8","mon_9","mon_10","mon_11","mon_12","scientificname","code","WI"
"1",121.160278,23.048611,891636410,170,179,202,229,252,268,276,273,263,242,215,181,"Helictotrichon abietetorum",37,215
"2",121.160278,23.048611,891638744,170,179,202,229,252,268,276,273,263,242,215,181,"Helictotrichon abietetorum",37,215
"3",120.95,23.46,1085970245,-6,-2,11,33,59,77,83,81,71,52,29,3,"Helictotrichon abietetorum",37,12.3
"4",120.960556,23.468333,891642006,-8,-3,10,32,58,76,82,80,70,51,27,2,"Helictotrichon abietetorum",37,11.7
"5",120.905556,23.468611,891642048,50,57,74,100,126,144,151,148,138,117,91,61,"Helictotrichon abietetorum",37,65.7
"6",120.907778,23.470833,891642040,50,57,74,100,126,144,151,148,138,117,91,61,"Helictotrichon abietetorum",37,65.7
"7",120.95,23.47,1085969303,-4,1,14,36,62,80,86,85,74,55,32,6,"Helictotrichon abietetorum",37,14.2
"8",120.95,23.47,1085972739,-4,1,14,36,62,80,86,85,74,55,32,6,"Helictotrichon abietetorum",37,14.2
"9",120.95,23.47,1085985201,-4,1,14,36,62,80,86,85,74,55,32,6,"Helictotrichon abietetorum",37,14.2
"10",120.95,23.49,1085970764,2,7,21,43,70,88,94,92,82,62,38,12,"Helictotrichon abietetorum",37,18.8
"11",120.994167,23.503333,891620643,52,59,77,102,128,146,153,151,140,119,93,63,"Helictotrichon abietetorum",37,68.3
"12",121.261944,24.134167,891635718,23,28,44,72,101,123,133,130,116,92,66,36,"Helictotrichon abietetorum",37,43.3
"13",121.262222,24.134167,1821786497,23,28,44,72,101,123,133,130,116,92,66,36,"Helictotrichon abietetorum",37,43.3
"14",121.240833,24.3475,891642002,53,58,77,107,137,161,172,169,155,128,100,67,"Helictotrichon abietetorum",37,78.4
"15",121.439538,24.360961,1086073707,-11,-9,4,29,58,82,91,89,75,52,27,1,"Helictotrichon abietetorum",37,14.7
"16",121.43,24.36,1085970517,5,9,23,49,79,102,112,109,95,71,46,18,"Helictotrichon abietetorum",37,26.8
"17",121.45,24.36,1085984566,-10,-7,6,31,61,84,93,91,77,54,29,2,"Helictotrichon abietetorum",37,16
"18",121.4375,24.363611,891641999,-11,-9,4,29,58,82,91,89,75,52,27,1,"Helictotrichon abietetorum",37,14.7
"19",121.4375,24.363611,891642000,-11,-9,4,29,58,82,91,89,75,52,27,1,"Helictotrichon abietetorum",37,14.7
"20",121.4375,24.363611,891642020,-11,-9,4,29,58,82,91,89,75,52,27,1,"Helictotrichon abietetorum",37,14.7
"21",121.4375,24.363611,891642074,-11,-9,4,29,58,82,91,89,75,52,27,1,"Helictotrichon abietetorum",37,14.7
"22",121.435278,24.366111,891608190,-11,-9,4,29,58,82,91,89,75,52,27,1,"Helictotrichon abietetorum",37,14.7
"23",121.444409,24.370066,1086073730,-10,-7,5,30,60,84,93,90,77,54,29,2,"Helictotrichon abietetorum",37,15.8
"24",121.44,24.37,1085970667,-2,1,14,40,70,93,102,100,86,63,37,10,"Helictotrichon abietetorum",37,21.4
"25",121.44,24.37,1085986532,-2,1,14,40,70,93,102,100,86,63,37,10,"Helictotrichon abietetorum",37,21.4
"26",121.413333,24.378611,891642037,16,20,35,62,92,116,126,123,109,84,58,29,"Helictotrichon abietetorum",37,37
"27",121.413333,24.378611,891642038,16,20,35,62,92,116,126,123,109,84,58,29,"Helictotrichon abietetorum",37,37
"28",121.432961,24.383281,1086073719,3,6,20,46,76,100,109,106,93,69,43,15,"Helictotrichon abietetorum",37,25.3
"29",121.27,24.39,1085981641,10,13,28,55,86,110,119,117,103,79,52,23,"Helictotrichon abietetorum",37,32.1
"30",121.289444,24.427778,891605826,6,9,23,50,81,105,115,112,98,74,48,19,"Helictotrichon abietetorum",37,28.5
"31",121.250833,24.463056,891618365,0,2,16,43,73,97,107,105,91,67,41,13,"Helictotrichon abietetorum",37,24
"32",121.250833,24.463056,891620000,0,2,16,43,73,97,107,105,91,67,41,13,"Helictotrichon abietetorum",37,24
"33",121.250833,24.463056,891633498,0,2,16,43,73,97,107,105,91,67,41,13,"Helictotrichon abietetorum",37,24
"34",121.250833,24.463056,891634999,0,2,16,43,73,97,107,105,91,67,41,13,"Helictotrichon abietetorum",37,24
"35",121.250833,24.463056,891635020,0,2,16,43,73,97,107,105,91,67,41,13,"Helictotrichon abietetorum",37,24
"36",121.250833,24.463056,891635194,0,2,16,43,73,97,107,105,91,67,41,13,"Helictotrichon abietetorum",37,24
"37",121.250833,24.463056,891635300,0,2,16,43,73,97,107,105,91,67,41,13,"Helictotrichon abietetorum",37,24
"38",121.250833,24.463056,891635310,0,2,16,43,73,97,107,105,91,67,41,13,"Helictotrichon abietetorum",37,24
"39",121.250833,24.463056,891635319,0,2,16,43,73,97,107,105,91,67,41,13,"Helictotrichon abietetorum",37,24
"40",121.250833,24.463056,891635369,0,2,16,43,73,97,107,105,91,67,41,13,"Helictotrichon abietetorum",37,24
"41",99.79929,28.932073,1030869798,-6,11,42,77,118,150,155,149,133,88,35,3,"Helictotrichon abietetorum",37,52
