"","decimalLongitude","decimalLatitude","key","mon_1","mon_2","mon_3","mon_4","mon_5","mon_6","mon_7","mon_8","mon_9","mon_10","mon_11","mon_12","scientificname","code","WI"
"1",120.91,23.24,1085979790,17,23,37,59,84,100,106,104,95,76,53,27,"Hieracium morii",38,27.7
"2",120.91,23.24,1085997828,17,23,37,59,84,100,106,104,95,76,53,27,"Hieracium morii",38,27.7
"3",120.91,23.24,1085998338,17,23,37,59,84,100,106,104,95,76,53,27,"Hieracium morii",38,27.7
"4",120.959167,23.270556,891607662,26,32,47,69,94,111,117,115,105,86,63,36,"Hieracium morii",38,36
"5",120.941667,23.465278,891652374,7,12,27,50,75,93,99,98,88,68,44,17,"Hieracium morii",38,22.1
"6",120.960556,23.468333,891600724,-8,-3,10,32,58,76,82,80,70,51,27,2,"Hieracium morii",38,11.7
"7",120.901389,23.478611,891652355,42,48,65,90,116,134,141,139,129,108,82,53,"Hieracium morii",38,55.7
"8",121.049722,23.493889,891648896,7,12,26,49,75,93,99,97,87,67,43,17,"Hieracium morii",38,21.8
"9",120.994444,23.503611,891596112,52,59,77,102,128,146,153,151,140,119,93,63,"Hieracium morii",38,68.3
"10",121.27,24.04,1085996302,41,47,64,92,121,143,152,149,136,112,85,54,"Hieracium morii",38,60.8
"11",121.2775,24.055833,891652360,8,12,27,53,82,103,112,109,96,73,48,20,"Hieracium morii",38,27.8
"12",121.2775,24.055833,891652371,8,12,27,53,82,103,112,109,96,73,48,20,"Hieracium morii",38,27.8
"13",121.270833,24.0625,1821864133,25,30,47,73,102,124,133,130,117,94,67,38,"Hieracium morii",38,44
"14",121.283333,24.133333,1821886981,9,13,28,54,83,106,114,112,99,75,49,21,"Hieracium morii",38,29.3
"15",121.272041,24.139181,2429226371,5,9,24,50,79,101,110,107,94,71,45,17,"Hieracium morii",38,26.2
"16",121.27,24.14,1085966244,5,9,24,50,79,101,110,107,94,71,45,17,"Hieracium morii",38,26.2
"17",121.27,24.14,1086042866,5,9,24,50,79,101,110,107,94,71,45,17,"Hieracium morii",38,26.2
"18",121.284342,24.142992,2423101500,12,16,31,58,87,110,118,116,103,79,53,24,"Hieracium morii",38,32.4
"19",121.284722,24.161667,891597320,16,20,36,62,92,114,123,121,107,83,57,28,"Hieracium morii",38,35.9
"20",121.387222,24.19,891597327,62,68,87,116,146,169,180,176,162,136,108,75,"Hieracium morii",38,88.5
"21",121.299722,24.218889,891620179,37,42,59,88,117,141,150,147,133,108,81,50,"Hieracium morii",38,57.4
"22",121.729167,24.313611,891596190,128,135,157,189,218,243,255,251,235,207,178,142,"Hieracium morii",38,173.8
"23",121.443333,24.361667,891626825,-12,-10,3,27,57,80,89,87,74,51,26,-1,"Hieracium morii",38,13.8
"24",121.443333,24.361667,891652386,-12,-10,3,27,57,80,89,87,74,51,26,-1,"Hieracium morii",38,13.8
"25",121.436389,24.365556,891590408,-11,-9,4,29,58,82,91,89,75,52,27,1,"Hieracium morii",38,14.7
"26",121.224444,24.378611,891648938,-2,1,15,42,72,96,105,103,89,65,39,11,"Hieracium morii",38,23
"27",121.260833,24.429444,622287122,-3,0,14,40,71,95,104,102,88,64,38,10,"Hieracium morii",38,22.4
"28",121.272575,24.429981,2429225922,-5,-2,12,38,68,92,102,99,86,62,36,8,"Hieracium morii",38,20.9
"29",121.296111,24.434444,622287121,16,19,34,61,92,116,127,124,110,85,58,29,"Hieracium morii",38,37.3
"30",121.250833,24.463056,891631198,0,2,16,43,73,97,107,105,91,67,41,13,"Hieracium morii",38,24
"31",121.2,24.47,1085980402,32,35,52,81,112,136,147,144,130,105,77,46,"Hieracium morii",38,53.4
