"","decimalLongitude","decimalLatitude","key","mon_1","mon_2","mon_3","mon_4","mon_5","mon_6","mon_7","mon_8","mon_9","mon_10","mon_11","mon_12","scientificname","code","WI"
"1",120.753333,22.621944,1821839649,49,54,67,86,108,122,126,125,117,102,81,57,"Hydrocotyle setulosa",39,49.5
"2",120.752222,22.630556,891665864,65,71,85,105,127,141,146,144,136,121,99,75,"Hydrocotyle setulosa",39,71.5
"3",120.900376,22.736424,622287230,81,87,103,124,146,161,166,164,156,140,117,91,"Hydrocotyle setulosa",39,93.6
"4",120.814722,23.110833,891623449,89,96,115,140,164,180,187,184,175,156,130,100,"Hydrocotyle setulosa",39,111.6
"5",120.9,23.26,1085981721,33,39,54,77,102,119,125,123,113,95,70,43,"Hydrocotyle setulosa",39,42.8
"6",120.916667,23.283333,574660156,81,88,107,133,158,175,181,179,169,149,123,92,"Hydrocotyle setulosa",39,103.5
"7",120.916667,23.283333,575258673,81,88,107,133,158,175,181,179,169,149,123,92,"Hydrocotyle setulosa",39,103.5
"8",120.664746,23.434094,1932351259,107,115,137,166,191,209,217,214,205,183,154,120,"Hydrocotyle setulosa",39,141.8
"9",120.892778,23.470556,891615407,45,52,69,94,120,138,145,143,133,112,86,56,"Hydrocotyle setulosa",39,59.8
"10",120.901078,23.476017,1946199010,42,48,65,90,116,134,141,139,129,108,82,53,"Hydrocotyle setulosa",39,55.7
"11",120.818645,23.477319,1946200708,59,66,84,111,136,155,162,159,149,128,101,70,"Hydrocotyle setulosa",39,78
"12",120.827904,23.482829,2451590590,52,59,77,103,129,147,154,152,141,121,94,64,"Hydrocotyle setulosa",39,69.3
"13",120.722114,23.491433,2619890696,91,99,120,148,173,192,199,197,187,165,137,103,"Hydrocotyle setulosa",39,121.1
"14",120.721044,23.492329,2619897132,81,88,109,136,162,180,188,185,175,154,126,93,"Hydrocotyle setulosa",39,107.7
"15",120.799542,23.507287,2238946797,63,70,89,116,142,160,167,165,155,133,106,75,"Hydrocotyle setulosa",39,84.1
