"","decimalLongitude","decimalLatitude","key","mon_1","mon_2","mon_3","mon_4","mon_5","mon_6","mon_7","mon_8","mon_9","mon_10","mon_11","mon_12","scientificname","code","WI"
"1",120.987847,23.28053,2529247205,10,15,29,50,75,92,98,96,86,68,45,20,"Hypericum nagasawae",40,21.5
"2",120.954553,23.466626,2252027613,-4,1,14,36,62,80,86,85,74,55,32,6,"Hypericum nagasawae",40,14.2
"3",120.92642,23.467037,2423146238,13,18,33,56,82,100,106,104,94,74,50,23,"Hypericum nagasawae",40,26.6
"4",120.873322,23.468754,2294658717,38,44,61,86,112,130,137,134,124,104,78,49,"Hypericum nagasawae",40,51.6
"5",120.954867,23.469031,1883474171,-4,1,14,36,62,80,86,85,74,55,32,6,"Hypericum nagasawae",40,14.2
"6",120.954721,23.469337,1883474730,-4,1,14,36,62,80,86,85,74,55,32,6,"Hypericum nagasawae",40,14.2
"7",120.961608,23.470375,2423146489,-8,-3,10,32,58,76,82,80,70,51,27,2,"Hypericum nagasawae",40,11.7
"8",120.911562,23.471287,1901059821,34,41,57,82,107,125,132,130,120,99,74,45,"Hypericum nagasawae",40,47.6
"9",120.921722,23.472425,1901074110,31,37,53,77,103,121,127,125,115,95,70,41,"Hypericum nagasawae",40,43.6
"10",120.882363,23.473358,2294629165,37,43,60,85,111,129,136,134,123,103,77,48,"Hypericum nagasawae",40,50.8
"11",120.882629,23.473373,2331876116,37,43,60,85,111,129,136,134,123,103,77,48,"Hypericum nagasawae",40,50.8
"12",120.891514,23.473402,2429300821,43,50,67,92,118,136,143,141,130,110,84,54,"Hypericum nagasawae",40,57.5
"13",120.904987,23.473917,1933541817,50,57,74,100,126,144,151,148,138,117,91,61,"Hypericum nagasawae",40,65.7
"14",120.904857,23.473927,1933541816,50,57,74,100,126,144,151,148,138,117,91,61,"Hypericum nagasawae",40,65.7
"15",120.901083,23.475126,2252014592,42,48,65,90,116,134,141,139,129,108,82,53,"Hypericum nagasawae",40,55.7
"16",120.885347,23.475476,1839278377,39,45,62,87,113,131,138,136,126,105,79,50,"Hypericum nagasawae",40,52.7
"17",120.885637,23.475722,1945476369,39,45,62,87,113,131,138,136,126,105,79,50,"Hypericum nagasawae",40,52.7
"18",120.900663,23.475835,1901052027,42,48,65,90,116,134,141,139,129,108,82,53,"Hypericum nagasawae",40,55.7
"19",120.866837,23.47908,2366066006,50,57,75,101,126,145,151,149,139,118,92,62,"Hypericum nagasawae",40,66.5
"20",120.885788,23.482096,2273319620,39,45,62,87,113,131,138,136,126,105,79,50,"Hypericum nagasawae",40,52.7
"21",120.885923,23.482818,2294658819,39,45,62,87,113,131,138,136,126,105,79,50,"Hypericum nagasawae",40,52.7
"22",120.887069,23.484952,2422919326,45,51,69,94,120,138,145,143,133,112,86,56,"Hypericum nagasawae",40,59.7
"23",120.890377,23.486067,2294586042,45,51,69,94,120,138,145,143,133,112,86,56,"Hypericum nagasawae",40,59.7
"24",120.890486,23.487712,2283102784,45,51,69,94,120,138,145,143,133,112,86,56,"Hypericum nagasawae",40,59.7
"25",120.894533,23.495556,2429590005,46,52,70,95,121,139,146,144,134,113,87,57,"Hypericum nagasawae",40,60.8
"26",120.946038,23.508537,1993705349,51,57,75,101,127,145,152,150,139,118,92,62,"Hypericum nagasawae",40,66.9
"27",120.55,23.71,2417305782,162,171,197,231,257,277,287,284,274,249,217,177,"Hypericum nagasawae",40,218.3
"28",121.235008,23.726515,2311364427,29,35,51,76,103,123,130,127,116,94,69,40,"Hypericum nagasawae",40,43.9
"29",121.233917,23.751474,2311364205,29,35,51,76,103,123,130,128,116,94,69,40,"Hypericum nagasawae",40,44
"30",121.223572,23.782351,2563565280,31,36,52,78,105,125,133,130,119,97,71,42,"Hypericum nagasawae",40,46
"31",120.98,23.83,2417372992,79,86,107,137,165,185,194,191,179,155,126,92,"Hypericum nagasawae",40,109.6
"32",120.98,23.83,2417371589,79,86,107,137,165,185,194,191,179,155,126,92,"Hypericum nagasawae",40,109.6
"33",121.279883,24.031555,1933540235,31,36,53,80,108,130,139,136,123,99,73,43,"Hypericum nagasawae",40,49.1
"34",121.275402,24.046579,1933540234,22,27,43,69,98,120,129,126,113,90,63,34,"Hypericum nagasawae",40,40.8
"35",121.262222,24.134167,2517091017,23,28,44,72,101,123,133,130,116,92,66,36,"Hypericum nagasawae",40,43.3
"36",121.281197,24.135843,2423154916,3,7,22,48,77,99,108,105,92,69,43,15,"Hypericum nagasawae",40,25
"37",121.281,24.135856,2423113620,3,7,22,48,77,99,108,105,92,69,43,15,"Hypericum nagasawae",40,25
"38",121.281053,24.135877,1933540240,3,7,22,48,77,99,108,105,92,69,43,15,"Hypericum nagasawae",40,25
"39",121.271704,24.136131,2283151596,5,9,24,50,79,101,110,107,94,71,45,17,"Hypericum nagasawae",40,26.2
"40",121.276108,24.136944,2311423547,3,7,22,48,77,99,108,105,92,69,43,15,"Hypericum nagasawae",40,25
"41",121.271993,24.13936,1933540239,5,9,24,50,79,101,110,107,94,71,45,17,"Hypericum nagasawae",40,26.2
"42",121.283973,24.143702,2423099907,12,16,31,58,87,110,118,116,103,79,53,24,"Hypericum nagasawae",40,32.4
"43",121.284225,24.14594,2294544238,12,16,31,58,87,110,118,116,103,79,53,24,"Hypericum nagasawae",40,32.4
"44",121.283667,24.14596,1901049341,12,16,31,58,87,110,118,116,103,79,53,24,"Hypericum nagasawae",40,32.4
"45",121.284226,24.146591,2609326130,12,16,31,58,87,110,118,116,103,79,53,24,"Hypericum nagasawae",40,32.4
"46",121.284608,24.152265,2283151676,12,16,31,58,87,110,118,116,102,79,53,24,"Hypericum nagasawae",40,32.3
"47",121.284572,24.152514,1933540233,12,16,31,58,87,110,118,116,102,79,53,24,"Hypericum nagasawae",40,32.3
"48",121.286422,24.161505,1899791570,16,20,36,62,92,114,123,121,107,83,57,28,"Hypericum nagasawae",40,35.9
"49",121.286422,24.161505,1899792123,16,20,36,62,92,114,123,121,107,83,57,28,"Hypericum nagasawae",40,35.9
"50",121.287515,24.1625,1990444627,16,20,36,62,92,114,123,121,107,83,57,28,"Hypericum nagasawae",40,35.9
"51",121.288003,24.163828,2423113335,16,20,36,62,92,114,123,121,107,83,57,28,"Hypericum nagasawae",40,35.9
"52",121.281585,24.181503,2460037319,1,5,19,45,74,97,105,103,90,67,41,13,"Hypericum nagasawae",40,23.6
"53",121.43,24.37,2236148846,6,9,23,49,79,103,112,110,96,72,46,18,"Hypericum nagasawae",40,27.2
