"","decimalLongitude","decimalLatitude","key","mon_1","mon_2","mon_3","mon_4","mon_5","mon_6","mon_7","mon_8","mon_9","mon_10","mon_11","mon_12","scientificname","code","WI"
"1",120.9,23.46667,1019619530,50,57,74,100,126,144,151,148,138,117,91,61,"Juniperus formosana formosana",41,65.7
"2",120.83,23.5,912138519,67,74,93,120,146,164,171,169,159,137,110,78,"Juniperus formosana formosana",41,88.8
"3",120.8,23.53,912138564,64,71,90,117,143,161,169,166,156,135,107,76,"Juniperus formosana formosana",41,85.5
"4",120.8,23.53,912138582,64,71,90,117,143,161,169,166,156,135,107,76,"Juniperus formosana formosana",41,85.5
"5",120.93333,23.58333,1265946256,48,54,72,98,125,143,151,148,138,116,89,59,"Juniperus formosana formosana",41,64.3
"6",121.27,24.13,912138581,10,14,29,55,84,106,115,112,99,76,50,21,"Juniperus formosana formosana",41,29.7
"7",121.266667,24.133333,1822032935,5,9,24,50,79,101,110,107,94,71,45,17,"Juniperus formosana formosana",41,26.2
"8",121.283333,24.153611,575185517,12,16,31,58,87,110,118,116,102,79,53,24,"Juniperus formosana formosana",41,32.3
"9",121.28333,24.16667,1265946276,10,14,29,56,85,108,117,114,101,77,51,22,"Juniperus formosana formosana",41,30.9
"10",121.666667,24.45,1821791028,109,116,136,168,198,224,236,232,216,188,159,124,"Juniperus formosana formosana",41,150.6
"11",121.666667,24.45,1821791079,109,116,136,168,198,224,236,232,216,188,159,124,"Juniperus formosana formosana",41,150.6
"12",102.68,25.07,912138514,87,113,148,182,198,205,204,199,183,158,120,86,"Juniperus formosana formosana",41,128.3
"13",100.17,25.92,912138539,74,95,127,160,193,209,206,202,187,160,115,80,"Juniperus formosana formosana",41,120.8
"14",103.17,26.08,912138532,112,141,179,214,231,238,242,237,217,188,149,113,"Juniperus formosana formosana",41,166.1
"15",119.45,26.12,912138550,102,108,134,178,218,253,277,272,251,212,170,122,"Juniperus formosana formosana",41,169.7
"16",100.28,26.37,912138495,74,94,127,161,196,212,210,206,189,161,114,80,"Juniperus formosana formosana",41,122.4
"17",100.25,26.83,912138546,48,66,96,131,168,188,187,182,166,136,88,54,"Juniperus formosana formosana",41,91.2
"18",100.27,26.85,912138502,49,66,97,132,169,189,188,183,166,136,88,55,"Juniperus formosana formosana",41,91.9
"19",100.33,27.17,912124516,51,68,98,135,172,192,191,187,170,139,90,57,"Juniperus formosana formosana",41,95
"20",101.65,27.45,912138500,42,65,97,132,160,174,178,174,153,122,80,46,"Juniperus formosana formosana",41,83.5
"21",119.63,27.58,912138513,49,62,92,140,182,217,247,239,210,165,117,66,"Juniperus formosana formosana",41,118.7
"22",108.83,27.7,912138522,57,80,120,179,223,254,281,275,237,184,135,81,"Juniperus formosana formosana",41,150.6
"23",101.5,27.83,912138592,-7,11,39,72,106,125,131,126,106,73,29,-3,"Juniperus formosana formosana",41,38.9
"24",108.83,27.95,912138518,40,61,99,156,200,232,258,252,215,162,115,62,"Juniperus formosana formosana",41,126.2
"25",100.83,28.67,912138534,-44,-29,-5,27,68,97,103,97,79,42,-9,-39,"Juniperus formosana formosana",41,19.4
"26",101.55,28.92,912138509,-6,11,38,70,105,130,139,134,113,77,30,-1,"Juniperus formosana formosana",41,41.8
"27",102.72,29.35,912138541,58,81,119,165,196,219,238,235,202,161,118,73,"Juniperus formosana formosana",41,126.5
"28",116,29.5,912138506,47,71,111,173,224,257,290,283,242,188,126,68,"Juniperus formosana formosana",41,148.3
"29",121.5,29.83,912138487,63,76,108,160,209,248,289,284,250,202,148,88,"Juniperus formosana formosana",41,152.5
"30",102.03,30.05,912138520,-52,-35,-9,28,67,95,110,105,80,39,-11,-46,"Juniperus formosana formosana",41,20.7
"31",102.03,30.05,912138542,-52,-35,-9,28,67,95,110,105,80,39,-11,-46,"Juniperus formosana formosana",41,20.7
"32",102.03,30.05,912138525,-52,-35,-9,28,67,95,110,105,80,39,-11,-46,"Juniperus formosana formosana",41,20.7
"33",108.75,30.17,912138529,38,56,95,149,192,224,248,246,207,154,106,56,"Juniperus formosana formosana",41,118.3
"34",120.17,30.25,912138527,50,70,109,169,220,255,296,287,245,193,133,72,"Juniperus formosana formosana",41,149.9
"35",102.83,30.38,912138524,21,42,78,125,161,186,205,201,168,126,79,34,"Juniperus formosana formosana",41,87.9
"36",111.33,30.77,912124518,50,73,115,180,228,262,286,279,235,183,128,73,"Juniperus formosana formosana",41,149.2
"37",108.8,31.97,912138526,5,26,63,118,162,198,220,216,174,123,70,20,"Juniperus formosana formosana",41,89.4
"38",119.13,34.57,912138508,4,27,74,141,198,238,266,261,218,162,90,25,"Juniperus formosana formosana",41,119.8
"39",103.5,34.58,912138521,-63,-32,7,54,94,127,148,141,103,51,-7,-50,"Juniperus formosana formosana",41,36.8
"40",103.390556,34.601944,575308143,-64,-32,7,53,93,126,146,140,101,50,-8,-50,"Juniperus formosana formosana",41,35.9
"41",103.391111,34.602222,575035658,-64,-32,7,53,93,126,146,140,101,50,-8,-50,"Juniperus formosana formosana",41,35.9
