"","decimalLongitude","decimalLatitude","key","mon_1","mon_2","mon_3","mon_4","mon_5","mon_6","mon_7","mon_8","mon_9","mon_10","mon_11","mon_12","scientificname","code","WI"
"1",174.900179,-37.781549,1897742748,192,196,181,158,136,116,107,112,125,139,156,177,"Juniperus squamata",42,119.5
"2",174.900179,-37.781549,1897751049,192,196,181,158,136,116,107,112,125,139,156,177,"Juniperus squamata",42,119.5
"3",170.088584,-44.257449,2311273382,144,143,123,94,64,39,33,48,69,88,108,130,"Juniperus squamata",42,51.3
"4",120.9,23.22,1086004277,20,25,40,62,86,103,109,107,98,79,56,30,"Juniperus squamata",42,30
"5",120.986067,23.266146,2529354285,33,38,53,76,101,118,124,122,112,93,69,43,"Juniperus squamata",42,41.8
"6",120.986749,23.271593,1890082519,17,23,37,58,83,100,106,104,94,76,53,27,"Juniperus squamata",42,27.4
"7",120.986752,23.27161,2283169778,17,23,37,58,83,100,106,104,94,76,53,27,"Juniperus squamata",42,27.4
"8",120.986388,23.272484,2529309326,17,23,37,58,83,100,106,104,94,76,53,27,"Juniperus squamata",42,27.4
"9",120.991168,23.282508,2529306114,10,15,29,50,75,92,98,96,86,68,45,20,"Juniperus squamata",42,21.5
"10",120.933333,23.45,574780986,26,32,48,72,97,115,122,120,110,90,65,37,"Juniperus squamata",42,39.1
"11",120.962222,23.455278,574670657,6,11,25,48,74,92,98,96,86,66,42,16,"Juniperus squamata",42,21.2
"12",120.954364,23.463155,2252027463,-6,-2,11,33,59,77,83,81,71,52,29,3,"Juniperus squamata",42,12.3
"13",120.954788,23.465801,1880656553,-6,-2,11,33,59,77,83,81,71,52,29,3,"Juniperus squamata",42,12.3
"14",120.954518,23.466662,2252028960,-4,1,14,36,62,80,86,85,74,55,32,6,"Juniperus squamata",42,14.2
"15",120.954517,23.466664,1880656372,-4,1,14,36,62,80,86,85,74,55,32,6,"Juniperus squamata",42,14.2
"16",120.95,23.466667,574698178,-4,1,14,36,62,80,86,85,74,55,32,6,"Juniperus squamata",42,14.2
"17",120.954145,23.467114,1883485398,-4,1,14,36,62,80,86,85,74,55,32,6,"Juniperus squamata",42,14.2
"18",120.945,23.467778,574733307,13,18,33,56,82,100,106,104,94,74,50,23,"Juniperus squamata",42,26.6
"19",120.945,23.467778,574830840,13,18,33,56,82,100,106,104,94,74,50,23,"Juniperus squamata",42,26.6
"20",120.954695,23.468211,2574069167,-4,1,14,36,62,80,86,85,74,55,32,6,"Juniperus squamata",42,14.2
"21",120.954963,23.468752,1883474761,-4,1,14,36,62,80,86,85,74,55,32,6,"Juniperus squamata",42,14.2
"22",120.955979,23.469263,1883474777,-4,1,14,36,62,80,86,85,74,55,32,6,"Juniperus squamata",42,14.2
"23",120.958113,23.469509,2460165450,-4,1,14,36,62,80,86,85,74,55,32,6,"Juniperus squamata",42,14.2
"24",120.957195,23.470156,1883474488,-4,1,14,36,62,80,86,85,74,55,32,6,"Juniperus squamata",42,14.2
"25",121.05,23.51,1086032152,30,36,52,76,102,120,127,125,114,94,69,41,"Juniperus squamata",42,42.9
"26",121.04722,23.51388,1261446585,41,47,64,89,115,133,140,138,127,106,81,52,"Juniperus squamata",42,54.5
"27",120.920562,23.518136,622287925,102,111,133,162,188,206,214,211,201,178,149,115,"Juniperus squamata",42,137
"28",120.920562,23.518136,622287926,102,111,133,162,188,206,214,211,201,178,149,115,"Juniperus squamata",42,137
"29",120.972807,23.584558,2596408240,41,47,65,90,117,135,142,140,129,108,82,52,"Juniperus squamata",42,56
"30",120.98,23.83,2417368013,79,86,107,137,165,185,194,191,179,155,126,92,"Juniperus squamata",42,109.6
"31",120.98,23.83,2417368681,79,86,107,137,165,185,194,191,179,155,126,92,"Juniperus squamata",42,109.6
"32",121.334652,24.11842,2429554911,-3,1,15,40,69,91,99,97,84,61,36,9,"Juniperus squamata",42,20.1
"33",121.27,24.13,912124672,10,14,29,55,84,106,115,112,99,76,50,21,"Juniperus squamata",42,29.7
"34",121.26667,24.13333,1019617612,5,9,24,50,79,101,110,107,94,71,45,17,"Juniperus squamata",42,26.2
"35",121.264514,24.135032,622287927,23,28,44,72,101,123,133,130,116,92,66,36,"Juniperus squamata",42,43.3
"36",121.264514,24.135032,622287928,23,28,44,72,101,123,133,130,116,92,66,36,"Juniperus squamata",42,43.3
"37",121.280556,24.135556,622287921,3,7,22,48,77,99,108,105,92,69,43,15,"Juniperus squamata",42,25
"38",121.280556,24.135556,622287922,3,7,22,48,77,99,108,105,92,69,43,15,"Juniperus squamata",42,25
"39",121.281392,24.136225,1850966344,3,7,22,48,77,99,108,105,92,69,43,15,"Juniperus squamata",42,25
"40",121.28165,24.136535,1949979395,3,7,22,48,77,99,108,105,92,69,43,15,"Juniperus squamata",42,25
"41",121.272095,24.137011,2283149882,5,9,24,50,79,101,110,107,94,71,45,17,"Juniperus squamata",42,26.2
"42",121.272095,24.137011,2283151053,5,9,24,50,79,101,110,107,94,71,45,17,"Juniperus squamata",42,26.2
"43",121.284583,24.151958,2283151314,12,16,31,58,87,110,118,116,102,79,53,24,"Juniperus squamata",42,32.3
"44",121.284608,24.152265,2283151275,12,16,31,58,87,110,118,116,102,79,53,24,"Juniperus squamata",42,32.3
"45",121.284608,24.152265,2283151322,12,16,31,58,87,110,118,116,102,79,53,24,"Juniperus squamata",42,32.3
"46",121.283789,24.153332,2429222780,12,16,31,58,87,110,118,116,102,79,53,24,"Juniperus squamata",42,32.3
"47",121.283333,24.153611,574796637,12,16,31,58,87,110,118,116,102,79,53,24,"Juniperus squamata",42,32.3
"48",121.283333,24.153611,574887046,12,16,31,58,87,110,118,116,102,79,53,24,"Juniperus squamata",42,32.3
