"","decimalLongitude","decimalLatitude","key","mon_1","mon_2","mon_3","mon_4","mon_5","mon_6","mon_7","mon_8","mon_9","mon_10","mon_11","mon_12","scientificname","code","WI"
"1",120.182022,23.005897,1303611785,182,190,212,240,263,279,287,284,277,258,230,196,"Luzula taiwaniana",43,229.8
"2",120.901944,23.220833,1821785482,20,25,40,62,86,103,109,107,98,79,56,30,"Luzula taiwaniana",43,30
"3",120.932222,23.252778,1821903674,43,49,65,88,113,130,136,134,124,105,81,53,"Luzula taiwaniana",43,52.9
"4",120.93,23.26,1085986408,64,71,88,113,138,155,161,159,149,130,104,75,"Luzula taiwaniana",43,80.7
"5",120.93,23.44,1085975476,17,22,37,60,86,104,110,108,98,79,54,27,"Luzula taiwaniana",43,29.9
"6",120.95,23.45,1085974749,-5,0,13,35,61,79,85,83,73,54,31,5,"Luzula taiwaniana",43,13.5
"7",120.919722,23.460833,891636533,56,63,81,106,132,150,157,155,145,124,98,67,"Luzula taiwaniana",43,73.4
"8",120.873333,23.463056,891695609,35,41,58,83,108,126,133,131,121,100,75,46,"Luzula taiwaniana",43,48.5
"9",120.954081,23.463634,1883472255,-6,-2,11,33,59,77,83,81,71,52,29,3,"Luzula taiwaniana",43,12.3
"10",120.941667,23.465278,891616858,7,12,27,50,75,93,99,98,88,68,44,17,"Luzula taiwaniana",43,22.1
"11",120.954345,23.467383,1880602697,-4,1,14,36,62,80,86,85,74,55,32,6,"Luzula taiwaniana",43,14.2
"12",120.954384,23.467402,1883485355,-4,1,14,36,62,80,86,85,74,55,32,6,"Luzula taiwaniana",43,14.2
"13",120.960556,23.468333,891633591,-8,-3,10,32,58,76,82,80,70,51,27,2,"Luzula taiwaniana",43,11.7
"14",120.960556,23.468333,891615657,-8,-3,10,32,58,76,82,80,70,51,27,2,"Luzula taiwaniana",43,11.7
"15",120.960556,23.468333,891695587,-8,-3,10,32,58,76,82,80,70,51,27,2,"Luzula taiwaniana",43,11.7
"16",120.960556,23.468333,891587423,-8,-3,10,32,58,76,82,80,70,51,27,2,"Luzula taiwaniana",43,11.7
"17",120.960556,23.468333,891587411,-8,-3,10,32,58,76,82,80,70,51,27,2,"Luzula taiwaniana",43,11.7
"18",120.905556,23.468611,891695556,50,57,74,100,126,144,151,148,138,117,91,61,"Luzula taiwaniana",43,65.7
"19",120.905556,23.468611,891637373,50,57,74,100,126,144,151,148,138,117,91,61,"Luzula taiwaniana",43,65.7
"20",120.955109,23.469253,1883474709,-4,1,14,36,62,80,86,85,74,55,32,6,"Luzula taiwaniana",43,14.2
"21",120.900585,23.475772,1901051993,42,48,65,90,116,134,141,139,129,108,82,53,"Luzula taiwaniana",43,55.7
"22",120.908889,23.478333,891614620,28,34,51,75,101,119,125,123,113,93,68,39,"Luzula taiwaniana",43,41.8
"23",120.9,23.48,1085988074,42,48,65,90,116,134,141,139,129,108,82,53,"Luzula taiwaniana",43,55.7
"24",120.806111,23.516667,891695606,70,77,96,124,150,168,175,173,163,141,114,81,"Luzula taiwaniana",43,93.2
"25",120.781351,23.528821,1086076123,60,67,86,113,139,157,164,162,152,131,104,72,"Luzula taiwaniana",43,80.7
"26",120.780842,23.52882,1086076178,60,67,86,113,139,157,164,162,152,131,104,72,"Luzula taiwaniana",43,80.7
"27",120.792891,23.533081,1086076158,64,71,90,117,143,161,169,166,156,135,107,76,"Luzula taiwaniana",43,85.5
"28",120.816249,23.553789,1086076168,52,59,77,103,130,148,155,153,143,121,95,64,"Luzula taiwaniana",43,70
"29",120.815582,23.554601,1086076141,52,59,77,103,130,148,155,153,143,121,95,64,"Luzula taiwaniana",43,70
"30",120.814289,23.555051,1086076166,52,59,77,103,130,148,155,153,143,121,95,64,"Luzula taiwaniana",43,70
"31",121.114444,24.014444,891695615,109,117,141,174,202,225,235,231,218,191,160,123,"Luzula taiwaniana",43,152.6
"32",121.251944,24.039444,891587434,50,56,74,103,132,154,163,160,147,122,94,63,"Luzula taiwaniana",43,71.8
"33",121.2775,24.055833,891587424,8,12,27,53,82,103,112,109,96,73,48,20,"Luzula taiwaniana",43,27.8
"34",121.2775,24.055833,891615691,8,12,27,53,82,103,112,109,96,73,48,20,"Luzula taiwaniana",43,27.8
"35",121.32,24.1,1086017021,13,18,33,59,88,110,119,116,103,80,54,25,"Luzula taiwaniana",43,32.9
"36",121.36,24.1,1085990064,10,14,29,54,83,105,114,111,98,75,50,21,"Luzula taiwaniana",43,29
"37",121.311378,24.120453,1822172177,27,32,48,76,105,127,136,133,120,96,69,40,"Luzula taiwaniana",43,46.2
"38",121.266667,24.133333,1821784262,5,9,24,50,79,101,110,107,94,71,45,17,"Luzula taiwaniana",43,26.2
"39",121.262222,24.134167,1821826868,23,28,44,72,101,123,133,130,116,92,66,36,"Luzula taiwaniana",43,43.3
"40",121.275161,24.135869,1822171836,3,7,22,48,77,99,108,105,92,69,43,15,"Luzula taiwaniana",43,25
"41",121.274336,24.136494,1822172126,5,9,24,50,79,101,110,107,94,71,45,17,"Luzula taiwaniana",43,26.2
"42",121.266667,24.1375,891651015,5,9,24,50,79,101,110,107,94,71,45,17,"Luzula taiwaniana",43,26.2
"43",121.27,24.14,1096651363,5,9,24,50,79,101,110,107,94,71,45,17,"Luzula taiwaniana",43,26.2
"44",121.28,24.14,1085965346,3,7,22,48,77,99,108,105,92,69,43,15,"Luzula taiwaniana",43,25
"45",121.281389,24.148056,1822071663,8,12,26,53,82,104,113,110,97,74,48,19,"Luzula taiwaniana",43,28.3
"46",121.27,24.15,1085993393,16,20,36,63,92,115,124,121,108,84,58,28,"Luzula taiwaniana",43,36.5
"47",121.29,24.16,1086046172,16,20,36,62,92,114,123,121,107,83,57,28,"Luzula taiwaniana",43,35.9
"48",121.285278,24.161667,891636516,16,20,36,62,92,114,123,121,107,83,57,28,"Luzula taiwaniana",43,35.9
"49",121.307222,24.175278,891618178,30,35,51,79,108,131,141,138,124,100,73,42,"Luzula taiwaniana",43,49.5
"50",121.03,24.28,1085966429,33,37,54,83,113,136,146,143,130,105,78,46,"Luzula taiwaniana",43,53.8
"51",121.027778,24.293333,891695562,33,37,54,83,113,136,146,144,130,106,78,46,"Luzula taiwaniana",43,54
"52",121.027778,24.293333,891695575,33,37,54,83,113,136,146,144,130,106,78,46,"Luzula taiwaniana",43,54
"53",121.027778,24.293333,891695581,33,37,54,83,113,136,146,144,130,106,78,46,"Luzula taiwaniana",43,54
"54",121.412778,24.304444,891695516,11,14,29,55,85,108,118,115,101,77,51,23,"Luzula taiwaniana",43,31
"55",121.016667,24.3,1821857082,50,55,74,104,134,158,168,165,152,126,97,65,"Luzula taiwaniana",43,74.8
"56",121.428889,24.342222,891618662,7,10,24,51,80,104,114,111,97,73,47,19,"Luzula taiwaniana",43,28
"57",121.465278,24.355556,891695560,-1,2,15,41,71,94,103,101,87,64,38,11,"Luzula taiwaniana",43,22
"58",121.441666,24.357975,1086076209,-4,-1,11,37,67,90,99,97,83,60,35,8,"Luzula taiwaniana",43,19.6
"59",121.439292,24.358343,1086076134,-11,-9,4,29,58,82,91,89,75,52,27,1,"Luzula taiwaniana",43,14.7
"60",121.447732,24.359131,1086076129,-12,-10,3,27,57,80,89,87,74,51,26,-1,"Luzula taiwaniana",43,13.8
"61",121.442232,24.359147,1086076165,-12,-10,3,27,57,80,89,87,74,51,26,-1,"Luzula taiwaniana",43,13.8
"62",121.439769,24.359335,1086076139,-11,-9,4,29,58,82,91,89,75,52,27,1,"Luzula taiwaniana",43,14.7
"63",121.443337,24.359505,1086076161,-12,-10,3,27,57,80,89,87,74,51,26,-1,"Luzula taiwaniana",43,13.8
"64",121.44461,24.359862,1086076125,-12,-10,3,27,57,80,89,87,74,51,26,-1,"Luzula taiwaniana",43,13.8
"65",121.441359,24.360414,1086076105,-11,-9,4,29,58,82,91,89,75,52,27,1,"Luzula taiwaniana",43,14.7
"66",121.439538,24.360961,1086076146,-11,-9,4,29,58,82,91,89,75,52,27,1,"Luzula taiwaniana",43,14.7
"67",121.438791,24.361505,1086076148,-11,-9,4,29,58,82,91,89,75,52,27,1,"Luzula taiwaniana",43,14.7
"68",121.443333,24.361667,891654746,-12,-10,3,27,57,80,89,87,74,51,26,-1,"Luzula taiwaniana",43,13.8
"69",121.443333,24.361667,891695536,-12,-10,3,27,57,80,89,87,74,51,26,-1,"Luzula taiwaniana",43,13.8
