"","decimalLongitude","decimalLatitude","key","mon_1","mon_2","mon_3","mon_4","mon_5","mon_6","mon_7","mon_8","mon_9","mon_10","mon_11","mon_12","scientificname","code","WI"
"1",-78.157197,-0.321667,2563525044,68,69,71,72,70,64,60,63,68,69,69,68,"Lycopodium clavatum",44,21.1
"2",-78.148778,-0.32485,2563525463,74,75,76,77,75,69,65,69,73,75,75,74,"Lycopodium clavatum",44,27.7
"3",-78.149022,-0.335362,2563612712,85,86,87,88,86,80,76,80,84,86,85,85,"Lycopodium clavatum",44,40.8
"4",-77.74472,-0.706667,2422825871,196,197,197,197,194,186,182,188,196,200,198,196,"Lycopodium clavatum",44,172.7
"5",-44.817778,-23.148611,2512700314,174,177,172,159,136,122,117,126,134,148,158,168,"Lycopodium clavatum",44,119.1
"6",29.98798,-23.88342,2242868195,207,205,194,169,139,112,110,134,165,182,193,201,"Lycopodium clavatum",44,141.1
"7",30.884113,-24.858063,2005322440,182,181,170,146,118,94,92,113,140,154,166,177,"Lycopodium clavatum",44,113.3
"8",31.135447,-25.79868,2236242375,183,181,171,147,120,96,94,114,139,152,165,177,"Lycopodium clavatum",44,113.9
"9",29.748795,-29.978683,2005396923,195,195,182,157,126,95,94,117,144,159,174,188,"Lycopodium clavatum",44,122.6
"10",19.853543,-34.063358,2013692777,140,140,125,97,71,47,41,48,66,88,109,129,"Lycopodium clavatum",44,51.5
"11",-74.044357,11.109933,2574087975,120,122,125,130,132,132,128,130,129,128,128,124,"Lycopodium clavatum",44,92.8
"12",-86.360583,13.756389,2269023277,177,183,192,205,206,196,192,194,193,189,183,178,"Lycopodium clavatum",44,168.8
"13",-96.419691,17.319581,2244207194,94,105,121,138,146,141,134,135,134,126,111,97,"Lycopodium clavatum",44,88.2
"14",-104.29828,19.604082,2563597567,125,133,142,157,173,178,171,170,168,164,148,131,"Lycopodium clavatum",44,126
"15",-97.509618,20.040942,2603278419,175,187,207,227,240,240,234,235,229,216,196,179,"Lycopodium clavatum",44,196.5
"16",120.901064,23.522767,2244210959,70,77,97,124,150,168,175,173,163,141,114,82,"Lycopodium clavatum",44,93.4
"17",120.900864,23.581123,2244213003,123,132,156,186,212,231,240,237,226,202,172,136,"Lycopodium clavatum",44,165.3
"18",121.330112,24.341772,2237496901,58,63,82,112,142,167,178,174,160,133,105,72,"Lycopodium clavatum",44,84.6
"19",-82.804174,35.331627,2579248088,5,22,60,104,149,190,207,201,166,107,57,18,"Lycopodium clavatum",44,79.1
"20",-82.756236,35.403188,2238973463,-16,-1,36,79,123,164,182,175,141,83,35,-3,"Lycopodium clavatum",44,59.7
"21",-82.15188,35.804955,2596101176,-1,15,53,99,143,185,202,195,160,101,53,13,"Lycopodium clavatum",44,74.1
"22",-77.34095,38.37149,2603309600,26,38,83,141,192,239,262,250,211,147,96,46,"Lycopodium clavatum",44,117.1
"23",-79.881155,38.620453,2237492167,-36,-24,18,70,117,161,183,174,137,77,30,-16,"Lycopodium clavatum",44,56.9
"24",-79.578412,38.8659,2596267655,-40,-28,13,66,114,159,180,172,135,75,27,-19,"Lycopodium clavatum",44,55.1
"25",-77.36329,38.914399,2236203621,14,26,71,130,182,229,253,242,202,138,86,35,"Lycopodium clavatum",44,108.3
"26",-79.427925,39.007183,2236919895,-42,-31,11,64,112,157,179,170,133,73,26,-21,"Lycopodium clavatum",44,53.8
"27",-79.42743,39.025704,2579256576,-30,-18,24,79,127,172,194,185,147,87,39,-9,"Lycopodium clavatum",44,64.1
"28",-76.89702,39.195514,2574020534,11,23,68,127,180,228,253,242,202,138,85,33,"Lycopodium clavatum",44,107.3
"29",-123.788711,39.272508,1990501689,104,111,119,129,149,168,186,187,180,156,126,105,"Lycopodium clavatum",44,112
"30",-76.982735,39.394767,2238923043,6,17,62,121,175,223,248,237,197,133,80,28,"Lycopodium clavatum",44,102.6
"31",-79.422565,39.421336,2576272429,-23,-11,33,89,139,184,206,197,159,98,49,0,"Lycopodium clavatum",44,72.2
"32",-79.45405,39.458604,2563571070,-24,-12,32,88,138,183,205,196,158,97,48,-1,"Lycopodium clavatum",44,71.5
"33",-79.005368,39.703371,2596258384,-26,-14,29,86,137,183,205,197,158,97,47,-3,"Lycopodium clavatum",44,71.3
"34",-76.0896,39.731518,2234775270,6,17,62,121,176,226,252,241,201,136,83,30,"Lycopodium clavatum",44,104.8
"35",-77.653612,39.892386,2576414011,-3,9,54,114,168,216,240,231,190,126,74,21,"Lycopodium clavatum",44,96.3
"36",-74.029508,4.570287,2251829290,86,88,89,89,87,83,80,85,88,88,87,86,"Lycopodium clavatum",44,43.6
"37",-78.575859,40.645151,2576304470,-24,-12,32,92,146,193,217,209,169,107,55,1,"Lycopodium clavatum",44,78.8
"38",-78.573226,40.646568,2237491058,-25,-13,31,90,144,192,216,207,168,106,54,0,"Lycopodium clavatum",44,77.7
"39",-81.560221,40.821898,2237518828,-23,-11,38,99,155,204,227,218,178,115,61,3,"Lycopodium clavatum",44,85.7
"40",-124.083406,40.852859,2597733381,97,104,111,123,146,169,193,194,183,152,117,96,"Lycopodium clavatum",44,108.5
"41",-81.233709,41.057016,2243007908,-26,-15,31,92,148,198,222,213,174,112,57,0,"Lycopodium clavatum",44,81.6
"42",-73.64052,41.21865,2579257011,-12,-2,40,97,154,204,234,224,185,122,70,16,"Lycopodium clavatum",44,89
"43",-81.03859,41.227513,2620186902,-25,-15,31,91,148,198,223,215,176,114,60,2,"Lycopodium clavatum",44,82.5
"44",-73.950661,41.348183,2563502335,-12,-1,43,104,162,211,240,229,188,125,72,17,"Lycopodium clavatum",44,93.1
"45",-72.064378,41.438095,2242820404,-4,2,35,84,135,187,222,218,184,128,78,26,"Lycopodium clavatum",44,83.6
"46",-72.055793,41.439468,2579290895,-4,2,35,84,135,186,222,218,183,127,78,26,"Lycopodium clavatum",44,83.3
"47",-81.35951,41.595497,2609120695,-29,-23,19,77,137,191,220,214,175,113,57,-1,"Lycopodium clavatum",44,78.4
"48",-73.339001,41.602464,2603396359,-18,-7,36,96,154,203,232,222,181,119,66,11,"Lycopodium clavatum",44,87.3
"49",-73.503638,41.689181,2596093524,-20,-9,35,97,156,204,233,222,181,118,65,9,"Lycopodium clavatum",44,87.6
"50",-70.368501,41.696766,2611375042,6,8,31,68,110,158,197,200,174,127,83,36,"Lycopodium clavatum",44,71.7
"51",-72.060841,41.808547,2242880916,-19,-10,28,83,138,189,221,214,176,116,65,11,"Lycopodium clavatum",44,80.2
"52",-72.855957,41.810127,2236844476,-18,-7,36,95,153,203,233,223,183,120,68,12,"Lycopodium clavatum",44,87.8
