"","decimalLongitude","decimalLatitude","key","mon_1","mon_2","mon_3","mon_4","mon_5","mon_6","mon_7","mon_8","mon_9","mon_10","mon_11","mon_12","scientificname","code","WI"
"1",169.77911,-20.22964,1928663811,262,264,262,252,237,225,215,214,220,229,241,253,"Miscanthus sinensis",45,227.4
"2",169.77911,-20.22964,2560585045,262,264,262,252,237,225,215,214,220,229,241,253,"Miscanthus sinensis",45,227.4
"3",26.182232,-31.495546,1946189674,190,186,165,130,97,65,63,86,117,141,161,180,"Miscanthus sinensis",45,98.1
"4",149.119824,-35.279615,2611411615,206,200,175,137,101,72,62,76,105,133,162,186,"Miscanthus sinensis",45,101.5
"5",149.135221,-35.289967,1917066868,207,200,175,137,101,73,62,76,105,133,162,186,"Miscanthus sinensis",45,101.7
"6",149.120056,-35.291667,1917068761,207,201,175,137,101,73,62,76,105,133,162,187,"Miscanthus sinensis",45,101.9
"7",174.911863,-41.19315,2596378041,172,174,161,139,120,101,93,98,111,124,139,159,"Miscanthus sinensis",45,99.1
"8",104.94,20.75,2618624436,131,147,174,207,231,246,245,239,227,204,173,139,"Miscanthus sinensis",45,176.3
"9",120.849287,21.901854,2573828295,208,215,232,253,271,282,287,284,278,264,244,218,"Miscanthus sinensis",45,243.6
"10",120.817518,21.958415,2573825255,195,202,218,239,257,269,273,271,264,251,230,204,"Miscanthus sinensis",45,227.3
"11",120.815266,21.968318,2574059290,195,201,218,239,257,269,273,271,264,251,230,204,"Miscanthus sinensis",45,227.2
"12",114.21638,22.26876,2576423980,149,159,183,217,247,265,274,272,262,239,203,163,"Miscanthus sinensis",45,203.3
"13",114.138508,22.445753,2239039469,156,167,193,229,259,278,287,285,275,251,212,170,"Miscanthus sinensis",45,216.2
"14",114.136407,22.471832,2611302599,146,157,182,218,248,267,276,274,264,239,201,160,"Miscanthus sinensis",45,203.2
"15",120.264257,22.6357,2573877039,182,190,210,235,256,270,277,274,267,251,226,194,"Miscanthus sinensis",45,223.2
"16",120.98785,22.677647,2451717549,174,183,203,229,250,265,271,268,260,242,217,185,"Miscanthus sinensis",45,214.7
"17",121.055333,22.712549,2573808342,186,195,217,243,264,279,286,282,274,256,230,197,"Miscanthus sinensis",45,230.9
"18",120.731742,22.743872,2529338725,148,156,177,202,224,238,245,242,234,216,191,159,"Miscanthus sinensis",45,183.2
"19",120.705313,22.747147,2540878898,169,178,200,226,248,262,269,266,258,240,214,181,"Miscanthus sinensis",45,211.1
"20",121.178358,22.873106,2579402963,161,170,190,216,238,253,260,257,248,229,204,172,"Miscanthus sinensis",45,199.8
"21",120.686728,22.915032,1990465393,167,177,200,227,250,265,272,269,261,242,214,179,"Miscanthus sinensis",45,212.3
"22",120.500773,23.260095,2451716027,141,149,172,201,225,242,250,247,239,218,189,154,"Miscanthus sinensis",45,182.7
"23",120.504496,23.265907,1913176755,141,149,172,201,225,242,250,247,239,218,189,154,"Miscanthus sinensis",45,182.7
"24",120.500345,23.266082,2576272274,141,149,172,201,225,242,250,247,239,218,189,154,"Miscanthus sinensis",45,182.7
"25",120.913352,23.277929,2596239364,64,71,89,114,139,156,162,160,150,130,105,75,"Miscanthus sinensis",45,81.5
"26",120.592307,23.434709,2579280194,156,166,191,223,248,265,274,271,262,239,208,171,"Miscanthus sinensis",45,207.4
"27",120.493225,23.454826,2242783165,167,176,202,233,258,276,286,282,273,250,220,181,"Miscanthus sinensis",45,220.4
"28",120.900292,23.475768,2005266831,42,48,65,90,116,134,141,139,129,108,82,53,"Miscanthus sinensis",45,55.7
"29",120.898048,23.477073,1986539768,41,47,64,89,115,133,140,138,127,107,81,52,"Miscanthus sinensis",45,54.6
"30",120.673627,23.480858,2465176052,119,128,151,181,206,224,232,229,220,197,168,132,"Miscanthus sinensis",45,158.7
"31",120.830518,23.4836,2550016640,57,64,83,109,135,153,160,158,148,126,100,69,"Miscanthus sinensis",45,76.2
"32",120.721795,23.491037,1898846959,91,99,120,148,173,192,199,197,187,165,137,103,"Miscanthus sinensis",45,121.1
"33",120.721949,23.491929,1839278180,81,88,109,136,162,180,188,185,175,154,126,93,"Miscanthus sinensis",45,107.7
"34",120.719567,23.498055,2005269674,81,88,109,136,162,180,188,185,175,154,126,93,"Miscanthus sinensis",45,107.7
"35",120.891177,23.511892,1986536187,60,67,86,112,138,156,163,161,151,129,103,71,"Miscanthus sinensis",45,79.7
"36",120.597408,23.558129,2540851599,128,137,160,191,217,235,244,241,231,208,178,142,"Miscanthus sinensis",45,171.2
"37",120.710778,23.627108,2451749750,91,99,120,149,176,195,203,200,190,167,138,104,"Miscanthus sinensis",45,123.2
"38",121.085731,24.022397,2596351276,114,123,147,180,209,231,242,238,224,197,166,129,"Miscanthus sinensis",45,160
"39",121.270612,24.127403,1933587028,10,14,29,55,84,106,115,112,99,76,50,21,"Miscanthus sinensis",45,29.7
"40",121.287426,24.162129,1913177502,16,20,36,62,92,114,123,121,107,83,57,28,"Miscanthus sinensis",45,35.9
"41",121.609178,24.170628,2456568676,146,154,179,212,241,266,278,273,257,229,199,161,"Miscanthus sinensis",45,199.5
"42",121.574368,24.172078,2460118392,139,147,171,205,234,258,270,265,250,222,191,153,"Miscanthus sinensis",45,190.5
"43",121.287497,24.174953,2012980233,1,5,19,45,75,97,106,103,90,67,41,13,"Miscanthus sinensis",45,23.8
"44",121.66941,24.205542,2460095953,156,164,189,223,252,277,289,284,268,240,209,171,"Miscanthus sinensis",45,212.2
"45",120.748337,24.231388,2460007069,139,146,171,207,237,260,272,269,256,228,195,155,"Miscanthus sinensis",45,193.5
"46",120.878053,24.233577,2517982248,129,137,162,197,227,251,263,259,246,217,185,146,"Miscanthus sinensis",45,181.9
"47",121.028343,24.28269,2596443132,33,37,54,83,113,136,146,143,130,105,78,46,"Miscanthus sinensis",45,53.8
