"","decimalLongitude","decimalLatitude","key","mon_1","mon_2","mon_3","mon_4","mon_5","mon_6","mon_7","mon_8","mon_9","mon_10","mon_11","mon_12","scientificname","code","WI"
"1",-36.510429,-54.282025,2244207333,33,38,34,21,6,-5,-12,-11,-8,3,14,22,"Phleum alpinum",47,0
"2",-68.141883,-54.728511,2244205009,63,60,45,23,1,-20,-21,-14,3,22,39,53,"Phleum alpinum",47,2.6
"3",-68.564503,-54.831091,2542975713,98,93,79,58,37,17,16,24,40,59,74,88,"Phleum alpinum",47,19.9
"4",79.595466,30.724173,2445080576,-84,-70,-33,22,68,103,125,122,94,31,-16,-53,"Phleum alpinum",47,26.2
"5",-116.690392,33.807762,2423202650,-43,-32,-13,13,48,84,115,115,92,43,-7,-43,"Phleum alpinum",47,20.6
"6",-105.762145,35.824497,2422869394,-86,-66,-30,9,56,108,130,121,86,25,-37,-81,"Phleum alpinum",47,25.1
"7",-118.755476,37.414305,2397506452,-70,-57,-33,-3,42,90,129,123,89,32,-29,-69,"Phleum alpinum",47,23.1
"8",-119.282075,37.877995,2311387665,-55,-42,-19,10,53,99,139,134,100,44,-16,-55,"Phleum alpinum",47,27.5
"9",-119.281765,37.878268,2423078646,-55,-42,-19,10,53,99,139,134,100,44,-16,-55,"Phleum alpinum",47,27.5
"10",-119.295608,37.986888,2366140399,-71,-58,-35,-6,37,83,123,117,84,28,-32,-71,"Phleum alpinum",47,20.7
"11",-119.810319,38.484635,2294655971,-49,-36,-12,15,58,103,142,136,104,50,-10,-49,"Phleum alpinum",47,29.3
"12",-120.002014,38.667022,2397521297,-59,-46,-23,4,47,90,128,122,91,38,-21,-58,"Phleum alpinum",47,23.1
"13",-106.939352,39.00437,2422872825,-112,-95,-59,-29,16,69,102,93,52,-8,-73,-114,"Phleum alpinum",47,11.6
"14",-120.14,39.1999999990757,2595832089,-25,-9,17,46,91,136,178,171,137,79,15,-24,"Phleum alpinum",47,49.2
"15",-120.14,39.1999999990757,2595832653,-25,-9,17,46,91,136,178,171,137,79,15,-24,"Phleum alpinum",47,49.2
"16",-106.430017,39.278,2397654589,-89,-73,-35,-4,40,93,126,117,77,15,-51,-92,"Phleum alpinum",47,21.3
"17",-119.914758,39.301627,2465340327,-56,-40,-12,16,62,108,150,143,108,49,-16,-55,"Phleum alpinum",47,32.1
"18",-119.915512,39.308323,2465282409,-66,-49,-22,6,51,97,139,132,97,39,-25,-65,"Phleum alpinum",47,26.6
"19",-119.925575,39.330425,2422868910,-69,-53,-26,3,47,93,135,128,93,35,-29,-68,"Phleum alpinum",47,24.9
"20",-106.575089,39.374207,2397498265,-97,-81,-43,-13,31,85,118,109,69,7,-59,-100,"Phleum alpinum",47,18.1
"21",-120.309168,39.416975,2397526134,-51,-36,-11,17,62,106,146,139,106,50,-12,-50,"Phleum alpinum",47,30.9
"22",-105.625536,39.631114,2397488332,-110,-98,-62,-30,14,65,100,92,53,-8,-70,-112,"Phleum alpinum",47,11
"23",-106.633077,40.288338,2564261960,-84,-68,-29,4,51,108,142,133,89,25,-43,-86,"Phleum alpinum",47,27.3
"24",-109.297077,40.882737,2397506189,-58,-36,17,63,117,178,220,206,152,80,3,-55,"Phleum alpinum",47,66.6
"25",9.1581,41.83345,2487374754,5,4,21,41,78,116,144,147,118,85,44,17,"Phleum alpinum",47,38.8
"26",19.726389,42.389721,2294434869,-39,-31,2,40,90,128,151,150,108,64,12,-27,"Phleum alpinum",47,39.1
"27",2.09037,42.40104,2614239652,-59,-51,-26,-5,34,76,104,101,69,30,-20,-51,"Phleum alpinum",47,15
"28",46.005044,42.556498,2311309335,-103,-95,-53,6,51,94,126,120,76,20,-40,-87,"Phleum alpinum",47,21.7
"29",1.96593,42.57971,2614288697,-64,-56,-30,-10,30,72,99,96,64,25,-25,-55,"Phleum alpinum",47,13.1
"30",1.96434,42.6696,2614287774,-7,1,29,51,91,133,160,157,123,83,32,1,"Phleum alpinum",47,44.8
"31",2.08616,42.67071,2614245697,-26,-18,8,30,70,111,138,135,102,63,12,-18,"Phleum alpinum",47,31.9
"32",2.08616,42.67071,2614301655,-26,-18,8,30,70,111,138,135,102,63,12,-18,"Phleum alpinum",47,31.9
"33",2.20799,42.67168,2614239217,-48,-40,-15,6,45,86,113,111,79,40,-10,-40,"Phleum alpinum",47,18.9
"34",20.136938,42.674606,2273209015,-81,-73,-39,0,49,87,109,107,67,23,-30,-68,"Phleum alpinum",47,17
"35",19.686964,42.717216,1848694965,-49,-41,-7,33,83,122,144,142,100,56,3,-36,"Phleum alpinum",47,34.7
"36",41.689959,43.446103,2456504537,-116,-113,-79,-27,17,55,88,85,45,-4,-59,-100,"Phleum alpinum",47,7.8
"37",41.690756,43.44707,2366101407,-116,-113,-79,-27,17,55,88,85,45,-4,-59,-100,"Phleum alpinum",47,7.8
"38",41.690756,43.44707,2366115392,-116,-113,-79,-27,17,55,88,85,45,-4,-59,-100,"Phleum alpinum",47,7.8
"39",10.795912,44.128052,2612532480,-46,-37,-2,29,75,114,141,139,101,59,5,-33,"Phleum alpinum",47,32.9
"40",10.74501,44.15751,2612564924,-44,-36,0,31,77,116,143,140,103,60,7,-32,"Phleum alpinum",47,33.9
"41",10.578931,44.160977,2612537216,-44,-35,0,31,77,116,143,140,103,61,7,-31,"Phleum alpinum",47,34
"42",10.578931,44.160977,2612562975,-44,-35,0,31,77,116,143,140,103,61,7,-31,"Phleum alpinum",47,34
"43",10.374361,44.202698,2603828873,-21,-11,25,57,103,142,168,166,128,84,30,-9,"Phleum alpinum",47,49.8
"44",6.979526,44.683986,2451588523,-98,-88,-57,-29,17,57,83,79,43,-1,-54,-87,"Phleum alpinum",47,6.9
"45",6.224722,44.694772,1880509376,-51,-42,-10,18,65,105,132,128,89,46,-9,-41,"Phleum alpinum",47,26.9
"46",6.61522,44.95547,2614241803,-72,-62,-30,-1,47,86,112,108,71,26,-29,-61,"Phleum alpinum",47,17.7
"47",6.61522,44.95547,2614244811,-72,-62,-30,-1,47,86,112,108,71,26,-29,-61,"Phleum alpinum",47,17.7
"48",6.61522,44.95547,2614302966,-72,-62,-30,-1,47,86,112,108,71,26,-29,-61,"Phleum alpinum",47,17.7
"49",6.49415,45.04947,2614246784,-100,-91,-60,-32,15,54,80,76,40,-3,-58,-90,"Phleum alpinum",47,6
"50",6.49415,45.04947,2614247823,-100,-91,-60,-32,15,54,80,76,40,-3,-58,-90,"Phleum alpinum",47,6
"51",6.49415,45.04947,2614287901,-100,-91,-60,-32,15,54,80,76,40,-3,-58,-90,"Phleum alpinum",47,6
"52",6.49415,45.04947,2614302842,-100,-91,-60,-32,15,54,80,76,40,-3,-58,-90,"Phleum alpinum",47,6
"53",6.36725,45.05338,2614240832,-90,-81,-50,-22,25,65,91,87,50,7,-47,-79,"Phleum alpinum",47,9.3
"54",6.36725,45.05338,2614244834,-90,-81,-50,-22,25,65,91,87,50,7,-47,-79,"Phleum alpinum",47,9.3
"55",6.36725,45.05338,2614244885,-90,-81,-50,-22,25,65,91,87,50,7,-47,-79,"Phleum alpinum",47,9.3
"56",6.36725,45.05338,2614288782,-90,-81,-50,-22,25,65,91,87,50,7,-47,-79,"Phleum alpinum",47,9.3
"57",6.36725,45.05338,2614242961,-90,-81,-50,-22,25,65,91,87,50,7,-47,-79,"Phleum alpinum",47,9.3
"58",6.36725,45.05338,2614288078,-90,-81,-50,-22,25,65,91,87,50,7,-47,-79,"Phleum alpinum",47,9.3
"59",6.36725,45.05338,2614288981,-90,-81,-50,-22,25,65,91,87,50,7,-47,-79,"Phleum alpinum",47,9.3
"60",6.36725,45.05338,2614238975,-90,-81,-50,-22,25,65,91,87,50,7,-47,-79,"Phleum alpinum",47,9.3
"61",6.36725,45.05338,2614305981,-90,-81,-50,-22,25,65,91,87,50,7,-47,-79,"Phleum alpinum",47,9.3
"62",6.88724,45.21673,2614241083,-69,-58,-25,4,53,93,118,114,77,31,-25,-58,"Phleum alpinum",47,20.5
"63",6.88724,45.21673,2614286070,-69,-58,-25,4,53,93,118,114,77,31,-25,-58,"Phleum alpinum",47,20.5
"64",6.88724,45.21673,2614306086,-69,-58,-25,4,53,93,118,114,77,31,-25,-58,"Phleum alpinum",47,20.5
"65",6.89352,45.30666,2614239059,-78,-68,-35,-6,43,82,108,103,67,22,-34,-68,"Phleum alpinum",47,16
"66",6.89352,45.30666,2614242066,-78,-68,-35,-6,43,82,108,103,67,22,-34,-68,"Phleum alpinum",47,16
"67",6.89352,45.30666,2614303048,-78,-68,-35,-6,43,82,108,103,67,22,-34,-68,"Phleum alpinum",47,16
"68",6.63859,45.31525,2614247888,-101,-92,-60,-33,15,55,80,76,40,-3,-58,-90,"Phleum alpinum",47,6.1
"69",6.63859,45.31525,2614285921,-101,-92,-60,-33,15,55,80,76,40,-3,-58,-90,"Phleum alpinum",47,6.1
"70",6.63859,45.31525,2614289902,-101,-92,-60,-33,15,55,80,76,40,-3,-58,-90,"Phleum alpinum",47,6.1
"71",7.15509,45.38742,2614301593,-117,-107,-75,-47,1,41,65,61,26,-18,-73,-106,"Phleum alpinum",47,2.6
"72",7.15509,45.38742,2614303611,-117,-107,-75,-47,1,41,65,61,26,-18,-73,-106,"Phleum alpinum",47,2.6
"73",7.02746,45.39208,2614287675,-97,-87,-55,-26,22,62,87,82,47,2,-53,-87,"Phleum alpinum",47,8.1
"74",6.89982,45.3966,2614304622,-102,-93,-61,-33,16,55,80,76,40,-4,-59,-92,"Phleum alpinum",47,6.1
"75",6.64447,45.4052,2614303847,-49,-39,-6,24,73,112,137,133,96,51,-6,-39,"Phleum alpinum",47,30.2
"76",6.64447,45.4052,2614305940,-49,-39,-6,24,73,112,137,133,96,51,-6,-39,"Phleum alpinum",47,30.2
"77",7.03399,45.48201,2614238533,-131,-121,-90,-62,-15,25,49,45,11,-33,-87,-120,"Phleum alpinum",47,0
"78",7.03399,45.48201,2614238595,-131,-121,-90,-62,-15,25,49,45,11,-33,-87,-120,"Phleum alpinum",47,0
"79",7.03399,45.48201,2614239463,-131,-121,-90,-62,-15,25,49,45,11,-33,-87,-120,"Phleum alpinum",47,0
"80",7.03399,45.48201,2614239540,-131,-121,-90,-62,-15,25,49,45,11,-33,-87,-120,"Phleum alpinum",47,0
"81",7.03399,45.48201,2614240522,-131,-121,-90,-62,-15,25,49,45,11,-33,-87,-120,"Phleum alpinum",47,0
"82",7.03399,45.48201,2614243590,-131,-121,-90,-62,-15,25,49,45,11,-33,-87,-120,"Phleum alpinum",47,0
"83",7.03399,45.48201,2614245520,-131,-121,-90,-62,-15,25,49,45,11,-33,-87,-120,"Phleum alpinum",47,0
"84",7.03399,45.48201,2614246526,-131,-121,-90,-62,-15,25,49,45,11,-33,-87,-120,"Phleum alpinum",47,0
"85",7.03399,45.48201,2614285517,-131,-121,-90,-62,-15,25,49,45,11,-33,-87,-120,"Phleum alpinum",47,0
"86",7.03399,45.48201,2614286592,-131,-121,-90,-62,-15,25,49,45,11,-33,-87,-120,"Phleum alpinum",47,0
"87",7.03399,45.48201,2614287562,-131,-121,-90,-62,-15,25,49,45,11,-33,-87,-120,"Phleum alpinum",47,0
"88",7.03399,45.48201,2614287574,-131,-121,-90,-62,-15,25,49,45,11,-33,-87,-120,"Phleum alpinum",47,0
"89",7.03399,45.48201,2614287721,-131,-121,-90,-62,-15,25,49,45,11,-33,-87,-120,"Phleum alpinum",47,0
"90",7.03399,45.48201,2614288535,-131,-121,-90,-62,-15,25,49,45,11,-33,-87,-120,"Phleum alpinum",47,0
"91",6.90614,45.48653,2614238479,-90,-80,-48,-19,30,69,94,90,54,9,-46,-79,"Phleum alpinum",47,10.7
"92",6.90614,45.48653,2614239554,-90,-80,-48,-19,30,69,94,90,54,9,-46,-79,"Phleum alpinum",47,10.7
"93",6.90614,45.48653,2614242504,-90,-80,-48,-19,30,69,94,90,54,9,-46,-79,"Phleum alpinum",47,10.7
"94",6.90614,45.48653,2614243493,-90,-80,-48,-19,30,69,94,90,54,9,-46,-79,"Phleum alpinum",47,10.7
"95",6.90614,45.48653,2614246453,-90,-80,-48,-19,30,69,94,90,54,9,-46,-79,"Phleum alpinum",47,10.7
"96",6.90614,45.48653,2614246455,-90,-80,-48,-19,30,69,94,90,54,9,-46,-79,"Phleum alpinum",47,10.7
"97",6.90614,45.48653,2614286391,-90,-80,-48,-19,30,69,94,90,54,9,-46,-79,"Phleum alpinum",47,10.7
"98",6.90614,45.48653,2614287527,-90,-80,-48,-19,30,69,94,90,54,9,-46,-79,"Phleum alpinum",47,10.7
"99",6.90614,45.48653,2614287533,-90,-80,-48,-19,30,69,94,90,54,9,-46,-79,"Phleum alpinum",47,10.7
"100",6.90614,45.48653,2614287661,-90,-80,-48,-19,30,69,94,90,54,9,-46,-79,"Phleum alpinum",47,10.7
"101",6.90614,45.48653,2614289606,-90,-80,-48,-19,30,69,94,90,54,9,-46,-79,"Phleum alpinum",47,10.7
"102",6.90614,45.48653,2614301381,-90,-80,-48,-19,30,69,94,90,54,9,-46,-79,"Phleum alpinum",47,10.7
"103",6.90614,45.48653,2614305615,-90,-80,-48,-19,30,69,94,90,54,9,-46,-79,"Phleum alpinum",47,10.7
"104",6.91248,45.57647,2614305896,-65,-55,-22,8,57,96,121,117,80,35,-21,-55,"Phleum alpinum",47,22.1
"105",9.029587,45.93621,2465198120,-36,-25,12,44,93,131,156,151,112,64,9,-27,"Phleum alpinum",47,40.7
"106",6.893218,46.055059,2422870194,-90,-82,-49,-20,28,65,89,85,50,7,-47,-79,"Phleum alpinum",47,8.9
"107",-115.065449,46.328351,2573928439,-49,-35,-2,33,74,113,159,156,109,46,-13,-51,"Phleum alpinum",47,36.1
"108",7.640849,46.442725,2609345182,-63,-54,-21,8,58,94,117,113,77,34,-21,-53,"Phleum alpinum",47,20.9
"109",9.808103,46.511742,2429298883,-105,-94,-62,-33,14,52,75,72,36,-7,-62,-95,"Phleum alpinum",47,4.9
"110",-121.451828,46.533987,2422891844,-66,-55,-32,-3,34,65,99,99,68,17,-33,-66,"Phleum alpinum",47,13.1
"111",14.17139,47.23528,2313540683,-83,-68,-31,7,60,92,111,108,69,23,-32,-71,"Phleum alpinum",47,19
