"","decimalLongitude","decimalLatitude","key","mon_1","mon_2","mon_3","mon_4","mon_5","mon_6","mon_7","mon_8","mon_9","mon_10","mon_11","mon_12","scientificname","code","WI"
"1",174.706279,-36.790464,2611317063,193,198,186,165,146,127,118,120,131,143,158,178,"Picris hieracioides",48,126.3
"2",120.869096,23.480746,2579236380,50,57,75,101,126,145,151,149,139,118,92,62,"Picris hieracioides",48,66.5
"3",121.271118,24.132883,2331916508,10,14,29,55,84,106,115,112,99,76,50,21,"Picris hieracioides",48,29.7
"4",121.281244,24.14097,2311402348,3,7,22,48,77,99,108,105,92,69,43,15,"Picris hieracioides",48,25
"5",16.222879,39.622128,2612570861,96,95,115,142,186,229,257,259,222,185,141,109,"Picris hieracioides",48,143.6
"6",20.744975,40.265732,2445025433,6,15,45,83,131,174,199,196,154,108,57,19,"Picris hieracioides",48,70.2
"7",-75.399426,40.665139,2445009414,-7,4,50,110,168,217,244,233,192,127,74,20,"Picris hieracioides",48,96.5
"8",47.798803,41.253802,2397591919,-110,-102,-63,-5,40,87,123,116,70,13,-48,-94,"Picris hieracioides",48,19.6
"9",-83.833106,42.314757,2444958444,-43,-32,19,83,146,199,224,213,170,105,46,-14,"Picris hieracioides",48,79
"10",-76.373333,42.393552,2444961447,-40,-32,15,81,144,191,217,207,165,103,49,-9,"Picris hieracioides",48,75.8
"11",46.915083,42.406017,2460081178,-73,-66,-24,35,81,124,154,149,107,50,-11,-57,"Picris hieracioides",48,36.5
"12",11.635761,42.418791,2550061193,80,85,112,140,185,225,254,254,215,175,126,92,"Picris hieracioides",48,134.3
"13",2.071005,42.44607,2477023172,-18,-10,17,38,79,120,148,146,112,72,21,-10,"Picris hieracioides",48,37.7
"14",1.90533,42.45864,2476791346,2,10,38,60,101,143,171,168,133,93,41,10,"Picris hieracioides",48,51.9
"15",-76.065864,42.506385,2445126477,-49,-41,6,73,135,181,208,197,156,94,40,-18,"Picris hieracioides",48,69.4
"16",2.277115,42.533065,2476768371,29,37,65,87,127,168,196,194,159,119,68,37,"Picris hieracioides",48,73.3
"17",2.270745,42.544565,2476954570,31,39,67,89,129,170,198,196,161,121,69,38,"Picris hieracioides",48,75
"18",2.272155,42.547035,2476954563,31,39,67,89,129,170,198,196,161,121,69,38,"Picris hieracioides",48,75
"19",2.279475,42.54966,2476991314,23,31,58,80,120,162,189,187,153,113,61,30,"Picris hieracioides",48,67.3
"20",2.26948,42.54975,2476767463,31,39,67,89,129,170,198,196,161,121,69,38,"Picris hieracioides",48,75
"21",2.2758,42.549765,2476767486,23,31,58,80,120,162,189,187,153,113,61,30,"Picris hieracioides",48,67.3
"22",2.254385,42.569605,2477023137,29,38,65,87,128,169,197,194,160,120,68,37,"Picris hieracioides",48,73.8
"23",2.254485,42.572195,2476993328,29,38,65,87,128,169,197,194,160,120,68,37,"Picris hieracioides",48,73.8
"24",2.370955,42.58424,2476993311,49,57,85,107,148,188,216,214,179,139,87,57,"Picris hieracioides",48,92.7
"25",2.556885,42.58535,2477022816,36,43,69,91,130,170,198,196,163,124,74,43,"Picris hieracioides",48,76.5
"26",2.3676,42.58636,2476788262,49,57,85,107,148,188,216,214,179,139,87,57,"Picris hieracioides",48,92.7
"27",2.55462,42.59003,2476790929,36,43,69,91,130,170,198,196,163,124,74,43,"Picris hieracioides",48,76.5
"28",2.390715,42.600525,2476777870,54,62,89,112,152,193,221,218,183,144,92,61,"Picris hieracioides",48,98.1
"29",2.39899,42.60151,2477022869,54,62,89,112,152,193,220,218,183,144,92,61,"Picris hieracioides",48,98
"30",2.740565,42.610155,2476756309,72,79,105,127,165,205,233,231,197,159,109,79,"Picris hieracioides",48,116.1
"31",2.754575,42.611675,2476954477,76,83,109,130,169,209,236,235,201,163,113,83,"Picris hieracioides",48,120.7
"32",2.744,42.61325,2476961150,74,81,107,129,167,207,235,233,200,161,111,81,"Picris hieracioides",48,118.6
"33",2.52739,42.646535,2477031746,65,73,100,123,162,203,230,228,194,154,103,73,"Picris hieracioides",48,110.8
"34",2.602865,42.67202,2477031983,72,79,106,128,168,208,236,234,199,160,109,79,"Picris hieracioides",48,117.8
"35",-77.93045,42.696438,2445083472,-37,-30,14,77,138,188,217,208,168,106,52,-6,"Picris hieracioides",48,75.4
"36",2.66394,42.69658,2476778040,75,83,109,132,171,210,238,236,202,163,113,83,"Picris hieracioides",48,121.5
"37",2.691325,42.70031,2476792153,75,82,108,130,169,209,237,235,201,162,112,82,"Picris hieracioides",48,120.2
"38",-78.015506,42.700593,2445036432,-46,-41,3,65,125,175,204,196,156,94,41,-16,"Picris hieracioides",48,66.5
"39",2.476065,42.720375,2477031655,54,62,89,112,152,192,219,217,182,143,92,62,"Picris hieracioides",48,97.6
"40",11.515757,42.726485,2563482225,50,55,84,113,159,198,227,227,187,146,96,61,"Picris hieracioides",48,100.3
"41",2.48843,42.73563,2613773743,59,67,94,117,157,197,224,222,188,148,97,67,"Picris hieracioides",48,103.7
"42",2.649475,42.76696,2476792001,73,81,108,130,169,209,236,234,200,161,111,81,"Picris hieracioides",48,119.3
"43",2.651475,42.77001,2477022974,75,82,109,131,171,210,238,236,201,163,112,82,"Picris hieracioides",48,121
"44",2.466715,42.79167,2476789724,49,57,84,106,146,186,213,211,177,137,86,56,"Picris hieracioides",48,90.9
"45",2.46634,42.792595,2476992964,48,56,83,106,146,185,213,211,176,137,86,56,"Picris hieracioides",48,90.5
"46",2.850815,42.796785,2476961290,81,88,114,136,174,213,240,239,205,167,118,89,"Picris hieracioides",48,126.4
"47",2.621495,42.83792,2476769284,47,54,80,102,141,181,208,206,173,134,84,54,"Picris hieracioides",48,86.7
"48",11.472129,42.857519,2445063433,17,23,52,80,126,166,194,193,155,114,63,29,"Picris hieracioides",48,69.3
"49",-77.852785,42.973118,2350377347,-37,-32,11,72,131,182,215,208,168,106,52,-6,"Picris hieracioides",48,73.4
"50",-81.187581,42.973138,2445059444,-42,-39,3,64,125,179,212,206,167,104,47,-11,"Picris hieracioides",48,70.7
"51",-76.10592,43.00706,2445129474,-41,-34,14,83,147,194,221,211,168,105,51,-9,"Picris hieracioides",48,78
"52",-76.106055,43.008848,2445038495,-42,-35,13,82,146,193,220,210,167,104,50,-10,"Picris hieracioides",48,77.2
"53",-76.106182,43.009288,2445000464,-42,-35,13,82,146,193,220,210,167,104,50,-10,"Picris hieracioides",48,77.2
"54",-76.110511,43.010772,2444966463,-43,-36,12,82,146,192,219,209,167,104,50,-10,"Picris hieracioides",48,76.9
"55",-76.75882,43.0115,2444980493,-35,-29,17,82,144,192,222,214,173,110,56,-3,"Picris hieracioides",48,79.3
"56",-76.134942,43.031833,2444981484,-40,-33,15,85,149,196,223,213,170,107,53,-7,"Picris hieracioides",48,79.6
"57",-76.135432,43.032132,2445027487,-40,-33,15,85,149,196,223,213,170,107,53,-7,"Picris hieracioides",48,79.6
"58",-76.137878,43.033233,2445059524,-40,-33,15,84,149,195,222,212,170,107,52,-8,"Picris hieracioides",48,79.1
"59",-76.137772,43.033303,2445039464,-40,-33,15,84,149,195,222,212,170,107,52,-8,"Picris hieracioides",48,79.1
"60",-76.13687,43.033785,2445010457,-40,-33,15,84,149,195,222,212,170,107,52,-8,"Picris hieracioides",48,79.1
"61",-76.136958,43.033823,2444953479,-40,-33,15,84,149,195,222,212,170,107,52,-8,"Picris hieracioides",48,79.1
"62",-76.135697,43.035081,2445022468,-40,-33,15,84,149,195,222,212,170,107,52,-8,"Picris hieracioides",48,79.1
"63",-76.134312,43.035423,2445008496,-40,-33,15,84,149,195,222,212,170,107,52,-8,"Picris hieracioides",48,79.1
"64",-76.227107,43.05602,2397510752,-39,-32,16,85,149,196,223,213,171,108,54,-6,"Picris hieracioides",48,79.9
"65",-79.665457,43.185835,2465118937,-41,-38,6,69,132,186,218,211,170,106,50,-8,"Picris hieracioides",48,74.2
"66",-79.588333,43.20639,2311373047,-36,-32,12,76,139,193,224,217,176,112,55,-3,"Picris hieracioides",48,79.2
"67",-79.80571,43.20679,2445052468,-40,-37,7,70,134,188,219,212,171,108,51,-8,"Picris hieracioides",48,75.3
"68",-79.652886,43.237261,2444974464,-36,-33,12,76,140,193,225,218,176,113,56,-4,"Picris hieracioides",48,79.7
"69",-8.24935,43.23979,2445091508,106,108,121,128,149,175,193,199,187,160,131,113,"Picris hieracioides",48,117
"70",-79.941257,43.267562,2465109655,-37,-34,10,75,139,193,224,217,176,112,55,-5,"Picris hieracioides",48,79.1
"71",46.976395,43.364284,2311309143,18,20,60,126,182,229,255,251,205,145,82,36,"Picris hieracioides",48,108.5
"72",-79.659756,43.378075,2444954453,-39,-35,10,76,140,193,224,217,175,110,53,-6,"Picris hieracioides",48,78.8
"73",-8.197066,43.396015,2572270791,103,104,116,123,143,168,187,193,181,156,127,110,"Picris hieracioides",48,111.1
"74",-79.771503,43.454488,2397609305,-45,-41,5,71,135,188,219,211,169,104,47,-12,"Picris hieracioides",48,74.7
"75",39.826944,43.561389,2366069167,42,40,66,113,159,200,229,231,193,147,97,62,"Picris hieracioides",48,99.7
"76",3.106335,43.59248,2476769182,62,70,98,121,160,199,226,224,188,149,99,70,"Picris hieracioides",48,106.6
"77",3.83834,43.632453,2576297750,78,84,109,131,169,207,234,233,199,162,114,87,"Picris hieracioides",48,120.7
"78",6.984166,43.653744,2573985168,65,71,99,124,167,205,232,231,195,154,106,75,"Picris hieracioides",48,112.4
"79",3.40237,43.65414,2476769510,67,74,101,124,162,201,228,226,191,152,103,75,"Picris hieracioides",48,110.4
"80",10.964384,43.665752,2603825505,60,68,103,136,183,222,249,247,207,163,110,72,"Picris hieracioides",48,122
"81",10.958508,43.686701,2603825477,62,70,105,138,185,224,252,250,209,165,111,74,"Picris hieracioides",48,124.5
"82",6.097753,43.817574,2444971456,38,46,77,105,149,189,217,214,174,132,79,47,"Picris hieracioides",48,88.6
"83",6.097714,43.817761,2445125431,38,46,77,105,149,189,217,214,174,132,79,47,"Picris hieracioides",48,88.6
"84",3.744444,43.831004,2445093433,64,70,97,121,160,199,226,224,188,150,100,72,"Picris hieracioides",48,107.1
"85",5.0544,43.91467,2490649743,69,77,107,135,177,216,245,241,202,161,108,77,"Picris hieracioides",48,121.5
"86",3.017445,43.970085,2476770183,38,46,75,99,140,179,206,202,165,125,74,46,"Picris hieracioides",48,81.5
"87",3.0161,43.97026,2476997140,39,47,76,100,141,180,207,203,166,126,75,47,"Picris hieracioides",48,82.4
"88",8.063687,43.976536,2381419661,47,53,80,105,146,183,210,210,176,136,88,58,"Picris hieracioides",48,89.5
"89",8.100841,43.980892,2381419932,58,64,91,117,158,195,222,222,187,147,99,68,"Picris hieracioides",48,102.8
"90",3.13622,43.981895,2476991087,34,42,70,94,135,174,201,198,161,121,70,42,"Picris hieracioides",48,77.4
"91",3.107965,44.01124,2476767166,26,33,62,86,126,166,193,189,152,113,62,34,"Picris hieracioides",48,69.9
"92",8.278028,44.14882,2576375848,75,83,113,141,183,220,248,247,210,167,118,86,"Picris hieracioides",48,129.1
"93",8.264968,44.150954,2609718975,65,73,103,130,173,210,237,236,200,157,107,75,"Picris hieracioides",48,116.6
"94",4.81406,44.189,2489848628,65,74,106,134,177,216,244,240,200,158,104,74,"Picris hieracioides",48,119.2
"95",9.38303,44.29454,2269043093,61,69,103,134,177,215,242,241,204,159,107,71,"Picris hieracioides",48,118.3
"96",9.39768,44.29948,2269041947,49,58,91,122,166,203,231,229,192,148,95,60,"Picris hieracioides",48,104.5
"97",9.15102,44.39372,2269044666,43,51,83,113,157,194,221,220,183,140,88,53,"Picris hieracioides",48,95.3
"98",9.088744,44.394026,2609718974,42,50,82,111,155,192,219,218,182,138,87,52,"Picris hieracioides",48,93.6
"99",9.02894,44.39467,2609712044,46,54,86,116,159,196,223,222,185,142,91,57,"Picris hieracioides",48,98.1
"100",9.02994,44.3964,2609712043,46,54,86,116,159,196,223,222,185,142,91,57,"Picris hieracioides",48,98.1
"101",33.84378,44.446079,2609350416,5,1,24,69,121,170,200,201,156,107,58,24,"Picris hieracioides",48,68.2
"102",33.687856,44.460244,2596308809,21,16,40,85,138,186,216,217,172,123,74,39,"Picris hieracioides",48,81.1
"103",34.20259,44.516629,2550089583,10,6,32,79,132,180,210,210,164,113,63,29,"Picris hieracioides",48,75.1
"104",33.952679,44.557688,2311310858,19,15,41,88,142,190,220,220,174,123,73,38,"Picris hieracioides",48,83
"105",33.543083,44.563356,2611175696,28,24,49,96,149,197,227,227,182,132,82,47,"Picris hieracioides",48,89.2
"106",34.087268,44.586853,2366077916,6,2,28,75,128,176,207,206,160,109,59,24,"Picris hieracioides",48,72
"107",35.246256,44.966773,2574217189,27,24,51,101,157,206,236,235,187,133,80,46,"Picris hieracioides",48,93.6
"108",33.978635,45.040849,2563454565,11,9,40,95,152,198,227,225,175,120,67,30,"Picris hieracioides",48,85.9
"109",9.884811,45.08197,2422950286,39,53,96,134,183,223,249,243,200,148,89,48,"Picris hieracioides",48,111.8
"110",7.969108,45.136436,2445117476,29,42,82,117,167,206,232,225,184,133,75,38,"Picris hieracioides",48,97.1
"111",0.11265,45.60748,2614254435,56,63,92,115,153,186,207,205,175,138,89,63,"Picris hieracioides",48,94.2
