"","decimalLongitude","decimalLatitude","key","mon_1","mon_2","mon_3","mon_4","mon_5","mon_6","mon_7","mon_8","mon_9","mon_10","mon_11","mon_12","scientificname","code","WI"
"1",121.56642,22.015937,622291160,207,214,230,250,269,281,286,283,276,262,242,216,"Pieris taiwanensis",49,241.6
"2",120.74,22.61,1086015679,101,108,124,146,167,181,186,184,177,161,138,111,"Pieris taiwanensis",49,118.4
"3",120.666667,22.6,1821815223,153,161,181,205,226,240,246,243,236,219,195,164,"Pieris taiwanensis",49,186.9
"4",120.75343,22.613257,1086063891,50,55,68,87,109,123,127,126,118,103,82,59,"Pieris taiwanensis",49,50.7
"5",120.74073,22.616218,1086063913,101,108,124,146,167,181,186,184,177,161,138,111,"Pieris taiwanensis",49,118.4
"6",120.750856,22.616324,1086063888,50,55,68,87,109,123,127,126,118,103,82,59,"Pieris taiwanensis",49,50.7
"7",120.751663,22.616415,1086063890,50,55,68,87,109,123,127,126,118,103,82,59,"Pieris taiwanensis",49,50.7
"8",120.754782,22.618407,1086063927,49,54,67,86,108,122,126,125,117,102,81,57,"Pieris taiwanensis",49,49.5
"9",120.751056,22.618672,1086063847,49,54,67,86,108,122,126,125,117,102,81,57,"Pieris taiwanensis",49,49.5
"10",120.749887,22.619393,1086063933,49,54,67,86,108,122,126,125,117,102,81,57,"Pieris taiwanensis",49,49.5
"11",120.753333,22.621944,1821824388,49,54,67,86,108,122,126,125,117,102,81,57,"Pieris taiwanensis",49,49.5
"12",120.748611,22.625278,891617625,94,101,116,138,160,174,179,177,169,153,131,104,"Pieris taiwanensis",49,109.6
"13",120.748611,22.625278,891618096,94,101,116,138,160,174,179,177,169,153,131,104,"Pieris taiwanensis",49,109.6
"14",120.752222,22.630556,891605657,65,71,85,105,127,141,146,144,136,121,99,75,"Pieris taiwanensis",49,71.5
"15",120.752222,22.630556,891615197,65,71,85,105,127,141,146,144,136,121,99,75,"Pieris taiwanensis",49,71.5
"16",120.752222,22.630556,891665239,65,71,85,105,127,141,146,144,136,121,99,75,"Pieris taiwanensis",49,71.5
"17",120.752222,22.630556,891665284,65,71,85,105,127,141,146,144,136,121,99,75,"Pieris taiwanensis",49,71.5
"18",120.752222,22.630556,891665289,65,71,85,105,127,141,146,144,136,121,99,75,"Pieris taiwanensis",49,71.5
"19",120.752222,22.630556,891665317,65,71,85,105,127,141,146,144,136,121,99,75,"Pieris taiwanensis",49,71.5
"20",121.32,23.14,1086006064,105,112,129,153,176,193,200,197,187,168,144,115,"Pieris taiwanensis",49,127.9
"21",121.3175,23.146667,891605070,104,110,128,152,175,192,199,196,186,167,143,114,"Pieris taiwanensis",49,126.6
"22",120.85,23.22,1086006942,94,102,122,148,172,189,196,193,184,163,137,105,"Pieris taiwanensis",49,120.5
"23",120.907778,23.231111,891605241,18,23,37,59,84,101,106,105,95,77,53,27,"Pieris taiwanensis",49,28
"24",120.91,23.25,1086010796,35,41,56,79,104,121,127,125,115,96,72,45,"Pieris taiwanensis",49,44.5
"25",120.947778,23.264167,891597042,46,52,68,92,116,133,139,137,128,109,84,56,"Pieris taiwanensis",49,56.4
"26",120.927084,23.266637,622291162,77,85,104,129,153,171,177,175,165,145,119,88,"Pieris taiwanensis",49,98.8
"27",120.818782,23.276745,622291156,124,133,155,184,208,225,233,230,220,199,171,136,"Pieris taiwanensis",49,161.8
"28",120.911702,23.277818,1086063832,64,71,89,114,139,156,162,160,150,130,105,75,"Pieris taiwanensis",49,81.5
"29",120.913119,23.277818,1086063818,64,71,89,114,139,156,162,160,150,130,105,75,"Pieris taiwanensis",49,81.5
"30",120.913056,23.279722,891607257,64,71,89,114,139,156,162,160,150,130,105,75,"Pieris taiwanensis",49,81.5
"31",121.154444,23.3675,891588277,121,129,151,179,203,221,229,226,215,194,166,133,"Pieris taiwanensis",49,156.7
"32",121.154444,23.3675,891621858,121,129,151,179,203,221,229,226,215,194,166,133,"Pieris taiwanensis",49,156.7
"33",121.011389,23.441389,891665310,25,31,46,69,95,113,119,117,107,87,63,35,"Pieris taiwanensis",49,37
"34",120.860556,23.451111,891665320,54,61,79,104,130,148,155,153,143,122,96,65,"Pieris taiwanensis",49,71
"35",120.98,23.45,1085970205,25,31,46,70,96,114,120,118,108,88,63,36,"Pieris taiwanensis",49,37.7
"36",120.919722,23.460833,1821815827,56,63,81,106,132,150,157,155,145,124,98,67,"Pieris taiwanensis",49,73.4
"37",120.868403,23.462186,1086063838,35,41,58,83,108,126,133,131,121,100,75,46,"Pieris taiwanensis",49,48.5
"38",120.873333,23.463056,891589156,35,41,58,83,108,126,133,131,121,100,75,46,"Pieris taiwanensis",49,48.5
"39",120.873333,23.463056,891636151,35,41,58,83,108,126,133,131,121,100,75,46,"Pieris taiwanensis",49,48.5
"40",120.873333,23.463056,891652687,35,41,58,83,108,126,133,131,121,100,75,46,"Pieris taiwanensis",49,48.5
"41",120.873333,23.463056,891652756,35,41,58,83,108,126,133,131,121,100,75,46,"Pieris taiwanensis",49,48.5
"42",120.873333,23.463056,891665258,35,41,58,83,108,126,133,131,121,100,75,46,"Pieris taiwanensis",49,48.5
"43",120.86612,23.463719,1086063826,49,55,73,98,124,142,149,147,137,116,90,60,"Pieris taiwanensis",49,64.1
"44",121.18998,23.464835,1086063765,23,28,43,66,91,109,115,113,103,83,60,33,"Pieris taiwanensis",49,34
"45",120.960556,23.468333,891601024,-8,-3,10,32,58,76,82,80,70,51,27,2,"Pieris taiwanensis",49,11.7
"46",120.960556,23.468333,891601731,-8,-3,10,32,58,76,82,80,70,51,27,2,"Pieris taiwanensis",49,11.7
"47",120.960556,23.468333,891611264,-8,-3,10,32,58,76,82,80,70,51,27,2,"Pieris taiwanensis",49,11.7
"48",120.960556,23.468333,891611510,-8,-3,10,32,58,76,82,80,70,51,27,2,"Pieris taiwanensis",49,11.7
"49",120.905556,23.468611,891630671,50,57,74,100,126,144,151,148,138,117,91,61,"Pieris taiwanensis",49,65.7
"50",120.905556,23.468611,891630702,50,57,74,100,126,144,151,148,138,117,91,61,"Pieris taiwanensis",49,65.7
"51",120.905556,23.468611,891665190,50,57,74,100,126,144,151,148,138,117,91,61,"Pieris taiwanensis",49,65.7
"52",120.905556,23.468611,891665287,50,57,74,100,126,144,151,148,138,117,91,61,"Pieris taiwanensis",49,65.7
"53",120.913542,23.470002,622291161,34,41,57,82,107,125,132,130,120,99,74,45,"Pieris taiwanensis",49,47.6
"54",120.892778,23.470556,891598110,45,52,69,94,120,138,145,143,133,112,86,56,"Pieris taiwanensis",49,59.8
"55",120.892778,23.470556,891598243,45,52,69,94,120,138,145,143,133,112,86,56,"Pieris taiwanensis",49,59.8
"56",120.892778,23.470556,891665249,45,52,69,94,120,138,145,143,133,112,86,56,"Pieris taiwanensis",49,59.8
"57",120.915833,23.471389,891632258,34,41,57,82,107,125,132,130,120,99,74,45,"Pieris taiwanensis",49,47.6
"58",120.8875,23.473333,891665311,43,50,67,92,118,136,143,141,130,110,84,54,"Pieris taiwanensis",49,57.5
"59",120.85731,23.473374,1086063860,52,59,76,102,128,146,153,151,141,120,93,63,"Pieris taiwanensis",49,68.4
"60",120.865229,23.474103,1086063812,48,54,72,97,123,141,148,146,136,115,89,59,"Pieris taiwanensis",49,63
"61",120.855811,23.474727,1086063844,52,59,76,102,128,146,153,151,141,120,93,63,"Pieris taiwanensis",49,68.4
"62",120.867528,23.474918,1086063879,50,57,75,101,126,145,151,149,139,118,92,62,"Pieris taiwanensis",49,66.5
"63",120.8549,23.474997,1086063809,52,58,76,102,128,146,153,151,141,120,93,63,"Pieris taiwanensis",49,68.3
"64",120.92,23.475833,891665223,31,37,53,78,103,122,128,126,116,95,70,42,"Pieris taiwanensis",49,44.1
"65",120.978889,23.475833,891615640,9,15,29,52,78,96,102,100,90,70,46,19,"Pieris taiwanensis",49,23.8
"66",120.854605,23.4759,1086063825,52,58,76,102,128,146,153,151,141,120,93,63,"Pieris taiwanensis",49,68.3
"67",120.889955,23.476651,1086063859,39,45,62,87,113,131,138,136,126,105,79,50,"Pieris taiwanensis",49,52.7
