"","decimalLongitude","decimalLatitude","key","mon_1","mon_2","mon_3","mon_4","mon_5","mon_6","mon_7","mon_8","mon_9","mon_10","mon_11","mon_12","scientificname","code","WI"
"1",120.75343,22.613257,1086121936,50,55,68,87,109,123,127,126,118,103,82,59,"Pinus armandii mastersiana",50,50.7
"2",120.751056,22.618672,1086121932,49,54,67,86,108,122,126,125,117,102,81,57,"Pinus armandii mastersiana",50,49.5
"3",120.749887,22.619393,1086121899,49,54,67,86,108,122,126,125,117,102,81,57,"Pinus armandii mastersiana",50,49.5
"4",120.879191,22.861212,1086121906,96,103,121,144,167,182,188,185,177,159,135,106,"Pinus armandii mastersiana",50,116.3
"5",120.828646,22.976038,1086121928,53,59,74,96,120,135,141,139,130,113,89,62,"Pinus armandii mastersiana",50,61.1
"6",120.828508,22.977031,1086121927,53,59,74,96,120,135,141,139,130,113,89,62,"Pinus armandii mastersiana",50,61.1
"7",120.749137,23.082015,622291211,126,135,156,183,206,222,229,227,218,198,171,138,"Pinus armandii mastersiana",50,160.9
"8",120.799444,23.083056,622291205,93,101,120,145,168,184,191,188,180,160,135,104,"Pinus armandii mastersiana",50,116.9
"9",120.916667,23.266667,574733668,73,81,99,124,149,166,172,170,160,140,115,84,"Pinus armandii mastersiana",50,93.3
"10",120.9109,23.277817,1086122013,64,71,89,114,139,156,162,160,150,130,105,75,"Pinus armandii mastersiana",50,81.5
"11",120.902432,23.281966,1086121944,65,72,90,114,139,156,163,160,151,131,105,76,"Pinus armandii mastersiana",50,82.2
"12",120.897435,23.28404,1086121893,83,91,110,136,161,178,185,182,173,152,126,95,"Pinus armandii mastersiana",50,107.2
"13",120.898051,23.284582,1086121957,83,91,110,136,161,178,185,182,173,152,126,95,"Pinus armandii mastersiana",50,107.2
"14",120.922222,23.286111,1821821707,81,88,107,133,158,175,181,179,169,149,123,92,"Pinus armandii mastersiana",50,103.5
"15",120.991271,23.420171,2580215993,57,64,82,107,133,151,157,155,145,124,98,69,"Pinus armandii mastersiana",50,74.2
"16",120.98,23.45,1085970271,25,31,46,70,96,114,120,118,108,88,63,36,"Pinus armandii mastersiana",50,37.7
"17",120.867997,23.456677,1086121919,40,46,63,88,114,132,138,136,126,106,80,51,"Pinus armandii mastersiana",50,53.4
"18",120.86612,23.463719,1086121954,49,55,73,98,124,142,149,147,137,116,90,60,"Pinus armandii mastersiana",50,64.1
"19",120.869505,23.466341,1086121923,35,41,58,83,108,126,133,131,121,100,75,46,"Pinus armandii mastersiana",50,48.5
"20",120.960833,23.468611,1821806718,-8,-3,10,32,58,76,82,80,70,51,27,2,"Pinus armandii mastersiana",50,11.7
"21",120.960833,23.468611,1821807012,-8,-3,10,32,58,76,82,80,70,51,27,2,"Pinus armandii mastersiana",50,11.7
"22",120.87237,23.469504,1086121952,38,44,61,86,112,130,137,134,124,104,78,49,"Pinus armandii mastersiana",50,51.6
"23",120.95,23.47,1020039004,-4,1,14,36,62,80,86,85,74,55,32,6,"Pinus armandii mastersiana",50,14.2
"24",120.856252,23.473644,1086121922,52,59,76,102,128,146,153,151,141,120,93,63,"Pinus armandii mastersiana",50,68.4
"25",120.855811,23.474727,1086121963,52,59,76,102,128,146,153,151,141,120,93,63,"Pinus armandii mastersiana",50,68.4
