"","decimalLongitude","decimalLatitude","key","mon_1","mon_2","mon_3","mon_4","mon_5","mon_6","mon_7","mon_8","mon_9","mon_10","mon_11","mon_12","scientificname","code","WI"
"1",120.907778,23.231111,891692184,18,23,37,59,84,101,106,105,95,77,53,27,"Platanthera brevicalcarata",52,28
"2",120.908611,23.231667,891637671,5,10,23,44,69,85,91,89,80,62,39,14,"Platanthera brevicalcarata",52,17.6
"3",120.937778,23.249167,891692030,23,28,43,65,90,107,112,111,101,83,59,33,"Platanthera brevicalcarata",52,32.8
"4",120.937778,23.249167,1821881740,23,28,43,65,90,107,112,111,101,83,59,33,"Platanthera brevicalcarata",52,32.8
"5",120.931389,23.262222,1821904846,64,71,88,113,138,155,161,159,149,130,104,75,"Platanthera brevicalcarata",52,80.7
"6",121.116667,23.266667,1821828301,101,108,128,154,178,195,202,200,189,169,143,112,"Platanthera brevicalcarata",52,127.9
"7",121.116667,23.266667,1821864004,101,108,128,154,178,195,202,200,189,169,143,112,"Platanthera brevicalcarata",52,127.9
"8",121.116667,23.266667,1821864236,101,108,128,154,178,195,202,200,189,169,143,112,"Platanthera brevicalcarata",52,127.9
"9",120.89,23.27,1085966177,63,70,87,112,137,154,160,158,148,129,103,74,"Platanthera brevicalcarata",52,79.5
"10",121.013333,23.449167,891637977,28,34,50,73,99,117,123,121,111,91,66,39,"Platanthera brevicalcarata",52,40.1
"11",120.95,23.45,1085970752,-5,0,13,35,61,79,85,83,73,54,31,5,"Platanthera brevicalcarata",52,13.5
"12",120.873333,23.463056,891692088,35,41,58,83,108,126,133,131,121,100,75,46,"Platanthera brevicalcarata",52,48.5
"13",120.960556,23.468333,891601563,-8,-3,10,32,58,76,82,80,70,51,27,2,"Platanthera brevicalcarata",52,11.7
"14",120.960556,23.468333,891601574,-8,-3,10,32,58,76,82,80,70,51,27,2,"Platanthera brevicalcarata",52,11.7
"15",120.960556,23.468333,891601618,-8,-3,10,32,58,76,82,80,70,51,27,2,"Platanthera brevicalcarata",52,11.7
"16",120.960556,23.468333,891692086,-8,-3,10,32,58,76,82,80,70,51,27,2,"Platanthera brevicalcarata",52,11.7
"17",120.960556,23.468333,891692239,-8,-3,10,32,58,76,82,80,70,51,27,2,"Platanthera brevicalcarata",52,11.7
"18",120.91,23.47,1085985158,34,41,57,82,107,125,132,130,120,99,74,45,"Platanthera brevicalcarata",52,47.6
