"","decimalLongitude","decimalLatitude","key","mon_1","mon_2","mon_3","mon_4","mon_5","mon_6","mon_7","mon_8","mon_9","mon_10","mon_11","mon_12","scientificname","code","WI"
"1",147.8611,-24.8036,2436119759,233,225,212,179,139,108,103,123,161,191,209,227,"Polygala japonica",53,151
"2",147.8611,-24.8036,2439191076,233,225,212,179,139,108,103,123,161,191,209,227,"Polygala japonica",53,151
"3",147.7442,-24.8533,2436897637,241,233,219,186,146,114,109,129,168,198,217,235,"Polygala japonica",53,159.5
"4",152.683139,-28.119944,1666931376,236,230,216,190,159,132,124,137,169,192,210,227,"Polygala japonica",53,162.2
"5",152.683139,-28.119944,2418846519,236,230,216,190,159,132,124,137,169,192,210,227,"Polygala japonica",53,162.2
"6",152.453194,-28.271167,1666931040,211,205,190,163,130,103,96,109,141,165,183,201,"Polygala japonica",53,129.7
"7",152.453194,-28.271167,2418775202,211,205,190,163,130,103,96,109,141,165,183,201,"Polygala japonica",53,129.7
"8",152.079765,-28.697061,1074047115,201,195,179,150,116,87,80,94,127,152,172,190,"Polygala japonica",53,114.3
"9",152.658418,-28.903615,1074048823,239,233,218,192,160,133,124,138,171,195,213,230,"Polygala japonica",53,164.6
"10",152.975331,-29.031971,1071473956,243,238,224,200,170,145,136,148,179,200,217,234,"Polygala japonica",53,173.4
"11",153.045558,-29.077772,1916043410,240,236,222,199,170,144,136,148,178,198,215,231,"Polygala japonica",53,171.7
"12",153.092572,-29.098146,1071473615,242,238,224,201,172,147,139,151,180,200,216,233,"Polygala japonica",53,174.3
"13",152.982183,-29.142367,1074048237,242,237,223,198,169,143,135,147,178,199,215,232,"Polygala japonica",53,171.8
"14",152.295745,-29.220772,1451881465,223,216,200,172,138,110,102,116,150,176,195,213,"Polygala japonica",53,141.1
"15",152.782066,-29.765186,1071612747,237,232,217,192,161,136,127,139,171,193,211,228,"Polygala japonica",53,164.4
"16",151.10103,-29.765779,1071424357,232,225,207,173,135,102,92,107,143,174,198,219,"Polygala japonica",53,140.7
"17",151.398251,-29.829256,1916594969,217,211,193,161,124,93,83,98,133,162,185,205,"Polygala japonica",53,126.5
"18",151.524934,-29.831084,1916116917,201,194,177,145,109,79,70,84,118,146,168,188,"Polygala japonica",53,107.9
"19",153.070373,-29.85709,1452294256,238,234,220,197,168,144,136,147,175,195,211,228,"Polygala japonica",53,169.3
"20",151.078235,-29.874646,1074345477,219,213,194,161,122,90,81,95,131,161,185,206,"Polygala japonica",53,125.8
"21",151.150678,-29.903425,1451966800,217,210,192,158,120,88,79,94,129,159,183,204,"Polygala japonica",53,123.3
"22",151.250547,-29.912358,1452340409,209,203,185,152,114,83,74,88,123,152,176,197,"Polygala japonica",53,115.6
"23",151.255883,-29.912358,1452340258,209,203,185,152,114,83,74,88,123,152,176,197,"Polygala japonica",53,115.6
"24",151.255447,-29.919942,1452340424,210,203,185,152,115,83,74,88,123,153,176,197,"Polygala japonica",53,115.9
"25",151.091787,-30.086576,1916622369,222,215,196,163,124,92,82,97,133,163,188,209,"Polygala japonica",53,128.4
"26",151.07857,-30.129392,1916638108,226,219,200,166,128,96,85,100,136,167,191,213,"Polygala japonica",53,132.7
"27",152.470331,-30.250156,1916545224,183,178,162,134,103,78,70,82,112,134,153,172,"Polygala japonica",53,96.1
"28",150.288245,-30.310329,1452552934,210,203,182,144,104,72,64,79,112,144,171,195,"Polygala japonica",53,108
"29",150.278916,-30.320669,2421042223,214,207,186,149,108,76,68,83,116,148,175,199,"Polygala japonica",53,112.9
"30",150.279881,-30.320743,2421555283,214,207,186,149,108,76,68,83,116,148,175,199,"Polygala japonica",53,112.9
"31",150.279881,-30.320743,2421389927,214,207,186,149,108,76,68,83,116,148,175,199,"Polygala japonica",53,112.9
"32",150.279881,-30.320743,1457344612,214,207,186,149,108,76,68,83,116,148,175,199,"Polygala japonica",53,112.9
"33",150.25237,-30.337566,2421314582,211,204,183,146,105,73,65,80,113,145,172,196,"Polygala japonica",53,109.3
"34",150.25237,-30.337566,2420804830,211,204,183,146,105,73,65,80,113,145,172,196,"Polygala japonica",53,109.3
"35",150.25237,-30.337566,1457344608,211,204,183,146,105,73,65,80,113,145,172,196,"Polygala japonica",53,109.3
"36",150.252878,-30.338018,2420892410,211,204,183,146,105,73,65,80,113,145,172,196,"Polygala japonica",53,109.3
"37",150.252878,-30.338018,2421534730,211,204,183,146,105,73,65,80,113,145,172,196,"Polygala japonica",53,109.3
"38",150.252878,-30.338018,1457344602,211,204,183,146,105,73,65,80,113,145,172,196,"Polygala japonica",53,109.3
"39",150.253565,-30.338709,2421180387,211,204,183,146,105,73,65,80,113,145,172,196,"Polygala japonica",53,109.3
"40",150.2796,-30.344422,1457337519,212,205,184,147,106,74,66,81,114,146,173,197,"Polygala japonica",53,110.5
"41",150.279382,-30.344796,1457337509,212,205,184,147,106,74,66,81,114,146,173,197,"Polygala japonica",53,110.5
"42",150.279968,-30.345782,1457337528,212,205,184,147,106,74,66,81,114,146,173,197,"Polygala japonica",53,110.5
"43",150.278442,-30.346048,1452093202,212,205,184,147,106,74,66,81,114,146,173,197,"Polygala japonica",53,110.5
"44",150.27817,-30.346475,1452093257,212,205,184,147,106,74,66,81,114,146,173,197,"Polygala japonica",53,110.5
"45",150.294447,-30.351296,2421043886,215,207,187,149,109,77,68,83,117,149,176,200,"Polygala japonica",53,113.7
"46",150.294447,-30.351296,2421287471,215,207,187,149,109,77,68,83,117,149,176,200,"Polygala japonica",53,113.7
"47",150.29123,-30.351446,2421071742,209,202,181,144,103,71,63,78,111,143,170,194,"Polygala japonica",53,106.9
"48",150.29123,-30.351446,2420968262,209,202,181,144,103,71,63,78,111,143,170,194,"Polygala japonica",53,106.9
"49",150.29123,-30.351446,1457344586,209,202,181,144,103,71,63,78,111,143,170,194,"Polygala japonica",53,106.9
"50",150.291412,-30.351603,2421156473,209,202,181,144,103,71,63,78,111,143,170,194,"Polygala japonica",53,106.9
"51",150.291412,-30.351603,2421531416,209,202,181,144,103,71,63,78,111,143,170,194,"Polygala japonica",53,106.9
"52",150.291412,-30.351603,1457344591,209,202,181,144,103,71,63,78,111,143,170,194,"Polygala japonica",53,106.9
"53",150.291755,-30.35161,2421003007,215,207,187,149,109,77,68,83,117,149,176,200,"Polygala japonica",53,113.7
"54",150.291755,-30.35161,2420832226,215,207,187,149,109,77,68,83,117,149,176,200,"Polygala japonica",53,113.7
