"","decimalLongitude","decimalLatitude","key","mon_1","mon_2","mon_3","mon_4","mon_5","mon_6","mon_7","mon_8","mon_9","mon_10","mon_11","mon_12","scientificname","code","WI"
"1",120.907778,23.231111,891617119,18,23,37,59,84,101,106,105,95,77,53,27,"Potentilla leuconota var. morrisonicola",54,28
"2",120.91,23.24,1085976005,17,23,37,59,84,100,106,104,95,76,53,27,"Potentilla leuconota var. morrisonicola",54,27.7
"3",120.966667,23.25,1821865478,69,76,94,119,143,160,167,164,155,135,110,80,"Potentilla leuconota var. morrisonicola",54,87.2
"4",121.116667,23.266667,1821873918,101,108,128,154,178,195,202,200,189,169,143,112,"Potentilla leuconota var. morrisonicola",54,127.9
"5",120.941667,23.465278,891678225,7,12,27,50,75,93,99,98,88,68,44,17,"Potentilla leuconota var. morrisonicola",54,22.1
"6",120.941667,23.465278,1821859491,7,12,27,50,75,93,99,98,88,68,44,17,"Potentilla leuconota var. morrisonicola",54,22.1
"7",120.937778,23.4675,891626282,9,14,29,52,78,96,102,100,90,70,46,19,"Potentilla leuconota var. morrisonicola",54,23.8
"8",120.937778,23.4675,891626264,9,14,29,52,78,96,102,100,90,70,46,19,"Potentilla leuconota var. morrisonicola",54,23.8
"9",120.960556,23.468333,891615572,-8,-3,10,32,58,76,82,80,70,51,27,2,"Potentilla leuconota var. morrisonicola",54,11.7
"10",120.960556,23.468333,891634081,-8,-3,10,32,58,76,82,80,70,51,27,2,"Potentilla leuconota var. morrisonicola",54,11.7
"11",120.960556,23.468333,891678257,-8,-3,10,32,58,76,82,80,70,51,27,2,"Potentilla leuconota var. morrisonicola",54,11.7
"12",120.960556,23.468333,891678219,-8,-3,10,32,58,76,82,80,70,51,27,2,"Potentilla leuconota var. morrisonicola",54,11.7
"13",120.960556,23.468333,891615339,-8,-3,10,32,58,76,82,80,70,51,27,2,"Potentilla leuconota var. morrisonicola",54,11.7
"14",120.960833,23.468611,1821815352,-8,-3,10,32,58,76,82,80,70,51,27,2,"Potentilla leuconota var. morrisonicola",54,11.7
"15",120.949444,23.471944,891600748,13,18,33,56,82,100,106,104,94,74,50,23,"Potentilla leuconota var. morrisonicola",54,26.6
"16",120.900833,23.477778,891616331,42,48,65,90,116,134,141,139,129,108,82,53,"Potentilla leuconota var. morrisonicola",54,55.7
"17",121.049722,23.493889,891678186,7,12,26,49,75,93,99,97,87,67,43,17,"Potentilla leuconota var. morrisonicola",54,21.8
"18",121.023333,23.503056,891618836,51,58,75,101,127,145,152,149,139,118,92,62,"Potentilla leuconota var. morrisonicola",54,66.9
"19",121.023333,23.503056,891619444,51,58,75,101,127,145,152,149,139,118,92,62,"Potentilla leuconota var. morrisonicola",54,66.9
"20",120.994167,23.503333,891618477,52,59,77,102,128,146,153,151,140,119,93,63,"Potentilla leuconota var. morrisonicola",54,68.3
"21",120.98,23.83,2417369938,79,86,107,137,165,185,194,191,179,155,126,92,"Potentilla leuconota var. morrisonicola",54,109.6
"22",121.252222,23.959167,1821868645,56,62,81,109,137,159,168,165,152,128,100,68,"Potentilla leuconota var. morrisonicola",54,78.5
"23",121.252222,23.959167,1821868655,56,62,81,109,137,159,168,165,152,128,100,68,"Potentilla leuconota var. morrisonicola",54,78.5
"24",121.252222,23.959167,1821868913,56,62,81,109,137,159,168,165,152,128,100,68,"Potentilla leuconota var. morrisonicola",54,78.5
"25",121.253056,23.991667,891678214,25,31,47,73,102,124,132,129,117,93,67,37,"Potentilla leuconota var. morrisonicola",54,43.7
"26",120.18,23,2417387763,182,190,212,240,263,279,287,284,277,258,230,196,"Potentilla leuconota var. morrisonicola",54,229.8
"27",121.268333,24.009444,891678194,23,28,44,71,100,121,130,127,114,91,65,35,"Potentilla leuconota var. morrisonicola",54,41.9
"28",121.114444,24.014444,891678273,109,117,141,174,202,225,235,231,218,191,160,123,"Potentilla leuconota var. morrisonicola",54,152.6
"29",121.277222,24.018611,891678240,33,39,55,82,111,133,142,139,126,102,76,45,"Potentilla leuconota var. morrisonicola",54,51.6
"30",121.2775,24.055833,891678265,8,12,27,53,82,103,112,109,96,73,48,20,"Potentilla leuconota var. morrisonicola",54,27.8
"31",121.276389,24.0575,891604103,8,12,27,53,82,103,112,109,96,73,48,20,"Potentilla leuconota var. morrisonicola",54,27.8
"32",121.276389,24.0575,891611384,8,12,27,53,82,103,112,109,96,73,48,20,"Potentilla leuconota var. morrisonicola",54,27.8
"33",121.276389,24.0575,891611427,8,12,27,53,82,103,112,109,96,73,48,20,"Potentilla leuconota var. morrisonicola",54,27.8
"34",121.276389,24.0575,891678229,8,12,27,53,82,103,112,109,96,73,48,20,"Potentilla leuconota var. morrisonicola",54,27.8
"35",121.276389,24.0575,891678235,8,12,27,53,82,103,112,109,96,73,48,20,"Potentilla leuconota var. morrisonicola",54,27.8
"36",121.310833,24.090833,1821785951,21,26,42,68,97,120,128,126,113,89,63,33,"Potentilla leuconota var. morrisonicola",54,40.4
"37",121.182222,24.1,1821815329,64,71,90,121,150,172,182,179,165,140,111,78,"Potentilla leuconota var. morrisonicola",54,92.3
"38",121.266667,24.133333,1821886526,5,9,24,50,79,101,110,107,94,71,45,17,"Potentilla leuconota var. morrisonicola",54,26.2
"39",121.261944,24.134167,891597409,23,28,44,72,101,123,133,130,116,92,66,36,"Potentilla leuconota var. morrisonicola",54,43.3
"40",121.261944,24.134167,891597647,23,28,44,72,101,123,133,130,116,92,66,36,"Potentilla leuconota var. morrisonicola",54,43.3
"41",121.262222,24.134167,1821822056,23,28,44,72,101,123,133,130,116,92,66,36,"Potentilla leuconota var. morrisonicola",54,43.3
"42",121.262222,24.134167,1821822231,23,28,44,72,101,123,133,130,116,92,66,36,"Potentilla leuconota var. morrisonicola",54,43.3
"43",121.262222,24.134167,1821827006,23,28,44,72,101,123,133,130,116,92,66,36,"Potentilla leuconota var. morrisonicola",54,43.3
"44",121.2775,24.134167,891644959,3,7,22,48,77,99,108,105,92,69,43,15,"Potentilla leuconota var. morrisonicola",54,25
"45",121.268056,24.138889,1821776920,5,9,24,50,79,101,110,107,94,71,45,17,"Potentilla leuconota var. morrisonicola",54,26.2
"46",121.286111,24.138889,1821815315,9,13,28,54,83,106,114,112,99,75,49,21,"Potentilla leuconota var. morrisonicola",54,29.3
"47",121.286111,24.138889,1821815440,9,13,28,54,83,106,114,112,99,75,49,21,"Potentilla leuconota var. morrisonicola",54,29.3
"48",121.286111,24.138889,1821815526,9,13,28,54,83,106,114,112,99,75,49,21,"Potentilla leuconota var. morrisonicola",54,29.3
"49",121.27,24.14,1085984514,5,9,24,50,79,101,110,107,94,71,45,17,"Potentilla leuconota var. morrisonicola",54,26.2
"50",121.27,24.15,1086037725,16,20,36,63,92,115,124,121,108,84,58,28,"Potentilla leuconota var. morrisonicola",54,36.5
"51",121.28,24.15,1086001416,8,12,27,53,83,105,114,111,98,75,49,20,"Potentilla leuconota var. morrisonicola",54,28.9
