"","decimalLongitude","decimalLatitude","key","mon_1","mon_2","mon_3","mon_4","mon_5","mon_6","mon_7","mon_8","mon_9","mon_10","mon_11","mon_12","scientificname","code","WI"
"1",121.609726,23.976842,1303650311,162,171,196,229,257,281,292,287,272,245,214,176,"Potentilla tugitakensis",55,218.2
"2",121.268333,24.009444,891618982,23,28,44,71,100,121,130,127,114,91,65,35,"Potentilla tugitakensis",55,41.9
"3",121.268333,24.009444,1304303813,23,28,44,71,100,121,130,127,114,91,65,35,"Potentilla tugitakensis",55,41.9
"4",121.27,24.06,1086002331,25,30,47,73,102,124,133,130,117,94,67,38,"Potentilla tugitakensis",55,44
"5",121.34,24.11,1085994171,4,8,22,48,76,99,107,105,92,69,43,16,"Potentilla tugitakensis",55,24.8
"6",121.412778,24.304444,891678158,11,14,29,55,85,108,118,115,101,77,51,23,"Potentilla tugitakensis",55,31
"7",121.412778,24.304444,1304303801,11,14,29,55,85,108,118,115,101,77,51,23,"Potentilla tugitakensis",55,31
"8",121.434651,24.344181,1086099862,-1,2,15,41,70,94,103,101,87,63,38,11,"Potentilla tugitakensis",55,21.8
"9",121.433333,24.35,1821907417,-6,-3,10,35,65,88,97,95,81,58,33,6,"Potentilla tugitakensis",55,18.4
"10",121.447732,24.359131,1086099788,-12,-10,3,27,57,80,89,87,74,51,26,-1,"Potentilla tugitakensis",55,13.8
"11",121.442232,24.359147,1086099816,-12,-10,3,27,57,80,89,87,74,51,26,-1,"Potentilla tugitakensis",55,13.8
"12",121.439769,24.359335,1086099821,-11,-9,4,29,58,82,91,89,75,52,27,1,"Potentilla tugitakensis",55,14.7
"13",121.44461,24.359862,1086099793,-12,-10,3,27,57,80,89,87,74,51,26,-1,"Potentilla tugitakensis",55,13.8
"14",121.439538,24.360961,1086099810,-11,-9,4,29,58,82,91,89,75,52,27,1,"Potentilla tugitakensis",55,14.7
"15",121.43,24.36,1085990260,5,9,23,49,79,102,112,109,95,71,46,18,"Potentilla tugitakensis",55,26.8
"16",121.443333,24.361667,891607720,-12,-10,3,27,57,80,89,87,74,51,26,-1,"Potentilla tugitakensis",55,13.8
"17",121.443333,24.361667,891626335,-12,-10,3,27,57,80,89,87,74,51,26,-1,"Potentilla tugitakensis",55,13.8
"18",121.443333,24.361667,891615684,-12,-10,3,27,57,80,89,87,74,51,26,-1,"Potentilla tugitakensis",55,13.8
"19",121.443333,24.361667,1304303781,-12,-10,3,27,57,80,89,87,74,51,26,-1,"Potentilla tugitakensis",55,13.8
"20",121.443333,24.361667,1304303788,-12,-10,3,27,57,80,89,87,74,51,26,-1,"Potentilla tugitakensis",55,13.8
"21",121.443333,24.361667,1304303800,-12,-10,3,27,57,80,89,87,74,51,26,-1,"Potentilla tugitakensis",55,13.8
"22",121.443333,24.361667,1304303804,-12,-10,3,27,57,80,89,87,74,51,26,-1,"Potentilla tugitakensis",55,13.8
"23",121.44288,24.36393,1086099815,-12,-10,3,27,57,80,89,87,74,51,26,-1,"Potentilla tugitakensis",55,13.8
"24",121.446961,24.364189,1086099826,-12,-10,3,27,57,80,89,87,74,51,26,-1,"Potentilla tugitakensis",55,13.8
"25",121.447869,24.364458,1086099805,-12,-10,3,27,57,80,89,87,74,51,26,-1,"Potentilla tugitakensis",55,13.8
"26",121.444312,24.364739,1086099836,-12,-10,3,27,57,80,89,87,74,51,26,-1,"Potentilla tugitakensis",55,13.8
"27",121.436944,24.365556,1304303758,-11,-9,4,29,58,82,91,89,75,52,27,1,"Potentilla tugitakensis",55,14.7
"28",121.436944,24.365556,1304303797,-11,-9,4,29,58,82,91,89,75,52,27,1,"Potentilla tugitakensis",55,14.7
"29",121.448635,24.366351,1086099773,-12,-10,3,27,57,80,89,87,74,51,26,-1,"Potentilla tugitakensis",55,13.8
"30",121.441815,24.366733,1086099838,-10,-7,5,30,60,84,93,90,77,54,29,2,"Potentilla tugitakensis",55,15.8
"31",121.449031,24.367072,1086099799,-10,-7,5,30,60,84,93,90,77,54,29,2,"Potentilla tugitakensis",55,15.8
"32",121.443522,24.367269,1086099822,-10,-7,5,30,60,84,93,90,77,54,29,2,"Potentilla tugitakensis",55,15.8
"33",121.440557,24.36791,1086099807,-2,1,14,40,70,93,102,100,86,63,37,10,"Potentilla tugitakensis",55,21.4
"34",121.448285,24.367978,1086099819,-10,-7,5,30,60,84,93,90,77,54,29,2,"Potentilla tugitakensis",55,15.8
"35",121.445429,24.368528,1086099795,-10,-7,5,30,60,84,93,90,77,54,29,2,"Potentilla tugitakensis",55,15.8
"36",121.439209,24.368546,1086099781,-2,1,14,40,70,93,102,100,86,63,37,10,"Potentilla tugitakensis",55,21.4
"37",121.442384,24.368717,1086099829,-10,-7,5,30,60,84,93,90,77,54,29,2,"Potentilla tugitakensis",55,15.8
"38",121.442667,24.370793,1086099827,-10,-7,5,30,60,84,93,90,77,54,29,2,"Potentilla tugitakensis",55,15.8
"39",121.440571,24.371702,1086099868,-2,1,14,40,70,93,102,100,86,63,37,10,"Potentilla tugitakensis",55,21.4
"40",121.441637,24.372331,1086099798,-10,-7,5,30,60,84,93,90,77,54,29,2,"Potentilla tugitakensis",55,15.8
"41",121.445566,24.373764,1086099824,-10,-7,5,30,60,84,93,90,77,54,29,2,"Potentilla tugitakensis",55,15.8
"42",121.217778,24.376389,891602845,-2,1,15,42,72,96,105,103,89,65,39,11,"Potentilla tugitakensis",55,23
"43",121.217778,24.376389,1304303808,-2,1,15,42,72,96,105,103,89,65,39,11,"Potentilla tugitakensis",55,23
