"","decimalLongitude","decimalLatitude","key","mon_1","mon_2","mon_3","mon_4","mon_5","mon_6","mon_7","mon_8","mon_9","mon_10","mon_11","mon_12","scientificname","code","WI"
"1",173.975863,-39.202411,1091114984,158,163,152,132,113,96,86,89,99,111,124,144,"Rhododendron morii",56,86.7
"2",173.975863,-39.202411,1091120147,158,163,152,132,113,96,86,89,99,111,124,144,"Rhododendron morii",56,86.7
"3",173.975863,-39.202411,1091207043,158,163,152,132,113,96,86,89,99,111,124,144,"Rhododendron morii",56,86.7
"4",173.975863,-39.202411,1091309945,158,163,152,132,113,96,86,89,99,111,124,144,"Rhododendron morii",56,86.7
"5",120.74,22.61,1086012263,101,108,124,146,167,181,186,184,177,161,138,111,"Rhododendron morii",56,118.4
"6",120.752222,22.630556,891615217,65,71,85,105,127,141,146,144,136,121,99,75,"Rhododendron morii",56,71.5
"7",120.906111,22.755556,891618453,94,100,117,139,161,176,181,179,171,154,131,103,"Rhododendron morii",56,110.6
"8",120.906111,22.755556,891624912,94,100,117,139,161,176,181,179,171,154,131,103,"Rhododendron morii",56,110.6
"9",120.906111,22.755556,891624936,94,100,117,139,161,176,181,179,171,154,131,103,"Rhododendron morii",56,110.6
"10",120.783333,22.816667,1821905625,92,99,116,139,162,176,182,180,172,154,130,102,"Rhododendron morii",56,110.4
"11",120.814722,23.110833,891636956,89,96,115,140,164,180,187,184,175,156,130,100,"Rhododendron morii",56,111.6
"12",120.814722,23.110833,891635875,89,96,115,140,164,180,187,184,175,156,130,100,"Rhododendron morii",56,111.6
"13",120.907778,23.231111,891615538,18,23,37,59,84,101,106,105,95,77,53,27,"Rhododendron morii",56,28
"14",120.959167,23.270556,891607659,26,32,47,69,94,111,117,115,105,86,63,36,"Rhododendron morii",56,36
"15",120.960556,23.468333,891648274,-8,-3,10,32,58,76,82,80,70,51,27,2,"Rhododendron morii",56,11.7
"16",120.892778,23.470556,891598116,45,52,69,94,120,138,145,143,133,112,86,56,"Rhododendron morii",56,59.8
"17",120.892778,23.470556,891598128,45,52,69,94,120,138,145,143,133,112,86,56,"Rhododendron morii",56,59.8
"18",120.892778,23.470556,891598172,45,52,69,94,120,138,145,143,133,112,86,56,"Rhododendron morii",56,59.8
"19",120.892778,23.470556,891598266,45,52,69,94,120,138,145,143,133,112,86,56,"Rhododendron morii",56,59.8
"20",120.892778,23.470556,891665048,45,52,69,94,120,138,145,143,133,112,86,56,"Rhododendron morii",56,59.8
"21",120.892778,23.470556,891665056,45,52,69,94,120,138,145,143,133,112,86,56,"Rhododendron morii",56,59.8
"22",120.892778,23.470556,891665066,45,52,69,94,120,138,145,143,133,112,86,56,"Rhododendron morii",56,59.8
"23",120.892778,23.470556,891665071,45,52,69,94,120,138,145,143,133,112,86,56,"Rhododendron morii",56,59.8
"24",120.880833,23.471111,1821877847,37,43,60,85,111,129,136,134,123,103,77,48,"Rhododendron morii",56,50.8
"25",120.91,23.47,1085983203,34,41,57,82,107,125,132,130,120,99,74,45,"Rhododendron morii",56,47.6
"26",120.915833,23.471389,891597990,34,41,57,82,107,125,132,130,120,99,74,45,"Rhododendron morii",56,47.6
"27",120.901389,23.478611,891618375,42,48,65,90,116,134,141,139,129,108,82,53,"Rhododendron morii",56,55.7
"28",120.649109,23.498514,1303611851,112,121,143,173,198,216,224,222,212,190,161,125,"Rhododendron morii",56,149.7
"29",120.815833,23.506944,891623729,55,62,80,107,133,151,158,156,146,124,98,67,"Rhododendron morii",56,73.7
"30",120.815833,23.506944,891637002,55,62,80,107,133,151,158,156,146,124,98,67,"Rhododendron morii",56,73.7
"31",121.05,23.51,1086030711,30,36,52,76,102,120,127,125,114,94,69,41,"Rhododendron morii",56,42.9
"32",121,23.5,1086030031,52,59,77,102,129,147,154,151,141,120,94,64,"Rhododendron morii",56,69
"33",121.03,23.5,1086027857,42,49,66,90,116,135,141,139,129,108,82,53,"Rhododendron morii",56,55.9
"34",120.806111,23.516667,891610365,70,77,96,124,150,168,175,173,163,141,114,81,"Rhododendron morii",56,93.2
"35",120.806111,23.516667,891621599,70,77,96,124,150,168,175,173,163,141,114,81,"Rhododendron morii",56,93.2
"36",120.806111,23.516667,891637510,70,77,96,124,150,168,175,173,163,141,114,81,"Rhododendron morii",56,93.2
"37",120.806111,23.516667,891634891,70,77,96,124,150,168,175,173,163,141,114,81,"Rhododendron morii",56,93.2
"38",120.806111,23.516667,891665031,70,77,96,124,150,168,175,173,163,141,114,81,"Rhododendron morii",56,93.2
"39",120.806111,23.516667,891665063,70,77,96,124,150,168,175,173,163,141,114,81,"Rhododendron morii",56,93.2
"40",120.806111,23.516667,891665060,70,77,96,124,150,168,175,173,163,141,114,81,"Rhododendron morii",56,93.2
"41",120.810556,23.517222,891652680,60,67,86,112,138,157,164,161,151,130,103,72,"Rhododendron morii",56,80.1
"42",120.810556,23.517222,891652692,60,67,86,112,138,157,164,161,151,130,103,72,"Rhododendron morii",56,80.1
"43",120.82,23.52,1085964735,56,63,81,107,133,152,159,157,146,125,98,67,"Rhododendron morii",56,74.4
"44",120.819167,23.525833,891665058,59,66,85,112,138,156,163,161,151,129,102,71,"Rhododendron morii",56,79.3
"45",120.769167,23.5275,891665089,67,74,94,121,147,165,173,170,160,139,111,79,"Rhododendron morii",56,90
"46",120.636944,23.531111,891665061,112,120,143,172,198,216,224,222,212,189,160,125,"Rhododendron morii",56,149.3
"47",120.766558,23.531527,622292546,67,74,94,121,147,165,173,170,160,139,111,79,"Rhododendron morii",56,90
"48",121.25,23.56,1086010371,54,60,77,102,128,147,154,151,140,119,94,65,"Rhododendron morii",56,69.1
"49",120.786389,23.6675,891624919,107,115,138,169,195,214,223,220,209,186,156,120,"Rhododendron morii",56,145.2
"50",120.55,23.71,2417308715,162,171,197,231,257,277,287,284,274,249,217,177,"Rhododendron morii",56,218.3
"51",121.263333,23.998611,891665065,15,20,35,61,90,111,120,117,104,81,56,27,"Rhododendron morii",56,34
"52",120.18,23,2417384094,182,190,212,240,263,279,287,284,277,258,230,196,"Rhododendron morii",56,229.8
"53",121.133333,24.016667,1821816721,108,116,139,172,201,223,234,230,216,189,159,122,"Rhododendron morii",56,150.9
"54",121.133333,24.016667,1821816820,108,116,139,172,201,223,234,230,216,189,159,122,"Rhododendron morii",56,150.9
"55",121.273056,24.025,891638304,49,55,74,102,131,153,162,159,145,121,94,62,"Rhododendron morii",56,70.8
"56",121.526111,24.044722,891665070,75,81,100,129,157,180,189,186,172,147,120,88,"Rhododendron morii",56,102.4
"57",121.526111,24.044722,891665075,75,81,100,129,157,180,189,186,172,147,120,88,"Rhododendron morii",56,102.4
"58",121.234444,24.045833,891665067,51,57,76,105,133,156,165,162,149,124,96,64,"Rhododendron morii",56,73.8
"59",121.237728,24.047174,622292547,51,57,76,105,133,156,165,162,149,124,96,64,"Rhododendron morii",56,73.8
"60",121.263333,24.107778,1821845444,49,55,73,102,131,154,164,160,147,122,94,62,"Rhododendron morii",56,71.4
"61",121.263333,24.107778,1821845481,49,55,73,102,131,154,164,160,147,122,94,62,"Rhododendron morii",56,71.4
"62",121.263333,24.107778,1821845913,49,55,73,102,131,154,164,160,147,122,94,62,"Rhododendron morii",56,71.4
