"","decimalLongitude","decimalLatitude","key","mon_1","mon_2","mon_3","mon_4","mon_5","mon_6","mon_7","mon_8","mon_9","mon_10","mon_11","mon_12","scientificname","code","WI"
"1",120.788473,22.418142,1086064674,121,127,143,164,184,198,203,200,193,178,156,130,"Rhododendron rubropilosum",57,139.7
"2",120.788502,22.418233,1086064714,121,127,143,164,184,198,203,200,193,178,156,130,"Rhododendron rubropilosum",57,139.7
"3",120.75343,22.613257,1086064662,50,55,68,87,109,123,127,126,118,103,82,59,"Rhododendron rubropilosum",57,50.7
"4",120.74073,22.616218,1086064576,101,108,124,146,167,181,186,184,177,161,138,111,"Rhododendron rubropilosum",57,118.4
"5",120.753665,22.617683,1086064680,49,54,67,86,108,122,126,125,117,102,81,57,"Rhododendron rubropilosum",57,49.5
"6",120.751056,22.618672,1086064649,49,54,67,86,108,122,126,125,117,102,81,57,"Rhododendron rubropilosum",57,49.5
"7",120.749887,22.619393,1086064672,49,54,67,86,108,122,126,125,117,102,81,57,"Rhododendron rubropilosum",57,49.5
"8",120.74,22.62,1085984403,102,108,124,146,168,182,187,185,177,161,139,112,"Rhododendron rubropilosum",57,119.1
"9",120.752222,22.630556,891603490,65,71,85,105,127,141,146,144,136,121,99,75,"Rhododendron rubropilosum",57,71.5
"10",120.752222,22.630556,891603615,65,71,85,105,127,141,146,144,136,121,99,75,"Rhododendron rubropilosum",57,71.5
"11",120.752222,22.630556,891606170,65,71,85,105,127,141,146,144,136,121,99,75,"Rhododendron rubropilosum",57,71.5
"12",120.752222,22.630556,891615188,65,71,85,105,127,141,146,144,136,121,99,75,"Rhododendron rubropilosum",57,71.5
"13",120.828508,22.977031,1086064645,53,59,74,96,120,135,141,139,130,113,89,62,"Rhododendron rubropilosum",57,61.1
"14",120.809777,22.987576,1086064669,63,69,86,108,132,147,153,151,142,125,101,73,"Rhododendron rubropilosum",57,75
"15",120.762263,23.050004,622292646,114,122,142,168,191,207,214,212,203,183,157,125,"Rhododendron rubropilosum",57,143.8
"16",120.824157,23.064168,622292694,90,98,116,141,164,180,187,185,176,157,131,101,"Rhododendron rubropilosum",57,112.6
"17",120.814722,23.110833,891626574,89,96,115,140,164,180,187,184,175,156,130,100,"Rhododendron rubropilosum",57,111.6
"18",120.814722,23.110833,891636954,89,96,115,140,164,180,187,184,175,156,130,100,"Rhododendron rubropilosum",57,111.6
"19",120.814722,23.110833,891664932,89,96,115,140,164,180,187,184,175,156,130,100,"Rhododendron rubropilosum",57,111.6
"20",121.3625,23.121442,622292674,172,181,203,230,253,270,278,275,264,244,217,184,"Rhododendron rubropilosum",57,217.1
"21",120.805266,23.151844,622292695,88,95,114,140,164,180,187,185,176,156,130,99,"Rhododendron rubropilosum",57,111.4
"22",120.85,23.22,1086007395,94,102,122,148,172,189,196,193,184,163,137,105,"Rhododendron rubropilosum",57,120.5
"23",120.907778,23.231111,891615504,18,23,37,59,84,101,106,105,95,77,53,27,"Rhododendron rubropilosum",57,28
"24",120.9,23.25,1085980346,42,49,65,88,113,130,136,134,124,105,81,53,"Rhododendron rubropilosum",57,52.9
"25",120.91,23.26,1086010834,50,56,73,97,122,138,145,143,133,114,89,60,"Rhododendron rubropilosum",57,62
"26",120.94,23.26,1086015158,47,54,70,94,118,135,141,139,130,111,86,58,"Rhododendron rubropilosum",57,58.6
"27",120.911194,23.277366,1086064657,64,71,89,114,139,156,162,160,150,130,105,75,"Rhododendron rubropilosum",57,81.5
"28",120.91,23.28,1085968204,64,71,89,114,139,156,162,160,150,130,105,75,"Rhododendron rubropilosum",57,81.5
"29",120.971944,23.286389,891609576,26,32,47,69,94,111,117,115,105,86,63,36,"Rhododendron rubropilosum",57,36
"30",120.713919,23.3169,622292665,115,124,146,175,199,216,224,221,212,191,162,128,"Rhododendron rubropilosum",57,151.3
"31",121.190833,23.348611,891588265,121,130,151,178,203,221,228,225,214,193,166,133,"Rhododendron rubropilosum",57,156.3
"32",120.916667,23.45,574759237,50,57,75,100,126,144,150,148,138,117,91,62,"Rhododendron rubropilosum",57,65.8
"33",120.98,23.45,1085973967,25,31,46,70,96,114,120,118,108,88,63,36,"Rhododendron rubropilosum",57,37.7
"34",120.919722,23.460833,891664943,56,63,81,106,132,150,157,155,145,124,98,67,"Rhododendron rubropilosum",57,73.4
"35",120.868403,23.462186,1086064630,35,41,58,83,108,126,133,131,121,100,75,46,"Rhododendron rubropilosum",57,48.5
"36",120.873333,23.463056,891664967,35,41,58,83,108,126,133,131,121,100,75,46,"Rhododendron rubropilosum",57,48.5
"37",120.898231,23.463697,2238948428,66,73,92,118,144,162,169,167,156,135,108,77,"Rhododendron rubropilosum",57,86.7
"38",120.870212,23.464084,1086064643,35,41,58,83,108,126,133,131,121,100,75,46,"Rhododendron rubropilosum",57,48.5
"39",121.18998,23.464835,1086064692,23,28,43,66,91,109,115,113,103,83,60,33,"Rhododendron rubropilosum",57,34
"40",120.931697,23.465137,1883466847,34,41,57,81,107,125,132,130,119,99,74,45,"Rhododendron rubropilosum",57,47.4
"41",120.931839,23.465179,1880655438,34,41,57,81,107,125,132,130,119,99,74,45,"Rhododendron rubropilosum",57,47.4
"42",120.960556,23.468333,891664941,-8,-3,10,32,58,76,82,80,70,51,27,2,"Rhododendron rubropilosum",57,11.7
"43",120.905556,23.468611,891624880,50,57,74,100,126,144,151,148,138,117,91,61,"Rhododendron rubropilosum",57,65.7
"44",120.905556,23.468611,891624890,50,57,74,100,126,144,151,148,138,117,91,61,"Rhododendron rubropilosum",57,65.7
"45",120.905556,23.468611,891598753,50,57,74,100,126,144,151,148,138,117,91,61,"Rhododendron rubropilosum",57,65.7
"46",120.865213,23.470491,622292661,48,54,72,97,123,141,148,146,136,115,89,59,"Rhododendron rubropilosum",57,63
"47",120.918019,23.470552,1883531539,31,37,53,77,103,121,127,125,115,95,70,41,"Rhododendron rubropilosum",57,43.6
"48",120.892778,23.470556,891649795,45,52,69,94,120,138,145,143,133,112,86,56,"Rhododendron rubropilosum",57,59.8
"49",120.91366,23.470664,1946192870,34,41,57,82,107,125,132,130,120,99,74,45,"Rhododendron rubropilosum",57,47.6
"50",120.91343,23.4708,2251896241,34,41,57,82,107,125,132,130,120,99,74,45,"Rhododendron rubropilosum",57,47.6
"51",120.915204,23.471178,1883466848,34,41,57,82,107,125,132,130,120,99,74,45,"Rhododendron rubropilosum",57,47.6
"52",120.87,23.47,1086018752,38,44,61,86,112,130,137,134,124,104,78,49,"Rhododendron rubropilosum",57,51.6
"53",120.89,23.47,1086003238,43,50,67,92,118,136,143,141,130,110,84,54,"Rhododendron rubropilosum",57,57.5
"54",120.92,23.47,1086044094,31,37,53,77,103,121,127,125,115,95,70,41,"Rhododendron rubropilosum",57,43.6
"55",120.911149,23.471394,1883466879,34,41,57,82,107,125,132,130,120,99,74,45,"Rhododendron rubropilosum",57,47.6
