"","decimalLongitude","decimalLatitude","key","mon_1","mon_2","mon_3","mon_4","mon_5","mon_6","mon_7","mon_8","mon_9","mon_10","mon_11","mon_12","scientificname","code","WI"
"1",120.75,16.63333,2513096772,136,142,153,166,170,168,164,162,161,159,152,140,"Rosa transmorrisonensis",58,127.3
"2",120.75,16.63333,2513097205,136,142,153,166,170,168,164,162,161,159,152,140,"Rosa transmorrisonensis",58,127.3
"3",120.75,22.62,1085988126,49,54,67,86,108,122,126,125,117,102,81,57,"Rosa transmorrisonensis",58,49.5
"4",121.14,22.76,2417381676,186,195,217,243,264,280,286,283,274,256,230,198,"Rosa transmorrisonensis",58,231.2
"5",120.901944,23.220833,1821985111,20,25,40,62,86,103,109,107,98,79,56,30,"Rosa transmorrisonensis",58,30
"6",120.9,23.22,1086005341,20,25,40,62,86,103,109,107,98,79,56,30,"Rosa transmorrisonensis",58,30
"7",120.932222,23.252778,1821903587,43,49,65,88,113,130,136,134,124,105,81,53,"Rosa transmorrisonensis",58,52.9
"8",121.116667,23.266667,1821983832,101,108,128,154,178,195,202,200,189,169,143,112,"Rosa transmorrisonensis",58,127.9
"9",120.951111,23.267778,1821904655,37,43,59,82,107,124,130,128,118,99,75,47,"Rosa transmorrisonensis",58,47.2
"10",120.961111,23.269444,1821873382,26,32,47,69,94,111,117,115,105,86,63,36,"Rosa transmorrisonensis",58,36
"11",121.021105,23.293469,2465109286,13,18,32,53,78,95,101,99,90,71,48,23,"Rosa transmorrisonensis",58,23.7
"12",120.903259,23.454708,2242844534,77,85,104,131,157,175,182,179,169,148,121,89,"Rosa transmorrisonensis",58,101.7
"13",120.90344,23.454819,2238898326,77,85,104,131,157,175,182,179,169,148,121,89,"Rosa transmorrisonensis",58,101.7
"14",120.903742,23.455379,2238952825,77,85,104,131,157,175,182,179,169,148,121,89,"Rosa transmorrisonensis",58,101.7
"15",120.930011,23.464534,2423145588,34,41,57,81,107,125,132,130,119,99,74,45,"Rosa transmorrisonensis",58,47.4
"16",120.880867,23.467712,1901091121,37,43,60,85,111,129,136,134,123,103,77,48,"Rosa transmorrisonensis",58,50.8
"17",120.873639,23.468405,2331876405,38,44,61,86,112,130,137,134,124,104,78,49,"Rosa transmorrisonensis",58,51.6
"18",120.905556,23.468611,891630678,50,57,74,100,126,144,151,148,138,117,91,61,"Rosa transmorrisonensis",58,65.7
"19",120.905556,23.468611,891630684,50,57,74,100,126,144,151,148,138,117,91,61,"Rosa transmorrisonensis",58,65.7
"20",120.892778,23.470556,1821984906,45,52,69,94,120,138,145,143,133,112,86,56,"Rosa transmorrisonensis",58,59.8
"21",120.912017,23.471083,1883470610,34,41,57,82,107,125,132,130,120,99,74,45,"Rosa transmorrisonensis",58,47.6
"22",120.91227,23.471138,1931478074,34,41,57,82,107,125,132,130,120,99,74,45,"Rosa transmorrisonensis",58,47.6
"23",120.87,23.47,1086025191,38,44,61,86,112,130,137,134,124,104,78,49,"Rosa transmorrisonensis",58,51.6
"24",120.91,23.47,1086047151,34,41,57,82,107,125,132,130,120,99,74,45,"Rosa transmorrisonensis",58,47.6
"25",120.978889,23.475833,891620676,9,15,29,52,78,96,102,100,90,70,46,19,"Rosa transmorrisonensis",58,23.8
"26",120.899118,23.476675,2460059655,41,47,64,89,115,133,140,138,127,107,81,52,"Rosa transmorrisonensis",58,54.6
"27",120.908889,23.478333,891677883,28,34,51,75,101,119,125,123,113,93,68,39,"Rosa transmorrisonensis",58,41.8
"28",120.887358,23.479381,2273320390,39,45,62,87,113,131,138,136,126,105,79,50,"Rosa transmorrisonensis",58,52.7
"29",120.887177,23.481067,1898847191,39,45,62,87,113,131,138,136,126,105,79,50,"Rosa transmorrisonensis",58,52.7
"30",120.88715,23.481082,1839278372,39,45,62,87,113,131,138,136,126,105,79,50,"Rosa transmorrisonensis",58,52.7
"31",120.89,23.48,1086047160,39,45,62,87,113,131,138,136,126,105,79,50,"Rosa transmorrisonensis",58,52.7
"32",120.885628,23.482866,2252014925,39,45,62,87,113,131,138,136,126,105,79,50,"Rosa transmorrisonensis",58,52.7
"33",120.890298,23.487378,2294604260,45,51,69,94,120,138,145,143,133,112,86,56,"Rosa transmorrisonensis",58,59.7
"34",120.99,23.497222,891596232,41,48,65,89,115,134,140,138,128,107,81,52,"Rosa transmorrisonensis",58,54.9
"35",120.815833,23.506944,891592194,55,62,80,107,133,151,158,156,146,124,98,67,"Rosa transmorrisonensis",58,73.7
"36",120.983333,23.5,1821883021,58,64,83,109,135,153,160,157,147,126,99,69,"Rosa transmorrisonensis",58,76
"37",120.769167,23.5275,891677927,67,74,94,121,147,165,173,170,160,139,111,79,"Rosa transmorrisonensis",58,90
"38",120.95,23.56,1086027196,61,68,87,113,140,158,165,163,152,131,104,72,"Rosa transmorrisonensis",58,81.4
"39",121.233333,23.75,891591136,29,35,51,76,103,123,130,128,116,94,69,40,"Rosa transmorrisonensis",58,44
"40",121.205947,23.769386,2563565724,34,40,57,83,110,130,138,135,123,101,75,46,"Rosa transmorrisonensis",58,50.2
"41",121.253056,23.991667,891677955,25,31,47,73,102,124,132,129,117,93,67,37,"Rosa transmorrisonensis",58,43.7
"42",121.253056,23.991667,891677925,25,31,47,73,102,124,132,129,117,93,67,37,"Rosa transmorrisonensis",58,43.7
"43",121.253056,23.991667,891677930,25,31,47,73,102,124,132,129,117,93,67,37,"Rosa transmorrisonensis",58,43.7
"44",120.18,23,2417385158,182,190,212,240,263,279,287,284,277,258,230,196,"Rosa transmorrisonensis",58,229.8
"45",121.273056,24.025,891638190,49,55,74,102,131,153,162,159,145,121,94,62,"Rosa transmorrisonensis",58,70.8
"46",121.3,24.03,1086030515,44,50,67,95,124,146,155,152,139,115,87,56,"Rosa transmorrisonensis",58,63.6
"47",121.280244,24.034113,1901029965,27,32,48,75,104,126,134,131,118,95,68,39,"Rosa transmorrisonensis",58,45.1
"48",121.22,24.04,1086000999,81,88,109,140,168,191,201,197,184,158,129,94,"Rosa transmorrisonensis",58,114
"49",121.272057,24.04454,1901029961,20,25,41,67,96,118,127,124,111,88,61,32,"Rosa transmorrisonensis",58,39.2
"50",121.279642,24.045209,1901029964,22,27,43,69,98,120,129,126,113,90,63,34,"Rosa transmorrisonensis",58,40.8
"51",121.178333,24.090417,1822072227,63,69,89,119,148,170,180,177,163,138,109,76,"Rosa transmorrisonensis",58,90.1
"52",121.21,24.11,1085985034,38,43,61,89,118,141,150,147,133,109,82,50,"Rosa transmorrisonensis",58,58
"53",121.21,24.11,1086002449,38,43,61,89,118,141,150,147,133,109,82,50,"Rosa transmorrisonensis",58,58
"54",121.2125,24.11,1822072274,38,43,61,89,118,141,150,147,133,109,82,50,"Rosa transmorrisonensis",58,58
"55",121.2125,24.11,1822072278,38,43,61,89,118,141,150,147,133,109,82,50,"Rosa transmorrisonensis",58,58
"56",121.182222,24.1,1821851772,64,71,90,121,150,172,182,179,165,140,111,78,"Rosa transmorrisonensis",58,92.3
"57",121.233333,24.116667,1821784218,31,36,53,81,110,132,142,139,125,101,74,44,"Rosa transmorrisonensis",58,50.7
"58",121.250806,24.118472,574814372,27,32,48,76,105,128,137,134,120,96,70,39,"Rosa transmorrisonensis",58,46.6
