"","decimalLongitude","decimalLatitude","key","mon_1","mon_2","mon_3","mon_4","mon_5","mon_6","mon_7","mon_8","mon_9","mon_10","mon_11","mon_12","scientificname","code","WI"
"1",174.720835,-36.878465,2251861727,192,197,184,164,144,126,117,119,129,141,156,177,"Rubus rolfei",59,124.6
"2",175.569068,-39.939093,1843480659,169,171,154,128,107,87,79,84,100,116,133,155,"Rubus rolfei",59,88.3
"3",175.568762,-39.93941,1091214865,169,171,154,128,107,87,79,84,100,116,133,155,"Rubus rolfei",59,88.3
"4",172.591918,-43.486041,2573943527,169,168,152,128,105,83,77,86,103,118,135,155,"Rubus rolfei",59,87.9
"5",121.492318,14.067533,2513095881,157,160,168,179,182,178,172,172,170,168,166,160,"Rubus rolfei",59,143.2
"6",120.9,16.6,2514137798,109,114,124,136,141,140,136,134,133,129,123,112,"Rubus rolfei",59,93.1
"7",120.9,16.6,2514167819,109,114,124,136,141,140,136,134,133,129,123,112,"Rubus rolfei",59,93.1
"8",120.9,16.6,2515222973,109,114,124,136,141,140,136,134,133,129,123,112,"Rubus rolfei",59,93.1
"9",120.75,16.63333,2513096019,136,142,153,166,170,168,164,162,161,159,152,140,"Rubus rolfei",59,127.3
"10",120.75,16.63333,2513096624,136,142,153,166,170,168,164,162,161,159,152,140,"Rubus rolfei",59,127.3
"11",120.883333,16.7,2515225202,122,127,138,151,156,155,150,149,147,144,137,126,"Rubus rolfei",59,110.2
"12",120.883333,16.7,2515225248,122,127,138,151,156,155,150,149,147,144,137,126,"Rubus rolfei",59,110.2
"13",120.766667,22.4,1822034004,131,137,154,175,196,209,214,211,204,189,167,140,"Rubus rolfei",59,152.7
"14",120.748611,22.625278,891677846,94,101,116,138,160,174,179,177,169,153,131,104,"Rubus rolfei",59,109.6
"15",120.752222,22.630556,891677845,65,71,85,105,127,141,146,144,136,121,99,75,"Rubus rolfei",59,71.5
"16",120.898173,22.745178,1086101113,81,87,103,124,147,161,166,164,156,140,117,91,"Rubus rolfei",59,93.7
"17",120.844373,22.869491,1086101136,83,90,107,130,152,167,173,171,163,145,121,93,"Rubus rolfei",59,99.5
"18",120.854444,22.873889,891633741,75,82,98,120,143,158,164,162,153,136,113,85,"Rubus rolfei",59,88.9
"19",120.854444,22.873889,891633842,75,82,98,120,143,158,164,162,153,136,113,85,"Rubus rolfei",59,88.9
"20",120.854444,22.873889,891633846,75,82,98,120,143,158,164,162,153,136,113,85,"Rubus rolfei",59,88.9
"21",120.8225,22.970833,891677893,68,74,91,114,137,152,158,156,147,130,106,78,"Rubus rolfei",59,81.1
"22",120.751111,23.080833,1821817632,120,129,150,176,200,216,223,220,211,192,165,132,"Rubus rolfei",59,153.4
"23",120.907778,23.231111,891617487,18,23,37,59,84,101,106,105,95,77,53,27,"Rubus rolfei",59,28
"24",120.91,23.24,1085977217,17,23,37,59,84,100,106,104,95,76,53,27,"Rubus rolfei",59,27.7
"25",120.980556,23.250278,622292943,55,61,78,102,127,144,150,148,138,119,94,66,"Rubus rolfei",59,68.2
"26",120.981989,23.251434,2529349279,55,61,78,102,127,144,150,148,138,119,94,66,"Rubus rolfei",59,68.2
"27",120.93,23.257778,622292944,43,49,65,88,113,130,136,134,124,105,81,53,"Rubus rolfei",59,52.9
"28",120.91,23.26,1086010342,50,56,73,97,122,138,145,143,133,114,89,60,"Rubus rolfei",59,62
"29",120.924167,23.26,622292939,58,64,82,106,131,148,154,152,142,123,97,68,"Rubus rolfei",59,72.5
"30",120.976389,23.261944,622292942,41,47,63,86,111,128,134,132,122,103,79,52,"Rubus rolfei",59,51
"31",120.95,23.265278,622292940,31,37,52,75,100,117,123,121,111,92,68,41,"Rubus rolfei",59,40.9
"32",120.950278,23.265556,622292941,31,37,52,75,100,117,123,121,111,92,68,41,"Rubus rolfei",59,40.9
"33",121.116667,23.266667,1821864085,101,108,128,154,178,195,202,200,189,169,143,112,"Rubus rolfei",59,127.9
"34",121.266667,23.266667,1821805965,154,163,185,213,237,255,263,260,249,227,200,166,"Rubus rolfei",59,197.2
"35",120.931389,23.268611,1821903742,77,85,104,129,153,171,177,175,165,145,119,88,"Rubus rolfei",59,98.8
"36",120.986141,23.273095,2529410316,17,23,37,58,83,100,106,104,94,76,53,27,"Rubus rolfei",59,27.4
"37",120.95,23.275,1821775199,35,40,56,79,104,121,127,125,115,96,72,45,"Rubus rolfei",59,44.5
"38",120.985619,23.276492,2465235784,10,15,29,50,75,92,98,96,86,68,45,20,"Rubus rolfei",59,21.5
"39",120.915848,23.277214,2429188199,64,71,89,114,139,156,162,160,150,130,105,75,"Rubus rolfei",59,81.5
"40",120.913352,23.277929,2596078272,64,71,89,114,139,156,162,160,150,130,105,75,"Rubus rolfei",59,81.5
