"","decimalLongitude","decimalLatitude","key","mon_1","mon_2","mon_3","mon_4","mon_5","mon_6","mon_7","mon_8","mon_9","mon_10","mon_11","mon_12","scientificname","code","WI"
"1",120.817955,23.090935,622293035,58,64,81,104,128,144,150,148,139,121,96,68,"Salix morrisonicola var. takasagoalpina",60,70.1
"2",121.116667,23.266667,1821802805,101,108,128,154,178,195,202,200,189,169,143,112,"Salix morrisonicola var. takasagoalpina",60,127.9
"3",121.116667,23.266667,1821802825,101,108,128,154,178,195,202,200,189,169,143,112,"Salix morrisonicola var. takasagoalpina",60,127.9
"4",120.956667,23.276944,891592001,35,40,56,79,104,121,127,125,115,96,72,45,"Salix morrisonicola var. takasagoalpina",60,44.5
"5",120.960833,23.468611,1821807814,-8,-3,10,32,58,76,82,80,70,51,27,2,"Salix morrisonicola var. takasagoalpina",60,11.7
"6",120.960833,23.468611,1821809297,-8,-3,10,32,58,76,82,80,70,51,27,2,"Salix morrisonicola var. takasagoalpina",60,11.7
"7",120.988333,23.485833,1821803031,29,35,51,75,101,119,126,124,113,93,68,40,"Salix morrisonicola var. takasagoalpina",60,42
"8",121.251538,23.555952,1086106192,64,70,88,114,139,159,166,163,152,130,105,75,"Salix morrisonicola var. takasagoalpina",60,82.5
"9",121.251633,23.56462,1086107339,54,60,77,102,128,147,154,151,140,119,94,65,"Salix morrisonicola var. takasagoalpina",60,69.1
"10",121.249666,23.570945,1086107381,42,48,64,89,115,134,141,138,127,106,82,53,"Salix morrisonicola var. takasagoalpina",60,54.9
"11",121.263333,24.107778,1821871419,49,55,73,102,131,154,164,160,147,122,94,62,"Salix morrisonicola var. takasagoalpina",60,71.4
"12",121.263333,24.107778,1821871529,49,55,73,102,131,154,164,160,147,122,94,62,"Salix morrisonicola var. takasagoalpina",60,71.4
"13",121.437536,24.34345,1086107105,-1,2,15,41,70,94,103,101,87,63,38,11,"Salix morrisonicola var. takasagoalpina",60,21.8
"14",121.434651,24.344181,1086107354,-1,2,15,41,70,94,103,101,87,63,38,11,"Salix morrisonicola var. takasagoalpina",60,21.8
"15",121.436714,24.345258,1086107330,-1,2,15,41,70,94,103,101,87,63,38,11,"Salix morrisonicola var. takasagoalpina",60,21.8
"16",121.434852,24.345354,1086107215,-1,2,15,41,70,94,103,101,87,63,38,11,"Salix morrisonicola var. takasagoalpina",60,21.8
"17",121.43,24.36,1085990688,5,9,23,49,79,102,112,109,95,71,46,18,"Salix morrisonicola var. takasagoalpina",60,26.8
"18",121.438791,24.361505,1086107309,-11,-9,4,29,58,82,91,89,75,52,27,1,"Salix morrisonicola var. takasagoalpina",60,14.7
"19",121.440263,24.362674,1086107187,-11,-9,4,29,58,82,91,89,75,52,27,1,"Salix morrisonicola var. takasagoalpina",60,14.7
"20",121.440032,24.36421,1086107157,-11,-9,4,29,58,82,91,89,75,52,27,1,"Salix morrisonicola var. takasagoalpina",60,14.7
"21",121.433333,24.366667,1821883201,-2,1,14,40,70,93,102,100,86,63,37,10,"Salix morrisonicola var. takasagoalpina",60,21.4
"22",121.221498,24.390826,1086107290,-10,-7,6,32,62,86,95,93,79,56,30,2,"Salix morrisonicola var. takasagoalpina",60,17.1
"23",121.221912,24.390906,1086107268,-10,-7,6,32,62,86,95,93,79,56,30,2,"Salix morrisonicola var. takasagoalpina",60,17.1
"24",121.221272,24.391521,1086107246,-10,-7,6,32,62,86,95,93,79,56,30,2,"Salix morrisonicola var. takasagoalpina",60,17.1
"25",121.221214,24.391982,1086107133,6,10,24,51,82,105,115,113,99,75,48,19,"Salix morrisonicola var. takasagoalpina",60,29
"26",121.443611,24.411944,1821802912,30,34,50,78,108,132,143,140,125,100,73,43,"Salix morrisonicola var. takasagoalpina",60,49.9
"27",121.443611,24.411944,1821802918,30,34,50,78,108,132,143,140,125,100,73,43,"Salix morrisonicola var. takasagoalpina",60,49.9
