"","decimalLongitude","decimalLatitude","key","mon_1","mon_2","mon_3","mon_4","mon_5","mon_6","mon_7","mon_8","mon_9","mon_10","mon_11","mon_12","scientificname","code","WI"
"1",121.15,22.75,1821869799,187,196,217,243,265,280,287,284,275,256,231,198,"Scabiosa lacerifolia",61,231.9
"2",120.91,23.24,1085979283,17,23,37,59,84,100,106,104,95,76,53,27,"Scabiosa lacerifolia",61,27.7
"3",120.966667,23.25,1821866277,69,76,94,119,143,160,167,164,155,135,110,80,"Scabiosa lacerifolia",61,87.2
"4",120.986817,23.266299,2529349267,33,38,53,76,101,118,124,122,112,93,69,43,"Scabiosa lacerifolia",61,41.8
"5",120.993128,23.281996,2529317188,17,23,37,59,83,101,106,104,95,76,53,27,"Scabiosa lacerifolia",61,27.7
"6",120.907495,23.283152,622293166,65,72,90,114,139,156,163,160,151,131,105,76,"Scabiosa lacerifolia",61,82.2
"7",120.955119,23.456701,2429330045,-5,0,13,35,61,79,85,83,73,54,31,5,"Scabiosa lacerifolia",61,13.5
"8",120.956474,23.456705,2331894900,-5,0,13,35,61,79,85,83,73,54,31,5,"Scabiosa lacerifolia",61,13.5
"9",121.057936,23.461627,2294556704,14,19,33,56,82,100,106,104,94,74,50,24,"Scabiosa lacerifolia",61,26.6
"10",120.963851,23.470736,2423145276,-8,-3,10,32,58,76,82,80,70,51,27,2,"Scabiosa lacerifolia",61,11.7
"11",120.899993,23.475835,1839204908,42,48,65,90,116,134,141,139,129,108,82,53,"Scabiosa lacerifolia",61,55.7
"12",121.31,24.09,1085981099,21,26,42,68,97,120,128,126,113,89,63,33,"Scabiosa lacerifolia",61,40.4
"13",121.326667,24.1075,575239518,4,8,22,48,77,99,107,105,92,69,43,16,"Scabiosa lacerifolia",61,24.9
"14",121.33,24.11,1085990719,-1,2,16,41,70,92,101,98,85,63,38,10,"Scabiosa lacerifolia",61,20.9
"15",121.33,24.11,1086017644,-1,2,16,41,70,92,101,98,85,63,38,10,"Scabiosa lacerifolia",61,20.9
"16",121.437544,24.126715,622293165,52,58,75,104,133,156,165,162,148,123,96,65,"Scabiosa lacerifolia",61,73.7
"17",121.280828,24.135554,164286041,3,7,22,48,77,99,108,105,92,69,43,15,"Scabiosa lacerifolia",61,25
"18",121.280833,24.135556,1306596236,3,7,22,48,77,99,108,105,92,69,43,15,"Scabiosa lacerifolia",61,25
"19",121.281166,24.135839,2423155228,3,7,22,48,77,99,108,105,92,69,43,15,"Scabiosa lacerifolia",61,25
"20",121.281059,24.135974,1883944867,3,7,22,48,77,99,108,105,92,69,43,15,"Scabiosa lacerifolia",61,25
"21",121.281291,24.136068,2423115861,3,7,22,48,77,99,108,105,92,69,43,15,"Scabiosa lacerifolia",61,25
"22",121.27,24.14,1085965059,5,9,24,50,79,101,110,107,94,71,45,17,"Scabiosa lacerifolia",61,26.2
"23",121.284196,24.14146,2294544593,9,13,28,54,83,106,114,112,99,75,49,21,"Scabiosa lacerifolia",61,29.3
"24",121.271666,24.142549,1883944857,4,8,23,49,78,101,109,107,94,70,45,16,"Scabiosa lacerifolia",61,25.9
"25",121.284571,24.142744,2423048272,12,16,31,58,87,110,118,116,103,79,53,24,"Scabiosa lacerifolia",61,32.4
"26",121.267494,24.143797,2331929992,4,8,23,49,78,101,109,107,94,70,45,16,"Scabiosa lacerifolia",61,25.9
"27",121.286942,24.161388,2331853984,16,20,36,62,92,114,123,121,107,83,57,28,"Scabiosa lacerifolia",61,35.9
"28",121.287082,24.161985,2311349767,16,20,36,62,92,114,123,121,107,83,57,28,"Scabiosa lacerifolia",61,35.9
"29",121.287079,24.162055,2366059268,16,20,36,62,92,114,123,121,107,83,57,28,"Scabiosa lacerifolia",61,35.9
"30",121.289016,24.164982,1990574473,16,20,36,62,92,114,123,121,107,83,57,28,"Scabiosa lacerifolia",61,35.9
"31",121.281557,24.181507,1899800820,1,5,19,45,74,97,105,103,90,67,41,13,"Scabiosa lacerifolia",61,23.6
"32",121.733333,24.266667,1821814891,153,161,185,218,247,272,285,280,264,236,205,168,"Scabiosa lacerifolia",61,207.4
"33",121.436208,24.346975,1086061262,-1,2,15,41,70,94,103,101,87,63,38,11,"Scabiosa lacerifolia",61,21.8
"34",121.436766,24.348779,1086061253,-1,2,15,41,70,94,103,101,87,63,38,11,"Scabiosa lacerifolia",61,21.8
"35",121.460647,24.357286,1086061280,-1,2,15,41,71,94,103,101,87,64,38,11,"Scabiosa lacerifolia",61,22
"36",121.441666,24.357975,1086061255,-4,-1,11,37,67,90,99,97,83,60,35,8,"Scabiosa lacerifolia",61,19.6
"37",121.462827,24.358002,1086061281,-1,2,15,41,71,94,103,101,87,64,38,11,"Scabiosa lacerifolia",61,22
"38",121.447732,24.359131,1086061304,-12,-10,3,27,57,80,89,87,74,51,26,-1,"Scabiosa lacerifolia",61,13.8
"39",121.442232,24.359147,1086061267,-12,-10,3,27,57,80,89,87,74,51,26,-1,"Scabiosa lacerifolia",61,13.8
"40",121.439769,24.359335,1086061257,-11,-9,4,29,58,82,91,89,75,52,27,1,"Scabiosa lacerifolia",61,14.7
"41",121.458319,24.35946,1086061261,4,7,21,47,77,100,110,107,93,70,44,16,"Scabiosa lacerifolia",61,25.7
"42",121.443337,24.359505,1086061264,-12,-10,3,27,57,80,89,87,74,51,26,-1,"Scabiosa lacerifolia",61,13.8
"43",121.442657,24.359838,2429612838,-12,-10,3,27,57,80,89,87,74,51,26,-1,"Scabiosa lacerifolia",61,13.8
"44",121.44461,24.359862,1086061266,-12,-10,3,27,57,80,89,87,74,51,26,-1,"Scabiosa lacerifolia",61,13.8
"45",121.442703,24.359968,1890055044,-12,-10,3,27,57,80,89,87,74,51,26,-1,"Scabiosa lacerifolia",61,13.8
"46",121.441359,24.360414,1086061291,-11,-9,4,29,58,82,91,89,75,52,27,1,"Scabiosa lacerifolia",61,14.7
"47",121.455978,24.360912,1086061270,-10,-7,6,31,61,84,93,91,77,54,29,2,"Scabiosa lacerifolia",61,16
"48",121.432413,24.361216,622293164,5,9,23,49,79,102,112,109,95,71,46,18,"Scabiosa lacerifolia",61,26.8
