"","decimalLongitude","decimalLatitude","key","mon_1","mon_2","mon_3","mon_4","mon_5","mon_6","mon_7","mon_8","mon_9","mon_10","mon_11","mon_12","scientificname","code","WI"
"1",120.73333,22.6,1212580880,122,129,146,169,191,205,210,208,200,184,160,132,"Selliguea quasidivaricata",62,145.6
"2",120.73333,22.6,1212580885,122,129,146,169,191,205,210,208,200,184,160,132,"Selliguea quasidivaricata",62,145.6
"3",120.9317,23.46517,1883466775,34,41,57,81,107,125,132,130,119,99,74,45,"Selliguea quasidivaricata",62,47.4
"4",120.94404,23.465693,1883493575,7,12,27,50,75,93,99,98,88,68,44,17,"Selliguea quasidivaricata",62,22.1
"5",120.9,23.46667,1019618240,50,57,74,100,126,144,151,148,138,117,91,61,"Selliguea quasidivaricata",62,65.7
"6",120.9,23.46667,1019618258,50,57,74,100,126,144,151,148,138,117,91,61,"Selliguea quasidivaricata",62,65.7
"7",120.913751,23.470436,1883471904,34,41,57,82,107,125,132,130,120,99,74,45,"Selliguea quasidivaricata",62,47.6
"8",120.91323,23.47082,2251899657,34,41,57,82,107,125,132,130,120,99,74,45,"Selliguea quasidivaricata",62,47.6
"9",120.911903,23.470933,2251862751,34,41,57,82,107,125,132,130,120,99,74,45,"Selliguea quasidivaricata",62,47.6
"10",120.911971,23.470999,2251903411,34,41,57,82,107,125,132,130,120,99,74,45,"Selliguea quasidivaricata",62,47.6
"11",120.912818,23.471017,1883471852,34,41,57,82,107,125,132,130,120,99,74,45,"Selliguea quasidivaricata",62,47.6
"12",120.912553,23.471055,2251903679,34,41,57,82,107,125,132,130,120,99,74,45,"Selliguea quasidivaricata",62,47.6
"13",120.910903,23.471453,1880604360,34,41,57,82,107,125,132,130,120,99,74,45,"Selliguea quasidivaricata",62,47.6
"14",120.920533,23.471705,1901068117,31,37,53,77,103,121,127,125,115,95,70,41,"Selliguea quasidivaricata",62,43.6
"15",120.92215,23.472242,1901074228,31,37,53,77,103,121,127,125,115,95,70,41,"Selliguea quasidivaricata",62,43.6
"16",120.922312,23.472338,1901074219,31,37,53,77,103,121,127,125,115,95,70,41,"Selliguea quasidivaricata",62,43.6
"17",120.910231,23.472458,1880604268,34,41,57,82,107,125,132,130,120,99,74,45,"Selliguea quasidivaricata",62,47.6
"18",120.907988,23.47327,2013684733,50,57,74,100,126,144,151,148,138,117,91,61,"Selliguea quasidivaricata",62,65.7
"19",120.891275,23.478287,2273209639,39,45,62,87,113,131,138,136,126,105,79,50,"Selliguea quasidivaricata",62,52.7
"20",120.717636,23.49865,2619888707,81,88,109,136,162,180,188,185,175,154,126,93,"Selliguea quasidivaricata",62,107.7
"21",121.280761,24.139995,1850968202,3,7,22,48,77,99,108,105,92,69,43,15,"Selliguea quasidivaricata",62,25
"22",121.27,24.15,1322527842,16,20,36,63,92,115,124,121,108,84,58,28,"Selliguea quasidivaricata",62,36.5
"23",121.33,24.15,1085967986,45,50,68,96,125,149,158,155,141,116,89,57,"Selliguea quasidivaricata",62,65.4
"24",121.36667,24.36667,1019620006,32,37,53,81,111,136,146,143,129,103,76,46,"Selliguea quasidivaricata",62,52.8
"25",121.36667,24.36667,1019620027,32,37,53,81,111,136,146,143,129,103,76,46,"Selliguea quasidivaricata",62,52.8
"26",121.381912,24.367729,1898787704,33,37,53,81,112,136,146,143,129,103,76,46,"Selliguea quasidivaricata",62,52.9
"27",121.410835,24.380133,2429612141,16,20,35,62,92,116,126,123,109,84,58,29,"Selliguea quasidivaricata",62,37
"28",121.4,24.38333,1019619640,40,44,61,90,120,144,155,152,137,111,84,53,"Selliguea quasidivaricata",62,60.7
"29",121.28727,24.429588,2331911444,6,9,23,50,81,105,115,112,98,74,48,19,"Selliguea quasidivaricata",62,28.5
"30",94.8653,29.9894,1322501348,-7,10,40,72,110,144,163,162,139,89,40,8,"Selliguea quasidivaricata",62,52.9
