"","decimalLongitude","decimalLatitude","key","mon_1","mon_2","mon_3","mon_4","mon_5","mon_6","mon_7","mon_8","mon_9","mon_10","mon_11","mon_12","scientificname","code","WI"
"1",120.98,23.83,2417368979,79,86,107,137,165,185,194,191,179,155,126,92,"Solidago virgaurea leiocarpa",63,109.6
"2",108.85,27.69,2417686083,52,73,113,171,215,247,273,267,230,177,129,75,"Solidago virgaurea leiocarpa",63,142.2
"3",108.85,27.69,2417687906,52,73,113,171,215,247,273,267,230,177,129,75,"Solidago virgaurea leiocarpa",63,142.2
"4",108.4,27.99,2417378616,53,74,115,173,215,246,272,267,229,176,129,76,"Solidago virgaurea leiocarpa",63,142.5
"5",108.4,27.99,2417380955,53,74,115,173,215,246,272,267,229,176,129,76,"Solidago virgaurea leiocarpa",63,142.5
"6",108.4,27.99,2417385794,53,74,115,173,215,246,272,267,229,176,129,76,"Solidago virgaurea leiocarpa",63,142.5
"7",108.04,32.06,2417269152,36,59,97,152,195,228,251,247,204,153,102,51,"Solidago virgaurea leiocarpa",63,118.9
"8",108.04,32.06,2417269938,36,59,97,152,195,228,251,247,204,153,102,51,"Solidago virgaurea leiocarpa",63,118.9
"9",134.083333,33.85,1934137506,-14,-9,18,64,107,144,180,189,159,106,54,7,"Solidago virgaurea leiocarpa",63,60.3
"10",138.3218,34.882,1933988922,62,67,99,150,192,226,261,273,244,192,139,87,"Solidago virgaurea leiocarpa",63,139.2
"11",138.7522,35.3437,1933845770,-87,-81,-52,-2,45,85,119,129,97,40,-17,-65,"Solidago virgaurea leiocarpa",63,23
"12",138.23997,35.61789,1933909629,-105,-100,-70,-17,32,74,109,119,84,24,-35,-82,"Solidago virgaurea leiocarpa",63,18.6
"13",138.23997,35.61789,1933935365,-105,-100,-70,-17,32,74,109,119,84,24,-35,-82,"Solidago virgaurea leiocarpa",63,18.6
"14",136.765805,36.10563,1828812808,-74,-71,-41,11,59,103,140,153,116,56,-2,-49,"Solidago virgaurea leiocarpa",63,32.7
"15",136.765805,36.10563,1828812689,-74,-71,-41,11,59,103,140,153,116,56,-2,-49,"Solidago virgaurea leiocarpa",63,32.7
"16",136.765805,36.10563,1828812803,-74,-71,-41,11,59,103,140,153,116,56,-2,-49,"Solidago virgaurea leiocarpa",63,32.7
"17",136.765805,36.10563,1828812998,-74,-71,-41,11,59,103,140,153,116,56,-2,-49,"Solidago virgaurea leiocarpa",63,32.7
"18",138.459444,36.409722,1829649444,-67,-62,-31,28,80,123,158,170,131,68,8,-41,"Solidago virgaurea leiocarpa",63,43
"19",138.447222,36.419167,1829621611,-76,-71,-40,18,70,113,149,160,121,58,-2,-50,"Solidago virgaurea leiocarpa",63,37.1
"20",136.565618,36.514433,1828812686,38,40,69,124,170,213,250,269,231,174,118,67,"Solidago virgaurea leiocarpa",63,118.5
"21",136.565618,36.514433,1828812694,38,40,69,124,170,213,250,269,231,174,118,67,"Solidago virgaurea leiocarpa",63,118.5
"22",136.565618,36.514433,1828813180,38,40,69,124,170,213,250,269,231,174,118,67,"Solidago virgaurea leiocarpa",63,118.5
"23",136.565618,36.514433,1828812699,38,40,69,124,170,213,250,269,231,174,118,67,"Solidago virgaurea leiocarpa",63,118.5
"24",136.565618,36.514433,1828812994,38,40,69,124,170,213,250,269,231,174,118,67,"Solidago virgaurea leiocarpa",63,118.5
"25",136.565618,36.514433,1828813105,38,40,69,124,170,213,250,269,231,174,118,67,"Solidago virgaurea leiocarpa",63,118.5
"26",136.565618,36.514433,1828812835,38,40,69,124,170,213,250,269,231,174,118,67,"Solidago virgaurea leiocarpa",63,118.5
"27",136.565618,36.514433,1828812696,38,40,69,124,170,213,250,269,231,174,118,67,"Solidago virgaurea leiocarpa",63,118.5
"28",136.565618,36.514433,1828812698,38,40,69,124,170,213,250,269,231,174,118,67,"Solidago virgaurea leiocarpa",63,118.5
"29",136.565618,36.514433,1828812855,38,40,69,124,170,213,250,269,231,174,118,67,"Solidago virgaurea leiocarpa",63,118.5
"30",138.546111,36.655556,1829646274,-66,-61,-32,27,79,122,158,170,131,68,9,-40,"Solidago virgaurea leiocarpa",63,42.8
"31",137.8694,36.7567,1934153709,-16,-12,19,80,132,175,211,226,185,123,64,13,"Solidago virgaurea leiocarpa",63,79.6
"32",137.7586,36.7585,1934153577,-106,-102,-74,-21,28,74,111,124,87,24,-33,-80,"Solidago virgaurea leiocarpa",63,19.6
"33",139.062222,36.7875,1829646357,-34,-29,1,62,113,156,191,204,164,102,42,-7,"Solidago virgaurea leiocarpa",63,64.2
