"","decimalLongitude","decimalLatitude","key","mon_1","mon_2","mon_3","mon_4","mon_5","mon_6","mon_7","mon_8","mon_9","mon_10","mon_11","mon_12","scientificname","code","WI"
"1",120.752222,22.630556,891677285,65,71,85,105,127,141,146,144,136,121,99,75,"Spiraea formosana",64,71.5
"2",120.752222,22.630556,891677308,65,71,85,105,127,141,146,144,136,121,99,75,"Spiraea formosana",64,71.5
"3",120.75,23.083333,1821882043,120,128,149,176,200,215,222,220,211,191,164,132,"Spiraea formosana",64,152.8
"4",120.801886,23.093598,622293855,60,66,83,107,131,147,153,151,142,123,99,70,"Spiraea formosana",64,73.2
"5",120.9,23.22,1085995872,20,25,40,62,86,103,109,107,98,79,56,30,"Spiraea formosana",64,30
"6",120.907778,23.231111,891617909,18,23,37,59,84,101,106,105,95,77,53,27,"Spiraea formosana",64,28
"7",120.907778,23.231111,891618142,18,23,37,59,84,101,106,105,95,77,53,27,"Spiraea formosana",64,28
"8",120.9,23.25,1085979256,42,49,65,88,113,130,136,134,124,105,81,53,"Spiraea formosana",64,52.9
"9",120.91,23.25,1086007499,35,41,56,79,104,121,127,125,115,96,72,45,"Spiraea formosana",64,44.5
"10",120.947778,23.264167,891597057,46,52,68,92,116,133,139,137,128,109,84,56,"Spiraea formosana",64,56.4
"11",121.116667,23.266667,1821873248,101,108,128,154,178,195,202,200,189,169,143,112,"Spiraea formosana",64,127.9
"12",120.931389,23.268611,1821904844,77,85,104,129,153,171,177,175,165,145,119,88,"Spiraea formosana",64,98.8
"13",120.9375,23.270833,891607460,62,69,86,111,136,153,159,157,147,127,102,73,"Spiraea formosana",64,78.2
"14",120.95,23.28,1085985706,35,40,56,79,104,121,127,125,115,96,72,45,"Spiraea formosana",64,44.5
"15",120.955278,23.351944,891606660,46,52,69,93,118,136,142,140,130,110,85,56,"Spiraea formosana",64,58.1
"16",120.955278,23.351944,891609582,46,52,69,93,118,136,142,140,130,110,85,56,"Spiraea formosana",64,58.1
"17",120.955278,23.351944,891609593,46,52,69,93,118,136,142,140,130,110,85,56,"Spiraea formosana",64,58.1
"18",121.009167,23.459444,891619424,47,53,70,95,121,139,145,143,133,112,87,57,"Spiraea formosana",64,60.5
"19",120.919722,23.460833,1821997849,56,63,81,106,132,150,157,155,145,124,98,67,"Spiraea formosana",64,73.4
"20",120.943775,23.465679,1883547106,7,12,27,50,75,93,99,98,88,68,44,17,"Spiraea formosana",64,22.1
"21",120.95,23.466667,574743101,-4,1,14,36,62,80,86,85,74,55,32,6,"Spiraea formosana",64,14.2
"22",120.95,23.466667,575188297,-4,1,14,36,62,80,86,85,74,55,32,6,"Spiraea formosana",64,14.2
"23",120.960556,23.468333,891600997,-8,-3,10,32,58,76,82,80,70,51,27,2,"Spiraea formosana",64,11.7
"24",120.960556,23.468333,891601752,-8,-3,10,32,58,76,82,80,70,51,27,2,"Spiraea formosana",64,11.7
"25",120.960556,23.468333,891677299,-8,-3,10,32,58,76,82,80,70,51,27,2,"Spiraea formosana",64,11.7
"26",120.960556,23.468333,891677342,-8,-3,10,32,58,76,82,80,70,51,27,2,"Spiraea formosana",64,11.7
"27",120.960556,23.468333,891677275,-8,-3,10,32,58,76,82,80,70,51,27,2,"Spiraea formosana",64,11.7
"28",120.960556,23.468333,891677292,-8,-3,10,32,58,76,82,80,70,51,27,2,"Spiraea formosana",64,11.7
"29",120.892778,23.470556,891598203,45,52,69,94,120,138,145,143,133,112,86,56,"Spiraea formosana",64,59.8
"30",120.913445,23.470725,1901060232,34,41,57,82,107,125,132,130,120,99,74,45,"Spiraea formosana",64,47.6
"31",120.907778,23.470833,891633018,50,57,74,100,126,144,151,148,138,117,91,61,"Spiraea formosana",64,65.7
"32",120.915138,23.471058,1901060276,34,41,57,82,107,125,132,130,120,99,74,45,"Spiraea formosana",64,47.6
"33",120.91,23.47,1085983562,34,41,57,82,107,125,132,130,120,99,74,45,"Spiraea formosana",64,47.6
"34",120.93,23.47,1085986752,13,18,33,56,82,100,106,104,94,74,50,23,"Spiraea formosana",64,26.6
"35",120.921692,23.472612,1901068143,31,37,53,77,103,121,127,125,115,95,70,41,"Spiraea formosana",64,43.6
"36",120.905833,23.473333,1822072253,50,57,74,100,126,144,151,148,138,117,91,61,"Spiraea formosana",64,65.7
"37",120.90573,23.473767,1935580436,50,57,74,100,126,144,151,148,138,117,91,61,"Spiraea formosana",64,65.7
"38",120.92,23.475833,891616353,31,37,53,78,103,122,128,126,116,95,70,42,"Spiraea formosana",64,44.1
"39",120.978889,23.475833,891617955,9,15,29,52,78,96,102,100,90,70,46,19,"Spiraea formosana",64,23.8
"40",120.908889,23.478333,891633885,28,34,51,75,101,119,125,123,113,93,68,39,"Spiraea formosana",64,41.8
"41",120.887604,23.478846,2273319544,39,45,62,87,113,131,138,136,126,105,79,50,"Spiraea formosana",64,52.7
"42",120.868662,23.482058,2294585685,50,57,75,101,126,145,151,149,139,118,92,62,"Spiraea formosana",64,66.5
"43",120.868797,23.482105,2294585117,50,57,75,101,126,145,151,149,139,118,92,62,"Spiraea formosana",64,66.5
"44",120.885673,23.482684,2331929820,39,45,62,87,113,131,138,136,126,105,79,50,"Spiraea formosana",64,52.7
"45",120.983333,23.483333,1821884404,29,35,51,75,101,119,126,124,113,93,68,40,"Spiraea formosana",64,42
"46",120.988056,23.485556,891595570,29,35,51,75,101,119,126,124,113,93,68,40,"Spiraea formosana",64,42
"47",120.88741,23.48636,2429220415,45,51,69,94,120,138,145,143,133,112,86,56,"Spiraea formosana",64,59.7
"48",120.99,23.497222,891621263,41,48,65,89,115,134,140,138,128,107,81,52,"Spiraea formosana",64,54.9
"49",120.993333,23.501944,891610871,52,59,77,102,128,146,153,151,140,119,93,63,"Spiraea formosana",64,68.3
"50",120.441055,23.502293,1303984908,168,177,202,234,260,278,287,284,275,252,221,183,"Spiraea formosana",64,222.1
"51",120.913611,23.503889,891633841,87,95,116,144,169,188,196,193,182,160,132,99,"Spiraea formosana",64,116.1
"52",120.913611,23.503889,891633863,87,95,116,144,169,188,196,193,182,160,132,99,"Spiraea formosana",64,116.1
"53",120.913611,23.503889,891633878,87,95,116,144,169,188,196,193,182,160,132,99,"Spiraea formosana",64,116.1
"54",120.815833,23.506944,891677332,55,62,80,107,133,151,158,156,146,124,98,67,"Spiraea formosana",64,73.7
"55",120.815833,23.506944,891677324,55,62,80,107,133,151,158,156,146,124,98,67,"Spiraea formosana",64,73.7
"56",120.809745,23.509217,2451583703,55,62,81,107,133,151,158,156,146,125,98,67,"Spiraea formosana",64,73.9
"57",120.980556,23.511389,891677315,59,66,84,110,136,155,162,159,149,128,101,70,"Spiraea formosana",64,77.9
"58",120.806111,23.516667,891609533,70,77,96,124,150,168,175,173,163,141,114,81,"Spiraea formosana",64,93.2
"59",120.806111,23.516667,891677334,70,77,96,124,150,168,175,173,163,141,114,81,"Spiraea formosana",64,93.2
"60",120.806111,23.516667,891677321,70,77,96,124,150,168,175,173,163,141,114,81,"Spiraea formosana",64,93.2
"61",120.806111,23.516667,891677303,70,77,96,124,150,168,175,173,163,141,114,81,"Spiraea formosana",64,93.2
"62",120.806111,23.516667,891677281,70,77,96,124,150,168,175,173,163,141,114,81,"Spiraea formosana",64,93.2
"63",120.918056,23.518611,891626137,102,111,133,162,188,206,214,211,201,178,149,115,"Spiraea formosana",64,137
"64",120.949444,23.521111,891617071,61,68,87,113,139,158,165,163,152,131,104,73,"Spiraea formosana",64,81.4
"65",120.949444,23.521111,891677349,61,68,87,113,139,158,165,163,152,131,104,73,"Spiraea formosana",64,81.4
"66",120.769167,23.5275,891610766,67,74,94,121,147,165,173,170,160,139,111,79,"Spiraea formosana",64,90
"67",120.769167,23.5275,891648139,67,74,94,121,147,165,173,170,160,139,111,79,"Spiraea formosana",64,90
"68",120.769167,23.5275,891592075,67,74,94,121,147,165,173,170,160,139,111,79,"Spiraea formosana",64,90
"69",120.848889,23.529167,891626237,97,105,127,156,182,200,208,205,195,172,144,110,"Spiraea formosana",64,130.1
"70",120.98,23.53,1086033681,62,69,88,114,140,159,166,164,153,131,105,74,"Spiraea formosana",64,82.5
"71",120.75,23.533333,574778753,109,118,140,170,196,214,223,220,210,187,158,122,"Spiraea formosana",64,146.7
"72",120.75,23.533333,912727283,109,118,140,170,196,214,223,220,210,187,158,122,"Spiraea formosana",64,146.7
"73",120.810119,23.552698,1086101292,52,59,77,103,130,148,155,153,143,121,95,64,"Spiraea formosana",64,70
