"","decimalLongitude","decimalLatitude","key","mon_1","mon_2","mon_3","mon_4","mon_5","mon_6","mon_7","mon_8","mon_9","mon_10","mon_11","mon_12","scientificname","code","WI"
"1",120.854444,22.873889,891601824,75,82,98,120,143,158,164,162,153,136,113,85,"Spiraea hayatana",65,88.9
"2",120.913681,23.470605,1883471845,34,41,57,82,107,125,132,130,120,99,74,45,"Spiraea hayatana",65,47.6
"3",120.922476,23.472165,1883493570,31,37,53,77,103,121,127,125,115,95,70,41,"Spiraea hayatana",65,43.6
"4",121.275,23.9,1821824422,22,27,43,68,96,117,125,123,110,88,62,33,"Spiraea hayatana",65,38.9
"5",121.275,23.9,1821824459,22,27,43,68,96,117,125,123,110,88,62,33,"Spiraea hayatana",65,38.9
"6",121.276199,24.019965,1931475897,33,39,55,82,111,133,142,139,126,102,76,45,"Spiraea hayatana",65,51.6
"7",121.251944,24.039444,891616090,50,56,74,103,132,154,163,160,147,122,94,63,"Spiraea hayatana",65,71.8
"8",121.262222,24.134167,1821824601,23,28,44,72,101,123,133,130,116,92,66,36,"Spiraea hayatana",65,43.3
"9",121.262222,24.134167,1821942349,23,28,44,72,101,123,133,130,116,92,66,36,"Spiraea hayatana",65,43.3
"10",121.262222,24.134167,1822161542,23,28,44,72,101,123,133,130,116,92,66,36,"Spiraea hayatana",65,43.3
"11",121.262,24.1342,1090345484,23,28,44,72,101,123,133,130,116,92,66,36,"Spiraea hayatana",65,43.3
"12",121.284569,24.143309,2429249969,12,16,31,58,87,110,118,116,103,79,53,24,"Spiraea hayatana",65,32.4
"13",121.283648,24.14435,2423099765,12,16,31,58,87,110,118,116,103,79,53,24,"Spiraea hayatana",65,32.4
"14",121.284205,24.146239,2596114091,12,16,31,58,87,110,118,116,103,79,53,24,"Spiraea hayatana",65,32.4
"15",121.284197,24.146331,2429222805,12,16,31,58,87,110,118,116,103,79,53,24,"Spiraea hayatana",65,32.4
"16",121.284221,24.146404,1883513364,12,16,31,58,87,110,118,116,103,79,53,24,"Spiraea hayatana",65,32.4
"17",121.287518,24.172907,2311401016,10,14,29,56,85,108,117,114,101,77,51,22,"Spiraea hayatana",65,30.9
"18",121.443333,24.361667,891671589,-12,-10,3,27,57,80,89,87,74,51,26,-1,"Spiraea hayatana",65,13.8
"19",121.44,24.41,1086002984,25,29,44,72,102,127,137,134,120,95,68,38,"Spiraea hayatana",65,45.5
"20",121.296891,24.431919,2597728981,10,13,28,55,85,110,120,117,103,79,52,23,"Spiraea hayatana",65,32.1
"21",121.243614,24.469999,1890669476,2,4,18,45,76,100,110,108,94,70,43,15,"Spiraea hayatana",65,25.8
"22",121.371944,24.679444,1821814992,113,119,141,176,208,235,250,245,228,199,168,130,"Spiraea hayatana",65,161.2
"23",-123.25081,49.25408,2561515033,46,57,75,100,133,159,185,187,160,113,70,44,"Spiraea hayatana",65,73.9
"24",-123.25081,49.25408,2561515623,46,57,75,100,133,159,185,187,160,113,70,44,"Spiraea hayatana",65,73.9
"25",-123.25081,49.25408,2561519038,46,57,75,100,133,159,185,187,160,113,70,44,"Spiraea hayatana",65,73.9
"26",-123.25081,49.25408,2561521182,46,57,75,100,133,159,185,187,160,113,70,44,"Spiraea hayatana",65,73.9
"27",-123.25081,49.25408,2561521194,46,57,75,100,133,159,185,187,160,113,70,44,"Spiraea hayatana",65,73.9
"28",-123.25081,49.25408,2561521201,46,57,75,100,133,159,185,187,160,113,70,44,"Spiraea hayatana",65,73.9
"29",-123.25081,49.25408,2561521238,46,57,75,100,133,159,185,187,160,113,70,44,"Spiraea hayatana",65,73.9
"30",-123.25081,49.25408,2561521415,46,57,75,100,133,159,185,187,160,113,70,44,"Spiraea hayatana",65,73.9
"31",-123.25081,49.25408,2561521568,46,57,75,100,133,159,185,187,160,113,70,44,"Spiraea hayatana",65,73.9
