"","decimalLongitude","decimalLatitude","key","mon_1","mon_2","mon_3","mon_4","mon_5","mon_6","mon_7","mon_8","mon_9","mon_10","mon_11","mon_12","scientificname","code","WI"
"1",120.898056,23.260833,891594023,37,43,59,82,107,124,130,128,119,100,75,48,"Swertia macrosperma",67,47.4
"2",120.95,23.28,1085983888,35,40,56,79,104,121,127,125,115,96,72,45,"Swertia macrosperma",67,44.5
"3",121.028662,23.297171,2529250224,9,13,27,48,73,90,96,94,84,66,43,18,"Swertia macrosperma",67,20.3
"4",120.919722,23.460833,891621585,56,63,81,106,132,150,157,155,145,124,98,67,"Swertia macrosperma",67,73.4
"5",120.873333,23.463056,891662381,35,41,58,83,108,126,133,131,121,100,75,46,"Swertia macrosperma",67,48.5
"6",120.929107,23.465191,2423146119,34,41,57,81,107,125,132,130,119,99,74,45,"Swertia macrosperma",67,47.4
"7",120.928723,23.4656,1901050150,34,41,57,81,107,125,132,130,119,99,74,45,"Swertia macrosperma",67,47.4
"8",120.937778,23.4675,891632363,9,14,29,52,78,96,102,100,90,70,46,19,"Swertia macrosperma",67,23.8
"9",120.943459,23.468354,622293984,13,18,33,56,82,100,106,104,94,74,50,23,"Swertia macrosperma",67,26.6
"10",120.905556,23.468611,891662091,50,57,74,100,126,144,151,148,138,117,91,61,"Swertia macrosperma",67,65.7
"11",120.907778,23.470833,891632208,50,57,74,100,126,144,151,148,138,117,91,61,"Swertia macrosperma",67,65.7
"12",120.907778,23.470833,891632239,50,57,74,100,126,144,151,148,138,117,91,61,"Swertia macrosperma",67,65.7
"13",120.95,23.47,1085988078,-4,1,14,36,62,80,86,85,74,55,32,6,"Swertia macrosperma",67,14.2
"14",120.95,23.47,1086028718,-4,1,14,36,62,80,86,85,74,55,32,6,"Swertia macrosperma",67,14.2
"15",120.95,23.47,1086039236,-4,1,14,36,62,80,86,85,74,55,32,6,"Swertia macrosperma",67,14.2
"16",120.911383,23.471275,1946199058,34,41,57,82,107,125,132,130,120,99,74,45,"Swertia macrosperma",67,47.6
"17",120.910642,23.472205,1901050675,34,41,57,82,107,125,132,130,120,99,74,45,"Swertia macrosperma",67,47.6
"18",120.910672,23.472206,1901050705,34,41,57,82,107,125,132,130,120,99,74,45,"Swertia macrosperma",67,47.6
"19",120.910347,23.472342,1901059795,34,41,57,82,107,125,132,130,120,99,74,45,"Swertia macrosperma",67,47.6
"20",120.888866,23.475645,2429360257,39,45,62,87,113,131,138,136,126,105,79,50,"Swertia macrosperma",67,52.7
"21",120.899993,23.475835,1839204785,42,48,65,90,116,134,141,139,129,108,82,53,"Swertia macrosperma",67,55.7
"22",120.900833,23.477778,891588228,42,48,65,90,116,134,141,139,129,108,82,53,"Swertia macrosperma",67,55.7
"23",120.909444,23.477778,891632267,28,34,51,75,101,119,125,123,113,93,68,39,"Swertia macrosperma",67,41.8
"24",120.988056,23.485556,891620515,29,35,51,75,101,119,126,124,113,93,68,40,"Swertia macrosperma",67,42
"25",120.988056,23.485556,891662271,29,35,51,75,101,119,126,124,113,93,68,40,"Swertia macrosperma",67,42
"26",120.99,23.497222,891621291,41,48,65,89,115,134,140,138,128,107,81,52,"Swertia macrosperma",67,54.9
"27",120.815833,23.506944,891662358,55,62,80,107,133,151,158,156,146,124,98,67,"Swertia macrosperma",67,73.7
"28",120.815833,23.506944,891662345,55,62,80,107,133,151,158,156,146,124,98,67,"Swertia macrosperma",67,73.7
"29",120.815833,23.506944,891649658,55,62,80,107,133,151,158,156,146,124,98,67,"Swertia macrosperma",67,73.7
"30",120.815833,23.506944,891662307,55,62,80,107,133,151,158,156,146,124,98,67,"Swertia macrosperma",67,73.7
"31",120.903889,23.508333,891648225,68,75,95,122,148,166,173,171,160,139,112,80,"Swertia macrosperma",67,90.9
"32",120.806667,23.514722,891614540,62,69,88,115,141,159,166,164,154,133,105,74,"Swertia macrosperma",67,83
"33",120.918056,23.518611,891632254,102,111,133,162,188,206,214,211,201,178,149,115,"Swertia macrosperma",67,137
"34",120.918056,23.518611,891632263,102,111,133,162,188,206,214,211,201,178,149,115,"Swertia macrosperma",67,137
"35",120.918056,23.518611,891632283,102,111,133,162,188,206,214,211,201,178,149,115,"Swertia macrosperma",67,137
"36",120.918056,23.518611,891632318,102,111,133,162,188,206,214,211,201,178,149,115,"Swertia macrosperma",67,137
"37",120.918056,23.518611,891632329,102,111,133,162,188,206,214,211,201,178,149,115,"Swertia macrosperma",67,137
"38",120.918056,23.518611,891632914,102,111,133,162,188,206,214,211,201,178,149,115,"Swertia macrosperma",67,137
"39",120.769167,23.5275,891619625,67,74,94,121,147,165,173,170,160,139,111,79,"Swertia macrosperma",67,90
"40",120.769167,23.5275,891673907,67,74,94,121,147,165,173,170,160,139,111,79,"Swertia macrosperma",67,90
"41",120.769167,23.5275,891662378,67,74,94,121,147,165,173,170,160,139,111,79,"Swertia macrosperma",67,90
"42",120.769167,23.5275,891662341,67,74,94,121,147,165,173,170,160,139,111,79,"Swertia macrosperma",67,90
"43",120.769167,23.5275,891662347,67,74,94,121,147,165,173,170,160,139,111,79,"Swertia macrosperma",67,90
"44",120.769167,23.5275,891662361,67,74,94,121,147,165,173,170,160,139,111,79,"Swertia macrosperma",67,90
"45",120.769167,23.5275,891662371,67,74,94,121,147,165,173,170,160,139,111,79,"Swertia macrosperma",67,90
"46",120.769167,23.5275,891662328,67,74,94,121,147,165,173,170,160,139,111,79,"Swertia macrosperma",67,90
"47",121.2,23.6,1085997868,36,42,58,82,109,128,135,132,121,100,75,47,"Swertia macrosperma",67,49
"48",121.233333,23.75,891591096,29,35,51,76,103,123,130,128,116,94,69,40,"Swertia macrosperma",67,44
"49",121.233917,23.751474,2311364361,29,35,51,76,103,123,130,128,116,94,69,40,"Swertia macrosperma",67,44
"50",98.82524,23.763342,919600543,144,165,199,226,238,245,243,244,237,218,181,149,"Swertia macrosperma",67,188.9
"51",98.82524,23.763342,919600571,144,165,199,226,238,245,243,244,237,218,181,149,"Swertia macrosperma",67,188.9
"52",120.98,23.83,2417368473,79,86,107,137,165,185,194,191,179,155,126,92,"Swertia macrosperma",67,109.6
"53",120.98,23.83,2417370058,79,86,107,137,165,185,194,191,179,155,126,92,"Swertia macrosperma",67,109.6
