"","decimalLongitude","decimalLatitude","key","mon_1","mon_2","mon_3","mon_4","mon_5","mon_6","mon_7","mon_8","mon_9","mon_10","mon_11","mon_12","scientificname","code","WI"
"1",100.35,-0.4,2513702095,152,154,156,158,161,158,153,152,152,152,152,152,"Trichophorum subcapitatum",68,125.2
"2",100.35,-0.4,2513703951,152,154,156,158,161,158,153,152,152,152,152,152,"Trichophorum subcapitatum",68,125.2
"3",100.35,-0.4,2513701877,152,154,156,158,161,158,153,152,152,152,152,152,"Trichophorum subcapitatum",68,125.2
"4",100.733333,-1.15,2513702716,168,170,171,173,177,174,169,168,167,168,168,167,"Trichophorum subcapitatum",68,144
"5",101.27,-2.12,2513702512,220,222,224,226,229,227,222,221,220,221,221,220,"Trichophorum subcapitatum",68,207.3
"6",119.770249,-3.56508,2513702534,265,267,268,268,269,265,261,265,272,276,271,266,"Trichophorum subcapitatum",68,261.3
"7",119.770249,-3.56508,2513703495,265,267,268,268,269,265,261,265,272,276,271,266,"Trichophorum subcapitatum",68,261.3
"8",119.770249,-3.56508,2515495196,265,267,268,268,269,265,261,265,272,276,271,266,"Trichophorum subcapitatum",68,261.3
"9",119.770249,-3.56508,2515536510,265,267,268,268,269,265,261,265,272,276,271,266,"Trichophorum subcapitatum",68,261.3
"10",140.016667,-5.666667,2513699117,261,262,261,261,258,251,247,249,256,262,263,262,"Trichophorum subcapitatum",68,249.3
"11",140.016667,-5.666667,2513703338,261,262,261,261,258,251,247,249,256,262,263,262,"Trichophorum subcapitatum",68,249.3
"12",145.083333,-5.75,2513703078,119,118,119,119,119,117,114,115,117,117,119,119,"Trichophorum subcapitatum",68,81.2
"13",145.083333,-5.75,2513703789,119,118,119,119,119,117,114,115,117,117,119,119,"Trichophorum subcapitatum",68,81.2
"14",140,-5,2513700674,261,261,261,262,260,253,249,250,256,261,263,262,"Trichophorum subcapitatum",68,249.9
"15",140,-5,2513701438,261,261,261,262,260,253,249,250,256,261,263,262,"Trichophorum subcapitatum",68,249.9
"16",140,-5,2513702262,261,261,261,262,260,253,249,250,256,261,263,262,"Trichophorum subcapitatum",68,249.9
"17",140,-5,2513702265,261,261,261,262,260,253,249,250,256,261,263,262,"Trichophorum subcapitatum",68,249.9
"18",140,-5,2513702476,261,261,261,262,260,253,249,250,256,261,263,262,"Trichophorum subcapitatum",68,249.9
"19",140,-5,2513702821,261,261,261,262,260,253,249,250,256,261,263,262,"Trichophorum subcapitatum",68,249.9
"20",140,-5,2513703364,261,261,261,262,260,253,249,250,256,261,263,262,"Trichophorum subcapitatum",68,249.9
"21",140,-5,2513701855,261,261,261,262,260,253,249,250,256,261,263,262,"Trichophorum subcapitatum",68,249.9
"22",140,-5,2513701179,261,261,261,262,260,253,249,250,256,261,263,262,"Trichophorum subcapitatum",68,249.9
"23",140,-5,2513705077,261,261,261,262,260,253,249,250,256,261,263,262,"Trichophorum subcapitatum",68,249.9
"24",140,-5,2513701269,261,261,261,262,260,253,249,250,256,261,263,262,"Trichophorum subcapitatum",68,249.9
"25",141.083,-5,1090167210,64,64,65,67,66,61,56,56,59,62,66,66,"Trichophorum subcapitatum",68,15.2
"26",141.083333,-5,2513702583,61,61,62,63,62,57,53,53,56,59,62,63,"Trichophorum subcapitatum",68,11.2
"27",141.083333,-5,2513703592,61,61,62,63,62,57,53,53,56,59,62,63,"Trichophorum subcapitatum",68,11.2
"28",143.158333,-6.004167,2513702477,94,93,93,94,93,89,85,84,87,90,93,94,"Trichophorum subcapitatum",68,48.9
"29",143.916667,-6.033333,2513648527,68,67,68,68,68,64,60,60,62,64,66,68,"Trichophorum subcapitatum",68,18.3
"30",145.966667,-6.716667,2513704431,112,112,112,112,111,108,104,105,108,110,112,112,"Trichophorum subcapitatum",68,71.8
"31",143,-6,2513702720,167,167,167,167,167,162,158,157,160,164,167,168,"Trichophorum subcapitatum",68,137.1
"32",147.008333,-8.008333,95008126,138,137,136,135,134,129,126,127,131,134,137,137,"Trichophorum subcapitatum",68,100.1
"33",147.4,-8.383333,2513701160,75,75,74,73,71,67,64,66,69,72,74,74,"Trichophorum subcapitatum",68,25.4
"34",147.283333,-8.416667,2513705233,106,105,105,104,102,98,95,96,100,103,105,105,"Trichophorum subcapitatum",68,62.4
"35",147.333333,-8.416667,2513701026,72,72,71,70,68,65,62,63,67,69,71,72,"Trichophorum subcapitatum",68,22.2
"36",147.333333,-8.416667,95008123,72,72,71,70,68,65,62,63,67,69,71,72,"Trichophorum subcapitatum",68,22.2
"37",147.583333,-8.933333,2513704764,100,100,99,98,96,92,89,90,95,98,100,100,"Trichophorum subcapitatum",68,55.7
"38",147,-8,2513703169,124,124,123,122,120,116,113,114,118,121,123,124,"Trichophorum subcapitatum",68,84.2
"39",147,-8,2513703619,124,124,123,122,120,116,113,114,118,121,123,124,"Trichophorum subcapitatum",68,84.2
"40",147.75,-9.166667,2513700206,148,148,146,145,143,138,134,136,142,146,149,148,"Trichophorum subcapitatum",68,112.3
"41",147.75,-9.16667,1090236100,148,148,146,145,143,138,134,136,142,146,149,148,"Trichophorum subcapitatum",68,112.3
"42",148.933333,-9.666667,2513702024,165,164,163,161,158,152,148,149,155,160,164,164,"Trichophorum subcapitatum",68,130.3
"43",148.933333,-9.666667,2513702034,165,164,163,161,158,152,148,149,155,160,164,164,"Trichophorum subcapitatum",68,130.3
"44",148.933,-9.66667,1090184327,164,163,162,160,157,152,147,148,154,159,163,164,"Trichophorum subcapitatum",68,129.3
"45",148.933,-9.66667,1090240527,164,163,162,160,157,152,147,148,154,159,163,164,"Trichophorum subcapitatum",68,129.3
"46",149.041667,-9.708333,95008128,109,108,106,105,102,98,94,95,99,104,107,108,"Trichophorum subcapitatum",68,63.5
"47",107.995,15.95,2513702355,209,222,242,263,276,284,282,279,267,252,235,213,"Trichophorum subcapitatum",68,242.4
"48",120.9,16.6,2513703475,109,114,124,136,141,140,136,134,133,129,123,112,"Trichophorum subcapitatum",68,93.1
"49",120.9,16.6,2513702231,109,114,124,136,141,140,136,134,133,129,123,112,"Trichophorum subcapitatum",68,93.1
"50",120.734722,22.003611,891697670,205,212,229,251,270,281,286,283,277,263,242,215,"Trichophorum subcapitatum",68,241.4
"51",121.581389,22.017222,891630246,192,198,213,233,252,265,269,267,259,245,226,201,"Trichophorum subcapitatum",68,222
"52",120.74,22.61,1086013772,101,108,124,146,167,181,186,184,177,161,138,111,"Trichophorum subcapitatum",68,118.4
"53",120.74,22.62,1085984256,102,108,124,146,168,182,187,185,177,161,139,112,"Trichophorum subcapitatum",68,119.1
"54",120.752222,22.630556,891698081,65,71,85,105,127,141,146,144,136,121,99,75,"Trichophorum subcapitatum",68,71.5
"55",120.46,22.65,2417509050,189,197,219,245,266,280,287,284,277,260,234,201,"Trichophorum subcapitatum",68,233.9
"56",120.883333,22.733333,1821894436,81,88,103,125,147,161,167,165,156,140,117,91,"Trichophorum subcapitatum",68,94.1
"57",120.89,22.74,1085988818,81,88,103,125,147,161,167,165,156,140,117,91,"Trichophorum subcapitatum",68,94.1
"58",120.841667,23.039722,891697580,56,62,78,101,125,141,146,144,136,118,94,66,"Trichophorum subcapitatum",68,66.7
"59",120.91,23.24,1085981159,17,23,37,59,84,100,106,104,95,76,53,27,"Trichophorum subcapitatum",68,27.7
"60",120.93,23.26,1085984052,64,71,88,113,138,155,161,159,149,130,104,75,"Trichophorum subcapitatum",68,80.7
"61",120.911944,23.279167,891621511,64,71,89,114,139,156,162,160,150,130,105,75,"Trichophorum subcapitatum",68,81.5
"62",120.93,23.44,1085973273,17,22,37,60,86,104,110,108,98,79,54,27,"Trichophorum subcapitatum",68,29.9
"63",120.937778,23.4675,891614404,9,14,29,52,78,96,102,100,90,70,46,19,"Trichophorum subcapitatum",68,23.8
