"","decimalLongitude","decimalLatitude","key","mon_1","mon_2","mon_3","mon_4","mon_5","mon_6","mon_7","mon_8","mon_9","mon_10","mon_11","mon_12","scientificname","code","WI"
"1",120.907778,23.231111,891639180,18,23,37,59,84,101,106,105,95,77,53,27,"Trisetum spicatum var. formosanum",69,28
"2",120.907778,23.231111,891639201,18,23,37,59,84,101,106,105,95,77,53,27,"Trisetum spicatum var. formosanum",69,28
"3",120.91,23.26,1086006678,50,56,73,97,122,138,145,143,133,114,89,60,"Trisetum spicatum var. formosanum",69,62
"4",120.92,23.43,1085972992,27,32,48,72,98,115,122,120,110,90,65,37,"Trisetum spicatum var. formosanum",69,39.2
"5",120.919722,23.460833,891630579,56,63,81,106,132,150,157,155,145,124,98,67,"Trisetum spicatum var. formosanum",69,73.4
"6",120.937778,23.4675,891639181,9,14,29,52,78,96,102,100,90,70,46,19,"Trisetum spicatum var. formosanum",69,23.8
"7",120.937778,23.4675,891639192,9,14,29,52,78,96,102,100,90,70,46,19,"Trisetum spicatum var. formosanum",69,23.8
"8",120.960556,23.468333,891633578,-8,-3,10,32,58,76,82,80,70,51,27,2,"Trisetum spicatum var. formosanum",69,11.7
"9",120.960556,23.468333,891635384,-8,-3,10,32,58,76,82,80,70,51,27,2,"Trisetum spicatum var. formosanum",69,11.7
"10",120.960556,23.468333,891635393,-8,-3,10,32,58,76,82,80,70,51,27,2,"Trisetum spicatum var. formosanum",69,11.7
"11",120.960556,23.468333,891635402,-8,-3,10,32,58,76,82,80,70,51,27,2,"Trisetum spicatum var. formosanum",69,11.7
"12",120.960556,23.468333,891635410,-8,-3,10,32,58,76,82,80,70,51,27,2,"Trisetum spicatum var. formosanum",69,11.7
"13",120.960556,23.468333,891635414,-8,-3,10,32,58,76,82,80,70,51,27,2,"Trisetum spicatum var. formosanum",69,11.7
"14",120.960556,23.468333,891639126,-8,-3,10,32,58,76,82,80,70,51,27,2,"Trisetum spicatum var. formosanum",69,11.7
"15",120.960556,23.468333,891639186,-8,-3,10,32,58,76,82,80,70,51,27,2,"Trisetum spicatum var. formosanum",69,11.7
"16",120.960556,23.468333,891639172,-8,-3,10,32,58,76,82,80,70,51,27,2,"Trisetum spicatum var. formosanum",69,11.7
"17",120.960556,23.468333,891639177,-8,-3,10,32,58,76,82,80,70,51,27,2,"Trisetum spicatum var. formosanum",69,11.7
"18",120.892778,23.470556,891639171,45,52,69,94,120,138,145,143,133,112,86,56,"Trisetum spicatum var. formosanum",69,59.8
"19",120.892778,23.470556,891639176,45,52,69,94,120,138,145,143,133,112,86,56,"Trisetum spicatum var. formosanum",69,59.8
"20",120.892778,23.470556,891639200,45,52,69,94,120,138,145,143,133,112,86,56,"Trisetum spicatum var. formosanum",69,59.8
"21",120.95,23.47,1085971883,-4,1,14,36,62,80,86,85,74,55,32,6,"Trisetum spicatum var. formosanum",69,14.2
"22",120.909444,23.477778,891639194,28,34,51,75,101,119,125,123,113,93,68,39,"Trisetum spicatum var. formosanum",69,41.8
"23",120.95,23.49,1085968856,2,7,21,43,70,88,94,92,82,62,38,12,"Trisetum spicatum var. formosanum",69,18.8
"24",120.914167,23.562778,891639190,112,121,144,174,199,218,227,223,213,189,160,125,"Trisetum spicatum var. formosanum",69,150.5
"25",121.219444,23.758333,1821995722,38,44,61,87,114,134,142,139,127,105,79,50,"Trisetum spicatum var. formosanum",69,53.8
"26",121.2775,24.055833,891635471,8,12,27,53,82,103,112,109,96,73,48,20,"Trisetum spicatum var. formosanum",69,27.8
"27",121.2775,24.055833,891635491,8,12,27,53,82,103,112,109,96,73,48,20,"Trisetum spicatum var. formosanum",69,27.8
"28",121.2775,24.055833,891644693,8,12,27,53,82,103,112,109,96,73,48,20,"Trisetum spicatum var. formosanum",69,27.8
"29",121.193056,24.1,891635235,52,58,76,105,135,157,167,164,150,125,97,65,"Trisetum spicatum var. formosanum",69,75.1
"30",121.193056,24.1,891635257,52,58,76,105,135,157,167,164,150,125,97,65,"Trisetum spicatum var. formosanum",69,75.1
"31",121.32,24.1,1085980608,13,18,33,59,88,110,119,116,103,80,54,25,"Trisetum spicatum var. formosanum",69,32.9
"32",121.32,24.1,1086014007,13,18,33,59,88,110,119,116,103,80,54,25,"Trisetum spicatum var. formosanum",69,32.9
"33",121.266667,24.133333,1821784085,5,9,24,50,79,101,110,107,94,71,45,17,"Trisetum spicatum var. formosanum",69,26.2
"34",121.262222,24.134167,1821786115,23,28,44,72,101,123,133,130,116,92,66,36,"Trisetum spicatum var. formosanum",69,43.3
"35",121.262222,24.134167,1821845476,23,28,44,72,101,123,133,130,116,92,66,36,"Trisetum spicatum var. formosanum",69,43.3
"36",121.016667,24.153889,891644692,57,63,82,112,142,164,174,171,158,133,104,71,"Trisetum spicatum var. formosanum",69,83.1
"37",121.287019,24.156436,1822171699,12,16,31,58,87,110,118,116,102,79,53,24,"Trisetum spicatum var. formosanum",69,32.3
"38",121.300556,24.175278,891639182,30,35,51,79,108,131,141,138,124,100,73,42,"Trisetum spicatum var. formosanum",69,49.5
