"","decimalLongitude","decimalLatitude","key","mon_1","mon_2","mon_3","mon_4","mon_5","mon_6","mon_7","mon_8","mon_9","mon_10","mon_11","mon_12","scientificname","code","WI"
"1",120.752222,22.630556,891605589,65,71,85,105,127,141,146,144,136,121,99,75,"Veronica morrisonicola",70,71.5
"2",120.752222,22.630556,891658226,65,71,85,105,127,141,146,144,136,121,99,75,"Veronica morrisonicola",70,71.5
"3",120.933889,22.698611,891597675,120,127,145,168,189,204,209,207,199,182,158,130,"Veronica morrisonicola",70,143.8
"4",121.14,22.76,2417386297,186,195,217,243,264,280,286,283,274,256,230,198,"Veronica morrisonicola",70,231.2
"5",120.907778,23.231111,891605257,18,23,37,59,84,101,106,105,95,77,53,27,"Veronica morrisonicola",70,28
"6",120.907778,23.231111,891615511,18,23,37,59,84,101,106,105,95,77,53,27,"Veronica morrisonicola",70,28
"7",120.907778,23.231111,891615512,18,23,37,59,84,101,106,105,95,77,53,27,"Veronica morrisonicola",70,28
"8",120.907778,23.231111,891615525,18,23,37,59,84,101,106,105,95,77,53,27,"Veronica morrisonicola",70,28
"9",120.907778,23.231111,891617063,18,23,37,59,84,101,106,105,95,77,53,27,"Veronica morrisonicola",70,28
"10",120.907778,23.231111,891617140,18,23,37,59,84,101,106,105,95,77,53,27,"Veronica morrisonicola",70,28
"11",120.91,23.24,1085977310,17,23,37,59,84,100,106,104,95,76,53,27,"Veronica morrisonicola",70,27.7
"12",120.905556,23.247222,891594028,43,50,66,89,114,131,137,135,125,106,82,54,"Veronica morrisonicola",70,53.9
"13",120.937778,23.249167,1821881915,23,28,43,65,90,107,112,111,101,83,59,33,"Veronica morrisonicola",70,32.8
"14",120.969722,23.249722,891618109,83,90,109,135,159,176,183,180,170,151,125,94,"Veronica morrisonicola",70,105.5
"15",120.932222,23.252778,1821903534,43,49,65,88,113,130,136,134,124,105,81,53,"Veronica morrisonicola",70,52.9
"16",120.93,23.26,1085990001,64,71,88,113,138,155,161,159,149,130,104,75,"Veronica morrisonicola",70,80.7
"17",120.931389,23.262222,1821903775,64,71,88,113,138,155,161,159,149,130,104,75,"Veronica morrisonicola",70,80.7
"18",121.116667,23.266667,1821873915,101,108,128,154,178,195,202,200,189,169,143,112,"Veronica morrisonicola",70,127.9
"19",120.913056,23.278889,891621477,64,71,89,114,139,156,162,160,150,130,105,75,"Veronica morrisonicola",70,81.5
"20",120.913056,23.278889,891621485,64,71,89,114,139,156,162,160,150,130,105,75,"Veronica morrisonicola",70,81.5
"21",120.962222,23.455278,574732593,6,11,25,48,74,92,98,96,86,66,42,16,"Veronica morrisonicola",70,21.2
"22",120.919722,23.460833,891632233,56,63,81,106,132,150,157,155,145,124,98,67,"Veronica morrisonicola",70,73.4
"23",120.919722,23.460833,891632234,56,63,81,106,132,150,157,155,145,124,98,67,"Veronica morrisonicola",70,73.4
"24",120.919722,23.460833,891632237,56,63,81,106,132,150,157,155,145,124,98,67,"Veronica morrisonicola",70,73.4
"25",120.930556,23.463889,1822071555,34,41,57,81,107,125,132,130,119,99,74,45,"Veronica morrisonicola",70,47.4
"26",120.93013,23.464372,1935580613,34,41,57,81,107,125,132,130,119,99,74,45,"Veronica morrisonicola",70,47.4
"27",120.954618,23.464826,1883472211,-6,-2,11,33,59,77,83,81,71,52,29,3,"Veronica morrisonicola",70,12.3
"28",120.941499,23.465397,1883471967,25,31,46,70,96,114,120,118,108,88,63,35,"Veronica morrisonicola",70,37.7
"29",120.949444,23.466111,574789412,7,12,27,50,75,93,99,98,88,68,44,17,"Veronica morrisonicola",70,22.1
"30",120.949751,23.46645,1883472129,7,12,27,50,75,93,99,98,88,68,44,17,"Veronica morrisonicola",70,22.1
"31",120.949737,23.466462,1883472143,7,12,27,50,75,93,99,98,88,68,44,17,"Veronica morrisonicola",70,22.1
"32",120.95,23.466667,1821904412,-4,1,14,36,62,80,86,85,74,55,32,6,"Veronica morrisonicola",70,14.2
"33",120.953857,23.467158,1883485450,-4,1,14,36,62,80,86,85,74,55,32,6,"Veronica morrisonicola",70,14.2
"34",120.954317,23.467167,1883485462,-4,1,14,36,62,80,86,85,74,55,32,6,"Veronica morrisonicola",70,14.2
"35",120.937778,23.4675,891621574,9,14,29,52,78,96,102,100,90,70,46,19,"Veronica morrisonicola",70,23.8
"36",120.937778,23.4675,891632201,9,14,29,52,78,96,102,100,90,70,46,19,"Veronica morrisonicola",70,23.8
"37",120.937778,23.4675,891632227,9,14,29,52,78,96,102,100,90,70,46,19,"Veronica morrisonicola",70,23.8
"38",120.937778,23.4675,891634852,9,14,29,52,78,96,102,100,90,70,46,19,"Veronica morrisonicola",70,23.8
"39",120.960556,23.468333,891633579,-8,-3,10,32,58,76,82,80,70,51,27,2,"Veronica morrisonicola",70,11.7
"40",120.960556,23.468333,891615583,-8,-3,10,32,58,76,82,80,70,51,27,2,"Veronica morrisonicola",70,11.7
"41",120.960556,23.468333,891615604,-8,-3,10,32,58,76,82,80,70,51,27,2,"Veronica morrisonicola",70,11.7
"42",120.960556,23.468333,891632114,-8,-3,10,32,58,76,82,80,70,51,27,2,"Veronica morrisonicola",70,11.7
"43",120.960556,23.468333,891634069,-8,-3,10,32,58,76,82,80,70,51,27,2,"Veronica morrisonicola",70,11.7
"44",120.960556,23.468333,891645252,-8,-3,10,32,58,76,82,80,70,51,27,2,"Veronica morrisonicola",70,11.7
"45",120.960556,23.468333,891658490,-8,-3,10,32,58,76,82,80,70,51,27,2,"Veronica morrisonicola",70,11.7
"46",120.960556,23.468333,891658257,-8,-3,10,32,58,76,82,80,70,51,27,2,"Veronica morrisonicola",70,11.7
"47",120.960556,23.468333,891661139,-8,-3,10,32,58,76,82,80,70,51,27,2,"Veronica morrisonicola",70,11.7
"48",120.960556,23.468333,891658345,-8,-3,10,32,58,76,82,80,70,51,27,2,"Veronica morrisonicola",70,11.7
